number,yiddish,english
319,דירעקט,direct
921,דיסקוטירן,discuss
395,ווייַט,distant
532,צעטיילן,divide
855,טיילונג,division
41,טאָן,do
764,דאָקטער,doctor
51,טוט,does
317,הונט,dog
921,דאָלאַר,dollar
424,געשען,done
242,טאָן ניט,don’t
324,טיר,door
948,טאָפּל,double
196,אַראָפּ,down
238,ציען,draw
938,חלום,dream
677,קלייד,dress
885,טרינקען,drink
426,פאָר,drive
539,פאַלן,drop
377,טרוקן,dry
876,קאַטשקע,duck
456,בעשאַס,during
49,יעדער,each
651,אויער,ear
461,פרי,early
99,ערד,earth
284,יז,ease
397,מזרח,east
255,עסן,eat
581,ברעג,edge
789,ווירקונג,effect
506,יי,egg
702,אַכט,eight
721,יעדער,either
790,עלעקטריש,electric
770,עלעמענט,element
652,אַנדערש,else
60,עק,end
883,פייַנט,enemy
501,ענערגיע,energy
545,מאָטאָר,engine
301,גענוג,enough
834,אַרייַן,enter
639,גלייַך,equal
386,יקווייט,equate
915,ספּעציעל,especially
69,אפילו,even
939,אָוונט,evening
958,געשעעניש,event
308,אלץ,ever
120,יעדער,every
607,פּינקטלעך,exact
283,בייַשפּיל,example
613,אַחוץ,except
747,אָנצינדן,excite
563,געניטונג,exercise
791,דערוואַרטן,expect
925,דערפאַרונג,experience
688,עקספּערימענט,experiment
222,אויג,eye
271,פּנים,face
449,פאַקט,fact
645,יריד,fair
407,פאַלן,fall
318,משפּחה,family
820,באַרימט,famous
236,ווייַט,far
230,פאַרם,farm
467,פעסט,fast
863,פעט,fat
100,פאטער,father
858,טויווע,favor
823,מורא,fear
941,פּאַטשן,feed
312,פילן,feel
298,פֿיס,feet
642,געפאלן,fell
534,פּעלץ,felt
249,ווייניק,few
419,פעלד,field
916,פייַג,fig
744,קאַמף,fight
415,פיגורע,figure
396,פּלאָמבירן,fill
432,לעצט,final
200,געפינען,find
404,פייַן,fine
741,פינגער,finger
593,ענדיקן,finish
339,פייַער,fire
193,ערשטער,first
260,פיש,fish
643,צופּאַסן,fit
458,פינף,five
694,פלאַך,flat
720,פּאָדלאָגע,floor
644,לויפן,flow
596,בלום,flower
406,פליען,fly
76,נאָכפאָלגן,follow
216,עסנוואַרג,food
366,פֿיס,foot
7,פֿאַר,for
358,קראַפט,force
552,וואַלד,forest
130,פאָרעם,form
922,פאָרויס,forward
207,געפונען,found
218,פיר,four
551,בראָכצאָל,fraction
440,פֿרייַ,free
836,פריש,fresh
257,פרייַנד,friend
17,פון,from
429,פראָנט,front
755,פרוכט,fruit
357,פול,full
586,שפּאַס,fun
384,שפּיל,game
638,גאָרטן,garden
588,גאַז,gas
980,דרינגען,gather
433,האט,gave
526,אַלגעמיינע,general
798,צאַרט,gentle
106,באַקומען,get
303,מיידל,girl
123,געבן,give
864,צופרידן,glad
577,גלאז,glass
179,גיין,go
373,גאָלד,gold
599,ניטאָ,gone
121,גוט,good
281,גאַט,got
496,רעגירן,govern
535,גרויס,grand
578,גראָז,grass
990,גרוי,gray
132,גרויס,great
434,גרין,green
629,געוואקסן,grew
464,ערד,ground
286,גרופּע,group
210,וואַקסן,grow
801,טרעפן,guess
924,פירן,guide
840,ביקס,gun
28,האט,had
717,האָר,hair
336,האַלב,half
64,האַנט,hand
332,פּאַסירן,happen
594,גליקלעך,happy
231,שווער,hard
174,האט,has
953,קאַפּל,hat
15,האָבן,have
5,ער,he
201,קאָפּ,head
265,הערן,hear
451,געהערט,heard
540,האַרץ,heart
390,היץ,heat
543,שווער,heavy
716,געהאלטן,held
135,הילף,help
167,זי,her
71,דאָ,here
74,הויך,high
724,בערגל,hill
172,אים,him
3,זיין,his
788,געשיכטע,history
771,שלאָגן,hit
462,האַלטן,hold
699,לאָך,hole
62,היים,home
595,האָפענונג,hope
266,פערד,horse
19,וואַרעם,hot
387,וואַרעם,hot
453,שעה,hour
87,הויז,house
46,ווי,how
918,ריזיק,huge
787,מענטשלעך,human
457,הונדערט,hundred
502,גיינ אַף,hunt
828,ייַלן,hurry
2,איך,i
527,ייַז,ice
259,געדאַנק,idea
44,אויב,if
794,ימאַדזשאַן,imagine
34,אין,in
351,אינטש,inch
531,אַרייַננעמען,include
783,אָנווייַזן,indicate
742,אינדוסטריע,industry
780,ינסעקט,insect
877,רעגע,instant
575,קיילע,instrument
465,אינטערעס,interest
970,אויסטראַכטן,invent
691,פּרעסן,iron
24,איז,is
365,אינזל,island
25,עס,it
580,אַרבעט,job
617,פאַרבינדן,join
570,פרייד,joy
700,שפּרינגען,jump
129,נאָר,just
221,האַלטן,keep
576,געהיט,kept
690,שליסל,key
657,טייטן,kill
84,מין,kind
349,קעניג,king
344,געוואוסט,knew
189,וויסן,know
621,דאַמע,lady
659,אָזערע,lake
70,לאַנד,land
399,שפּראַך,language
66,גרויס,large
224,לעצט,last
240,שפּעט,late
379,לאַכן,laugh
730,געזעץ,law
482,לייגן,lay
408,פירן,lead
213,לערנען,learn
610,קלענסטער,least
321,לאָזן,leave
929,געפירט,led
239,לינקס,left
562,פוס,leg
516,לענג,length
474,ווייניקער,less
225,לאָזן,let
293,בריוו,letter
978,גלייַך,level
745,ליגן,lie
248,לעבן,life
848,הייב,lift
83,ליכט,light
164,ווי,like
137,שורה,line
894,פליסיק,liquid
310,רשימה,list
470,הערן,listen
113,ביסל,little
109,לעבן,live
777,געפינען,locate
895,קלאָץ,log
561,יינציק,lone
168,לאַנג,long
175,קוקן,look
635,פאַרפאַלן,lost
687,פּלאַץ,lot
662,הויכן,loud
487,ליבע,love
136,נידעריק,low
411,מאַשין,machine
108,געמאכט,made
909,מאַגנעט,magnet
273,הויפּט,main
835,הויפּט,major
169,מאַכן,make
116,מענטש,man
159,פילע,many
493,מאַפּע,map
291,צייכן,mark
878,מאַרק,market
932,מאַסע,mass
851,בעל,master
913,גלייַכן,match
550,מאַטעריאַל,material
528,ענין,matter
195,קען,may
122,מיר,me
142,מיינען,mean
896,מענט,meant
323,מאָס,measure
817,פלייש,meat
704,טרעפן,meet
601,ניגון,melody
80,מענער,men
709,מעטאַל,metal
672,אופֿן,method
656,מיטן,middle
233,זאל,might
295,מייל,mile
670,מילך,milk
591,מיליאָן,million
444,מיינונג,mind
832,מייַן,mine
441,מינוט,minute
388,פאַרפירן,miss
631,מישן,mix
769,מאָדערן,modern
987,מאַלאַקיול,molecule
660,מאָמענט,moment
489,געלט,money
590,חודש,month
364,לעוואָנע,moon
176,מער,more
475,מאָרגן,morning
185,מערסט,most
94,מוטער,mother
892,באַוועגונג,motion
566,אָנקלאַפּן,mount
261,באַרג,mountain
606,מויל,mouth
144,מאַך,move
141,פיל,much
352,מערן,multiply
288,מוזיק,music
72,מוזן,must
187,מייַן,my
126,נאָמען,name
668,פאָלק,nation
748,נאַטירלעך,natural
889,נאַטור,nature
96,נעבן,near
802,נייטיק,necessary
900,האַלדז,neck
86,דאַרפֿן,need
806,שאָכן,neighbor
223,קיינמאָל,never
102,נייַ,new
277,ווייַטער,next
246,נאַכט,night
975,נייַן,nine
184,קיין,no
977,ראַש,noise
767,מיטאָגצייַט,noon
947,אדער,nor
250,צפון,north
996,נאָז,nose
412,צעטל,note
353,גאָרנישט,nothing
499,באַמערקן,notice
418,נאָון,noun
199,איצט,now
182,נומער,number
328,ציפער,numeral
360,כייפעץ,object
664,אָבסערווירן,observe
886,פאַלן,occur
438,אָקעאַן,ocean
30,פון,of
85,אַוועק,off
873,פאָרשלאָגן,offer
603,אָפיס,office
292,אָפֿט,often
435,אוי,oh
626,ייל,oil
147,אַלט,old
8,אויף,on
263,אַמאָל,once
14,איינער,one
114,בלויז,only
274,עפענען,open
760,אַרבעטן,operate
963,פאַרקערט,opposite
27,אָדער,or
338,סדר,order
673,אָרגאַן,organ
865,אָריגינעל,original
38,אנדערע,other
124,אונדזער,our
37,אויס,out
188,איבער,over
203,אייגן,own
901,זויערשטאָף,oxygen
204,page,page
398,פאַרב,paint
530,פּאָר,pair
285,פּאַפּיר,paper
713,פּאַראַגראַף,paragraph
853,פאָטער,parent
104,טייל,part
959,באַזונדער,particular
774,פּאַרטיי,party
345,פאָרן,pass
584,פאַרגאַנגענהייַט,past
893,דרך,path
484,מוסטער,pattern
674,באַצאָלן,pay
186,מען,people
510,טאָמער,perhaps
782,צייַט,period
488,מענטש,person
734,פראַזע,phrase
511,פּיקן,pick
88,בילד,picture
342,שטיק,piece
930,גראַד,pitch
107,אָרט,place
302,קלאָר,plain
414,פּלאַן,plan
375,פלאַך,plane
827,פּלאַנעט,planet
214,געוויקס,plant
58,שפּילן,play
765,ביטע,please
997,מערצאָל,plural
813,פּאָעמע,poem
93,פונט,point
686,נעבעך,poor
880,באַפעלקערן,populate
65,פּאָרט,port
320,פּאָזע,pose
546,שטעלע,position
374,מעגלעך,possible
860,פּאָסטן,post
423,פונט,pound
402,מאַכט,power
761,פיר,practice
994,גרייטן,prepare
542,פאָרשטעלן,present
244,דריקן,press
904,שיין,pretty
842,דרוק,print
503,פּראַבאַבאַל,probable
341,פּראָבלעם,problem
759,פּראָצעס,process
448,פּראָדוצירן,produce
325,פּראָדוקט,product
871,געהעריק,proper
985,פאַרמאָג,property
766,באַשיצן,protect
560,באַווייַזן,prove
795,צושטעלן,provide
497,ציען,pull
711,שטופּן,push
61,שטעלן,put
974,קווארט,quart
331,קשיא,question
436,שנעל,quick
680,שטיל,quiet
653,גאַנץ,quite
897,וויפלטער,quotient
554,ראַסע,race
784,ראַדיאָ,radio
793,רעלס,rail
494,רעגן,rain
707,כאַפּן,raise
382,געלאפן,ran
890,קייט,range
809,אלא,rather
466,דערגרייכן,reach
63,לייענען,read
306,גרייט,ready
247,פאַקטיש,real
515,סיבה,reason
604,באַקומען,receive
370,רעקאָרד,record
309,רויט,red
520,געגנט,region
459,געדענקען,remember
991,איבערחזרן,repeat
884,ענטפער,reply
517,פאָרשטעלן,represent
992,דאַרפן,require
420,רו,rest
722,רעזולטאַט,result
756,רייַך,rich
507,פאָר,ride
145,רעכט,right
778,רינג,ring
623,העכערונג,rise
296,טייַך,river
492,וועג,road
337,שטיין,rock
739,זעמל,roll
256,צימער,room
705,וואָרצל,root
935,שטריק,rope
840,רויז,rose
115,קייַלעכיק,round
605,רודערן,row
818,רייַבן,rub
495,הערשן,rule
241,לויפן,run
725,זיכער,safe
47,האט,said
549,זעגל,sail
995,זאַלץ,salt
149,זעלביקער,same
737,זאַמד,sand
572,געזעצט,sat
648,ראַטעווען,save
235,געזען,saw
134,זאָגן,say
661,וואָג,scale
209,שולע,school
254,וויסנשאַפֿט,science
926,כעזשבן,score
237,ים,sea
837,זוכן,search
907,צייַט,season
949,אַוועקזעצן,seat
300,רגע,second
676,אָפּטיילונג,section
171,זען,see
615,זוימען,seed
275,ויסקומען,seem
874,אָפּשניט,segment
988,אויסקלייַבן,select
98,זיך,self
954,פאַרקויפן,sell
838,שיקן,send
750,זינען,sense
640,געשיקט,sent
131,זאַץ,sentence
762,באַזונדער,separate
490,דינען,serve
52,שטעלן,set
523,פאַרענטפערן,settle
712,זיבן,seven
478,עטלעכע,several
715,וועט,shall
385,פאָרעם,shape
866,share,share
803,שאַרף,sharp
150,זי,she
856,בויגן,sheet
899,שאָל,shell
984,שייַנען,shine
334,שיף,ship
965,שוך,shoe
981,קראָם,shop
854,ברעג,shore
327,קורץ,short
205,זאָל,should
966,אַקסל,shoulder
612,שרייַען,shout
119,ווייַזן,show
197,זייַט,side
284,דערזען,sight
582,צייכן,sign
735,שטיל,silent
910,זילבער,silver
923,ענלעך,similar
477,פּשוט,simple
346,זינט,since
469,זינגען,sing
692,איין,single
919,שוועסטער,sister
553,זיצן,sit
471,זעקס,six
521,גרייס,size
905,בקיעס,skill
696,הויט,skin
568,הימל,sky
875,שקלאַף,slave
559,שלאָפן,sleep
936,צעטל,slip
485,פּאַמעלעך,slow
59,קליין,small
945,שמעקן,smell
697,שמייכל,smile
391,שניי,snow
165,אַזוי,so
585,ווייך,soft
738,באָדן,soil
758,זעלנער,soldier
908,לייזונג,solution
708,סאָלווע,solve
23,עטלעכע,some
658,זון,son
322,ליד,song
315,באַלד,soon
183,געזונט,sound
340,דרום,south
450,פּלאַץ,space
524,רעדן,speak
443,ספּעציעל,special
888,רעדע,speech
671,גיכקייַט,speed
67,רעגע,spell
861,פאַרברענגען,spend
785,גערעדט,spoke
844,פלעק,spot
967,פאַרשפּרייטן,spread
663,פרילינג,spring
514,קוואַדראַט,square
202,שטיין,stand
416,שטערן,star
232,אָנהייב,start
220,שטאַט,state
867,סטאַנציע,station
355,בלייַבן,stay
376,סטעד,stead
891,פּאַרע,steam
920,שטאָל,steel
460,טרעטן,step
693,שטעקן,stick
212,נאָך,still
681,שטיין,stone
427,געשטאנען,stood
262,האַלטן,stop
556,קראָם,store
234,געשיכטע,story
666,גלייַך,straight
598,מאָדנע,strange
822,טייַך,stream
350,גאַס,street
982,אויסשטרעקן,stretch
814,שטריקל,string
442,שטאַרק,strong
772,תּלמיד,student
211,לערנען,study
519,ונטערטעניק,subject
857,מאַטעריע,substance
957,אַראָפּרעכענען,subtract
955,הצלחה,success
75,אַזאַ,such
512,פּלוצעמדיק,sudden
914,סאַפיקס,suffix
902,צוקער,sugar
618,פֿאָרשלאָגן,suggest
846,פּאַסן,suit
557,זומער,summer
217,זון,sun
775,צושטעלן,supply
887,שטיצן,support
268,זיכער,sure
362,ייבערפלאַך,surface
679,יבערראַשן,surprise
961,שווימען,swim
533,סילאַבאַל,syllable
608,סימבאָל,symbol
367,סיסטעם,system
472,טיש,table
447,עק,tail
105,נעמען,take
313,רעדן,talk
736,הויך,tall
430,לערנען,teach
632,קאָלעקטיוו,team
898,ציין,teeth
50,דערציילן,tell
740,טעמפּעראַטור,temperature
476,צען,ten
962,טערמין,term
369,פּרובירן,test
191,ווי,than
911,דאַנקען,thank
4,אַז,that
29,די,the
42,זייער,their
161,זיי,them
160,דעמאָלט,then
152,דאָרט,there
166,די,these
11,זיי,they
757,דיק,thick
825,דין,thin
170,זאַך,thing
133,טראַכטן,think
714,דריט,third
16,דעם,this
289,יענע,those
311,כאָטש,though
226,געדאַנק,thought
380,טויזנט,thousand
53,דרייַ,three
128,דורך,through
983,וואַרפן,throw
797,אַזוי אַרום,thus
833,בינדן,tie
43,צייַט,time
682,קליינטשיק,tiny
392,רייַף,tire
31,צו,to
276,צוזאַמען,together
343,דערציילט,told
616,טאָן,tone
148,אויך,too
253,גענומען,took
942,געצייַג,tool
347,שפּיץ,top
943,גאַנץ,total
628,פאַרבינדן,touch
480,צו,toward
403,שטאָט,town
852,שפּור,track
600,האַנדל,trade
558,באַן,train
473,אַרומפאָרן,travel
228,בוים,tree
826,דרייַעק,triangle
602,יאַזדע,trip
611,קאָנפליקט,trouble
976,טראָק,truck
455,עמעס,true
89,פּרובירן,try
819,רער,tube
139,קערן,turn
695,צוואַנציק,twenty
173,צוויי,two
729,טיפּ,type
125,אונטער,under
401,אַפּאַראַט,unit
294,ביז,until
154,אַרויף,up
90,אונדז,us
155,נוצן,use
304,געוויינטלעך,usual
946,טאָל,valley
743,ווערט,value
522,בייַטן,vary
468,ווערב,verb
127,זייער,very
749,view,view
703,דאָרף,village
583,באַזוכן,visit
500,קול,voice
479,וואַואַל,vowel
413,וואַרטן,wait
282,גיין,walk
564,וואַנט,wall
54,ווילן,want
481,מלחמה,war
439,וואַרעם,warm
6,איז געווען,was
807,וואַשן,wash
269,וואַך,watch
190,וואַסער,water
538,כוואַליע,wave
157,וועג,way
35,מיר,we
637,טראָגן,wear
589,וועטער,weather
431,וואָך,week
525,וואָג,weight
56,געזונט,well
82,געגאנגען,went
39,זענען,were
463,מייַרעוו,west
22,וואָס,what
356,ראָד,wheel
153,ווען,when
110,ווו,where
710,צי,whether
40,וואָס,which
243,בשעת,while
278,ווייַס,white
194,וואס,who
348,גאַנץ,whole
776,וועמענס,whose
78,פארוואס,why
548,ברייט,wide
964,פרוי,wife
574,ווילד,wild
45,וועט,will
937,געווינען,win
330,ווינט,wind
555,פֿענצטער,window
804,פליגל,wing
571,ווינטער,winter
633,דראָט,wire
567,ווינטשן,wish
10,מיט,with
799,פרוי,woman
906,פרויען,women
378,ווונדער,wonder
752,וועט נישט,won’t
272,האָלץ,wood
20,וואָרט,word
103,אַרבעט,work
95,וועלט,world
163,וואָלט,would
162,שרייַבן,write
573,געשריבן,written
989,קאַליע,wrong
614,געשריבן,wrote
622,הויף,yard
117,יאָר,year
839,געל,yellow
394,יאָ,yes
537,נאָך,yet
26,איר,you
305,יונג,young
156,דיין,your
