number,vietnamese,english
836,tươi,fresh
257,người bạn,friend
17,từ,from
429,trước,front
755,trái cây,fruit
357,đầy đủ,full
586,vui vẻ,fun
384,trò chơi,game
638,vườn,garden
588,khí,gas
980,thu thập,gather
433,đã,gave
526,chung,general
798,nhẹ nhàng,gentle
106,được,get
303,cô gái,girl
123,cung cấp cho,give
864,vui,glad
577,kính,glass
179,đi,go
373,vàng,gold
599,ra đi,gone
121,tốt,good
281,có,got
496,phối,govern
535,lớn,grand
578,cỏ,grass
990,màu xám,gray
132,tuyệt vời,great
434,màu xanh lá cây,green
629,tăng,grew
464,mặt đất,ground
286,nhóm,group
210,phát triển,grow
801,đoán,guess
924,hướng dẫn,guide
840,súng,gun
28,có,had
717,lông,hair
336,một nửa,half
64,tay,hand
332,xảy ra,happen
594,hạnh phúc,happy
231,cứng,hard
174,có,has
953,mũ,hat
15,có,have
5,ông,he
201,đầu,head
265,nghe,hear
451,nghe,heard
540,tim,heart
390,nhiệt,heat
543,nặng,heavy
716,được tổ chức,held
135,giúp,help
167,cô,her
71,ở đây,here
74,cao,high
724,đồi,hill
172,anh,him
3,mình,his
788,lịch sử,history
771,nhấn,hit
462,giư,hold
699,lỗ,hole
62,nhà,home
595,hy vọng,hope
266,ngựa,horse
19,nóng,hot
387,nóng,hot
453,giờ,hour
87,nhà,house
46,như thế nào,how
918,to,huge
787,con người,human
457,trăm,hundred
502,săn,hunt
828,nhanh,hurry
2,tôi,i
527,băng,ice
259,ý tưởng,idea
44,nếu,if
794,tưởng tượng,imagine
34,trong,in
351,inch,inch
531,bao gồm,include
783,chỉ ra,indicate
742,ngành công nghiệp,industry
780,côn trùng,insect
877,ngay lập tức,instant
575,cụ,instrument
465,quan tâm,interest
970,phát minh,invent
691,sắt,iron
24,là,is
365,đảo,island
25,nó,it
580,công việc,job
617,tham gia,join
570,niềm vui,joy
700,nhảy,jump
129,chỉ,just
221,giữ,keep
576,giữ,kept
690,chính,key
657,giết,kill
84,loại,kind
349,vua,king
344,biết,knew
189,biết,know
621,phụ nữ,lady
659,hồ,lake
70,đất,land
399,ngôn ngữ,language
66,lớn,large
224,cuối cùng,last
240,cuối,late
379,cười,laugh
730,pháp luật,law
482,đặt,lay
408,dẫn,lead
213,học,learn
610,nhất,least
321,lại,leave
929,dẫn,led
239,còn lại,left
562,chân,leg
516,chiều dài,length
474,ít,less
225,cho phép,let
293,thư,letter
978,mức,level
745,lời nói dối,lie
248,cuộc sống,life
848,thang máy,lift
83,ánh sáng,light
164,như,like
137,dòng,line
894,chất lỏng,liquid
310,danh sách,list
470,lắng nghe,listen
113,ít,little
109,sống,live
777,xác định vị trí,locate
895,đăng nhập,log
561,đơn độc,lone
168,lâu,long
175,xem,look
635,thua,lost
687,rất nhiều,lot
662,lớn,loud
487,tình yêu,love
136,thấp,low
411,máy,machine
108,thực hiện,made
909,nam châm,magnet
273,chính,main
835,chính,major
169,làm,make
116,người đàn ông,man
159,nhiều,many
493,bản đồ,map
291,đánh dấu,mark
878,thị trường,market
932,khối lượng,mass
851,chủ,master
913,trận đấu,match
550,tài liệu,material
528,vấn đề,matter
195,có thể,may
122,tôi,me
142,có nghĩa là,mean
896,có nghĩa là,meant
323,đo lường,measure
817,thịt,meat
704,đáp ứng,meet
601,giai điệu,melody
80,người đàn ông,men
709,kim loại,metal
672,phương pháp,method
656,trung,middle
233,might,might
295,dặm,mile
670,sưa,milk
591,triệu,million
444,tâm,mind
832,tôi,mine
441,phút,minute
388,bỏ lỡ,miss
631,trộn,mix
769,hiện đại,modern
987,phân tử,molecule
660,thời điểm,moment
489,tiền,money
590,tháng,month
364,mặt trăng,moon
176,hơn,more
475,buổi sáng,morning
185,nhất,most
94,mẹ,mother
892,chuyển động,motion
566,mount,mount
261,núi,mountain
606,miệng,mouth
144,di chuyển,move
141,nhiều,much
352,nhân,multiply
288,nhạc,music
72,phải,must
187,của tôi,my
126,tên,name
668,quốc gia,nation
748,tự nhiên,natural
889,thiên nhiên,nature
96,gần,near
802,cần thiết,necessary
900,cổ,neck
86,cần,need
806,hàng xóm,neighbor
223,không bao giờ,never
102,mới,new
277,tiếp theo,next
246,đêm,night
975,chín,nine
184,không có,no
977,tiếng ồn,noise
767,trưa,noon
947,cũng không,nor
250,phía bắc,north
996,mui,nose
412,ghi,note
353,không có gì,nothing
499,thông báo,notice
418,danh từ,noun
199,bây giờ,now
182,số,number
328,chữ số,numeral
360,đối tượng,object
664,quan sát,observe
886,xảy ra,occur
438,đại dương,ocean
30,của,of
85,tắt,off
873,phục vụ,offer
603,văn phòng,office
292,thường,often
435,oh,oh
626,dầu,oil
147,cũ,old
8,trên,on
263,một lần,once
14,một,one
114,chỉ,only
274,mở,open
760,hoạt động,operate
963,ngược lại,opposite
27,hoặc,or
338,để,order
673,cơ quan,organ
865,ban đầu,original
38,khác,other
124,của chúng tôi,our
37,ra,out
188,hơn,over
203,riêng,own
901,oxy,oxygen
204,trang,page
398,sơn,paint
530,đôi,pair
285,giấy,paper
713,đoạn,paragraph
853,mẹ,parent
104,một phần,part
959,riêng,particular
774,bên,party
345,vượt qua,pass
584,qua,past
893,con đường,path
484,mô hình,pattern
674,trả,pay
186,nhân dân,people
510,có lẽ,perhaps
782,thời gian,period
488,người,person
734,cụm từ,phrase
511,chọn,pick
88,hình ảnh,picture
342,mảnh,piece
930,sân,pitch
107,nơi,place
302,đồng bằng,plain
414,kế hoạch,plan
375,máy bay,plane
827,hành tinh,planet
214,nhà máy,plant
58,chơi,play
765,xin vui lòng,please
997,số nhiều,plural
813,bài thơ,poem
93,điểm,point
686,người nghèo,poor
880,cư,populate
65,cổng,port
320,đặt ra,pose
546,vị trí,position
374,có thể,possible
860,bài,post
423,bảng,pound
402,điện,power
761,thực hành,practice
994,chuẩn bị,prepare
542,hiện nay,present
244,báo chí,press
904,khá,pretty
842,in,print
503,có thể xảy ra,probable
341,vấn đề,problem
759,quá trình,process
448,sản xuất,produce
325,sản phẩm,product
871,thích hợp,proper
985,tài sản,property
766,bảo vệ,protect
560,chứng minh,prove
795,cho,provide
497,kéo,pull
711,đẩy,push
61,đặt,put
974,lít,quart
331,câu hỏi,question
436,nhanh chóng,quick
680,yên tĩnh,quiet
653,khá,quite
897,thương,quotient
554,cuộc đua,race
784,radio,radio
793,đường sắt,rail
494,mưa,rain
707,nâng cao,raise
382,ran,ran
890,phạm vi,range
809,thay,rather
466,đạt,reach
63,đọc,read
306,sẵn sàng,ready
247,thực,real
515,lý do,reason
604,nhận,receive
370,ghi,record
309,màu đỏ,red
520,khu,region
459,nhớ,remember
991,lặp lại,repeat
884,trả lời,reply
517,đại diện,represent
992,yêu cầu,require
420,phần còn lại,rest
722,kết quả,result
756,giàu,rich
507,đi xe,ride
145,ngay,right
778,vòng,ring
623,tăng,rise
296,sông,river
492,đường,road
337,đá,rock
739,cuộn,roll
256,phòng,room
705,gốc,root
935,dây,rope
840,tăng,rose
115,chung quanh,round
605,hàng,row
818,chà,rub
495,quy tắc,rule
241,chạy,run
725,an toàn,safe
47,nói,said
549,buồm,sail
995,muối,salt
149,như nhau,same
737,cát,sand
572,ngồi,sat
648,lưu,save
235,cưa,saw
134,nói,say
661,quy mô,scale
209,trường,school
254,khoa học,science
926,điểm,score
237,biển,sea
837,tìm kiếm,search
907,mùa,season
949,ghế,seat
300,thứ hai,second
676,phần,section
171,thấy,see
615,hạt giống,seed
275,dường như,seem
874,phân khúc,segment
988,chọn,select
98,tự,self
954,bán,sell
838,gửi,send
750,ý nghĩa,sense
640,gửi,sent
131,câu,sentence
762,riêng biệt,separate
490,phục vụ,serve
52,bộ,set
523,giải quyết,settle
712,bảy,seven
478,nhiều,several
715,có trách nhiệm,shall
385,hình dạng,shape
866,chia sẻ,share
803,sắc nét,sharp
150,cô,she
856,tờ,sheet
899,vỏ,shell
984,tỏa sáng,shine
334,tàu,ship
965,giày,shoe
981,cửa hàng,shop
854,bờ,shore
327,ngắn,short
205,nên,should
966,vai,shoulder
612,hét lên,shout
119,chương trình,show
197,bên,side
284,cảnh,sight
582,dấu hiệu,sign
735,im lặng,silent
910,bạc,silver
923,tương tự,similar
477,đơn giản,simple
346,từ,since
469,hát,sing
692,đơn,single
919,em gái,sister
553,ngồi,sit
471,sáu,six
521,kích thước,size
905,kỹ năng,skill
696,da,skin
568,bầu trời,sky
875,nô lệ,slave
559,ngủ,sleep
936,trượt,slip
485,chậm,slow
59,nhỏ,small
945,mùi,smell
697,nụ cười,smile
391,tuyết,snow
165,để,so
585,mềm,soft
738,đất,soil
758,người lính,soldier
908,giải pháp,solution
708,giải quyết,solve
23,một số,some
658,con trai,son
322,bài hát,song
315,sớm,soon
183,âm thanh,sound
340,nam,south
450,không gian,space
524,nói,speak
443,đặc biệt,special
888,bài phát biểu,speech
671,tốc độ,speed
67,chính tả,spell
861,chi tiêu,spend
785,nói,spoke
844,tại chỗ,spot
967,lây lan,spread
663,mùa xuân,spring
514,vuông,square
202,đứng,stand
416,sao,star
232,bắt đầu,start
220,nhà nước,state
867,trạm,station
355,ở lại,stay
376,thay,stead
891,hơi nước,steam
920,thép,steel
460,bước,step
693,thanh,stick
212,vẫn,still
681,đá,stone
427,đứng,stood
262,ngăn chặn,stop
556,cửa hàng,store
234,câu chuyện,story
666,thẳng,straight
598,lạ,strange
822,sông,stream
350,đường phố,street
982,căng ra,stretch
814,chuỗi,string
442,mạnh mẽ,strong
772,sinh viên,student
211,nghiên cứu,study
519,tiêu đề,subject
857,chất,substance
957,trừ,subtract
955,thành công,success
75,như vậy,such
512,đột ngột,sudden
914,hậu tố,suffix
902,đường,sugar
618,đề nghị,suggest
846,phù hợp với,suit
557,mùa hè,summer
217,ánh nắng mặt trời,sun
775,cung cấp,supply
887,hỗ trợ,support
268,chắc chắn,sure
362,bề mặt,surface
679,bất ngờ,surprise
961,bơi,swim
533,âm tiết,syllable
608,biểu tượng,symbol
367,hệ thống,system
472,bảng,table
447,đuôi,tail
105,có,take
313,nói chuyện,talk
736,cao,tall
430,dạy,teach
632,đội,team
898,răng,teeth
50,nói,tell
740,nhiệt độ,temperature
476,mười,ten
962,hạn,term
369,kiểm tra,test
191,hơn,than
911,cảm ơn,thank
4,mà,that
29,các,the
42,của họ,their
161,họ,them
160,sau đó,then
152,có,there
166,các,these
11,họ,they
757,dày,thick
825,mỏng,thin
170,điều,thing
133,nghi,think
714,thứ ba,third
16,này,this
289,những,those
311,mặc dù,though
226,nghĩ,thought
380,ngàn,thousand
53,ba,three
128,thông qua,through
983,ném,throw
797,do đó,thus
833,cà vạt,tie
43,thời gian,time
682,nhỏ,tiny
392,lốp xe,tire
31,để,to
276,cùng,together
343,nói,told
616,giai điệu,tone
148,quá,too
253,mất,took
942,công cụ,tool
347,đầu,top
943,tổng số,total
628,chạm,touch
480,hướng,toward
403,thị trấn,town
852,theo dõi,track
600,thương mại,trade
558,đào tạo,train
473,du lịch,travel
228,cây,tree
826,tam giác,triangle
602,chuyến đi,trip
611,rắc rối,trouble
976,xe tải,truck
455,đúng,true
89,thử,try
819,ống,tube
139,lần lượt,turn
695,hai mươi,twenty
173,hai,two
729,loại,type
125,dưới,under
401,đơn vị,unit
294,cho đến khi,until
154,lên,up
90,chúng tôi,us
155,sử dụng,use
304,thông thường,usual
946,thung lũng,valley
743,giá trị,value
522,khác nhau,vary
468,động từ,verb
127,rất,very
749,xem,view
703,làng,village
583,lần,visit
500,giọng nói,voice
479,nguyên âm,vowel
413,đợi,wait
282,đi bộ,walk
564,tường,wall
54,muốn,want
481,chiến tranh,war
439,ấm áp,warm
6,là,was
807,rửa,wash
269,xem,watch
190,nước,water
538,sóng,wave
157,cách,way
35,chúng tôi,we
637,mặc,wear
589,thời tiết,weather
431,tuần,week
525,trọng lượng,weight
56,cũng,well
82,đi,went
39,là,were
463,tây,west
22,những gì,what
356,bánh xe,wheel
153,khi,when
110,nơi,where
710,liệu,whether
40,mà,which
243,trong khi,while
278,trắng,white
194,người,who
348,toàn bộ,whole
776,có,whose
78,lý do tại sao,why
548,rộng,wide
964,vợ,wife
574,hoang dã,wild
45,sẽ,will
937,giành chiến thắng,win
330,gió,wind
555,cửa sổ,window
804,cánh,wing
571,mùa đông,winter
633,dây,wire
567,muốn,wish
10,với,with
799,người phụ nữ,woman
906,phụ nữ,women
378,tự hỏi,wonder
752,sẽ không,won’t
272,gỗ,wood
20,từ,word
103,công việc,work
95,thế giới,world
163,sẽ,would
162,viết,write
573,bằng văn bản,written
989,sai,wrong
614,đã viết,wrote
622,sân,yard
117,năm,year
839,vàng,yellow
394,vâng,yes
537,nhưng,yet
26,anh,you
305,trẻ,young
156,của bạn,your
