number,galician,english
880,cubrir,populate
65,port,port
320,representar,pose
546,posición,position
374,posible,possible
860,pos,post
423,libra,pound
402,poder,power
761,práctica,practice
994,preparar,prepare
542,presente,present
244,prensa,press
904,pretty,pretty
842,impresión,print
503,probable,probable
341,problema,problem
759,proceso,process
448,producir,produce
325,produto,product
871,axeitada,proper
985,propiedade,property
766,protexer,protect
560,probar,prove
795,proporcionar,provide
497,puxe,pull
711,empuxe,push
61,poñer,put
974,cuarto,quart
331,pregunta,question
436,rápida,quick
680,calma,quiet
653,moi,quite
897,cociente,quotient
554,carreira,race
784,radio,radio
793,ferroviaria,rail
494,choiva,rain
707,levantar,raise
382,correu,ran
890,gama,range
809,vez,rather
466,alcanzar,reach
63,ler,read
306,preparado,ready
247,reais,real
515,razón,reason
604,recibir,receive
370,rexistro,record
309,vermello,red
520,rexión,region
459,teña en conta que,remember
991,repeat,repeat
884,responder,reply
517,representar,represent
992,requiren,require
420,resto,rest
722,resultado,result
756,rico,rich
507,paseo,ride
145,dereito,right
778,anel,ring
623,subir,rise
296,río,river
492,estrada,road
337,rocha,rock
739,rolo,roll
256,cuarto,room
705,raíz,root
935,corda,rope
840,aumentou,rose
115,rolda,round
605,liña,row
818,fregar,rub
495,regra,rule
241,run,run
725,seguro,safe
47,dixo,said
549,vela,sail
995,sal,salt
149,mesmo,same
737,area,sand
572,sat,sat
648,gardar,save
235,serra,saw
134,dicir,say
661,escala,scale
209,escola,school
254,ciencia,science
926,puntuación,score
237,mar,sea
837,busca,search
907,tempada,season
949,asento,seat
300,segunda,second
676,sección,section
171,vexa,see
615,semente,seed
275,parecen,seem
874,segmento,segment
988,seleccione,select
98,auto,self
954,vender,sell
838,enviar,send
750,sentido,sense
640,enviado,sent
131,sentenza,sentence
762,separado,separate
490,servir,serve
52,conxunto,set
523,resolver,settle
712,sete,seven
478,varios,several
715,debe,shall
385,forma,shape
866,share,share
803,sharp,sharp
150,ela,she
856,folla,sheet
899,shell,shell
984,brillo,shine
334,barco,ship
965,zapatos,shoe
981,tenda,shop
854,costa,shore
327,curta,short
205,debería,should
966,ombreiro,shoulder
612,berro,shout
119,amosar,show
197,banda,side
284,vista,sight
582,sinal,sign
735,silenciosa,silent
910,prata,silver
923,semellante,similar
477,simple,simple
346,desde,since
469,cantar,sing
692,único,single
919,irmá,sister
553,sentir-se,sit
471,seis,six
521,tamaño,size
905,habilidade,skill
696,pel,skin
568,ceo,sky
875,escravo,slave
559,soño,sleep
936,deslizamento,slip
485,lento,slow
59,pequeno,small
945,cheiro,smell
697,sorriso,smile
391,neve,snow
165,así,so
585,suave,soft
738,solo,soil
758,soldado,soldier
908,solución,solution
708,resolver,solve
23,algúns,some
658,fillo,son
322,canción,song
315,pronto,soon
183,son,sound
340,sur,south
450,espazo,space
524,falar,speak
443,especial,special
888,discurso,speech
671,velocidade,speed
67,deletrear,spell
861,pasar,spend
785,falou,spoke
844,local,spot
967,propagación,spread
663,primavera,spring
514,cadrado,square
202,estar,stand
416,estrela,star
232,inicio,start
220,estado,state
867,estación,station
355,estar,stay
376,lugar,stead
891,vapor,steam
920,aceiro,steel
460,paso,step
693,vara,stick
212,aínda,still
681,pedra,stone
427,se,stood
262,pare,stop
556,tenda,store
234,historia,story
666,recta,straight
598,estraño,strange
822,córrego,stream
350,rúa,street
982,stretch,stretch
814,cadea,string
442,forte,strong
772,estudante,student
211,estudo,study
519,asunto,subject
857,substancia,substance
957,restar,subtract
955,éxito,success
75,tales,such
512,súbita,sudden
914,sufixo,suffix
902,azucre,sugar
618,suxiren,suggest
846,traxe,suit
557,verán,summer
217,sol,sun
775,subministración,supply
887,apoio,support
268,comprobe se,sure
362,superficie,surface
679,sorpresa,surprise
961,mergullo,swim
533,sílaba,syllable
608,símbolo,symbol
367,sistema,system
472,mesa,table
447,cola,tail
105,tomar,take
313,discusión,talk
736,de altura,tall
430,ensinar,teach
632,equipo,team
898,dentes,teeth
50,dicir,tell
740,temperatura,temperature
476,dez,ten
962,prazo,term
369,proba,test
191,que,than
911,grazas,thank
4,que,that
29,o,the
42,súa,their
161,eles,them
160,logo,then
152,non,there
166,estes,these
11,eles,they
757,groso,thick
825,fina,thin
170,cousa,thing
133,creo que,think
714,terceiro,third
16,este,this
289,aqueles,those
311,aínda,though
226,pensaba,thought
380,mil,thousand
53,tres,three
128,mediante,through
983,xogar,throw
797,así,thus
833,gravata,tie
43,tempo,time
682,minúsculo,tiny
392,pneumático,tire
31,a,to
276,xuntos,together
343,dixo,told
616,ton,tone
148,tamén,too
253,tomou,took
942,ferramenta,tool
347,arriba,top
943,total de,total
628,tocar,touch
480,dirección,toward
403,cidade,town
852,mapa,track
600,comercio,trade
558,tren,train
473,viaxes,travel
228,árbore,tree
826,triángulo,triangle
602,viaxe,trip
611,problemas,trouble
976,camión,truck
455,verdade,true
89,tentar,try
819,tubo,tube
139,"á súa vez,",turn
695,vinte,twenty
173,dous,two
729,tipo,type
125,baixo,under
401,unidade,unit
294,ata,until
154,up,up
90,nós,us
155,uso,use
304,habitual,usual
946,vale,valley
743,valor,value
522,variar,vary
468,verbo,verb
127,moi,very
749,vista,view
703,aldea,village
583,visita,visit
500,voz,voice
479,vocal,vowel
413,esperar,wait
282,andar,walk
564,parede,wall
54,quere,want
481,guerra,war
439,quente,warm
6,foi,was
807,lavado,wash
269,asista,watch
190,auga,water
538,onda,wave
157,forma,way
35,nós,we
637,desgaste,wear
589,tempo,weather
431,semana,week
525,peso,weight
56,ben,well
82,fun,went
39,foron,were
463,oeste,west
22,o que,what
356,roda,wheel
153,cando,when
110,onde,where
710,se,whether
40,que,which
243,mentres,while
278,branco,white
194,que,who
348,todo,whole
776,cuxa,whose
78,por que,why
548,ampla,wide
964,esposa,wife
574,salvaxe,wild
45,vontade,will
937,vitoria,win
330,vento,wind
555,fiestra,window
804,asa,wing
571,inverno,winter
633,fíos,wire
567,desexo,wish
10,con,with
799,muller,woman
906,mulleres,women
378,pregunto,wonder
752,non vai,won’t
272,madeira,wood
20,palabra,word
103,traballo,work
95,mundo,world
163,faría,would
162,escribir,write
573,escrito,written
989,mal,wrong
614,escribiu,wrote
622,curro,yard
117,ano,year
839,amarelo,yellow
394,si,yes
537,aínda,yet
26,ti,you
305,nova,young
156,seu,your
