number,hausa,english
404,lafiya,fine
741,yatsa,finger
593,gama,finish
339,wuta,fire
193,na farko,first
260,kifi,fish
643,shige,fit
458,biyar,five
694,lebur,flat
720,bene,floor
644,daga ƙarƙashinsu,flow
596,fure,flower
406,tashi,fly
76,bin,follow
216,abinci,food
366,kafa,foot
7,domin,for
358,karfi,force
552,gandun daji,forest
130,form,form
922,gaba,forward
207,samu,found
218,hudu,four
551,murabba’i,fraction
440,yantacce,free
836,sabo,fresh
257,aboki,friend
17,daga,from
429,gaba,front
755,’ya’yan itace,fruit
357,full,full
586,abin dariya,fun
384,game,game
638,gonar,garden
588,gas,gas
980,tara,gather
433,ya ba,gave
526,general,general
798,m,gentle
106,samu,get
303,girl,girl
123,ba,give
864,murna,glad
577,gilashi,glass
179,je,go
373,zinariya,gold
599,tafi,gone
121,mai kyau,good
281,samu,got
496,mallaki,govern
535,babban,grand
578,ciyawa,grass
990,launin toka,gray
132,mai girma,great
434,kore,green
629,girma,grew
464,kasa,ground
286,tara,group
210,girma,grow
801,tsammani,guess
924,shiryar da,guide
840,gun,gun
28,da,had
717,gashi,hair
336,rabin,half
64,hannu,hand
332,faru,happen
594,murna,happy
231,wuya,hard
174,yana da,has
953,hat,hat
15,da,have
5,ya,he
201,kai,head
265,ji,hear
451,ji,heard
540,zuciya,heart
390,zafi,heat
543,nauyi,heavy
716,yunƙurin,held
135,taimaka,help
167,ta,her
71,nan,here
74,high,high
724,hill,hill
172,shi,him
3,da,his
788,history,history
771,hit,hit
462,ka riƙe,hold
699,rami,hole
62,gida,home
595,fata,hope
266,doki,horse
19,zafi,hot
387,zafi,hot
453,hour,hour
87,house,house
46,yadda,how
918,babbar,huge
787,mutum,human
457,da ɗari,hundred
502,farauta,hunt
828,hanzarta,hurry
2,ina,i
527,kankara,ice
259,ra’ayin,idea
44,idan,if
794,kwatanta,imagine
34,a,in
351,inch,inch
531,sun hada da,include
783,nuna,indicate
742,masana’antu,industry
780,kwaro,insect
877,nan take,instant
575,kayan aiki,instrument
465,amfani,interest
970,ƙirƙira,invent
691,baƙin ƙarfe,iron
24,ne,is
365,tsibirin,island
25,shi,it
580,job,job
617,shiga,join
570,farin ciki,joy
700,yi tsalle,jump
129,kawai,just
221,ci gaba,keep
576,sa,kept
690,key,key
657,kashe,kill
84,irin,kind
349,sarkin,king
344,sani,knew
189,sani,know
621,lady,lady
659,lake,lake
70,ƙasar,land
399,harshe,language
66,babban,large
224,na karshe,last
240,marigayi,late
379,yi dariya,laugh
730,shari’a,law
482,sa,lay
408,kai,lead
213,koyi,learn
610,kalla,least
321,bar,leave
929,ya jagoranci,led
239,bar,left
562,kafa,leg
516,tsawon,length
474,kasa,less
225,bari,let
293,wasika,letter
978,matakin,level
745,ƙarya,lie
248,rayuwa,life
848,daga,lift
83,haske,light
164,kamar,like
137,line,line
894,ruwa,liquid
310,list,list
470,listen,listen
113,kadan,little
109,rayuwa,live
777,gano wuri,locate
895,log,log
561,lone,lone
168,yaushe,long
175,duba,look
635,rasa,lost
687,yawa,lot
662,m,loud
487,soyayya,love
136,low,low
411,inji,machine
108,ya yi,made
909,maganadisu,magnet
273,main,main
835,manyan,major
169,sa,make
116,mutum,man
159,da yawa,many
493,map,map
291,mark,mark
878,kasuwa,market
932,taro,mass
851,master,master
913,wasa,match
550,material,material
528,al’amarin,matter
195,may,may
122,ni,me
142,nufi,mean
896,nufi,meant
323,auna,measure
817,nama,meat
704,sadu da,meet
601,karin waƙa,melody
80,mutane,men
709,karfe,metal
672,hanyar,method
656,tsakiya,middle
233,cikakken mulki,might
295,mile,mile
670,madara,milk
591,da miliyan,million
444,hankali,mind
832,mine,mine
441,minti daya,minute
388,kuskure,miss
631,mix,mix
769,na zamani,modern
987,kwayoyin,molecule
660,lokacin,moment
489,kudi,money
590,watan,month
364,moon,moon
176,more,more
475,da safe,morning
185,mafi,most
94,uwar,mother
892,motsi,motion
566,dutsen,mount
261,dutse,mountain
606,bakin,mouth
144,tafi,move
141,da yawa,much
352,ninka,multiply
288,music,music
72,tilas,must
187,my,my
126,sunan,name
668,jama’a,nation
748,halitta,natural
889,yanayin,nature
96,kusa da,near
802,wajibi,necessary
900,wuyansa,neck
86,bukata,need
806,makwabcin,neighbor
223,taba,never
102,new,new
277,na gaba,next
246,dare,night
975,tara,nine
184,babu,no
977,amo,noise
767,karkatar rana,noon
947,kuma bã,nor
250,north,north
996,hanci,nose
412,bayanin kula,note
353,kome ba,nothing
499,sanarwa,notice
418,suna,noun
199,yanzu,now
182,lambar,number
328,adadi,numeral
360,abu,object
664,tsayar,observe
886,faruwa,occur
438,teku,ocean
30,daga,of
85,kashe,off
873,tayin,offer
603,office,office
292,sau da yawa,often
435,oh,oh
626,man,oil
147,da haihuwa,old
8,a kan,on
263,sau ɗaya,once
14,daya,one
114,kawai,only
274,open,open
760,aiki,operate
963,m,opposite
27,ko,or
338,domin,order
673,sashin jiki,organ
865,asali,original
38,sauran,other
124,mu,our
37,out,out
188,a kan,over
203,own,own
901,oxygen,oxygen
204,page,page
398,fenti,paint
530,biyu,pair
285,takarda,paper
713,sakin layi,paragraph
853,iyaye,parent
104,part,part
959,musamman,particular
774,party,party
345,auku,pass
584,da,past
893,hanya,path
484,juna,pattern
674,biya,pay
186,mutane,people
510,watakila,perhaps
782,lokaci,period
488,mutum,person
734,magana,phrase
511,sama,pick
88,hoto,picture
342,yanki,piece
930,farar,pitch
107,wuri,place
302,sarari,plain
414,shirin,plan
375,jirgin,plane
827,duniya,planet
214,shuka,plant
58,wasa,play
765,don allah,please
997,jam’i,plural
813,waƙa,poem
93,aya,point
686,matalauta,poor
880,populate,populate
65,tashar jiragen ruwa,port
320,matsayi,pose
546,wuri,position
374,zai yiwu,possible
860,post,post
423,laban,pound
402,iko,power
761,yi,practice
994,shirya,prepare
542,ba,present
244,latsa,press
904,kyakkyawa,pretty
842,print,print
503,m,probable
341,matsalar,problem
759,tsari,process
448,kera,produce
325,samfur,product
871,dace,proper
985,property,property
766,kare,protect
560,tabbatar da,prove
795,samar da,provide
497,ja,pull
711,tura,push
61,sa,put
974,quart,quart
331,tambaya,question
436,m,quick
680,shiru,quiet
653,quite,quite
897,quotient,quotient
554,race,race
784,radio,radio
793,dogo,rail
494,ruwan sama,rain
707,ta da,raise
382,gudu,ran
890,range,range
809,wajen,rather
466,kai,reach
63,karanta,read
306,shirye,ready
247,real,real
515,dalilin,reason
604,sama,receive
370,rikodin,record
309,ja,red
520,yankin,region
459,tuna,remember
991,sake,repeat
884,amsa,reply
517,wakilci,represent
992,bukata,require
420,sauran,rest
722,sakamakon,result
756,arziki,rich
507,tafiya,ride
145,dama,right
778,zobe,ring
623,tashi,rise
296,kogin,river
492,road,road
337,rock,rock
739,yi,roll
256,dakin,room
705,tushen,root
935,igiya,rope
840,ya tashi,rose
115,zagaye,round
605,jere,row
818,rub,rub
495,mulkin,rule
241,ran,run
725,lafiya,safe
47,ya ce,said
549,ze tashi,sail
995,gishiri,salt
149,haka,same
737,yashi,sand
572,sat,sat
648,ajiye,save
235,saw,saw
134,ka ce,say
661,sikelin,scale
209,makaranta,school
254,kimiyya,science
926,score,score
237,tẽku,sea
837,search,search
907,kakar,season
949,wurin zama,seat
300,na biyu,second
676,section,section
171,gani,see
615,iri,seed
275,ze,seem
874,kashi,segment
988,zaži,select
98,kai,self
954,sayar da,sell
838,aika,send
750,ma’ana,sense
640,aika,sent
131,magana,sentence
762,raba,separate
490,bauta,serve
52,sa,set
523,shirya,settle
712,bakwai,seven
478,da yawa,several
715,za,shall
385,siffar,shape
866,share,share
803,kaifi,sharp
150,sai ta,she
856,sheet,sheet
899,harsashi,shell
984,haske,shine
334,ship,ship
965,shoe,shoe
981,shop,shop
854,tudu,shore
327,short,short
205,kammata,should
966,kafada,shoulder
612,ihu,shout
119,show,show
197,gefe,side
284,gani,sight
582,ãyã,sign
735,shiru,silent
910,azurfa,silver
923,similar,similar
477,sauki,simple
346,tun,since
469,raira,sing
692,single,single
919,ya,sister
553,zauna,sit
471,shida,six
521,size,size
905,fasaha,skill
696,fata,skin
568,sama,sky
875,bawa,slave
559,barci,sleep
936,zamewa,slip
485,jinkirin,slow
59,small,small
945,wari,smell
697,murmushi,smile
391,snow,snow
165,don haka,so
585,laushi,soft
738,ƙasa,soil
758,soja,soldier
908,bayani,solution
708,warware,solve
23,wasu,some
658,dan,son
322,song,song
315,da ewa ba,soon
183,sauti,sound
340,kudu,south
450,sarari,space
524,yi magana,speak
443,na musamman,special
888,jawabin,speech
671,gudun,speed
67,rubutawa,spell
861,kashe,spend
785,yi magana,spoke
844,tabo,spot
967,baza,spread
663,spring,spring
514,muraba’in,square
202,tsaya,stand
416,star,star
232,farko,start
220,jihar,state
867,station,station
355,zauna,stay
376,gaji sarautarsa,stead
891,steam,steam
920,karfe,steel
460,matakin,step
693,sanda,stick
212,har yanzu,still
681,dutse,stone
427,tsaya,stood
262,daina,stop
556,store,store
234,story,story
666,madaidaiciya,straight
598,m,strange
822,ƙorama,stream
350,street,street
982,stretch,stretch
814,kirtani,string
442,karfi,strong
772,dalibi,student
211,study,study
519,subject,subject
857,abu,substance
957,muka ɗebe,subtract
955,nasara,success
75,irin,such
512,kwatsam,sudden
914,a baya kalma,suffix
902,sugar,sugar
618,bayar da shawarar,suggest
846,kwat da wando,suit
557,rani,summer
217,rãnã,sun
775,wadata,supply
887,goyon bayan,support
268,tabbata,sure
362,surface,surface
679,mamaki,surprise
961,yin iyo,swim
533,syllable,syllable
608,alama ce,symbol
367,tsarin,system
472,tebur,table
447,wutsiya,tail
105,kai,take
313,talk,talk
736,tsayi,tall
430,koyar,teach
632,tawagar,team
898,hakora,teeth
50,gaya,tell
740,zazzabi,temperature
476,goma,ten
962,kalmomin,term
369,jarabawa,test
191,fiye da,than
911,gode,thank
4,"cewa,",that
29,da,the
42,da,their
161,da su,them
160,"to,",then
152,akwai,there
166,wadannan,these
11,suna,they
757,lokacin farin ciki,thick
825,na bakin ciki,thin
170,abu,thing
133,tunani,think
714,na uku,third
16,wannan,this
289,wadanda,those
311,ko da yake,though
226,tsammani,thought
380,dubu,thousand
53,uku,three
128,ta hanyar,through
983,jefa,throw
797,haka ne,thus
833,taye,tie
43,lokaci,time
682,kankanin,tiny
392,taya,tire
31,to,to
276,tare,together
343,ya shaidawa,told
616,sautin,tone
148,ma,too
253,ya ɗauki,took
942,kayan aiki,tool
347,top,top
943,total,total
628,taba,touch
480,zuwa ga,toward
403,town,town
852,track,track
600,ciniki,trade
558,jirgin kasa,train
473,tafiya,travel
228,itacen,tree
826,alwatika,triangle
602,tafiya da dawowa,trip
611,matsala,trouble
976,truck,truck
455,gaskiya ne,true
89,kokarin,try
819,tube,tube
139,nuna,turn
695,ashirin da,twenty
173,biyu,two
729,type,type
125,karkashin,under
401,naúrar,unit
294,har sai,until
154,up,up
90,mu,us
155,amfani,use
304,saba,usual
946,kwarin,valley
743,darajar,value
522,bambanta,vary
468,fi’ili,verb
127,sosai,very
749,view,view
703,kauye,village
583,ziyarar,visit
500,murya,voice
479,wasali,vowel
413,jira,wait
282,tafiya,walk
564,bango,wall
54,so,want
481,yaki,war
439,dumi,warm
6,shi ne,was
807,wash,wash
269,watch,watch
190,ruwa,water
538,kalaman,wave
157,hanyar,way
35,muna,we
637,sa,wear
589,weather,weather
431,mako,week
525,nauyi,weight
56,da kyau,well
82,tafi,went
39,suna,were
463,yamma,west
22,abin da,what
356,wheel,wheel
153,a lokacin da,when
110,inda,where
710,ko,whether
40,wanda,which
243,yayin da,while
278,white,white
194,wanda,who
348,dukan,whole
776,wanda,whose
78,dalilin da ya sa,why
548,wide,wide
964,matarsa,wife
574,daji,wild
45,so,will
937,nasara,win
330,iska,wind
555,taga,window
804,reshe,wing
571,hunturu,winter
633,waya,wire
567,so,wish
10,tare da,with
799,mace,woman
906,mata,women
378,mamaki,wonder
752,ki,won’t
272,wood,wood
20,kalma,word
103,aiki,work
95,duniya,world
163,zai,would
162,rubuta,write
573,rubuta,written
989,ba daidai ba,wrong
614,ya rubuta,wrote
622,yadi,yard
117,shekara,year
839,rawaya,yellow
394,i,yes
537,yet,yet
26,ka,you
305,matasa,young
156,your,your
