number,latin,english
956,comitatu,company
812,compare,compare
333,completum,complete
940,condicionis,condition
859,pertinent,connect
728,considerate,consider
667,consonans,consonant
428,"continent,",contain
1000,"continentem,",continent
950,perseverant,continue
649,imperium,control
719,cocus,cook
684,frigus,cool
733,rescriptum,copy
811,"frumentum,",corn
773,anguli,corner
421,recte,correct
634,cost,cost
971,bombicis,cotton
178,potuit,could
513,numerabitis,count
206,patriae,country
354,scilicet,course
215,cover,cover
579,vitulus,cow
698,rimula,crease
805,partum,create
768,"seges,",crop
229,transire,cross
810,"turba,",crowd
409,clamor,cry
847,current,current
267,sectis,cut
868,pater,dad
544,chorea,dance
754,"periculum,",danger
410,obscuro,dark
177,"die,",day
843,"mortuus,",dead
960,multum,deal
882,"carissimi,",dear
903,mortem,death
361,decernere,decide
650,decimales,decimal
363,abyssus,deep
879,gradum,degree
816,ex,depend
718,describere,describe
845,deserto,desert
685,consilium,design
973,statuere,determine
437,evolvere,develop
669,dictionary,dictionary
181,feceruntque,did
609,mortuus,die
138,"differunt,",differ
763,difficile,difficult
319,dirige,direct
921,disputant,discuss
395,distant,distant
532,divide,divide
855,divisione,division
41,facite,do
764,medicus,doctor
51,quod,does
317,canem,dog
921,pupa,dollar
424,factum,done
242,non,don’t
324,ostium,door
948,duplex,double
196,descendit,down
238,hauriret,draw
938,somniatis,dream
677,habitus,dress
885,potum,drink
426,coegi,drive
539,concrescunt,drop
377,siccum,dry
876,"anas,",duck
456,per,during
49,quisque,each
651,aurem,ear
461,mane,early
99,"terra,",earth
284,relevare,ease
397,orientem,east
255,manducare,eat
581,ore,edge
789,effectus,effect
506,ovum,egg
702,"octo,",eight
721,aut,either
790,electrica,electric
770,aliquid,element
652,aliud,else
60,finem,end
883,hostem,enemy
501,navitas,energy
545,engine,engine
301,sufficit,enough
834,intrant,enter
639,aequales,equal
386,aequat,equate
915,maxime,especially
69,etiam,even
939,ad vesperum,evening
958,eventus,event
308,in perpetuum,ever
120,omnis,every
607,exactam,exact
283,exemplum,example
613,nisi,except
747,"excitant,",excite
563,exercitium,exercise
791,sperare,expect
925,"experientiam,",experience
688,experimento,experiment
222,oculus,eye
271,faciem,face
449,eo,fact
645,pulchrae,fair
407,ceciderit,fall
318,familia,family
820,celebre,famous
236,tantum,far
230,fundum,farm
467,"ieiunium,",fast
863,adipem,fat
100,"pater,",father
858,gratiam,favor
823,timore,fear
941,pascuntur,feed
312,sentio,feel
298,"pedes,",feet
642,cecidit,fell
534,sensi,felt
249,pauci,few
419,"agro,",field
916,fig,fig
744,pugna,fight
415,"figura,",figure
396,imple,fill
432,ultima,final
200,invenies,find
404,postremo,fine
741,digitus,finger
593,peroratum,finish
339,"ignis,",fire
193,prima,first
260,"pisces,",fish
643,apta,fit
458,"quinque,",five
694,flat,flat
720,pavimentum,floor
644,influunt,flow
596,flos,flower
406,fuge,fly
76,sequitur,follow
216,cibum,food
366,pede,foot
7,nam,for
358,vi,force
552,saltus,forest
130,"forma,",form
922,et deinceps,forward
207,invenit,found
218,"quatuor,",four
551,fractionem,fraction
440,absque,free
836,recentes,fresh
257,amicitia,friend
17,de,from
429,ante,front
755,fructus,fruit
357,pleni,full
586,fun,fun
384,ludum,game
638,hortum,garden
588,vestibulum,gas
980,congregate,gather
433,deditque,gave
526,generalis,general
798,mitis,gentle
106,adepto,get
303,puella,girl
123,dabit,give
864,gavisus,glad
577,vitro,glass
179,"vade,",go
373,"aurum,",gold
599,abiit,gone
121,"bonum,",good
281,obtinuit,got
496,regunt,govern
535,magnificum,grand
578,fœnum,grass
990,gray,gray
132,magna,great
434,viridem,green
629,crevit,grew
464,"terra,",ground
286,group,group
210,crescat,grow
801,suspicor,guess
924,dirige,guide
840,gun,gun
28,quod,had
717,capillum,hair
336,dimidiam,half
64,manibus,hand
332,fieri,happen
594,beati,happy
231,difficile,hard
174,habet,has
953,hat,hat
15,habent,have
5,ipse,he
201,"caput,",head
265,audite,hear
451,audivit,heard
540,cor,heart
390,calor,heat
543,magna,heavy
716,posside,held
135,adiuva,help
167,eius,her
71,hic,here
74,princeps,high
724,tumulus,hill
172,eo,him
3,eius,his
788,rerum,history
771,ictus,hit
462,tenent,hold
699,"violet,",hole
62,domum,home
595,spero,hope
266,equo,horse
19,calidum,hot
387,calidum,hot
453,"hora,",hour
87,domus,house
46,quam,how
918,ingenti,huge
787,hominis,human
457,centum,hundred
502,hunt,hunt
828,festinate,hurry
2,sum,i
527,"glaciem,",ice
259,idea,idea
44,si,if
794,imaginari,imagine
34,in,in
351,inch,inch
531,comprehendo,include
783,indica,indicate
742,industria,industry
780,insect,insect
877,instant,instant
575,"instrumentum,",instrument
465,interest,interest
970,confingunt,invent
691,"ferrum,",iron
24,est,is
365,"insulam,",island
25,quod,it
580,officium,job
617,iungere,join
570,"gaudium,",joy
700,salire,jump
129,iustus,just
221,custodi,keep
576,custodivit,kept
690,key,key
657,occides,kill
84,quaedam,kind
349,"rex,",king
344,cognovit,knew
189,scitis,know
621,dominae,lady
659,stagnum,lake
70,"terra,",land
399,lingua,language
66,magna,large
224,novissime,last
240,quondam,late
379,rideat,laugh
730,legem,law
482,dormivitque,lay
408,ducit,lead
213,discant,learn
610,minimus,least
321,relinquo,leave
929,ductus,led
239,reliquit,left
562,leg,leg
516,longitudinis,length
474,minor,less
225,dimitte,let
293,litteris,letter
978,plana,level
745,mendacium,lie
248,"vita,",life
848,vitae,lift
83,lucem,light
164,sicut,like
137,line,line
894,liquidum,liquid
310,album,list
470,audite,listen
113,parum,little
109,vivo,live
777,locant,locate
895,stipes,log
561,"agitur,",lone
168,longis,long
175,respice,look
635,"perierat,",lost
687,multum,lot
662,magna,loud
487,amant,love
136,"humilis,",low
411,apparatus,machine
108,factum,made
909,magnes,magnet
273,main,main
835,major,major
169,fac,make
116,hominis,man
159,multis,many
493,tabula,map
291,caracterem,mark
878,ipsum,market
932,missa,mass
851,magister,master
913,par,match
550,material,material
528,materia,matter
195,ut,may
122,me,me
142,significant,mean
896,intelligantur,meant
323,metiretur,measure
817,cibum,meat
704,concurrunt,meet
601,melodiam,melody
80,homines,men
709,ferrum,metal
672,methodo,method
656,mediam,middle
233,ut,might
295,mille passuum,mile
670,"lac,",milk
591,million,million
444,animus,mind
832,mea,mine
441,minute,minute
388,requisierit,miss
631,"miscere,",mix
769,modern,modern
987,moleculo,molecule
660,momento,moment
489,"pecuniam,",money
590,mense,month
364,lunam,moon
176,more,more
475,"mane,",morning
185,maxime,most
94,"mater,",mother
892,motus,motion
566,montem,mount
261,montem,mountain
606,"os,",mouth
144,movemur,move
141,tantum,much
352,multiplicabo,multiply
288,musica,music
72,necesse,must
187,mea,my
126,nomen,name
668,gentem,nation
748,naturalis,natural
889,natura,nature
96,prope,near
802,necesse,necessary
900,cervicibus,neck
86,opus,need
806,"proximus,",neighbor
223,numquam,never
102,novum,new
277,postero,next
246,noctis,night
975,"novem,",nine
184,nulla,no
977,sonus,noise
767,meridies,noon
947,neque,nor
250,aquilonem,north
996,nasum,nose
412,note,note
353,aliquid,nothing
499,observate,notice
418,noun,noun
199,nunc,now
182,numerus,number
328,numerales,numeral
360,obiectum,object
664,observa,observe
886,incididunt,occur
438,oceanus,ocean
30,de,of
85,off,off
873,offer,offer
603,officium,office
292,saepe,often
435,o,oh
626,olei,oil
147,vetus,old
8,in,on
263,quondam,once
14,unum,one
114,nisi,only
274,aperi,open
760,"operantur,",operate
963,oppositi,opposite
27,vel,or
338,ut,order
673,"organo,",organ
865,original,original
38,alia,other
124,nostrum,our
37,ex,out
188,supra,over
203,ipse,own
901,dolor,oxygen
204,page,page
398,"pingere,",paint
530,par,pair
285,cartam,paper
713,paragraph,paragraph
853,parente,parent
104,"pars,",part
959,particularis,particular
774,pars,party
345,factum,pass
584,past,past
893,semita,path
484,"exemplar,",pattern
674,redde,pay
186,"populus,",people
510,forsan,perhaps
782,tempus,period
488,aliquis,person
734,phrase,phrase
511,colligunt,pick
88,ipsum,picture
342,frustrum,piece
930,picem,pitch
107,pro eo,place
302,"patet,",plain
414,consilium,plan
375,planum,plane
827,planeta,planet
214,herba,plant
58,fabula,play
765,"obsecro,",please
997,plural,plural
813,poem,poem
93,punctum,point
686,"pauper,",poor
880,frequentare,populate
65,"portus,",port
320,"aut statum,",pose
546,locus,position
374,potest,possible
860,post,post
423,libra,pound
402,potestatem,power
761,praxi,practice
994,praeparabit,prepare
542,praesens,present
244,turba,press
904,bellum,pretty
842,print,print
503,probabile,probable
341,forsit,problem
759,aliquid,process
448,producere,produce
325,vestibulum,product
871,proprium,proper
985,proprietate,property
766,protegat,protect
560,probant,prove
795,praestare,provide
497,attrahendam,pull
711,dis,push
61,posuit,put
974,quart,quart
331,quaestio,question
436,acutus,quick
680,quietum,quiet
653,prorsus,quite
897,quotus,quotient
554,generis,race
784,radio,radio
793,cogitis,rail
494,pluviae,rain
707,resuscitabo,raise
382,"cucurrit,",ran
890,range,range
809,"potius,",rather
466,attingere,reach
63,lego,read
306,parata,ready
247,ipsum,real
515,ideo,reason
604,accipiet,receive
370,testimonium,record
309,red,red
520,regionem,region
459,memores,remember
991,iterum,repeat
884,respondeo,reply
517,"repraesentant,",represent
992,requirunt,require
420,reliqua,rest
722,ex,result
756,dives,rich
507,ride,ride
145,ius,right
778,orbis,ring
623,surgere,rise
296,fluvio,river
492,"via,",road
337,petræ,rock
739,volumen,roll
256,locus,room
705,radix,root
935,fune,rope
840,surrexit,rose
115,per,round
605,row,row
818,fricabis,rub
495,imperium,rule
241,currunt,run
725,salvum,safe
47,dixitque,said
549,vela,sail
995,"sal,",salt
149,idem,same
737,"arenam,",sand
572,sat,sat
648,salvum,save
235,viderunt omnes,saw
134,dicunt,say
661,statera,scale
209,scholae,school
254,"scientia,",science
926,octoginta,score
237,"mare,",sea
837,quaerere,search
907,tempore,season
949,cathedra,seat
300,secundo,second
676,section,section
171,video,see
615,"semen,",seed
275,videtur,seem
874,segmentum,segment
988,"eligere,",select
98,ipsum,self
954,"vende,",sell
838,mitto,send
750,sensum,sense
640,misit,sent
131,sententia,sentence
762,separatum,separate
490,serviant,serve
52,set,set
523,habita,settle
712,"septem,",seven
478,plures,several
715,numquid,shall
385,figura,shape
866,share,share
803,"acutum,",sharp
150,quae,she
856,linteum,sheet
899,testa,shell
984,luceat,shine
334,navem,ship
965,calceum,shoe
981,taberna,shop
854,litore,shore
327,breves,short
205,ut,should
966,umero,shoulder
612,jubila,shout
119,ostende,show
197,latere,side
284,visum,sight
582,signum,sign
735,silentium,silent
910,"argentum,",silver
923,simile,similar
477,"simplex,",simple
346,cum,since
469,cantabo,sing
692,una,single
919,soror,sister
553,sedebitis,sit
471,"sex,",six
521,amplitudo,size
905,peritia,skill
696,pelle,skin
568,caelum,sky
875,servus,slave
559,somnum,sleep
936,labente,slip
485,tardus,slow
59,parva,small
945,olfactus,smell
697,risu,smile
391,"nix,",snow
165,ita,so
585,molli,soft
738,solum,soil
758,"miles,",soldier
908,solutio,solution
708,solve,solve
23,aliqua,some
658,"filius,",son
322,canticum,song
315,mox,soon
183,tuba canerent,sound
340,austri,south
450,locus,space
524,dicere,speak
443,peculiarem,special
888,oratio,speech
671,celeritate,speed
67,eamque,spell
861,expendas,spend
785,locutusque,spoke
844,locum,spot
967,expandit,spread
663,ver,spring
514,quadratum,square
202,stant,stand
416,"stella,",star
232,initium,start
220,status,state
867,statio,station
355,manete,stay
376,pro eo,stead
891,vapor,steam
920,"ferrum,",steel
460,step,step
693,lignum,stick
212,etiam,still
681,"lapis,",stone
427,stetit,stood
262,subsisto,stop
556,store,store
234,fabula,story
666,rectas,straight
598,mirum,strange
822,fluvius,stream
350,platea,street
982,tractum,stretch
814,nervo,string
442,confortare,strong
772,discipulo,student
211,studiorum,study
519,subiectum,subject
857,substantia,substance
957,auferatur,subtract
955,successu,success
75,talis,such
512,repentino,sudden
914,etiamne,suffix
902,sugar,sugar
618,suadeant,suggest
846,sectam,suit
557,aestas,summer
217,solis,sun
775,copia,supply
887,auxilium,support
268,certus,sure
362,superficies,surface
679,mirantique,surprise
961,natant,swim
533,syllabae,syllable
608,signum,symbol
367,ratio,system
472,mensamque,table
447,caudae,tail
105,accipe,take
313,disputatio,talk
736,tall,tall
430,docebit,teach
632,bigas,team
898,dentium,teeth
50,indica,tell
740,temperatus,temperature
476,decem,ten
962,term,term
369,aliquam,test
191,quam,than
911,gratias,thank
4,quod,that
29,in,the
42,eorum,their
161,eorum,them
160,tunc,then
152,ibi,there
166,haec,these
11,illi,they
757,densa,thick
825,tenuis,thin
170,aliquid,thing
133,puto,think
714,tertia,third
16,hoc,this
289,eorum,those
311,tametsi,though
226,cogitavit,thought
380,milia,thousand
53,tribus,three
128,per,through
983,mittite,throw
797,ita,thus
833,tatem,tie
43,tempore,time
682,vegrandis,tiny
392,piget,tire
31,ut,to
276,simul,together
343,nuntiavit,told
616,tone,tone
148,etiam,too
253,tulit,took
942,ferramentum,tool
347,top,top
943,totalis,total
628,tangerent,touch
480,in,toward
403,urbem,town
852,semita,track
600,commercia,trade
558,erant,train
473,peregrinationes,travel
228,lignum,tree
826,triangulo,triangle
602,trinus,trip
611,angustia,trouble
976,dolor,truck
455,verum,true
89,tentant,try
819,tube,tube
139,vicissim,turn
695,viginti,twenty
173,duobus,two
729,type,type
125,sub,under
401,unitas,unit
294,usque,until
154,ascendit,up
90,nos,us
155,"usus,",use
304,more,usual
946,vallis,valley
743,value,value
522,variant,vary
468,"verbo,",verb
127,ipsum,very
749,visum,view
703,villa,village
583,visit,visit
500,vox,voice
479,"vocali,",vowel
413,exspecta,wait
282,ambulate,walk
564,murum,wall
54,volo,want
481,"bellum,",war
439,calidum,warm
6,fuit,was
807,lava,wash
269,vigilate,watch
190,aquam,water
538,"unda,",wave
157,modo,way
35,nos,we
637,induere,wear
589,tempestas,weather
431,week,week
525,"pondus,",weight
56,etiam,well
82,abiit,went
39,erant,were
463,occasu,west
22,quod,what
356,rotam,wheel
153,cum,when
110,ubi,where
710,sive,whether
40,quibus,which
243,cum,while
278,album,white
194,"qui,",who
348,omnis,whole
776,cuius,whose
78,quid,why
548,wide,wide
964,uxorem,wife
574,fera,wild
45,voluntas,will
937,vincere,win
330,spiritus,wind
555,fenestram,window
804,alae,wing
571,winter,winter
633,wire,wire
567,volunt,wish
10,cum,with
799,"mulier,",woman
906,"mulieres,",women
378,"admiramini,",wonder
752,nolo,won’t
272,lignum,wood
20,"verbo,",word
103,opus,work
95,orbis,world
163,utinam,would
162,scribo,write
573,scriptum,written
989,iniuriam,wrong
614,scripsit,wrote
622,navale,yard
117,anno,year
839,flavis,yellow
394,etiam,yes
537,sed,yet
26,"vos,",you
305,adulescens,young
156,tuus,your
