number,polish,english
599,odszedł,gone
121,dobry,good
281,got,got
496,rządzić,govern
535,wielki,grand
578,trawka,grass
990,szary,gray
132,wielki,great
434,zielony,green
629,wzrosła,grew
464,ziemia,ground
286,grupa,group
210,rosnąć,grow
801,odgadnąć,guess
924,przewodnik,guide
840,pistolet,gun
28,miał,had
717,włosy,hair
336,połowa,half
64,ręka,hand
332,stanie,happen
594,szczęśliwy,happy
231,trudne,hard
174,ma,has
953,kapelusz,hat
15,mieć,have
5,on,he
201,głowa,head
265,słyszeć,hear
451,słyszałem,heard
540,serce,heart
390,ciepło,heat
543,ciężki,heavy
716,held,held
135,pomoc,help
167,ją,her
71,tutaj,here
74,wysoki,high
724,wzgórzu,hill
172,mu,him
3,jego,his
788,historia,history
771,uderzać,hit
462,przytrzymaj,hold
699,otwór,hole
62,strona główna,home
595,nadzieję,hope
266,koń,horse
19,gorący,hot
387,gorący,hot
453,godzina,hour
87,dom,house
46,jak,how
918,ogromny,huge
787,ludzki,human
457,sto,hundred
502,polowanie,hunt
828,pospiesz,hurry
2,i,i
527,lód,ice
259,pomysł,idea
44,jeśli,if
794,wyobrazić,imagine
34,w,in
351,cal,inch
531,zawierać,include
783,"wskazują,",indicate
742,przemysł,industry
780,owad,insect
877,błyskawicznej,instant
575,instrument,instrument
465,odsetki,interest
970,wymyślać,invent
691,żelaza,iron
24,jest,is
365,wyspa,island
25,to,it
580,praca,job
617,dołączyć,join
570,radość,joy
700,skok,jump
129,tylko,just
221,zachować,keep
576,utrzymane,kept
690,klucz,key
657,zabić,kill
84,rodzaj,kind
349,król,king
344,wiedział,knew
189,wiem,know
621,pani,lady
659,jezioro,lake
70,ziemia,land
399,język,language
66,duży,large
224,ostatnia,last
240,późno,late
379,śmiech,laugh
730,prawo,law
482,świeckich,lay
408,prowadzić,lead
213,uczyć się,learn
610,najmniej,least
321,zostawić,leave
929,doprowadziło,led
239,w lewo,left
562,mecz,leg
516,długość,length
474,mniej,less
225,niech,let
293,list,letter
978,poziom,level
745,kłamstwo,lie
248,życie,life
848,wyciąg,lift
83,światła,light
164,jak,like
137,linia,line
894,ciecz,liquid
310,lista,list
470,słuchać,listen
113,mało,little
109,żyć,live
777,lokalizować,locate
895,zaloguj,log
561,samotny,lone
168,długo,long
175,szukać,look
635,stracony,lost
687,wiele,lot
662,głośno,loud
487,miłość,love
136,niski,low
411,maszyna,machine
108,wykonane,made
909,magnes,magnet
273,głównym,main
835,głównym,major
169,zrobić,make
116,mężczyzna,man
159,wiele,many
493,mapa,map
291,znak,mark
878,rynku,market
932,masa,mass
851,mistrz,master
913,mecz,match
550,materiał,material
528,"względu na to,",matter
195,może,may
122,mnie,me
142,oznaczać,mean
896,oznaczało,meant
323,pomiaru,measure
817,mięso,meat
704,spotkać,meet
601,melodia,melody
80,mężczyźni,men
709,metalu,metal
672,metoda,method
656,średniej,middle
233,moc,might
295,km,mile
670,mleko,milk
591,milion,million
444,umysł,mind
832,kopalnia,mine
441,minut,minute
388,panna,miss
631,mix,mix
769,nowoczesny,modern
987,cząsteczka,molecule
660,chwilę,moment
489,pieniądze,money
590,miesiąc,month
364,księżyc,moon
176,więcej,more
475,rano,morning
185,najbardziej,most
94,matka,mother
892,ruch,motion
566,mocowanie,mount
261,góra,mountain
606,usta,mouth
144,ruch,move
141,wiele,much
352,mnożenie,multiply
288,muzyka,music
72,musi,must
187,my,my
126,nazwa,name
668,naród,nation
748,naturalne,natural
889,natura,nature
96,blisko,near
802,konieczne,necessary
900,szyi,neck
86,potrzeba,need
806,sąsiad,neighbor
223,nigdy,never
102,nowy,new
277,następna,next
246,noc,night
975,dziewięć,nine
184,nie,no
977,hałas,noise
767,południe,noon
947,ani,nor
250,północ,north
996,nos,nose
412,uwaga,note
353,nic,nothing
499,ogłoszenie,notice
418,rzeczownik,noun
199,teraz,now
182,liczba,number
328,liczebnik,numeral
360,obiekt,object
664,obserwować,observe
886,występują,occur
438,ocean,ocean
30,stopa,of
85,z,off
873,oferta,offer
603,biuro,office
292,często,often
435,oh,oh
626,olej,oil
147,stary,old
8,na,on
263,raz,once
14,jeden,one
114,tylko,only
274,otwarte,open
760,pracować,operate
963,naprzeciwko,opposite
27,lub,or
338,zamówienie,order
673,narząd,organ
865,oryginalny,original
38,inne,other
124,nasze,our
37,na zewnątrz,out
188,ponad,over
203,własna,own
901,tlenu,oxygen
204,strona,page
398,malować,paint
530,para,pair
285,papier,paper
713,pkt,paragraph
853,rodzic,parent
104,część,part
959,szczególności,particular
774,strona,party
345,przekazać,pass
584,przeszłość,past
893,ścieżka,path
484,wzór,pattern
674,płacić,pay
186,ludzie,people
510,być może,perhaps
782,okres,period
488,osoba,person
734,zwrot,phrase
511,wybrać,pick
88,obraz,picture
342,sztuk,piece
930,boisko,pitch
107,miejsce,place
302,zwykły,plain
414,planie,plan
375,samolot,plane
827,planeta,planet
214,roślin,plant
58,grać,play
765,proszę,please
997,liczba mnoga,plural
813,poemat,poem
93,punkt,point
686,słaba,poor
880,wypełnić,populate
65,port,port
320,stanowią,pose
546,stanowisko,position
374,możliwe,possible
860,po,post
423,funt,pound
402,moc,power
761,praktyka,practice
994,przygotować,prepare
542,niniejszy,present
244,naciśnij,press
904,dość,pretty
842,drukuj,print
503,prawdopodobne,probable
341,problem,problem
759,proces,process
448,produkować,produce
325,produkt,product
871,właściwy,proper
985,właściwość,property
766,ochrony,protect
560,dowieść,prove
795,zapewniać,provide
497,ciągnąć,pull
711,pchnięcie,push
61,wkładać,put
974,kwarta,quart
331,pytanie,question
436,szybki,quick
680,cichy,quiet
653,całkiem,quite
897,iloraz,quotient
554,wyścig,race
784,radio,radio
793,szyna,rail
494,deszcz,rain
707,podnieść,raise
382,ran,ran
890,zakres,range
809,raczej,rather
466,dotrzeć,reach
63,czytaj,read
306,gotowe,ready
247,prawdziwy,real
515,powodem,reason
604,otrzymać,receive
370,rekord,record
309,czerwony,red
520,region,region
459,pamiętaj,remember
991,powtórz,repeat
884,odpowiedz,reply
517,stanowią,represent
992,wymagać,require
420,reszta,rest
722,wynik,result
756,bogaty,rich
507,jazda,ride
145,prawo,right
778,pierścień,ring
623,wzrosnąć,rise
296,rzeka,river
492,drogowego,road
337,skalny,rock
739,rolki,roll
256,pokój,room
705,korzeń,root
935,lina,rope
840,róża,rose
115,okrągły,round
605,wiersz,row
818,trzeć,rub
495,reguła,rule
241,run,run
725,bezpieczne,safe
47,powiedział,said
549,żagiel,sail
995,sól,salt
149,sam,same
737,piasek,sand
572,nasyconym,sat
648,oszczędzać,save
235,piła,saw
134,powiedzieć,say
661,skala,scale
209,szkoła,school
254,nauka,science
926,wynik,score
237,morze,sea
837,szukaj,search
907,sezon,season
949,siedziba,seat
300,drugi,second
676,sekcja,section
171,zobaczyć,see
615,nasion,seed
275,wydają,seem
874,segment,segment
988,wybierać,select
98,własny,self
954,sprzedać,sell
838,wyślij,send
750,poczucie,sense
640,wysłany,sent
131,zdanie,sentence
762,oddzielne,separate
490,służyć,serve
52,zestaw,set
523,osiedlenie,settle
712,siedem,seven
478,kilka,several
715,powinien,shall
385,kształt,shape
866,akcji,share
803,ostry,sharp
150,ona,she
856,arkusz,sheet
899,powłoki,shell
984,połysk,shine
334,statek,ship
965,buty,shoe
981,sklep,shop
854,brzeg,shore
327,krótki,short
205,powinna,should
966,ramię,shoulder
612,krzyk,shout
119,pokaż,show
197,bok,side
284,widok,sight
582,znak,sign
735,cichy,silent
910,srebrny,silver
923,podobne,similar
477,proste,simple
346,od,since
469,śpiewać,sing
692,pojedynczy,single
919,siostra,sister
553,siedzieć,sit
471,sześć,six
521,rozmiar,size
905,umiejętność,skill
696,skóra,skin
568,niebo,sky
875,niewolnik,slave
559,sen,sleep
936,poślizgu,slip
485,powolny,slow
59,mały,small
945,zapach,smell
697,uśmiech,smile
391,śnieg,snow
165,tak,so
585,miękkie,soft
738,gleby,soil
758,żołnierz,soldier
908,rozwiązanie,solution
708,rozwiązania,solve
23,niektóre,some
658,syn,son
322,piosenka,song
315,wkrótce,soon
183,brzmieć,sound
340,południe,south
450,przestrzeń,space
524,mówić,speak
443,specjalne,special
888,mowy,speech
671,prędkość,speed
67,zaklęcie,spell
861,wydać,spend
785,zabrał,spoke
844,miejsce,spot
967,spread,spread
663,wiosna,spring
514,plac,square
202,stać,stand
416,gwiazda,star
232,początek,start
220,stan,state
867,stacja,station
355,pobyt,stay
376,siona,stead
891,parowy,steam
920,stal,steel
460,krok,step
693,kij,stick
212,jeszcze,still
681,kamień,stone
427,stał,stood
262,zatrzymać,stop
556,sklep,store
234,historia,story
666,prosto,straight
598,dziwny,strange
822,strumień,stream
350,ulica,street
982,odcinek,stretch
814,sznur,string
442,silny,strong
772,uczeń,student
211,badanie,study
519,temat,subject
857,substancja,substance
957,odejmowanie,subtract
955,sukces,success
75,takie,such
512,nagły,sudden
914,przyrostek,suffix
902,cukier,sugar
618,"sugerują,",suggest
846,garnitur,suit
557,lato,summer
217,słońce,sun
775,zasilanie,supply
887,wsparcie,support
268,pewny,sure
362,powierzchnia,surface
679,niespodzianka,surprise
961,pływać,swim
533,sylaby,syllable
608,symbol,symbol
367,system,system
472,stół,table
447,ogon,tail
105,wziąć,take
313,dyskusja,talk
736,wysoki,tall
430,uczyć,teach
632,zespół,team
898,zęby,teeth
50,powiedzieć,tell
740,temperatura,temperature
476,dziesięć,ten
962,termin,term
369,próba,test
191,niż,than
911,dziękuję,thank
4,że,that
29,kilka,the
42,ich,their
161,im,them
160,następnie,then
152,tam,there
166,te,these
11,oni,they
757,gruby,thick
825,cienki,thin
170,rzecz,thing
133,myśleć,think
714,trzeci,third
16,tego,this
289,osób,those
311,chociaż,though
226,myśli,thought
380,tysiąc,thousand
53,trzy,three
128,przez,through
983,rzucać,throw
797,tak więc,thus
833,krawat,tie
43,czas,time
682,małe,tiny
392,opon,tire
31,do,to
276,razem,together
343,powiedział,told
616,ton,tone
148,zbyt,too
253,wziął,took
942,narzędzie,tool
347,góry,top
943,całkowity,total
628,dotknąć,touch
480,kierunku,toward
403,miasto,town
852,tor,track
600,handel,trade
558,pociąg,train
473,podróży,travel
228,drzewo,tree
826,trójkąt,triangle
602,wycieczka,trip
611,kłopot,trouble
976,ciężarówka,truck
455,prawdziwy,true
89,spróbuj,try
819,rurka,tube
139,kolej,turn
695,dwadzieścia,twenty
173,dwa,two
729,typ,type
125,pod,under
401,jednostka,unit
294,do,until
154,w górę,up
90,nas,us
155,zastosowanie,use
304,zwykły,usual
946,dolina,valley
743,wartość,value
522,różnią,vary
468,czasownik,verb
127,bardzo,very
749,widok,view
703,wieś,village
583,wizyta,visit
500,głos,voice
479,samogłoska,vowel
413,czekać,wait
282,chodzić,walk
564,ściana,wall
54,chcą,want
481,wojna,war
439,ciepły,warm
6,było,was
807,myjnia,wash
269,oglądać,watch
190,woda,water
538,fala,wave
157,sposób,way
35,my,we
637,nosić,wear
589,pogoda,weather
431,tydzień,week
525,waga,weight
56,dobrze,well
82,poszedł,went
39,były,were
463,zachód,west
22,co,what
356,koło,wheel
153,kiedy,when
110,gdzie,where
710,czy,whether
40,który,which
243,podczas,while
278,biały,white
194,kto,who
348,cały,whole
776,którego,whose
78,dlaczego,why
548,szeroki,wide
964,żona,wife
574,dziki,wild
45,będzie,will
937,zwycięstwo,win
330,wiatr,wind
555,okno,window
804,skrzydło,wing
571,zima,winter
633,drut,wire
567,chcieć,wish
10,zespół,with
799,kobieta,woman
906,kobiety,women
378,"zastanawiam się,",wonder
752,nie będzie,won’t
272,drewna,wood
20,słowo,word
103,praca,work
95,świat,world
163,byłoby,would
162,pisać,write
573,napisane,written
989,nie tak,wrong
614,napisał,wrote
622,stoczni,yard
117,rok,year
839,żółty,yellow
394,tak,yes
537,jeszcze,yet
26,ty,you
305,młody,young
156,twój,your
