number,pashto,english
458,پنځه,five
694,هوارو,flat
720,پوړ,floor
644,بهيږي,flow
596,ګل,flower
406,د الوتلو,fly
76,تعقيب,follow
216,د خوړو,food
366,پښه,foot
7,لپاره,for
358,ځواک,force
552,د ځنګل,forest
130,فورمه,form
922,مخ,forward
207,وموندل شول,found
218,څلور,four
551,کسر,fraction
440,وړيا,free
836,تازه,fresh
257,دوست,friend
17,له,from
429,مخ,front
755,د ميوو,fruit
357,بشپړ,full
586,دنده,function
384,لوبه,game
638,باغ,garden
588,د ګازو د,gas
980,راټول,gather
433,ورکړه,gave
526,عمومي,general
798,نرم,gentle
106,تر لاسه,get
303,نجلۍ,girl
123,ورکړي,give
864,خوښ,glad
577,ګيلاس,glass
179,ته لاړ,go
373,د سرو زرو,gold
599,شوې,gone
121,ښه,good
281,ترلاسه کړ,got
496,د حکومت,govern
535,لوئې,grand
578,واښه,grass
990,خړ,gray
132,غوره,great
434,شین,green
629,کرلي,grew
464,د ځمکنیو,ground
286,ډله,group
210,وده,grow
801,فکر,guess
924,الرښوونه,guide
840,ټوپک,gun
28,وو,had
717,ويښتان,hair
336,نيمايي,half
64,د لاس,hand
332,پېښ,happen
594,خوښ,happy
231,سخت,hard
174,لري,has
953,خولۍ,hat
15,لري,have
5,هغه,he
201,مشر,head
265,ډرا,hear
451,اورېدلي,heard
540,هرات,heart
390,تودوخه,heat
543,درنو,heavy
716,د دغو,held
135,مرسته,help
167,د هغې,her
71,دلته,here
74,د لوړ,high
724,غونډۍ,hill
172,هغه,him
3,د هغه د,his
788,تاريخ,history
771,وشوه,hit
462,جوړې,hold
699,سوري,hole
62,کور,home
595,هيله,hope
266,آس,horse
19,ګرم,hot
387,ګرم,hot
453,ساعت,hour
87,کور,house
46,څه ډول,how
918,ستر,huge
787,د بشري,human
457,سوه,hundred
502,تکل لري,hunt
828,بيړه,hurry
2,زه,i
527,یخ,ice
259,مفکوره,idea
44,که,if
794,تصور,imagine
34,په,in
351,انچ,inch
531,شامل دي,include
783,ښيي,indicate
742,صنعت,industry
780,د حشراتو,insect
877,فوري,instant
575,آله,instrument
465,ګټه,interest
970,اختراع,invent
691,د اوسپنې,iron
24,ده,is
365,ټاپو,island
25,دا,it
580,د کار,job
617,سره یوځای شي,join
570,خوښۍ,joy
700,ټوپ,jump
129,يوازې د,just
221,وساتي,keep
576,ساتل,kept
690,کلیدي,key
657,وژني,kill
84,ډول,kind
349,پاچا,king
344,پوهېدل,knew
189,پوه,know
388,ابۍ,lady
621,ابۍ,lady
659,جهيل,lake
70,د ځمکې,land
399,ژبه,language
66,لوی,large
224,تیر,last
240,په وروستيو,late
379,خندا,laugh
730,قانون,law
482,کېږدي,lay
408,لامل,lead
213,زده,learn
610,لږ تر لږه,least
321,ووځي,leave
929,په مشرۍ د,led
239,پاتې,left
562,پښه,leg
516,اوږدوالي,length
474,لږ,less
225,اجازه,let
293,لیک,letter
978,کچه د,level
745,دروغ,lie
248,ژوند,life
848,فشاري,lift
83,رڼا,light
164,په شان,like
137,خط,line
894,مايع,liquid
310,لست,list
470,غوږ,listen
113,لږ,little
109,ژوند,live
777,او موقعيت,locate
561,د سرغړولو,lone
168,اوږد,long
175,وګورو,look
895,وګورو,look
635,له لاسه,lost
687,ډېر,lot
662,لوړ,loud
487,مينه,love
136,ټيټ,low
411,ماشين,machine
108,کړې,made
909,مقناطيس,magnet
273,اصلي,main
835,لوی,major
169,لپاره,make
116,سړي,man
159,ډېرو,many
493,نقشه,map
291,نښه,mark
878,بازار,market
932,ډله,mass
851,د بادار,master
913,لوبه,match
550,د مادي,material
528,موضوع,matter
195,می,may
122,ما,me
142,مانا,mean
896,مانا,meant
323,د اندازه کولو,measure
817,غوښه,meat
704,لیدنه کوي,meet
601,موسيقی,melody
80,نارينه,men
709,فلزي,metal
672,ميتود,method
656,د منځني,middle
233,ښایي,might
295,مایلو,mile
670,شيدې,milk
591,ميليونه,million
444,ذهن,mind
832,کان,mine
441,دقیقې,minute
631,مخلوط,mix
769,عصري,modern
987,ماليکول,molecule
660,شېبه,moment
489,پيسې,money
590,میاشت,month
364,سپوږمۍ,moon
176,نور,more
475,سهار,morning
185,تر ټولو,most
94,مور,mother
892,تحريک,motion
566,غره,mount
261,د غره,mountain
606,خوله,mouth
144,حرکت,move
141,څومره,much
352,ضربوي,multiply
288,موسيقي,music
72,بايد,must
187,زما د,my
126,نوم,name
668,ملت,nation
748,د طبيعي,natural
889,ماهيت,nature
96,ته نږدې,near
802,ضروري,necessary
900,غاړه,neck
86,ته اړتیا لري,need
806,د ګاونډي,neighbor
223,هيڅکله,never
102,نوي,new
277,بل,next
246,شپه,night
975,نهه,nine
184,نه,no
977,شور,noise
767,غرمه,noon
947,او نه,nor
250,شمال,north
996,پوزه,nose
412,یادښت,note
353,هيڅ,nothing
499,خبرتیا,notice
418,اسم,noun
199,اوس,now
182,شمیر,number
328,شمیر,number
360,څيز,object
664,وګوری,observe
886,واقع,occur
438,سمندرونو,ocean
30,د,of
85,پړاو,off
873,وړاندیز,offer
603,دفتر,office
292,زياتره,often
435,اوه!,oh
626,د تیلو,oil
147,زاړه,old
8,په,on
263,یوځل,once
14,یو,one
114,یوازې,only
274,دابرخه,open
760,فعالیت,operate
963,برعکس,opposite
27,او یا,or
338,نظم,order
673,ارګان,organ
865,اصلي,original
38,نور,other
124,زموږ,our
37,څخه,out
188,له,over
203,خپل,own
901,اکسيجن,oxygen
204,مخ,page
398,انځورګري,paint
530,جوړې,pair
285,کاغذ,paper
713,پاراګراف,paragraph
853,مور او پلار,parent
104,برخه,part
959,ځانګړي ډول,particular
774,ګوند,party
345,پاس,pass
584,په تېرو,past
893,لاره,path
484,بيلګه,pattern
674,ورکړي,pay
186,خلک,people
510,ښايي,perhaps
782,موده,period
488,شخص,person
734,عبارت,phrase
511,واخلی,pick
88,انځور,picture
342,ټوټه,piece
930,جګوالی,pitch
107,ځای,place
302,plain,plain
414,پلان,plan
375,الوتکه,plane
827,سیاره,planet
214,د نبات د,plant
58,ولوبوي,play
765,مهرباني وکړه,please
997,جمع,plural
813,شعر,poem
93,ټکی,point
686,بې وزله,poor
880,شئچې,populate
65,بندر,port
320,پېښوي,pose
546,دريځ,position
374,د امکان,possible
860,وروسته,post
423,پونډ,pound
402,قدرت,power
761,عمل,practice
994,چمتو,prepare
542,حاضر,present
244,مطبوعاتي,press
904,ښایسته,pretty
842,چاپي,print
503,احتمالي,probable
341,ستونزه,problem
759,پروسه,process
448,توليدول، جوړول,produce
325,د محصول,product
871,مناسب,proper
985,د ملکیت,property
766,ساتنه,protect
560,ثابت,prove
795,برابر کړي,provide
497,کشول,pull
711,ټیله کول,push
61,کړي,put
974,پتکی,quart
331,پوښتنه,question
436,د چټک,quick
680,ارام,quiet
653,خورا,quite
897,قسمت د,quotient
554,نژاد,race
784,راډیو,radio
793,د ریل,rail
494,باران,rain
707,د لوړولو,raise
382,په منډه,ran
890,لړ,range
809,پر ځای,rather
466,ته ورسیږي,reach
63,پاتې برخه,read
306,چمتو,ready
247,اصلي,real
515,دلیل,reason
604,تر لاسه,receive
370,ریکارډ,record
309,سور,red
520,سیمه,region
459,په یاد,remember
991,تکرار,repeat
884,ځواب,reply
517,استازيتوب,represent
992,ته اړتیا لري,require
420,پاتې,rest
722,نتيجه,result
756,شتمن,rich
507,ride,ride
145,حق,right
778,حلقوي,ring
623,پاڅون,rise
296,د سيند,river
492,د سړک,road
337,ګټ,rock
739,رول,roll
256,کوټه,room
705,د ريښي,root
935,رسۍ,rope
840,د ګلابو,rose
115,پړاو,round
605,قطار,row
818,وموښئ,rub
495,حاکمیت,rule
241,د دويم پړاو,run
725,خوندي,safe
47,وويل,said
549,sail,sail
995,د مالګې,salt
149,ورته,same
737,شګه,sand
572,sat,sat
648,وژغوري,save
235,د اره,saw
134,وايي,say
661,مقياس,scale
209,د ښوونځي,school
254,ساینس,science
926,نمره,score
237,د بحر,sea
837,لټون,search
907,موسم,season
949,څوکۍ,seat
300,دوهم,second
676,برخه,section
171,وګورئ,see
615,د تخم,seed
275,داسې ښکاري،,seem
874,برخه,segment
988,غوره,select
98,ځان,self
954,وپلوري,sell
838,واستوي,send
750,احساس,sense
640,لیږل,sent
131,سزا,sentence
762,جلا,separate
490,خدمت,serve
52,ټولګه,set
523,د حل,settle
712,اووه,seven
478,څو,several
715,باید,shall
385,بڼه,shape
866,برخه,share
803,تيره,sharp
150,هغې,she
856,پاڼه,sheet
899,پوښ,shell
984,هرڅنګه,shine
334,کښتۍ,ship
965,بوټ,shoe
981,دوکان,shop
854,په غاړه,shore
327,لنډ,short
205,بايد,should
612,اوږه,shoulder
966,اوږه,shoulder
119,خپرونه,show
197,اړخ,side
284,سترګې,sight
582,نښه,sign
735,چوپه خوله,silent
910,د سپينو زرو,silver
923,ورته,similar
477,ساده,simple
346,راهیسې,since
469,سندري,sing
692,واحد,single
919,خور,sister
553,کیني,sit
471,شپږ,six
521,اندازه,size
905,مهارت,skill
696,د پوستکي,skin
568,اسمان,sky
875,برده,slave
559,خوب,sleep
936,ټوټه,slip
485,ورو,slow
59,د وړو,small
945,بوی,smell
697,موسکا,smile
391,واوره,snow
165,نو,so
585,نرم,soft
738,د خاوری,soil
758,سرتیری,soldier
908,د حل,solution
708,د حل,solve
23,يو شمېر,some
658,زوی,son
322,سندره,song
315,ژر,soon
183,غږ,sound
340,سویل,south
450,فضا,space
524,خبرې,speak
443,ځانګړې,special
888,وینا,speech
671,سرعت,speed
67,په ډاګه,spell
861,لګوي,spend
785,خبرې وکړې,spoke
844,داغ,spot
967,د خپریدو,spread
663,پسرلی,spring
514,مربع,square
202,ولاړ,stand
416,ستوري,star
232,پیل,start
220,د دولت,state
867,سټيشن,station
355,پاتې شي,stay
376,په عوض,stead
891,د بخار,steam
920,فولادو,steel
460,ګام,step
693,لښته,stick
212,تر اوسه,still
681,ډبره,stone
427,ولاړ,stood
262,درېدل,stop
556,پلورنځي,store
234,کيسه,story
666,مستقیم,straight
598,عجيبه,strange
822,د ويالو د,stream
350,سړک,street
982,اوږد,stretch
814,تار,string
442,قوي,strong
772,محصل,student
211,مطالعه,study
519,تابع,subject
857,موادو,substance
957,وشمیري,subtract
955,برياليتوب,success
75,ډول,such
512,ناڅاپه,sudden
914,وروستاړي,suffix
902,د بورې,sugar
618,وړاندیز,suggest
846,سوټ,suit
557,د اوړي,summer
217,لمر,sun
775,رسولو,supply
887,ملاتړ,support
268,ډاډه,sure
362,سطحي,surface
679,د حيرانتيا,surprise
961,سویم,swim
533,syllable,syllable
608,سمبول,symbol
367,سيستم,system
472,جدول,table
447,لکۍ,tail
105,واخلي,take
313,خبرې اترې,talk
736,دنګ,tall
430,درس,teach
632,ټیم,team
898,غاښونه,teeth
50,ته ووايي,tell
740,د حرارت درجه,temperature
476,لس,ten
962,اصطلاح,term
369,ازموینه,test
191,په پرتله,than
911,مننه,thank
4,چې,that
29,د,the
42,د هغوی,their
161,د هغوی,them
160,نو,then
152,هلته,there
166,د دغو,these
11,دوی,they
757,نازکه,thick
825,نری,thin
170,خبره,thing
133,فکر,think
714,دریم,third
16,دې,this
289,د هغو,those
311,که څه هم,though
226,فکر,thought
380,زره,thousand
53,درې,three
128,له لارې د,through
983,غورځوي,throw
797,په دې توګه,thus
833,غوټه,tie
43,وخت,time
682,کوچنی,tiny
392,د ټايرونو,tire
31,ته,to
276,په ګډه,together
343,وويل,told
616,لهجه,tone
148,هم,too
253,کړ,took
942,وسیله,tool
347,سر,top
943,ټول,total
628,لمس,touch
480,په لور,toward
403,ښار,town
852,روان,track
600,د سوداګرۍ,trade
558,روزنه,train
473,د سفر,travel
228,ونې,tree
826,د مثلث,triangle
602,سفر,trip
611,ستونزې,trouble
976,لارۍ,truck
455,رښتيا,true
89,هڅه,try
819,تيوب,tube
139,وار,turn
695,شل,twenty
173,دوه,two
729,ډول,type
125,لاندې,under
401,واحد,unit
294,تر,until
154,پورې,up
90,موږ,us
155,استعمال,use
304,د معمول,usual
946,دره,valley
743,ارزښت,value
522,توپیر لري,vary
468,فعل,verb
127,ډېر,very
749,محتویات,view
703,د کلي,village
583,سفر,visit
500,غږ,voice
413,انتظار,wait
282,مزل,walk
564,دیوال,wall
54,غواړي,want
481,د جګړې,war
439,تاوده,warm
6,وه,was
807,سیل,wash
269,د لیدو لپاره,watch
190,د اوبو د,water
538,څپې,wave
157,لاره,way
35,موږ,we
637,واغوندي,wear
589,د هوا,weather
431,اونۍ,week
525,د وزن,weight
56,ښه,well
82,لاړل,went
39,وو,were
463,لويديځ,west
22,څه,what
356,څرخ,wheel
153,كله,when
110,هلته,where
710,که,whether
40,چې,which
243,په داسې حال کې,while
278,سپین,white
194,چې,who
348,ټول,whole
776,د چا,whose
78,ولې,why
548,پراخه,wide
964,ښځه,wife
574,وحشي,wild
45,به,will
937,ماتې ورکړه,win
330,د باد,wind
555,کړکۍ,window
804,وزر,wing
571,د ژمي په,winter
633,سیم,wire
567,هیله,wish
10,سره,with
799,ښځه,woman
906,د ښځو,women
378,حيران,wonder
752,به نه,won’t
272,د لرګيو,wood
20,کلمه,word
103,د کار,work
95,نړۍ,world
163,به,would
162,ولیکي,write
573,لیکل,written
989,غلط,wrong
614,وليکل,wrote
622,انګړ,yard
117,کال,year
839,ژیړ,yellow
394,هو,yes
537,تر اوسه,yet
26,تاسو,you
305,ځوان,young
156,ستاسو,your
