number,samoan,english
187,loʻu,my
126,igoa,name
668,mālō,nation
748,faalenatura,natural
889,natura,nature
96,latalata,near
802,tatau,necessary
900,ua,neck
86,manaomia,need
806,tuāʻoi,neighbor
223,aua lava nei,never
102,fou,new
277,sosoo ai,next
246,po,night
975,iva,nine
184,leai,no
977,pisa,noise
767,aoauli,noon
947,po o,nor
250,matu,north
996,isu,nose
412,tusi,note
353,leai se mea,nothing
499,le faasilasilaga,notice
418,nauna,noun
199,nei,now
182,nūmera,number
328,nūmera,numeral
360,mea,object
664,tausia,observe
886,tupu,occur
438,vasa,ocean
30,a,of
85,ese,off
873,ofo,offer
603,tofi,office
292,e masani lava ona,often
435,oka,oh
626,suauu,oil
147,matua,old
8,i,on
263,fa’atasi,once
14,tasi,one
114,ae,only
274,tatala,open
760,galue,operate
963,feagai,opposite
27,poʻo,or
338,poloaiga,order
673,tōtōga,organ
865,fou,original
38,ese,other
124,tatou,our
37,i fafo,out
188,i luga,over
203,lava,own
901,okesene,oxygen
204,itulau,page
398,vali,paint
530,soa,pair
285,pepa,paper
713,parakarafa,paragraph
853,matua,parent
104,vaega,part
959,faapitoa,particular
774,vaega,party
345,teʻa,pass
584,tuanaʻi,past
893,ala,path
484,mamanu,pattern
674,totogi,pay
186,tagata,people
510,atonu,perhaps
782,vaitaimi,period
488,tagata,person
734,fuaitau,phrase
511,piki,pick
88,ata,picture
342,fasi,piece
930,pitch,pitch
107,mea,place
302,manino,plain
414,fuafuaga,plan
375,vaalele,plane
827,pilaneti,planet
214,totō,plant
58,taaalo,play
765,fa’amolemole,please
997,lasi,plural
813,tauloto,poem
93,manatu,point
686,mativa,poor
880,faaʻaināina,populate
65,tāulaga,port
320,tūlaga,pose
546,tulaga,position
374,mafai,possible
860,pou,post
423,pauna,pound
402,mana,power
761,faiga,practice
994,saunia,prepare
542,nei,present
244,nusipepa,press
904,aulelei,pretty
842,lolomi,print
503,faʻamata,probable
341,faafitauli,problem
759,faagasologa,process
448,gaosi,produce
325,mea e gaosi,product
871,tatau,proper
985,meatotino,property
766,puipui,protect
560,faamaonia,prove
795,tuuina,provide
497,toso,pull
711,tūlei,push
61,tuʻu,put
974,kuata,quart
331,fesili,question
436,vave,quick
680,filemu,quiet
653,matuā,quite
897,quotient,quotient
554,lalolagi,race
784,leitio,radio
793,ala uʻamea,rail
494,timu,rain
707,siʻi,raise
382,tamoe,ran
890,mamao,range
809,nai,rather
466,oʻo,reach
63,faitau,read
306,saunia,ready
247,moʻi,real
515,mafuaaga,reason
604,maua,receive
370,faamaumauga,record
309,lanu mumu,red
520,vāega,region
459,manatua,remember
991,toe fai,repeat
884,tali,reply
517,fai ma sui o,represent
992,manaomia,require
420,mapu,rest
722,iʻuga,result
756,maumea,rich
507,tiʻetiʻe,ride
145,tauagavale,right
778,liʻo,ring
623,tulai,rise
296,vaitafe,river
492,ala,road
337,papa,rock
739,taʻavale,roll
256,potu,room
705,aʻa,root
935,maea,rope
840,rosa,rose
115,faataamilo,round
605,atu,row
818,mili,rub
495,tulafono,rule
241,momoʻe,run
725,sao,safe
47,fai,said
549,folau,sail
995,māsima,salt
149,lava lea e tasi,same
737,oneone,sand
572,sat,sat
648,faʻaola,save
235,ili,saw
134,fai atu,say
661,fua,scale
209,āʻoga,school
254,saienisi,science
926,togi,score
237,sami,sea
837,suʻe,search
907,tau,season
949,nofoa,seat
300,tulaga lua,second
676,o le fuaiupu,section
171,vaʻai,see
615,fatu,seed
275,foliga mai,seem
874,vāega,segment
988,filifili,select
98,le tagata lava ia,self
954,faʻatau atu,sell
838,ave,send
750,lagona,sense
640,auina,sent
131,faʻasalaga,sentence
762,vavae,separate
490,tautua,serve
52,aotelega,set
523,faʻaiʻu,settle
712,fitu,seven
478,nai,several
715,e tatau,shall
385,fōliga,shape
866,sea,share
803,tipitipi,sharp
150,ia,she
856,laupepa,sheet
899,atigi,shell
984,susulu,shine
334,vaʻa,ship
965,seʻevae,shoe
981,faleʻoloa,shop
854,matāfaga,shore
327,puʻupuʻu,short
205,e tatau,should
966,tauʻau,shoulder
612,alaga,shout
119,faaalia,show
197,itū,side
284,vaʻai,sight
582,faʻailoga,sign
735,fīlēmū,silent
910,siliva,silver
923,tutusa,similar
477,faigofie,simple
346,talu,since
469,pese,sing
692,nofofua,single
919,tuafafine,sister
553,nofo,sit
471,ono,six
521,fua,size
905,poto,skill
696,paʻu,skin
568,lagi,sky
875,pologa,slave
559,moe,sleep
936,ofuloto,slip
485,telegese,slow
59,laʻitiiti,small
945,sogi,smell
697,ataʻata,smile
391,kiona,snow
165,ina,so
585,malū,soft
738,eleʻele,soil
758,fitafita,soldier
908,fofo,solution
708,foia,solve
23,se,some
658,atali’i,son
322,pese,song
315,vave,soon
183,leo,sound
340,saute,south
450,avanoa,space
524,tautala,speak
443,faʻapitoa,special
888,tautala,speech
671,saosaoa,speed
67,feʻau faʻataulāitu,spell
861,faʻaalu,spend
785,na saunoa,spoke
844,mea,spot
967,sosolo,spread
663,vaipuna,spring
514,sikuea,square
202,tū,stand
416,fetū,star
232,āmata,start
220,tulaga,state
867,taunuʻuga,station
355,nofo,stay
376,sui,stead
891,ausa,steam
920,sila,steel
460,laʻa,step
693,lāʻau,stick
212,pea,still
681,maʻa,stone
427,tu,stood
262,taofia,stop
556,faleoloa,store
234,tala,story
666,saʻo,straight
598,ese,strange
822,vaitafe,stream
350,ala,street
982,memeʻi,stretch
814,mānoa,string
442,malosi,strong
772,tamaitiiti,student
211,suesuega,study
519,mataupu,subject
857,mea,substance
957,tōʻese,subtract
955,manuia,success
75,e pei,such
512,faʻafuaseʻi,sudden
914,suffix,suffix
902,suka,sugar
618,fautua,suggest
846,pea,suit
557,tau māfanafana,summer
217,lā,sun
775,tuuina atu,supply
887,lagolago,support
268,moni,sure
362,fogāvai,surface
679,ofo,surprise
961,aʻau,swim
533,mataitusi,syllable
608,faʻailoga,symbol
367,faiga,system
472,laulau,table
447,siʻusiʻu,tail
105,tago,take
313,talanoa,talk
736,umi,tall
430,aoao atu,teach
632,au,team
898,nifo,teeth
50,taʻu,tell
740,māfanafana,temperature
476,sefulu,ten
962,vaitaimi e,term
369,suʻega,test
191,nai lo,than
911,faʻafetai,thank
4,lea,that
29,le,the
42,latou,their
161,i latou,them
160,lea,then
152,i ai,there
166,nei,these
11,latou,they
757,mafia,thick
825,manifi,thin
170,mea,thing
133,manatu,think
714,tulaga tolu,third
16,lea,this
289,ia,those
311,e ui ina,though
226,manatu,thought
380,afe,thousand
53,tolu,three
128,e ala i,through
983,togi,throw
797,faapea ona,thus
833,fusiua,tie
43,taimi,time
682,laʻitiitī lava,tiny
392,paʻu,tire
31,i,to
276,faʻatasi,together
343,taʻu atu,told
616,faʻaleoga,tone
148,foʻi,too
253,ave,took
942,mea faigāluega,tool
347,tumutumu,top
943,atoa,total
628,paʻi,touch
480,i,toward
403,aʻai,town
852,ala,track
600,fefaʻatauaʻiga,trade
558,nofoa afi,train
473,malaga,travel
228,lāʻau,tree
826,tafatolu,triangle
602,malaga,trip
611,faʻalavelave,trouble
976,loli,truck
455,moni,true
89,taumafai,try
819,faʻagāʻau,tube
139,liliu,turn
695,lua sefulu,twenty
173,lua,two
729,ituaiga,type
125,i lalo,under
401,iunite,unit
294,seʻi,until
154,i luga,up
90,tatou,us
155,faʻaaogā,use
304,māsani ai,usual
946,vanu,valley
743,tāua,value
522,fetuunai,vary
468,veape,verb
127,tele,very
749,vaaiga,view
703,nuʻu,village
583,asi,visit
500,leo,voice
479,vaueli,vowel
413,tali,wait
282,savali,walk
564,pā,wall
54,manaʻo,want
481,taua,war
439,māfanafana,warm
6,sa,was
807,fuluga,wash
269,tausi,watch
190,vai,water
538,galu,wave
157,ala,way
35,tatou,we
637,fai,wear
589,tau,weather
431,vaiaso,week
525,mamafa,weight
56,lelei,well
82,alu,went
39,sa,were
463,sisifo,west
22,ā,what
356,uili,wheel
153,a,when
110,lea,where
710,pe,whether
40,lea,which
243,aʻo,while
278,lanu pa’epa’e,white
194,o,who
348,atoa,whole
776,o lona,whose
78,aisea,why
548,lautele,wide
964,toalua,wife
574,vao,wild
45,o le a,will
937,mānumālō,win
330,matagi,wind
555,faʻamalama,window
804,apaʻau,wing
571,tau mālūlū,winter
633,uaea,wire
567,manaʻo,wish
10,i,with
799,fafine,woman
906,fafine,women
378,ofo,wonder
752,le a le,won’t
272,fafie,wood
20,upu,word
103,galue,work
95,lalolagi,world
163,a,would
162,tusi,write
573,tusia,written
989,sesē,wrong
614,na tusia e,wrote
622,lotoā,yard
117,tausaga,year
839,lanu samasama,yellow
394,ioe,yes
537,ae,yet
26,oe,you
305,talavou,young
156,lau,your
