number,azerbaijani,english
830,koloniya,colony
270,rəng,color
986,sütun,column
180,gəlmək,come
372,ümumi,common
956,şirkət,company
812,müqayisə etmək,compare
333,tam,complete
940,vəziyyəti,condition
859,əlaqə,connect
728,hesab,consider
667,samit,consonant
428,ehtiva,contain
1000,qitə,continent
950,davam,continue
649,nəzarət,control
719,cook,cook
684,sərin,cool
733,surəti,copy
811,qarğıdalı,corn
773,künc,corner
421,düzgün,correct
634,qiymət,cost
971,pambıq,cotton
178,bilər,could
513,saymaq,count
206,ölkə,country
354,əlbəttə,course
215,qapaq,cover
579,inək,cow
698,bürüşmək,crease
805,yaratmaq,create
768,məhsul,crop
229,keçmək,cross
810,izdiham,crowd
409,ağlamaq,cry
847,cari,current
267,cut,cut
868,dad,dad
544,dance,dance
754,təhlükə,danger
410,qaranlıq,dark
177,gün,day
843,ölü,dead
960,müqavilə,deal
882,əziz,dear
903,ölüm,death
361,qərar,decide
650,decimal,decimal
363,dərin,deep
879,dərəcə,degree
816,asılı,depend
718,təsvir,describe
845,səhra,desert
685,dizayn,design
973,müəyyən,determine
437,inkişaf,develop
669,lüğət,dictionary
181,etdi,did
609,ölmək,die
138,fərqlənir,differ
763,çətin,difficult
319,birbaşa,direct
921,müzakirə etmək,discuss
395,uzaq,distant
532,bölmək,divide
855,bölmə,division
41,etmək,do
764,həkim,doctor
51,yoxdur,does
317,dog,dog
921,dollar,dollar
424,həyata,done
242,yoxdur,don’t
324,qapı,door
948,double,double
196,aşağı,down
238,çəkmək,draw
938,yuxu,dream
677,don,dress
885,içki,drink
426,drive,drive
539,düşmək,drop
377,quru,dry
876,ördək,duck
456,zamanı,during
49,hər,each
651,qulaq,ear
461,erkən,early
99,torpaq,earth
284,azaltmaq,ease
397,şərq,east
255,yemək,eat
581,edge,edge
789,təsiri,effect
506,yumurta,egg
702,səkkiz,eight
721,ya,either
790,elektrik,electric
770,element,element
652,başqa,else
60,son,end
883,düşmən,enemy
501,enerji,energy
545,mühərrik,engine
301,kifayət qədər,enough
834,girmək,enter
639,bərabər,equal
386,eyniləşdirmək,equate
915,xüsusilə,especially
69,hətta,even
939,axşam,evening
958,hadisə,event
308,heç,ever
120,hər,every
607,dəqiq,exact
283,misal,example
613,savayı,except
747,salmaq,excite
563,exercise,exercise
791,gözləyirik,expect
925,təcrübə,experience
688,təcrübə,experiment
222,göz,eye
271,face,face
449,fakt,fact
645,ədalətli,fair
407,düşmək,fall
318,ailə,family
820,məşhur,famous
236,uzaq,far
230,təsərrüfat,farm
467,fast,fast
863,yağ,fat
100,ata,father
858,üstünlük,favor
823,qorxu,fear
941,yem,feed
312,hiss etmək,feel
298,feet,feet
642,düşdü,fell
534,keçə,felt
249,bir neçə,few
419,sahəsində,field
916,əncir,fig
744,mübarizə,fight
415,rəqəm,figure
396,doldurmaq,fill
432,final,final
200,tapmaq,find
404,gözəl,fine
741,barmaq,finger
593,rəngi,finish
339,yanğın,fire
193,ilk,first
260,balıq,fish
643,uyğun,fit
458,beş,five
694,düz,flat
720,mərtəbə,floor
644,axını,flow
596,gül,flower
406,uçmaq,fly
76,izləmək,follow
216,qida,food
366,ayaq,foot
7,üçün,for
358,güc,force
552,meşə,forest
130,form,form
922,irəli,forward
207,aşkar,found
218,dörd,four
551,fraksiya,fraction
440,pulsuz,free
836,təzə,fresh
257,dost,friend
17,dən,from
429,ön,front
755,meyvə,fruit
357,dolğun,full
586,fun,fun
384,oyun,game
638,bağ,garden
588,qaz,gas
980,toplamaq,gather
433,verdi,gave
526,ümumi,general
798,incə,gentle
106,almaq,get
303,girl,girl
123,vermək,give
864,şad,glad
577,şüşə,glass
179,getmək,go
373,qızıl,gold
599,getdi,gone
121,yaxşı,good
281,var,got
496,idarə,govern
535,grand,grand
578,ot,grass
990,boz,gray
132,böyük,great
434,yaşıl,green
629,artıb,grew
464,torpaq,ground
286,qrup,group
210,böyümək,grow
801,danışarlar,guess
924,yol,guide
840,top,gun
28,idi,had
717,saç,hair
336,yarım,half
64,əl,hand
332,baş,happen
594,xoşbəxt,happy
231,hard,hard
174,var,has
953,papaq,hat
15,var,have
5,belə,he
201,baş,head
265,eşitmək,hear
451,eşitdim,heard
540,ürək,heart
390,istilik,heat
543,ağır,heavy
716,held,held
135,kömək,help
167,öz,her
71,burada,here
74,yüksək,high
724,təpə,hill
172,ona,him
3,onun,his
788,tarix,history
771,hit,hit
462,saxlamaq,hold
699,hole,hole
62,ev,home
595,ümid,hope
266,at,horse
19,isti,hot
387,isti,hot
453,saat,hour
87,ev,house
46,necə,how
918,böyük,huge
787,insan,human
457,yüz,hundred
502,ov,hunt
828,tələsmək,hurry
2,mən,i
527,ice,ice
259,fikir,idea
44,əgər,if
794,təsəvvür etmək,imagine
34,da,in
351,inch,inch
531,daxildir,include
783,göstərir,indicate
742,sənaye,industry
780,həşərat,insect
877,ani,instant
575,aləti,instrument
465,faiz,interest
970,icad,invent
691,dəmir,iron
24,edir,is
365,ada,island
25,vaxt,it
580,iş,job
617,qoşulmaq,join
570,sevinc,joy
700,jump,jump
129,yalnız,just
221,saxlamaq,keep
576,saxlanılır,kept
690,açar,key
657,öldürmək,kill
84,cür,kind
349,kral,king
344,bilirdi,knew
189,öyrənmək,know
621,lady,lady
659,lake,lake
70,torpaq,land
399,dil,language
66,böyük,large
224,sonuncu,last
240,gec,late
379,gülüş,laugh
730,hüquq,law
482,lay,lay
408,qurğuşun,lead
213,öyrənmək,learn
610,az,least
321,tərk etmək,leave
929,rəhbərlik,led
239,sol,left
562,ayaq,leg
516,uzunluğu,length
474,az,less
225,qoy,let
293,məktub,letter
978,səviyyəsi,level
745,yalan,lie
248,həyat,life
848,lift,lift
83,yüngül,light
164,kimi,like
137,line,line
894,maye,liquid
310,siyahısı,list
470,qulaq asmaq,listen
113,az,little
109,yaşamaq,live
777,tapmaq,locate
895,daxil,log
561,tək,lone
168,uzun,long
175,baxmaq,look
635,itirilmiş,lost
687,çox,lot
662,yüksək,loud
487,sevgi,love
136,aşağı,low
411,maşın,machine
108,etdi,made
909,maqnit,magnet
273,əsas,main
835,major,major
169,etmək,make
116,man,man
159,çox,many
493,map,map
291,qiymət,mark
878,bazar,market
932,kütləvi,mass
851,master,master
913,oyunu,match
550,material,material
528,maddə,matter
195,may,may
122,me,me
142,orta,mean
896,nəzərdə,meant
323,ölçmək,measure
817,ət,meat
704,meet,meet
601,melody,melody
80,men,men
709,metal,metal
672,üsul,method
656,orta,middle
233,bilər,might
295,mile,mile
670,süd,milk
591,milyon,million
444,ağıl,mind
832,mina,mine
441,dəqiqə,minute
388,darıxmaq,miss
631,mix,mix
769,müasir,modern
987,molekul,molecule
660,an,moment
489,pul,money
590,ay,month
364,moon,moon
176,daha,more
475,səhər,morning
185,ən,most
94,ana,mother
892,motion,motion
566,mount,mount
261,dağ,mountain
606,ağız,mouth
144,gediş,move
141,çox,much
352,çoxaltmaq,multiply
288,musiqi,music
72,lazımdır,must
187,mənim,my
126,adı,name
668,millət,nation
748,təbii,natural
889,təbiət,nature
96,yaxın,near
802,zəruri,necessary
900,boyun,neck
86,ehtiyac,need
806,qonşu,neighbor
223,heç,never
102,yeni,new
277,növbəti,next
246,gecə,night
975,doqquz,nine
184,heç bir,no
977,səs,noise
767,günorta,noon
947,də,nor
250,şimal,north
996,burun,nose
412,qeyd,note
353,heç bir şey,nothing
499,bildiriş,notice
418,noun,noun
199,indi,now
182,sayı,number
328,say,numeral
360,object,object
664,müşahidə,observe
886,baş,occur
438,ocean,ocean
30,və,of
85,off,off
873,təklif,offer
603,office,office
292,tez-tez,often
435,oh,oh
626,neft,oil
147,köhnə,old
8,on,on
263,bir dəfə,once
14,bir,one
114,yalnız,only
274,açıq,open
760,fəaliyyət,operate
963,qarşı,opposite
27,və ya,or
338,order,order
673,orqan,organ
865,orijinal,original
38,digər,other
124,bizim,our
37,həyata,out
188,üzərində,over
203,öz,own
901,oksigen,oxygen
204,səhifə,page
398,boya,paint
530,cüt,pair
285,kağız,paper
713,maddə,paragraph
853,valideyn,parent
104,hissə,part
959,xüsusilə,particular
774,party,party
345,keçmək,pass
584,keçmiş,past
893,yol,path
484,model,pattern
674,maaş,pay
186,xalq,people
510,bəlkə,perhaps
782,dövr,period
488,şəxs,person
734,söz,phrase
511,yığmaq,pick
88,şəkil,picture
342,parça,piece
930,meydança,pitch
107,yer,place
302,düz,plain
414,plan,plan
375,təyyarə,plane
827,planet,planet
214,bitki,plant
58,oynamaq,play
765,edin,please
997,cəm,plural
813,şer,poem
93,nöqtə,point
686,yoxsul,poor
880,yaşayır,populate
65,port,port
320,yaradır,pose
546,mövqeyi,position
374,mümkün,possible
860,post,post
423,narınlamaq,pound
402,güc,power
761,praktika,practice
994,hazırlamaq,prepare
542,hazırda,present
244,mətbuat,press
904,olduqca,pretty
842,çap,print
503,ehtimal,probable
341,problem,problem
759,proses,process
448,istehsal,produce
325,məhsul,product
871,müvafiq,proper
985,əmlak,property
766,qorumaq,protect
560,sübut etmək,prove
795,təmin,provide
497,çəkmək,pull
711,təkan,push
61,qoymaq,put
974,quart,quart
331,sual,question
436,tez,quick
680,sakit,quiet
653,olduqca,quite
897,quotient,quotient
554,irqi,race
784,radio,radio
793,rail,rail
494,yağış,rain
707,qaldırmaq,raise
382,ran,ran
890,məsafə,range
809,deyil,rather
466,olmaq,reach
63,oxumaq,read
306,hazır,ready
247,real,real
515,səbəb,reason
604,almaq,receive
370,rekord,record
309,qırmızı,red
520,rayon,region
459,xatırlayıram,remember
991,təkrar,repeat
884,cavab,reply
517,təmsil,represent
992,tələb,require
420,istirahət,rest
722,nəticə,result
756,zəngin,rich
507,ride,ride
145,sağ,right
778,ring,ring
623,artacaq,rise
296,çay,river
492,yol,road
337,rock,rock
739,rulon,roll
256,otaq,room
705,root,root
935,kəndir,rope
840,gül,rose
115,dəyirmi,round
605,sıra,row
818,ovuşdurmaq,rub
495,qayda,rule
241,run,run
725,təhlükəsiz,safe
47,bildirib,said
549,sail,sail
995,duz,salt
149,eyni,same
737,qum,sand
572,sat,sat
648,yadda saxla,save
235,saw,saw
134,demək,say
661,miqyaslı,scale
209,məktəb,school
254,elm,science
926,hesab,score
237,dəniz,sea
837,axtarış,search
907,mövsüm,season
949,oturacaq,seat
300,ikinci,second
676,bölmə,section
171,görmək,see
615,toxum,seed
275,görünür,seem
874,segment,segment
988,seçin,select
98,özü,self
954,satmaq,sell
838,göndərmək,send
750,mənada,sense
640,göndərdi,sent
131,cümlə,sentence
762,ayrı-ayrı,separate
490,xidmət,serve
52,dəst,set
523,həll,settle
712,yeddi,seven
478,bir neçə,several
715,edilir,shall
385,forma,shape
866,pay,share
803,kəskin,sharp
150,o,she
856,hesabatı,sheet
899,shell,shell
984,parlaq,shine
334,gəmi,ship
965,ayaqqabı,shoe
981,shop,shop
854,shore,shore
327,qısa,short
205,olmalıdır,should
966,çiyin,shoulder
612,bağırmaq,shout
119,göstərmək,show
197,side,side
284,mənzərə,sight
582,bürc,sign
735,səssiz,silent
910,gümüş,silver
923,oxşar,similar
477,sadə,simple
346,ildən,since
469,oxumaq,sing
692,tək,single
919,bacı,sister
553,oturmaq,sit
471,altı,six
521,ölçüsü,size
905,bacarıq,skill
696,dəri,skin
568,sky,sky
875,qul,slave
559,yuxu,sleep
936,slip,slip
485,yavaş,slow
59,kiçik,small
945,iy,smell
697,smile,smile
391,qar,snow
165,belə,so
585,yumşaq,soft
738,torpaq,soil
758,əsgər,soldier
908,həll,solution
708,həll,solve
23,bəzi,some
658,son,son
322,mahnı,song
315,tezliklə,soon
183,səs,sound
340,cənub,south
450,space,space
524,danışmaq,speak
443,xüsusi,special
888,çıxış,speech
671,sürət,speed
67,sehr,spell
861,sərf,spend
785,danışıb,spoke
844,ləkə,spot
967,yaymaq,spread
663,yaz,spring
514,kvadrat,square
202,durmaq,stand
416,star,star
232,start,start
220,dövlət,state
867,stansiya,station
355,qalmaq,stay
376,teminatımızı,stead
891,buxar,steam
920,polad,steel
460,addım,step
693,stick,stick
212,hələ,still
681,daş,stone
427,qalxdı,stood
262,dayandırmaq,stop
556,mağaza,store
234,hekayə,story
666,düz,straight
598,qəribə,strange
822,stream,stream
350,küçə,street
982,uzatmaq,stretch
814,string,string
442,güclü,strong
772,tələbə,student
211,təhsil,study
519,mövzu,subject
857,maddə,substance
957,çıxmaq,subtract
955,uğur,success
75,belə,such
512,ani,sudden
914,şəkilçi,suffix
902,şəkər,sugar
618,gəlir,suggest
846,kostyum,suit
557,yay,summer
217,sun,sun
775,təchizatı,supply
887,dəstək,support
268,əmin,sure
362,yerüstü,surface
679,sürpriz,surprise
961,swim,swim
533,heca,syllable
608,simvolu,symbol
367,sistemi,system
472,masa,table
447,quyruq,tail
105,almaq,take
313,danışmaq,talk
736,hündür,tall
430,öyrətmək,teach
632,team,team
898,diş,teeth
50,demək,tell
740,temperatur,temperature
476,on,ten
962,müddət,term
369,test,test
191,daha,than
911,thank,thank
4,o,that
29,bu,the
42,onların,their
161,onlara,them
160,sonra,then
152,orada,there
166,bu,these
11,onlar,they
757,qalın,thick
825,nazik,thin
170,şey,thing
133,düşünmək,think
714,üçüncü,third
16,bu,this
289,o,those
311,baxmayaraq,though
226,fikir,thought
380,min,thousand
53,üç,three
128,vasitəsilə,through
983,atmaq,throw
797,beləliklə,thus
833,bağlamaq,tie
43,vaxt,time
682,miniatür,tiny
392,şin,tire
31,qədər,to
276,birlikdə,together
343,bildirib,told
616,ton,tone
148,çox,too
253,aldı,took
942,alət,tool
347,üst,top
943,ümumi,total
628,toxunmaq,touch
480,doğru,toward
403,şəhər,town
852,track,track
600,ticarət,trade
558,qatar,train
473,səyahət,travel
228,ağac,tree
826,üçbucaq,triangle
602,səfər,trip
611,narahatlıq,trouble
976,yük maşını,truck
455,doğru,true
89,çalışmaq,try
819,tube,tube
139,çevirmək,turn
695,iyirmi,twenty
173,iki,two
729,növü,type
125,altında,under
401,vahid,unit
294,qədər,until
154,up,up
90,us,us
155,istifadə,use
304,adi,usual
946,valley,valley
743,dəyəri,value
522,dəyişir,vary
468,verb,verb
127,çox,very
749,view,view
703,kənd,village
583,səfər,visit
500,səs,voice
479,sait,vowel
413,gözləyin,wait
282,gəzmək,walk
564,divar,wall
54,istəyirəm,want
481,müharibə,war
439,isti,warm
6,idi,was
807,yuma,wash
269,izləmək,watch
190,su,water
538,dalğa,wave
157,yol,way
35,biz,we
637,taxmaq,wear
589,hava,weather
431,həftə,week
525,çəki,weight
56,quyu,well
82,getdi,went
39,idi,were
463,qərb,west
22,nə,what
356,tam,wheel
153,zaman,when
110,harada,where
710,olub,whether
40,hansı,which
243,isə,while
278,ağ,white
194,kim,who
348,bütün,whole
776,kimin,whose
78,niyə,why
548,geniş,wide
964,arvad,wife
574,vəhşi,wild
45,olacaq,will
937,qazanmaq,win
330,külək,wind
555,pəncərə,window
804,qanad,wing
571,qış,winter
633,tel,wire
567,arzu,wish
10,ilə,with
799,qadın,woman
906,qadın,women
378,görəsən,wonder
752,deyil,won’t
272,ağac,wood
20,word,word
103,iş,work
95,dünya,world
163,ki,would
162,yazmaq,write
573,yazılı,written
989,yanlış,wrong
614,yazdı,wrote
622,yard,yard
117,il,year
839,sarı,yellow
394,bəli,yes
537,hələ,yet
26,siz,you
305,gənc,young
156,sizin,your
