number,georgian,english
762,ცალკე,separate
490,ემსახურება,serve
52,კომპლექტი,set
523,დასახლდნენ,settle
712,შვიდი,seven
478,რამდენიმე,several
715,უნდა,shall
385,ფორმა,shape
866,წილი,share
803,მკვეთრი,sharp
150,იგი,she
856,ფურცელი,sheet
899,გარსი,shell
984,შაინი,shine
334,გემი,ship
965,ფეხსაცმლის,shoe
981,მაღაზია,shop
854,ნაპირზე,shore
327,მოკლე,short
205,უნდა,should
966,მხრის,shoulder
612,შეძახილი,shout
119,შოუ,show
197,მხარე,side
284,მხედველობა,sight
582,ნიშანი,sign
735,ჩუმად,silent
910,ვერცხლის,silver
923,მსგავსი,similar
477,მარტივი,simple
346,"მას შემდეგ, რაც",since
469,მღერიან,sing
692,ერთი,single
919,დის,sister
553,იჯდეს,sit
471,ექვს,six
521,ზომა,size
905,უნარი,skill
696,კანის,skin
568,ცის,sky
875,მონა,slave
559,ძილის,sleep
936,მუშავდება,slip
485,ნელი,slow
59,პატარა,small
945,სუნი,smell
697,ღიმილი,smile
391,თოვლი,snow
165,"ასე რომ,",so
585,რბილი,soft
738,ნიადაგის,soil
758,ჯარისკაცი,soldier
908,გამოსავალი,solution
708,გადაჭრით,solve
23,ზოგიერთი,some
658,შვილი,son
322,სიმღერას,song
315,მალე,soon
183,ხმის,sound
340,სამხრეთ,south
450,ფართი,space
524,საუბარი,speak
443,სპეციალური,special
888,სიტყვის,speech
671,სიჩქარე,speed
67,სიტყვიერად,spell
861,დახარჯავს,spend
785,ისაუბრა,spoke
844,ადგილზე,spot
967,გავრცელება,spread
663,გაზაფხულზე,spring
514,კვ,square
202,დავდგეთ,stand
416,ვარსკვლავი,star
232,დაწყება,start
220,სახელმწიფო,state
867,სადგური,station
355,დარჩება,stay
376,ნაცვლად,stead
891,ორთქლი,steam
920,ფოლადის,steel
460,ნაბიჯი,step
693,ჯოხი,stick
212,ჯერ კიდევ,still
681,ქვის,stone
427,იდგა,stood
262,შეჩერება,stop
556,მაღაზია,store
234,ისტორია,story
666,სწორი,straight
598,უცნაური,strange
822,ნაკადი,stream
350,ქუჩის,street
982,მონაკვეთი,stretch
814,სტრიქონი,string
442,ძლიერი,strong
772,სტუდენტი,student
211,სასწავლო,study
519,სათაური,subject
857,ნივთიერება,substance
957,სხვაობა,subtract
955,წარმატება,success
75,ასეთი,such
512,მოულოდნელი,sudden
914,სუფიქსი,suffix
902,შაქარი,sugar
618,"ვარაუდობენ,",suggest
846,სარჩელი,suit
557,ზაფხულში,summer
217,მზე,sun
775,ახალი,supply
887,მხარდაჭერა,support
268,"დარწმუნებული ვარ,",sure
362,ზედაპირზე,surface
679,სიურპრიზი,surprise
961,ბანაობენ,swim
533,syllable,syllable
608,სიმბოლო,symbol
367,სისტემა,system
472,მაგიდა,table
447,კუდი,tail
105,მიიღოს,take
313,განხილვა,talk
736,მაღალი,tall
430,ასწავლოს,teach
632,გუნდი,team
898,კბილები,teeth
50,ვუთხრა,tell
740,ტემპერატურა,temperature
476,ათი,ten
962,ვადა,term
369,ტესტი,test
191,მეტი,than
911,მადლობა,thank
4,რომ,that
29,ზე,the
42,მათი,their
161,მათ,them
160,შემდეგ,then
152,არსებობს,there
166,ამ,these
11,ისინი,they
757,სქელი,thick
825,თხელი,thin
170,რამ,thing
133,"ვფიქრობ,",think
714,მესამე,third
16,ამ,this
289,იმ,those
311,თუმცა,though
226,ეგონა,thought
380,ათასი,thousand
53,სამ,three
128,მეშვეობით,through
983,"იმისათვის, რომ",throw
797,"ამგვარად,",thus
833,ჰალსტუხი,tie
43,დრო,time
682,პატარა,tiny
392,საბურავი,tire
31,მიზეზი,to
276,ერთად,together
343,განუცხადა,told
616,ტონი,tone
148,ძალიან,too
253,აიღო,took
942,ინსტრუმენტი,tool
347,დაბრუნება,top
943,სულ,total
628,შეეხოთ,touch
480,მიმართ,toward
403,ქალაქი,town
852,სიმღერა,track
600,სავაჭრო,trade
558,მატარებელი,train
473,მოგზაურობა,travel
228,ხე,tree
826,სამკუთხედის,triangle
602,მოგზაურობა,trip
611,პრობლემები,trouble
976,სატვირთო,truck
455,დიახ,true
89,ცდილობენ,try
819,მილით,tube
139,"თავის მხრივ,",turn
695,ოცი,twenty
173,ორ,two
729,ტიპი,type
125,ფარგლებში,under
401,ერთეული,unit
294,სანამ,until
154,გოლი,up
90,ჩვენთვის,us
155,გამოყენება,use
304,ჩვეულებრივი,usual
946,ხეობაში,valley
743,არც,value
522,იცვლება,vary
468,ზმნის,verb
127,ძალიან,very
749,კალენდარი,view
703,სოფელ,village
583,შესვლა,visit
500,ხმა,voice
479,ხმოვანთა,vowel
413,დაველოდოთ,wait
282,ფეხით,walk
564,კედლის,wall
54,მინდა,want
481,ომი,war
439,თბილი,warm
6,იყო,was
807,სარეცხი,wash
269,დაათვალიერეს,watch
190,წყლის,water
538,ტალღა,wave
157,გზა,way
35,ჩვენ,we
637,აცვიათ,wear
589,ამინდი,weather
431,კვირის,week
525,წონა,weight
56,კარგად,well
82,წავიდა,went
39,იყო,were
463,დასავლეთ,west
22,რა,what
356,წინა,wheel
153,როდესაც,when
110,სადაც,where
710,არა,whether
40,რომელიც,which
243,ხოლო,while
278,თეთრი,white
194,ვინც,who
348,მთელი,whole
776,რომლის,whose
78,რატომ,why
548,ფართო,wide
964,ცოლი,wife
574,ველური,wild
45,იქნება,will
937,გაიმარჯვებს,win
330,ქარი,wind
555,ფანჯარა,window
804,ფრთა,wing
571,ზამთრის,winter
633,მავთულის,wire
567,სურვილი,wish
10,ერთად,with
799,ქალი,woman
906,ქალები,women
378,გასაკვირი არ არის,wonder
752,არ,won’t
272,ხის,wood
20,სიტყვა,word
103,მუშაობა,work
95,მსოფლიო,world
163,რომ,would
162,დაწერა,write
573,წერილობითი,written
989,არასწორი,wrong
614,წერდა,wrote
622,ეზოში,yard
117,წელი,year
839,ყვითელი,yellow
394,დიახ,yes
537,ამჟამად,yet
26,თქვენ,you
305,ახალგაზრდა,young
156,თქვენი,your
