number,sesotho,english
363,tebileng,deep
879,tekanyo e,degree
816,itšetleha,depend
718,hlalosa,describe
845,lehoatateng,desert
685,moralo,design
973,hore na,determine
437,ntshetsa pele,develop
669,szótár,dictionary
181,ile a etsa,did
609,shoa,die
138,fapana,differ
763,ho le thata,difficult
319,ho toba,direct
921,buisana,discuss
395,hole-hole,distant
532,arola,divide
855,karohano,division
41,etsa,do
764,ngaka,doctor
51,etsang,does
317,ntja,dog
921,ya dollar,dollar
424,etsoe,done
242,se ke oa,don’t
324,ntlo,door
948,habeli,double
196,fatše,down
238,atamela,draw
938,lora,dream
677,moaparo,dress
885,seno,drink
426,ka koloi,drive
539,tlohele,drop
377,omileng,dry
876,letata,duck
456,ka nako ya,during
49,mong le e mong,each
651,tsebe,ear
461,pele,early
99,lefatšeng,earth
284,kokobetsa,ease
397,ka bochabela,east
255,ja,eat
581,bohale,edge
789,e le hantle,effect
506,lehe,egg
702,tse robeli,eight
721,e ka ba,either
790,motlakase,electric
770,elements,element
652,e mong,else
60,qeta,end
883,sera,enemy
501,matla a,energy
545,enjene,engine
301,ho lekane,enough
834,kena,enter
639,lekana,equal
386,equate,equate
915,haholo-holo,especially
69,esita le,even
939,mantsiboea,evening
958,ketsahalo,event
308,leha e le neng,ever
120,mong le e mong,every
607,tobileng,exact
283,mohlala,example
613,ntle le,except
747,excite,excite
563,ho ikoetlisa,exercise
791,lebella,expect
925,boiphihlelo,experience
688,teko,experiment
222,leihlo la,eye
271,sefahleho,face
449,ha e le hantle,fact
645,hlokang leeme,fair
407,a oa,fall
318,lelapa la,family
820,tummeng,famous
236,fihla,far
230,polasing,farm
467,ka tieo,fast
863,mafura a,fat
100,ntate,father
858,mohau,favor
823,tšaba,fear
941,fepa ka,feed
312,ikutloa,feel
298,maoto a,feet
642,oela,fell
534,o ile a ikutloa,felt
249,tse seng kae,few
419,tšimo,field
916,feie,fig
744,ntoa,fight
415,palo,figure
396,tlatsa,fill
432,ho qetela,final
200,fumana,find
404,ntle,fine
741,monoana,finger
593,fihlela qetellong,finish
339,mollo,fire
193,pele,first
260,litlhapi,fish
643,lumellane,fit
458,tse hlano,five
694,bataletseng,flat
720,fatse,floor
644,phalla,flow
596,lipalesa,flower
406,fofa,fly
76,latela,follow
216,lijo,food
366,maoto a,foot
7,bakeng sa,for
358,matla a,force
552,moru,forest
130,foromo,form
922,pele,forward
207,ile a fumana,found
218,tse ’ne,four
551,karoloana,fraction
440,mahala,free
836,a hloekileng,fresh
257,motsoalle,friend
17,ho tloha,from
429,pel’a,front
755,litholoana,fruit
357,feletseng,full
586,monate,fun
384,tai game,game
638,serapeng,garden
588,khase,gas
980,bokella,gather
433,o ile a fa,gave
526,kakaretso,general
798,bonolo,gentle
106,fumana,get
303,ngoanana,girl
123,fa,give
864,thabela,glad
577,khalase,glass
179,ee,go
373,khauta,gold
599,gone gone gone,gone
121,molemo,good
281,a,got
496,laolang,govern
535,kholo,grand
578,joang bo,grass
990,ea bohlooho,gray
132,e khōlō,great
434,tala,green
629,hōla,grew
464,fatše,ground
286,sehlopha,group
210,hōle,grow
801,hakanya,guess
924,tataisa,guide
840,sethunya,gun
28,ne,had
717,moriri,hair
336,halofo,half
64,letsoho la,hand
332,etsahala,happen
594,thaba,happy
231,ka thata,hard
174,o na le,has
953,hats,hat
15,ba le,have
5,o ile a,he
201,hlooho,head
265,utloa,hear
451,utloa,heard
540,pelo,heart
390,mocheso,heat
543,boima,heavy
716,aa mo go one,held
135,thusa,help
167,hae,her
71,mona,here
74,phahameng,high
724,leralleng,hill
172,mo,him
3,hae,his
788,histori,history
771,otla,hit
462,tšoara,hold
699,lesoba,hole
62,lapeng,home
595,le tšepo ea,hope
266,pere,horse
19,chesang,hot
387,chesang,hot
453,hora,hour
87,ntlo,house
46,joang,how
918,khōlō,huge
787,batho,human
457,le makholo a,hundred
502,tsoma,hunt
828,potlaka,hurry
2,ke,i
527,leqhoa le,ice
259,maikutlo a,idea
44,haeba,if
794,nahana,imagine
34,a,in
351,ka intshi,inch
531,kenyeletsa,include
783,bontša,indicate
742,lefapha,industry
780,likokoanyana,insect
877,hang-hang,instant
575,seletsa,instrument
465,thahasello,interest
970,qapa,invent
691,tsepe,iron
24,ke,is
365,sehlekehlekeng,island
25,e,it
580,mosebetsi,job
617,ba setho,join
570,thabo,joy
700,qhomela,jump
129,feela,just
221,’ne,keep
576,a ’na a,kept
690,moodle,key
657,bolaea,kill
84,mofuta ofe,kind
349,morena,king
344,ne a tseba,knew
189,tseba,know
621,lady gaga,lady
659,letšeng,lake
70,naheng,land
399,puo tn lefatshe,language
66,khōlō,large
224,ho qetela,last
240,morao,late
379,tseha,laugh
730,molao,law
482,larileng ka,lay
408,lebisa,lead
213,ithuta,learn
610,bonyane,least
321,tlohela,leave
929,led,led
239,tloha,left
562,leoto,leg
516,bolelele,length
474,nyane,less
225,a ke,let
293,lengolo le,letter
978,boemong ba,level
745,leshano,lie
248,bophelo,life
848,phahamisa,lift
83,leseli,light
164,joaloka,like
137,line line,line
894,metsi,liquid
310,lethathamo,list
470,mamela,listen
113,nyenyane,little
109,phela,live
777,fumana,locate
895,kena,log
561,ka bomong ba chesehang,lone
168,nako e telele,long
175,sheba,look
635,lahleheloa,lost
687,ngata,lot
662,le phahameng,loud
487,rata,love
136,tlaase,low
411,mochine,machine
108,ile a etsa,made
909,makenete,magnet
273,ka sehloohong,main
835,kgolo,major
169,etsa,make
116,motho,man
159,ba bangata ba,many
493,mapa,map
291,letšoao,mark
878,marakeng,market
932,boima,mass
851,mong’a,master
913,a bapisoa,match
550,lintho tse bonahalang,material
528,taba,matter
195,ka,may
122,’na,me
142,bolela,mean
896,ho ne ho bolela,meant
323,lekanya,measure
817,nama,meat
704,kopana le,meet
601,lipina tsa thoriso,melody
80,banna ba,men
709,tšepe,metal
672,mokgwa wa,method
656,bohareng,middle
233,ka ’na,might
295,mile rap battle,mile
670,lebese,milk
591,limilione tse,million
444,kelello,mind
832,ka,mine
441,motsotso,minute
388,miss,miss
631,kopanya,mix
769,mehleng ea kajeno,modern
987,molek’hule,molecule
660,motsotso,moment
489,chelete,money
590,moodle moodle,month
364,khoeli,moon
176,hape,more
475,hoseng,morning
185,ka ho fetisisa,most
94,’me,mother
892,tshisinyo,motion
566,thabeng,mount
261,thabeng,mountain
606,molomo oa,mouth
144,falla,move
141,haholo,much
352,atisa,multiply
288,mino,music
72,lokela ho,must
187,ka,my
126,lebitso la mokgatlo,name
668,sechaba,nation
748,tlhaho,natural
889,tlhaho,nature
96,kgauswi le,near
802,hlokahala,necessary
900,molaleng,neck
86,lokela,need
806,moahelani oa,neighbor
223,mohla,never
102,ncha,new
277,e ’ngoe,next
246,bosiu,night
975,tse robong,nine
184,ha ho,no
977,lerata,noise
767,motsehare o moholo,noon
947,kapa,nor
250,ka leboea,north
996,nko,nose
412,hlokomela,note
353,ha ho letho le,nothing
499,tsebiso,notice
418,lereho,noun
199,hona joale,now
182,nomoro ya,number
328,ho sebediswa makgetlo a,numeral
360,ntho,object
664,boloka,observe
886,etsahala,occur
438,leoatle,ocean
30,ea,of
85,theoha,off
873,fana ka,offer
603,ofisi,office
292,hangata,often
435,la oh oh oh,oh
626,oli,oil
147,li,old
8,ka,on
263,hang,once
14,e mong,one
114,feela,only
274,bulehileng,open
760,sebetsa,operate
963,fapaneng,opposite
27,kapa,or
338,e le hore,order
673,le lekala,organ
865,pele,original
38,tse ling tse,other
124,rōna,our
37,tsoa,out
188,ka,over
203,le,own
901,oksijene,oxygen
204,leqepheng la,page
398,pente,paint
530,para,pair
285,pampiri,paper
713,ya ka temana ya,paragraph
853,motsoali,parent
104,karolo,part
959,itseng,particular
774,mokga,party
345,feta,pass
584,nakong e fetileng,past
893,tsela,path
484,mohlala,pattern
674,lefa,pay
186,batho ba,people
510,mohlomong u ka,perhaps
782,nako,period
488,motho,person
734,poleloana e reng,phrase
511,a nke,pick
88,setšoantšo,picture
342,sengoathoana,piece
930,sekontiri se metsi,pitch
107,habité,place
302,thota,plain
414,moralo,plan
375,sefofane,plane
827,polanete,planet
214,dimela,plant
58,bapala,play
765,ka kopo,please
997,ka bongateng,plural
813,thothokiso,poem
93,ntlha,point
686,mafutsana,poor
880,tlatse,populate
65,koung,port
320,eachother,pose
546,boemo ba,position
374,ho khoneha,possible
860,poso,post
423,boima ba,pound
402,matla a,power
761,tshebetso,practice
994,lokisetsa,prepare
542,hona joale,present
244,tobetsa,press
904,le ntle,pretty
842,условия:,print
503,probable,probable
341,bothata,problem
759,tshebetso,process
448,lihlahisoa,produce
325,sehlahiswa,product
871,loketseng,proper
985,thepa,property
766,sireletsa,protect
560,ba,prove
795,fana ka,provide
497,hula,pull
711,sututsa,push
61,beha,put
974,quart,quart
331,potso,question
436,ka potlako,quick
680,khutsitseng,quiet
653,haholo,quite
897,quotient,quotient
554,morabe,race
784,-le-moea,radio
793,seporo,rail
494,pula,rain
707,phahamisa,raise
382,a matha,ran
890,fapaneng,range
809,ho e-na,rather
466,fihla,reach
63,bala,read
306,itokiselitse,ready
247,sebele,real
515,lebaka la,reason
604,fumana,receive
370,rekoto,record
309,khubelu,red
520,sebakeng,region
459,hopola,remember
991,a pheta-pheta,repeat
884,araba ka,reply
517,emela,represent
992,hloka,require
420,ba bang kaofela,rest
722,lebaka leo,result
756,ruileng,rich
507,palama,ride
145,tokelo ya,right
778,lesale,ring
623,tsoha,rise
296,nōka,river
492,tsela,road
337,lefika,rock
739,moqolo,roll
256,kamoreng,room
705,motso,root
935,thapo,rope
840,a ema,rose
115,pota,round
605,mola,row
818,tsoaetsa,rub
495,busa,rule
241,li matha,run
725,bolokehileng,safe
47,a re,said
549,tsamaea ka sekepe,sail
995,letsoai,salt
149,tšoanang,same
737,lehlabathe,sand
572,a lula,sat
648,pholosa,save
235,o ile a bona,saw
134,re,say
661,tekanyo,scale
209,sekolong,school
254,saense,science
926,laduma,score
237,leoatle,sea
837,batla,search
907,nako,season
949,setulo,seat
300,bobeli,second
676,karolo,section
171,bona,see
615,peo ea,seed
275,bonahala eka,seem
874,karolo,segment
988,khetha,select
98,ho intša,self
954,rekisa,sell
838,romela,send
750,kutloisiso,sense
640,o ile a romela,sent
131,polelo,sentence
762,thoko,separate
490,sebeletsa,serve
52,sete,set
523,rarolla,settle
712,supa,seven
478,tse ’maloa,several
715,tla,shall
385,sebōpeho,shape
866,kabelo,share
803,bohale,sharp
150,o ile a,she
856,lakane,sheet
899,shell a,shell
984,le khanye ka,shine
334,sekepe,ship
965,boots,shoe
981,lebenkele,shop
854,lebopong la leoatle,shore
327,khutšoanyane,short
205,lokela,should
966,ka mahetla,shoulder
612,mohoo,shout
119,bontša,show
197,lehlakoreng,side
284,mahlong a,sight
582,pontšo,sign
735,ka pelong,silent
910,silevera,silver
923,tšoanang,similar
477,bonolo,simple
346,ho tloha ka,since
469,bina,sing
692,nang molekane,single
919,morali’abo rona,sister
553,lula,sit
471,tse tseletseng,six
521,boholo,size
905,bokgoni,skill
696,letlalo,skin
568,leholimo,sky
875,lekhoba,slave
559,robala,sleep
936,setlankana,slip
485,ea liehang,slow
59,nyenyane,small
945,monko,smell
697,smile smile smile,smile
391,lehloa,snow
165,e le,so
585,bonolo,soft
738,mobu,soil
758,lesole,soldier
908,tharollo,solution
708,rarolla,solve
23,ba bang ba,some
658,mora oa,son
322,pina,song
315,hang,soon
183,utloahala e,sound
340,ka boroa,south
450,sebaka,space
524,bua,speak
443,khethehileng,special
888,puo,speech
671,lebelo,speed
67,peleta,spell
861,qeta,spend
785,o ile a bua,spoke
844,letheba,spot
967,ata,spread
663,selemo,spring
514,lisekoere,square
202,ema,stand
416,naleli,star
232,qala,start
220,mmuso,state
867,seteisheneng,station
355,lula,stay
376,sebakeng,stead
891,mouoane,steam
920,tšepe,steel
460,mohato,step
693,thupa,stick
212,e sa ntse e,still
681,lejoe,stone
427,ema,stood
262,ema,stop
556,boloka,store
234,pale,story
666,setereiti,straight
598,e makatsang,strange
822,molapo,stream
350,seterateng,street
982,otlolla,stretch
814,khoele,string
442,matla,strong
772,seithuti,student
211,ithuta,study
519,taba,subject
857,ntho,substance
957,subtract,subtract
955,katleho,success
75,joalo,such
512,ka tsohanyetso,sudden
914,suffix,suffix
902,tsoekere,sugar
618,fana ka maikutlo a,suggest
846,sutu,suit
557,lehlabula,summer
217,letsatsi,sun
775,phepelo,supply
887,tshehetso,support
268,bonnete ba hore,sure
362,holim’a,surface
679,makala ha,surprise
961,sesa,swim
533,senoko sa lentsoe se,syllable
608,letšoao,symbol
367,tsamaiso,system
472,tafoleng,table
447,mohatla,tail
105,nka,take
313,puo,talk
736,e ba telele,tall
430,ruta,teach
632,sehlopha,team
898,meno a,teeth
50,bolella,tell
740,mocheso,temperature
476,tse leshome,ten
962,nako,term
369,teko,test
191,ho feta,than
911,leboha,thank
4,hore,that
29,ea,the
42,ba bona ba,their
161,ba,them
160,ka nako eo,then
152,mono,there
166,tsena,these
11,ba,they
757,teteaneng,thick
825,tšesaane,thin
170,ntho e,thing
133,nahana,think
714,boraro,third
16,ena,this
289,ba,those
311,leha ho le joalo,though
226,nahana,thought
380,tse likete tse,thousand
53,tse tharo,three
128,ka ho,through
983,lahlela,throw
797,ka tsela eo,thus
833,thae,tie
43,nako,time
682,nyenyane,tiny
392,khathala,tire
31,ho,to
276,hammoho,together
343,ile a re ho,told
616,modumo,tone
148,le eena o,too
253,o ile a nka,took
942,sesebelisoa,tool
347,holimo,top
943,kakaretso,total
628,ama,touch
480,ho,toward
403,motse,town
852,pina,track
600,khoebo,trade
558,terene e,train
473,maeto,travel
228,sefate,tree
826,kgutlotharo,triangle
602,leeto,trip
611,khathatso,trouble
976,teraka e,truck
455,’nete,true
89,leka,try
819,"tube,",tube
139,lehlakoreng le,turn
695,mashome a mabeli,twenty
173,tse peli tse,two
729,mofuta wa sebaka,type
125,tlas’a,under
401,yuniti eno ya thuto,unit
294,ho fihlela,until
154,ka,up
90,re,us
155,sebelisa,use
304,tloaelehileng,usual
946,phuleng,valley
743,bohlokoa,value
522,fapana,vary
468,leetsi,verb
127,haholo,very
749,maikutlo a,view
703,motseng,village
583,etela,visit
500,lentsoe la,voice
479,selumi sa senyesemane,vowel
413,ema ho,wait
282,tsamaea,walk
564,lerako,wall
54,batla,want
481,ntoa,war
439,mofuthu,warm
6,e ne e,was
807,hlatsoa,wash
269,shebella,watch
190,metsi a,water
538,tsokoang ka,wave
157,tsela,way
35,re,we
637,apara,wear
589,meteo,weather
431,beke le beke,week
525,boima,weight
56,hantle,well
82,a tsoela,went
39,ba ne ba,were
463,ka bophirimela,west
22,eng,what
356,pale,wheel
153,neng,when
110,moo,where
710,hore na,whether
40,e leng,which
243,ha a ntse a,while
278,tšoeu,white
194,ba ba neng ba,who
348,eohle,whole
776,eo,whose
78,ke hobane’ng ha,why
548,ka bophara,wide
964,mosali oa,wife
574,hlaha,wild
45,tla,will
937,trong win,win
330,moea,wind
555,fensetere,window
804,lepheo,wing
571,mariha,winter
633,terata,wire
567,lakatsa,wish
10,le,with
799,mosali,woman
906,basali ba,women
378,ipotsa,wonder
752,ke ke,won’t
272,lehong,wood
20,lentsoe la,word
103,mosebetsi oa,work
95,lefatše,world
163,ne,would
162,ngola,write
573,e ngotsweng,written
989,fosahetseng,wrong
614,o ile a ngola,wrote
622,jareteng,yard
117,selemo,year
839,mosehla,yellow
394,e,yes
537,leha ho le joalo,yet
26,u,you
305,bacha,young
156,hao,your
