number,bulgarian,english
410,тъмно,dark
177,дни,day
843,мъртъв,dead
960,сделка,deal
882,уважаеми,dear
903,смърт,death
361,реши,decide
650,десетични,decimal
363,дълбоко,deep
879,степен,degree
816,зависи,depend
718,опише,describe
845,пустиня,desert
685,дизайн,design
973,определи,determine
437,разработят,develop
669,речник,dictionary
181,направих,did
609,умре,die
138,различава,differ
763,трудно,difficult
319,директен,direct
921,обсъдят,discuss
395,далечен,distant
532,разделяй,divide
855,разделение,division
41,правя,do
764,лекар,doctor
51,прави,does
317,куче,dog
921,долар,dollar
424,готово,done
242,не,don’t
324,врата,door
948,двойно,double
196,надолу,down
238,изготвя,draw
938,мечтая,dream
677,рокля,dress
885,питие,drink
426,диск,drive
539,пуснете,drop
377,сухо,dry
876,патица,duck
456,по време на,during
49,всеки,each
651,ухото,ear
461,началото,early
99,земята,earth
284,облекчи,ease
397,изток,east
255,яде,eat
581,ръб,edge
789,ефект,effect
506,яйце,egg
702,осем,eight
721,или,either
790,електрически,electric
770,елемент,element
652,другаде,else
60,край,end
883,враг,enemy
501,енергия,energy
545,двигател,engine
301,достатъчно,enough
834,въведете,enter
639,равен,equal
386,приравняват,equate
915,особено,especially
69,още,even
939,вечер,evening
958,събитие,event
308,някога,ever
120,всеки,every
607,точната,exact
283,например,example
613,с изключение на,except
747,възбуди,excite
563,упражнение,exercise
791,очаквайте,expect
925,опит,experience
688,експеримент,experiment
222,око,eye
271,лицето,face
449,всъщност,fact
645,справедлив,fair
407,падне,fall
318,семейство,family
820,известният,famous
236,доколкото,far
230,ферма,farm
467,бързо,fast
863,мазнини,fat
100,баща,father
858,благоприятства,favor
823,страх,fear
941,фуражи,feed
312,почувствате,feel
298,фута,feet
642,падна,fell
534,чувствах,felt
249,малцина,few
419,поле,field
916,фиг,fig
744,борба,fight
415,фигура,figure
396,попълнете,fill
432,окончателния,final
200,намерите,find
404,глоба,fine
741,пръста,finger
593,завършеност,finish
339,пожар,fire
193,първи,first
260,риба,fish
643,поберат,fit
458,пет,five
694,плосък,flat
720,етаж,floor
644,дебит,flow
596,цвете,flower
406,лети,fly
76,следвайте,follow
216,храна,food
366,крак,foot
7,за,for
358,сила,force
552,гора,forest
130,форма,form
922,напред,forward
207,намерени,found
218,четири,four
551,фракция,fraction
440,безплатно,free
836,пресен,fresh
257,приятел,friend
17,от,from
429,пред,front
755,плодове,fruit
357,пълен,full
586,забавно,fun
384,игра,game
638,градина,garden
588,газ,gas
980,събират,gather
433,даде,gave
526,общо,general
798,нежен,gentle
106,получите,get
303,момиче,girl
123,даде,give
864,радвам,glad
577,стъкло,glass
179,отидете,go
373,злато,gold
599,изчезнал,gone
121,добър,good
281,имам,got
496,управлява,govern
535,бона,grand
578,трева,grass
990,сив,gray
132,голям,great
434,зелено,green
629,израснал,grew
464,земята,ground
286,група,group
210,растат,grow
801,"предполагам, че",guess
924,ръководят,guide
840,пистолет,gun
28,имаше,had
717,коса,hair
336,половината,half
64,ръка,hand
332,се случи,happen
594,щастлив,happy
231,трудно,hard
174,има,has
953,шапка,hat
15,имат,have
5,той,he
201,главата,head
265,слушайте,hear
451,чух,heard
540,сърце,heart
390,топлина,heat
543,тежък,heavy
716,задържано,held
135,помогне,help
167,си,her
71,тук,here
74,високо,high
724,хълм,hill
172,го,him
3,си,his
788,история,history
771,хит,hit
462,държа,hold
699,дупка,hole
62,начало,home
595,"надявам се,",hope
266,кон,horse
19,горещ,hot
387,горещ,hot
453,часа,hour
87,къща,house
46,как,how
918,огромен,huge
787,човешкото,human
457,сто,hundred
502,лов,hunt
828,побързайте,hurry
2,i,i
527,лед,ice
259,идея,idea
44,ако,if
794,представете си,imagine
34,в,in
351,инч,inch
531,включва,include
783,посочете,indicate
742,промишленост,industry
780,насекоми,insect
877,миг,instant
575,инструмент,instrument
465,интерес,interest
970,измислят,invent
691,желязо,iron
24,е,is
365,остров,island
25,тя,it
580,работа,job
617,присъединят,join
570,радост,joy
700,скочи,jump
129,просто,just
221,запази,keep
576,съхраняват,kept
690,ключ,key
657,убие,kill
84,вид,kind
349,цар,king
344,знаех,knew
189,знаете,know
621,дама,lady
659,езеро,lake
70,земя,land
399,език,language
66,голям,large
224,последно,last
240,късно,late
379,смях,laugh
730,закон,law
482,лежеше,lay
408,доведе,lead
213,научат,learn
610,-малко,least
321,напусне,leave
929,водена,led
239,наляво,left
562,крак,leg
516,дължина,length
474,по-малко,less
225,нека,let
293,писмо,letter
978,ниво,level
745,лъжа,lie
248,живот,life
848,повдигане,lift
83,светлина,light
164,като,like
137,онлайн,line
894,течност,liquid
310,списък,list
470,слушате,listen
113,малко,little
109,живея,live
777,намерете,locate
895,влезете,log
561,самотен,lone
168,дълго,long
175,потърсите,look
635,загубени,lost
687,много,lot
662,силен,loud
487,обичам,love
136,ниска,low
411,машина,machine
108,направи,made
909,магнит,magnet
273,основната,main
835,основен,major
169,направи,make
116,мъж,man
159,много,many
493,карта,map
291,марка,mark
878,пазар,market
932,маса,mass
851,майстор,master
913,мач,match
550,материали,material
528,материя,matter
195,може,may
122,мен,me
142,означава,mean
896,означаваше,meant
323,измерва,measure
817,месо,meat
704,запознайте,meet
601,мелодия,melody
80,мъже,men
709,метал,metal
672,метод,method
656,средна,middle
233,мощ,might
295,мили,mile
670,мляко,milk
591,милиона,million
444,ума,mind
832,мина,mine
441,минути,minute
388,мис,miss
631,смесвам,mix
769,модерна,modern
987,молекула,molecule
660,момент,moment
489,пари,money
590,месеца,month
364,луна,moon
176,още,more
475,сутрин,morning
185,най-,most
94,майка,mother
892,предложение,motion
566,монтиране,mount
261,планина,mountain
606,устата,mouth
144,ход,move
141,много,much
352,размножават,multiply
288,музика,music
72,трябва,must
187,ми,my
126,име,name
668,нация,nation
748,естествено,natural
889,природата,nature
96,в близост,near
802,необходимо,necessary
900,шията,neck
86,трябва,need
806,съсед,neighbor
223,никога не,never
102,нова,new
277,следващата,next
246,нощ,night
975,девет,nine
184,не,no
977,шум,noise
767,обяд,noon
947,нито,nor
250,на север,north
996,носа,nose
412,бележка,note
353,нищо,nothing
499,предизвестие,notice
418,съществително,noun
199,сега,now
182,брой,number
328,цифра,numeral
360,обект,object
664,спазвайте,observe
886,възникне,occur
438,океана,ocean
30,от,of
85,разстояние,off
873,оферта,offer
603,офис,office
292,често,often
435,о,oh
626,масло,oil
147,стар,old
8,на,on
263,веднъж,once
14,един,one
114,само,only
274,отворен,open
760,работи,operate
963,противоположна,opposite
27,или,or
338,за,order
673,органна,organ
865,първоначалното,original
38,други,other
124,ни,our
37,от,out
188,над,over
203,собствена,own
901,кислород,oxygen
204,страница,page
398,боя,paint
530,двойка,pair
285,хартия,paper
713,параграф,paragraph
853,родител,parent
104,част,part
959,специално,particular
774,парти,party
345,мине,pass
584,минало,past
893,път,path
484,модел,pattern
674,заплати,pay
186,хора,people
510,може би,perhaps
782,период,period
488,човек,person
734,фрази,phrase
511,вземете,pick
88,снимка,picture
342,парче,piece
930,стъпка,pitch
107,място,place
302,обикновен,plain
414,план,plan
375,самолет,plane
827,планета,planet
214,растителна,plant
58,играе,play
765,моля,please
997,множествено число,plural
813,стихотворение,poem
93,точка,point
686,лошо,poor
880,пренесат,populate
65,порт,port
320,представляват,pose
546,позиция,position
374,възможно,possible
860,мнение,post
423,лира,pound
402,мощност,power
761,практика,practice
994,подготви,prepare
542,настоящото,present
244,натиснете,press
904,доста,pretty
842,печат,print
503,вероятен,probable
341,проблем,problem
759,процес,process
448,производство,produce
325,продукт,product
871,правилното,proper
985,имот,property
766,защитавам,protect
560,докаже,prove
795,предоставят,provide
497,дръпнете,pull
711,тласък,push
61,постави,put
974,кварта,quart
331,въпрос,question
436,бърз,quick
680,тих,quiet
653,съвсем,quite
897,коефициент,quotient
554,раса,race
784,радио,radio
793,железопътния,rail
494,дъжд,rain
707,повишаване на,raise
382,завтече,ran
890,диапазон,range
809,по-скоро,rather
466,достигне,reach
63,прочети,read
306,готова,ready
247,недвижими,real
515,причина,reason
604,получавате,receive
370,рекорд,record
309,червено,red
520,област,region
459,спомням си,remember
991,повторете,repeat
884,отговаряте,reply
517,представляват,represent
992,изисква,require
420,почивка,rest
722,резултат,result
756,богат,rich
507,езда,ride
145,полето,right
778,пръстен,ring
623,покачва,rise
296,река,river
492,път,road
337,рок,rock
739,ролка,roll
256,стая,room
705,корен,root
935,въже,rope
840,роза,rose
115,кръг,round
605,ред,row
818,rub,rub
495,правило,rule
241,run,run
725,безопасно,safe
47,каза,said
549,платно,sail
995,сол,salt
149,същата,same
737,пясък,sand
572,сб,sat
648,запишете,save
235,трион,saw
134,каже,say
661,мащаб,scale
209,училище,school
254,науката,science
926,резултат,score
237,море,sea
837,търсене,search
907,сезон,season
949,седалка,seat
300,втора,second
676,раздел,section
171,виждам,see
615,семена,seed
275,изглежда,seem
874,сегмент,segment
988,изберете,select
98,самостоятелно,self
954,продават,sell
838,изпрати,send
750,смисъл,sense
640,изпрати,sent
131,изречение,sentence
762,отделно,separate
490,послужи,serve
52,комплект,set
523,уредят,settle
712,седем,seven
478,няколко,several
715,трябва,shall
385,форма,shape
866,акции,share
803,рязък,sharp
150,тя,she
856,лист,sheet
899,черупка,shell
984,блясък,shine
334,кораб,ship
965,обувки,shoe
981,магазин,shop
854,брега,shore
327,кратко,short
205,трябва,should
966,рамото,shoulder
612,вик,shout
119,покажи,show
197,страна,side
284,зрението,sight
582,знак,sign
735,мълчалив,silent
910,сребро,silver
923,подобна,similar
477,прост,simple
346,тъй като,since
469,пея,sing
692,единичен,single
919,сестра,sister
553,седя,sit
471,шест,six
521,размер,size
905,умения,skill
696,кожата,skin
568,небе,sky
875,роб,slave
559,сън,sleep
936,приплъзване,slip
485,бавен,slow
59,малък,small
945,миризма,smell
697,усмивка,smile
391,сняг,snow
165,така,so
585,мека,soft
738,почвата,soil
758,войник,soldier
908,разтвор,solution
708,решаване,solve
23,някои,some
658,син,son
322,песен,song
315,скоро,soon
183,звучи,sound
340,на юг,south
450,пространство,space
524,говори,speak
443,специален,special
888,реч,speech
671,скорост,speed
67,правописа,spell
861,прекарат,spend
785,говорих,spoke
844,място,spot
967,разпространение,spread
663,пролетта,spring
514,квадрат,square
202,стоя,stand
416,звезда,star
232,начало,start
220,състояние,state
867,станция,station
355,престой,stay
376,вместо,stead
891,пара,steam
920,стомана,steel
460,стъпка,step
693,стик,stick
212,още,still
681,камък,stone
427,стоеше,stood
262,спрете,stop
556,магазин,store
234,история,story
666,направо,straight
598,странен,strange
822,поток,stream
350,улица,street
982,участък,stretch
814,низ,string
442,силен,strong
772,студент,student
211,проучване,study
519,заглавие,subject
857,вещество,substance
957,изважда,subtract
955,успех,success
75,като,such
512,внезапна,sudden
914,наставка,suffix
902,захар,sugar
618,предлагам,suggest
846,костюм,suit
557,лято,summer
217,слънце,sun
775,доставка,supply
887,подкрепа,support
268,сигурен,sure
362,повърхност,surface
679,изненада,surprise
961,плуване,swim
533,сричка,syllable
608,символ,symbol
367,система,system
472,маса,table
447,опашка,tail
105,предприеме,take
313,приказки,talk
736,висок,tall
430,преподават,teach
632,екип,team
898,зъби,teeth
50,кажете,tell
740,температура,temperature
476,десет,ten
962,терминът,term
369,тест,test
191,от,than
911,благодаря,thank
4,че,that
29,на,the
42,си,their
161,тях,them
160,след това,then
152,там,there
166,тези,these
11,те,they
757,дебела,thick
825,тънък,thin
170,нещо,thing
133,мисля,think
714,трети,third
16,тази,this
289,тези,those
311,макар,though
226,мислех,thought
380,хиляди,thousand
53,три,three
128,чрез,through
983,хвърлят,throw
797,по този начин,thus
833,вратовръзка,tie
43,време,time
682,мъничък,tiny
392,гума,tire
31,да,to
276,заедно,together
343,каза,told
616,тон,tone
148,твърде,too
253,взе,took
942,инструмент,tool
347,отгоре,top
943,общият брой на,total
628,докосвайте,touch
480,към,toward
403,град,town
852,песен,track
600,търговия,trade
558,влак,train
473,пътуване,travel
228,дърво,tree
826,триъгълник,triangle
602,пътуване,trip
611,беда,trouble
976,камион,truck
455,вярно,true
89,опитайте,try
819,тръба,tube
139,ред,turn
695,двадесет,twenty
173,две,two
729,тип,type
125,под,under
401,единица,unit
294,докато,until
154,нагоре,up
90,нас,us
155,употреба,use
304,обичайната,usual
946,долина,valley
743,стойност,value
522,варира,vary
468,глагол,verb
127,много,very
749,предвид,view
703,село,village
583,посещение,visit
500,глас,voice
479,гласна,vowel
413,изчакайте,wait
282,ходи,walk
564,стена,wall
54,искам,want
481,война,war
439,топло,warm
6,е,was
807,измиване,wash
269,гледате,watch
190,вода,water
538,вълна,wave
157,начин,way
35,ние,we
637,износване,wear
589,прогноза за времето,weather
431,седмица,week
525,тегло,weight
56,добре,well
82,отидох,went
39,бяха,were
463,west,west
22,какво,what
356,колело,wheel
153,когато,when
110,където,where
710,дали,whether
40,които,which
243,докато,while
278,бяло,white
194,които,who
348,цялата,whole
776,чиято,whose
78,защо,why
548,широк,wide
964,жена,wife
574,див,wild
45,ще,will
937,победа,win
330,вятър,wind
555,прозорец,window
804,крило,wing
571,зимата,winter
633,тел,wire
567,иска,wish
10,с,with
799,жена,woman
906,жените,women
378,чудя,wonder
752,не ще,won’t
272,дърво,wood
20,дума,word
103,работа,work
95,свят,world
163,би,would
162,напиши,write
573,писмен,written
989,грешна,wrong
614,пише,wrote
622,двор,yard
117,година,year
839,жълт,yellow
394,да,yes
537,още,yet
26,ви,you
305,млад,young
156,си,your
