number,zulu,english
847,yamanje,current
267,ukusika,cut
868,ubaba,dad
544,dance,dance
754,ingozi,danger
410,amnyama,dark
177,usuku,day
843,efile,dead
960,intengo,deal
882,othandekayo,dear
903,ukufa,death
361,unqume,decide
650,zamadesimali,decimal
363,ezijulile,deep
879,ibanga,degree
816,bathembele,depend
718,uchaze,describe
845,hlamuka,desert
685,songoza,design
973,linqume,determine
437,ukuthuthukisa,develop
669,isichazamazwi,dictionary
181,wenza,did
609,fa,die
138,ihluke,differ
763,nzima,difficult
319,ngqo,direct
921,uxoxe,discuss
395,ezikude,distant
532,ahlukanisa,divide
855,ukuhlukana,division
41,enza,do
764,udokotela,doctor
51,enza,does
317,inja,dog
921,izindodla zemali,dollar
424,wenziwe,done
242,ungenzi,don’t
324,umnyango,door
948,kabili,double
196,phasi,down
238,udwebe,draw
938,baphuphe,dream
677,ingubo,dress
885,isiphuzo,drink
426,qhuba,drive
539,yokwehlisela,drop
377,eyomile,dry
876,idada,duck
456,ngesikhatsi,during
49,ngamunye,each
651,indlebe,ear
461,zakuqala,early
99,emhlabeni,earth
284,ekudambiseni,ease
397,empumalanga,east
255,udle,eat
581,emaphethelweni,edge
789,umphumela,effect
506,iqanda,egg
702,eziyisishiyagalombili,eight
721,noma,either
790,electric,electric
770,isici,element
652,futhi,else
60,ukuphela,end
883,isitha,enemy
501,amandla,energy
545,injini,engine
301,ngokwanele,enough
834,faka,enter
639,alinganayo,equal
386,bathi,equate
915,ikakhulukazi,especially
69,yebo,even
939,ukuhlwa,evening
958,umcimbi,event
308,njalo,ever
120,njalo,every
607,oluqondile,exact
283,isibonelo,example
613,kuphela,except
747,ethusa,excite
563,umsebenzi,exercise
791,bheka,expect
925,isipiliyoni,experience
688,lokulinga,experiment
222,iso,eye
271,ubuso,face
449,empeleni,fact
645,ukujabulisa,fair
407,awe,fall
318,umndeni,family
820,esidumile,famous
236,le,far
230,ipulazi,farm
467,bambelela,fast
863,inoni,fat
100,ubaba,father
858,siza,favor
823,kwesaba,fear
941,funga,feed
312,bazizwa,feel
298,izinyawo,feet
642,bawa,fell
534,wazizwa,felt
249,ambalwa,few
419,ifusi,field
916,komkhiwane,fig
744,impi,fight
415,ukulinganisa,figure
396,ukugcwalisa,fill
432,sokugcina,final
200,thola,find
404,emihle,fine
741,ngomunwe,finger
593,sekugcineni,finish
339,umlilo,fire
193,okokuqala,first
260,izinhlanzi,fish
643,linganisa,fit
458,ezinhlanu,five
694,ifulathi,flat
720,phansi,floor
644,kopoza,flow
596,mbali,flower
406,ijeka manzi,fly
76,ukulandela,follow
216,ngokudla,food
366,ngezinyawo,foot
7,ngoba,for
358,isicindezelo,force
552,ihlathi,forest
130,ifomu,form
922,phambili,forward
207,wathola,found
218,ezine,four
551,ingxenyenamba,fraction
440,khulula,free
836,opholile,fresh
257,umngani,friend
17,kusuka,from
429,phambili,front
755,izithelo,fruit
357,egcwele,full
586,kumnandi,fun
384,mdlalo,game
638,yensimu,garden
588,negesi,gas
980,hlangana,gather
433,wanikela,gave
526,jikelele,general
798,mnene,gentle
106,uthole,get
303,ntombazane,girl
123,pha,give
864,ithokoze,glad
577,ingilazi,glass
179,hamba,go
373,igolide,gold
599,esehambile,gone
121,okuhle,good
281,wavuka,got
496,phatha,govern
535,omkhulu,grand
578,utshani,grass
990,ezimpunga,gray
132,okukhulu,great
434,oluhlaza,green
629,lakhula,grew
464,emhlabathini,ground
286,iqoqo,group
210,ukhule,grow
801,ukuqagela,guess
924,umholi,guide
840,isibhamu,gun
28,kwadingeka,had
717,izinwele,hair
336,isigamu,half
64,isandla,hand
332,kwenzeke,happen
594,ojabulayo,happy
231,kanzima,hard
174,ine,has
953,imbenge,hat
15,abe,have
5,yena,he
201,ikhanda,head
265,zwa,hear
451,wezwa,heard
540,inhliziyo,heart
390,ukushisa,heat
543,esindayo,heavy
716,owawuzoba,held
135,usize,help
167,wakhe,her
71,lapha,here
74,high,high
724,igquma,hill
172,naye,him
3,wakhe,his
788,umlando,history
771,shaya,hit
462,ubambe,hold
699,emgodini,hole
62,ikhaya,home
595,ngethemba,hope
266,ihhashi,horse
19,esishisayo,hot
387,ashisayo,hot
453,ngehora,hour
87,indlu,house
46,indlela,how
918,omkhulu,huge
787,womuntu,human
457,angamakhulu,hundred
502,ukuhlasela,hunt
828,shesha,hurry
2,i,i
527,iqhwa,ice
259,umqondo,idea
44,uma,if
794,imagine,imagine
34,in,in
351,ngamasentimitha,inch
531,zihlanganisa,include
783,khombisa,indicate
742,imboni,industry
780,kwezinambuzane,insect
877,osheshayo,instant
575,instrument,instrument
465,isithakazelo,interest
970,usungula,invent
691,nensimbi,iron
24,kuyinto,is
365,esiqhingini,island
25,it,it
580,umsebenzi,job
617,ukujoyina,join
570,injabulo,joy
700,eqa,jump
129,nje,just
221,qhubeka,keep
576,igcinwe,kept
690,isikhiye,key
657,babulale,kill
84,uhlobo,kind
349,inkosi,king
344,wayazi,knew
189,bazi,know
621,inenekazi,lady
659,ichweba,lake
70,izwe,land
399,lulwimi,language
66,ende,large
224,okokugcina,last
240,sekwephuzile,late
379,uhleko,laugh
730,umthetho,law
482,walala,lay
408,kuholele,lead
213,ufunde,learn
610,okungenani,least
321,ushiye,leave
929,wahola,led
239,kwesokunxele,left
562,emlenzeni,leg
516,ubude,length
474,esingaphansi,less
225,ake,let
293,incwadi,letter
978,izinga,level
745,manga,lie
248,kuphila,life
848,baphakamisa,lift
83,ukukhanya,light
164,like,like
137,line,line
894,uketshezi,liquid
310,uhlu,list
470,ulalele,listen
113,kancane,little
109,siphile,live
777,thola,locate
895,ugongolo,log
561,oyedwa waba,lone
168,eside,long
175,bhekani,look
635,walahlekelwa,lost
687,uquqaba,lot
662,elikhulu,loud
487,athande,love
136,ongaphakeme,low
411,umshini,machine
108,ezenziwe,made
909,uzibuthe,magnet
273,eziyinhloko,main
835,ezinkulu,major
169,ukwenza,make
116,man,man
159,abaningi,many
493,ibalazwe,map
291,uphawu,mark
878,indali,market
932,isonto,mass
851,induna,master
913,nomdlalo,match
550,material,material
528,udaba,matter
195,may,may
122,me,me
142,asho,mean
896,wayesho,meant
323,ukulinganisa,measure
817,inyama,meat
704,hlangana,meet
601,ihubo,melody
80,amadoda,men
709,sensimbi,metal
672,indlela,method
656,maphakathi,middle
233,izikhwepha,might
295,lwamakhilomitha,mile
670,ubisi,milk
591,isigidi,million
444,kwengqondo,mind
832,emayini,mine
441,ngeminithi,minute
388,miss,miss
631,xuba,mix
769,yesimanje,modern
987,ingqamuzana,molecule
660,mzuzu,moment
489,imali,money
590,ngenyanga,month
364,inyanga,moon
176,ngaphezulu,more
475,ekuseni,morning
185,iningi,most
94,umama,mother
892,ukunyakaza,motion
566,khweza,mount
261,ntaba,mountain
606,umlomo,mouth
144,ukuthutha,move
141,okuningi,much
352,phindaphinda,multiply
288,umculo,music
72,kumele,must
187,yami,my
126,igama,name
668,isizwe,nation
748,natural,natural
889,isidalo,nature
96,tsini,near
802,kunesidingo,necessary
900,intamo,neck
86,badinga,need
806,umakhelwane,neighbor
223,bonaze,never
102,omusha,new
277,olandelayo,next
246,ebusuku,night
975,eyisishiyagalolunye,nine
184,akukho,no
977,ngomsindo,noise
767,emini,noon
947,noma,nor
250,enyakatho,north
996,impumulo,nose
412,inothi,note
353,lutho,nothing
499,isaziso,notice
418,ibizo,noun
199,manje,now
182,inombolo,number
328,inani,numeral
360,intfo,object
664,bona,observe
886,zenzeka,occur
438,ulwandle olukhulu,ocean
30,of,of
85,off,off
873,umnikelo,offer
603,ihhovisi,office
292,ngokuvamile,often
435,awu,oh
626,uwoyela,oil
147,endala,old
8,on,on
263,kanye,once
14,eyodwa,one
114,kodwa,only
274,evulekile,open
760,sebenzisa,operate
963,obuhlukile,opposite
27,noma,or
338,oda,order
673,sitho,organ
865,sokuqala,original
38,ezinye,other
124,ethu,our
37,ukuphuma,out
188,phezu,over
203,siqu,own
901,oksijini,oxygen
204,page,page
398,ukupenda,paint
530,okubili,pair
285,ephepheni,paper
713,indzima,paragraph
853,umzali,parent
104,okuyingxenye,part
959,ethile,particular
774,inhlangano,party
345,kudlula,pass
584,esidlule,past
893,indlela,path
484,iphethini,pattern
674,ukhokhe,pay
186,abantu,people
510,mhlawumbe,perhaps
782,isikhathi,period
488,umuntu,person
734,isisho,phrase
511,vuna,pick
88,yendaba,picture
342,ucezu,piece
930,iphimbo,pitch
107,indawo,place
302,ithafa,plain
414,hlela,plan
375,indiza,plane
827,iplanethi,planet
214,plant,plant
58,udlale,play
765,sicela,please
997,ubuningi,plural
813,inkondlo,poem
93,phuzu,point
686,abampofu,poor
880,populate,populate
65,echwebeni,port
320,abalona,pose
546,isikhundla,position
374,kunokwenzeka,possible
860,post,post
423,ipondo,pound
402,amandla,power
761,umkhuba,practice
994,ukulungiselela,prepare
542,okwamanje,present
244,cindezela,press
904,muhle,pretty
842,ukubhala,print
503,kungenzeka,probable
341,inkinga,problem
759,inqubo,process
448,khiqiza,produce
325,umkhiqizo,product
871,efanele,proper
985,impahla,property
766,ukuvikela,protect
560,afakazele,prove
795,ukuhlinzeka,provide
497,donsa,pull
711,phusha,push
61,abeke,put
974,ayilitha,quart
331,umbuzo,question
436,okusheshayo,quick
680,onokuthula,quiet
653,ngempela,quite
897,sekwa,quotient
554,uhlanga,race
784,umsakazo,radio
793,ujantshi,rail
494,nemvula,rain
707,iphakamisa,raise
382,wagijimela,ran
890,uhla,range
809,kunalokho,rather
466,afinyelele,reach
63,funda,read
306,ngomumo,ready
247,kwangempela,real
515,isizathu,reason
604,thola,receive
370,amarekhodi,record
309,obomvu,red
520,isifunda,region
459,ukhumbule,remember
991,uphinda,repeat
884,phendula,reply
517,bamele,represent
992,adinga,require
420,ukuphumula,rest
722,japan,result
756,ocebile,rich
507,gibela,ride
145,kwesokudla,right
778,nkeneza,ring
623,sukuma,rise
296,emfuleni,river
492,umgwaqo,road
337,idwala,rock
739,qoqa,roll
256,igumbi,room
705,impande,root
935,ngentambo,rope
840,wasukuma,rose
115,nxazonke,round
605,irowu,row
818,deda,rub
495,ukubusa,rule
241,sigijime,run
725,ephephile,safe
47,uthe,said
549,useyili,sail
995,usawoti,salt
149,efanayo,same
737,isihlabathi,sand
572,wahlala,sat
648,ukusindisa,save
235,okwabonwa,saw
134,bathi,say
661,isikali,scale
209,esikoleni,school
254,isayensi,science
926,isikolo,score
237,ulwandle,sea
837,cinga,search
907,isizini,season
949,esihlalweni,seat
300,kwesibili,second
676,ingxenye,section
171,bheka,see
615,inzalo,seed
275,babonakala,seem
874,ingxenye,segment
988,ukhethe,select
98,wokuzilimaza,self
954,adayise,sell
838,thumela,send
750,ngomqondo,sense
640,wathumela,sent
131,uhlamvu,sentence
762,ahlukene,separate
490,ukukhonza,serve
52,setha,set
523,hlela,settle
712,eziyisikhombisa,seven
478,eziningana,several
715,kufanele,shall
385,uhlobo,shape
866,ingxenye,share
803,ebukhali,sharp
150,yena,she
856,ishidi,sheet
899,igobolondo le,shell
984,inkazimulo,shine
334,umkhumbi,ship
965,izicathulo,shoe
981,esitolo,shop
854,isisekelo,shore
327,okufutshane,short
205,kufanele,should
966,ehlombe,shoulder
612,memeza,shout
119,bonisa,show
197,side,side
284,ukubuka,sight
582,isibonakaliso,sign
735,buthule,silent
910,zesiliva,silver
923,efanayo,similar
477,elula,simple
346,kusukela,since
469,sihlabelele,sing
692,ongashadile,single
919,udadewabo,sister
553,ahlale,sit
471,eziyisithupha,six
521,usayizi,size
905,ikhono,skill
696,isikhumba,skin
568,isibhakabhaka,sky
875,nceku,slave
559,sokulala,sleep
936,ukushelela,slip
485,wephuza,slow
59,amancane,small
945,iphunga,smell
697,emomotheka,smile
391,iqhwa,snow
165,kanjalo,so
585,esithambile,soft
738,inhlabathi,soil
758,sosha,soldier
908,isixazululo,solution
708,ukuxazulula,solve
23,kwezinye,some
658,indodana,son
322,song,song
315,ngokushesha,soon
183,kuzwakale,sound
340,eningizimu,south
450,isikhala,space
524,ukhulume,speak
443,ekhethekile,special
888,inkulumo,speech
671,isivinini,speed
67,luzosho,spell
861,khipha,spend
785,wakhuluma,spoke
844,indawo,spot
967,ukusabalala,spread
663,entwasahlobo,spring
514,igceke,square
202,nime,stand
416,ikhwezi,star
232,isiqalo,start
220,isimo,state
867,esiteshini,station
355,uhlale,stay
376,esikhundleni,stead
891,umusi,steam
920,zensimbi,steel
460,isinyathelo,step
693,uthi,stick
212,namanje,still
681,tshe,stone
427,wema,stood
262,ima,stop
556,esitolo,store
234,indaba,story
666,iqonde,straight
598,ongaziwa,strange
822,emfudlaneni,stream
350,isitaladi,street
982,elula,stretch
814,intambo,string
442,oqinile,strong
772,ofundayo,student
211,ukutadisha,study
519,isihloko,subject
857,isiqa,substance
957,khipha,subtract
955,impumelelo,success
75,enjalo,such
512,engazelelwe,sudden
914,isijobelelo,suffix
902,ushukela,sugar
618,basikisela,suggest
846,izembatho,suit
557,ehlobo,summer
217,sun,sun
775,phakela,supply
887,ukwesekwa,support
268,isiqiniseko,sure
362,ngaphandle,surface
679,ngamangala,surprise
961,bhukuda,swim
533,uhlamvu,syllable
608,uphawu,symbol
367,uhlelo,system
472,ithebula,table
447,umsila,tail
105,kuthathe,take
313,inkulumo,talk
736,abade,tall
430,sifundise,teach
632,ithimba,team
898,amazinyo,teeth
50,ukutshela,tell
740,lokushisa,temperature
476,eziyishumi,ten
962,ithemu,term
369,ukulinga,test
191,kunalokho,than
911,ngiyabonga,thank
4,ukuthi,that
29,lo,the
42,yabo,their
161,nabo,them
160,ke,then
152,khona,there
166,la,these
11,bona,they
757,aminyene,thick
825,mncane,thin
170,into,thing
133,acabange,think
714,okwesithathu,third
16,le,this
289,nalabo,those
311,noma,though
226,bacabanga,thought
380,abayizinkulungwane,thousand
53,amathathu,three
128,ngokusebenzisa,through
983,aphonse,throw
797,kanjalo,thus
833,ukulingana,tie
43,nesikhathi,time
682,omncanyana,tiny
392,isondo,tire
31,kuya,to
276,ndawonye,together
343,utshele,told
616,umbala,tone
148,futhi,too
253,wathatha,took
942,ithuluzi,tool
347,phezulu,top
943,inani,total
628,uthinte,touch
480,bubheke,toward
403,town,town
852,ithrekhi,track
600,ezohwebo,trade
558,isitimela,train
473,hamba amazwe,travel
228,isihlahla,tree
826,calantsatfu,triangle
602,uhambo,trip
611,enkingeni,trouble
976,iloli,truck
455,kuyiqiniso,true
89,sizame,try
819,umbhobho,tube
139,baphendukela,turn
695,amabili,twenty
173,ezimbili,two
729,uhlobo,type
125,ngaphansi,under
401,unit,unit
294,kuze,until
154,up,up
90,nathi,us
155,ukusetshenziswa,use
304,evamile,usual
946,isigodi,valley
743,azisa,value
522,ziyehluka,vary
468,sento,verb
127,kakhulu,very
749,buka,view
703,emzaneni,village
583,ukuvakasha,visit
500,ngezwi,voice
479,unkamisa,vowel
413,ulinde,wait
282,uhambe,walk
564,udonga,wall
54,bafuna,want
481,ukulwa,war
439,afudumele,warm
6,kwaba,was
807,ukuhlamba,wash
269,qaphela,watch
190,kwamanzi,water
538,qhweba,wave
157,indlela,way
35,thina,we
637,bagqoke,wear
589,sezulu,weather
431,ngesonto,week
525,isisindo,weight
56,kahle,well
82,waya,went
39,babengamadoda,were
463,ngasentshonalanga,west
22,lokho,what
356,sondo,wheel
153,lapho,when
110,lapho,where
710,noma,whether
40,okuyinto,which
243,ngenkathi,while
278,elimhlophe,white
194,ngubani,who
348,wonke,whole
776,ogama,whose
78,kungani,why
548,ububanzi,wide
964,umkakho,wife
574,sasendle,wild
45,kuthanda,will
937,ukuphumelela,win
330,ovunguzayo,wind
555,iwindi,window
804,iphiko,wing
571,ubusika,winter
633,ucingo,wire
567,ufisa,wish
10,nge,with
799,owesifazane,woman
906,abesifazane,women
378,bayazibuza,wonder
752,ngeke,won’t
272,izinkuni,wood
20,igama,word
103,umsebenzi,work
95,umhlaba,world
163,belungafica,would
162,ukubhala,write
573,ebhaliwe,written
989,okungalungile,wrong
614,wabhala,wrote
622,egcekeni,yard
117,ngonyaka,year
839,ophuzi,yellow
394,yebo,yes
537,nokho,yet
26,wena,you
305,young,young
156,sakho,your
