number,filipino,english
456,sa panahon ng,during
49,bawat,each
651,tainga,ear
461,maagang,early
99,lupa,earth
284,luwag,ease
397,silangan,east
255,kumain,eat
581,gilid,edge
789,epekto,effect
506,itlog,egg
702,walo,eight
721,alinman sa,either
790,de-kuryenteng,electric
770,elemento,element
652,iba pa,else
60,pagtatapos,end
883,kaaway,enemy
501,enerhiya,energy
545,engine,engine
301,sapat,enough
834,magpasok,enter
639,kapantay,equal
386,tutumbas,equate
915,lalo na,especially
69,kahit na,even
939,gabi,evening
958,kaganapan,event
308,kailanman,ever
120,bawat,every
607,eksaktong,exact
283,halimbawa,example
613,maliban sa,except
747,gumising,excite
563,pagsasanay,exercise
791,inaasahan,expect
925,karanasan,experience
688,eksperimento,experiment
222,mata,eye
271,mukha,face
449,katunayan,fact
645,makatarungan,fair
407,mahulog,fall
318,pamilya,family
820,sikat,famous
236,malayo,far
230,sakahan,farm
467,mabilis,fast
863,taba,fat
100,ama,father
858,paboran,favor
823,takot,fear
941,feed,feed
312,pakiramdam,feel
298,paa,feet
642,patumbahin,fell
534,pyeltro,felt
249,ilan,few
419,patlang,field
916,fig,fig
744,lumaban,fight
415,pigura,figure
396,punuin,fill
432,panghuling,final
200,hanapin,find
404,mainam,fine
741,daliri,finger
593,tapusin,finish
339,sunog,fire
193,unang,first
260,isda,fish
643,umangkop,fit
458,lima,five
694,flat,flat
720,palapag,floor
644,dumaloy,flow
596,bulaklak,flower
406,lumipad,fly
76,sundin,follow
216,pagkain,food
366,paa,foot
7,para sa,for
358,puwersa,force
552,gubat,forest
130,paraan,form
922,pasulong,forward
207,natagpuan,found
218,apat,four
551,maliit na bahagi,fraction
440,libre,free
836,sariwa,fresh
257,kaibigan,friend
17,mula sa,from
429,front,front
755,prutas,fruit
357,ganap,full
586,magsaya,fun
384,laro,game
638,hardin,garden
588,gas,gas
980,magtipon,gather
433,ibinigay,gave
526,pangkalahatan,general
798,magiliw,gentle
106,kumuha,get
303,batang babae,girl
123,magbigay,give
864,natutuwa,glad
577,salamin,glass
179,pumunta,go
373,ginto,gold
599,nawala,gone
121,mabuti,good
281,nakakuha,got
496,namamahala sa,govern
535,malaki at maganda,grand
578,damo,grass
990,kulay-abo,gray
132,mahusay,great
434,berde,green
629,lumago,grew
464,lupa,ground
286,pangkat,group
210,lumaki,grow
801,hulaan,guess
924,patnubayan,guide
840,gun,gun
28,nagkaroon,had
717,buhok,hair
336,kalahati,half
64,kamay,hand
332,mangyari,happen
594,masaya,happy
231,matapang,hard
174,may,has
953,sumbrero,hat
15,mayroon,have
5,siya,he
201,ulo,head
265,pakinggan,hear
451,narinig,heard
540,puso,heart
390,init,heat
543,mabigat,heavy
716,pinigilang,held
135,tulungan,help
167,sa kanya,her
71,dito,here
74,mataas,high
724,burol,hill
172,sa kanya,him
3,kanyang,his
788,kasaysayan,history
771,pindutin ang,hit
462,matagalan,hold
699,butas,hole
62,tahanan,home
595,umaasa,hope
266,kabayo,horse
19,mainit,hot
387,mainit,hot
453,oras,hour
87,bahay,house
46,kung paano,how
918,malaking,huge
787,pantao,human
457,daang,hundred
502,hunt,hunt
828,magmadali,hurry
2,ako,i
527,yelo,ice
259,idea,idea
44,kung,if
794,isipin,imagine
34,sa,in
351,inch,inch
531,isama,include
783,ipahiwatig,indicate
742,industriya,industry
780,insekto,insect
877,instant,instant
575,instrumento,instrument
465,interes,interest
970,imbentuhin,invent
691,bakal,iron
24,ay,is
365,isla,island
25,ito,it
580,trabaho,job
617,sumali,join
570,kagalakan,joy
700,tumalon,jump
129,lamang,just
221,panatilihin,keep
576,pinananatiling,kept
690,key,key
657,pumatay,kill
84,uri,kind
349,king,king
344,alam,knew
189,alam,know
621,ginang ng bansa,lady
659,dagat-dagatan,lake
70,lupa,land
399,wika,language
66,malaki,large
224,huli,last
240,late,late
379,patawanin,laugh
730,batas,law
482,mag-ipon,lay
408,pangunahan,lead
213,malaman,learn
610,hindi bababa sa,least
321,mag-iwan,leave
929,humantong,led
239,ang natitira,left
562,binti,leg
516,haba,length
474,mas,less
225,ipaalam,let
293,sulat,letter
978,antas,level
745,kasinungalingan,lie
248,buhay,life
848,pag-angat,lift
83,liwanag,light
164,tulad ng,like
137,linya,line
894,likido,liquid
310,listahan,list
470,makinig,listen
113,maliit,little
109,mabuhay,live
777,hanapin,locate
895,mag-log,log
561,kaisa-isa,lone
168,mahaba,long
175,tumingin,look
635,nawala,lost
687,marami,lot
662,malakas,loud
487,pag-ibig,love
136,mababa,low
411,makina,machine
108,ginawa,made
909,magneto,magnet
273,pangunahin,main
835,pangunahing,major
169,gumawa,make
116,tao,man
159,marami,many
493,mapa,map
291,mark,mark
878,merkado,market
932,masa,mass
851,master,master
913,pagtutugma,match
550,materyal,material
528,bagay,matter
195,maaari,may
122,sa akin,me
142,ibig sabihin,mean
896,nakalaan lamang ito,meant
323,sukatin,measure
817,karne,meat
704,matugunan,meet
601,melody,melody
80,mga lalaki,men
709,metal,metal
672,pamamaraan,method
656,gitna,middle
233,lakas,might
295,milya,mile
670,gatas,milk
591,milyon,million
444,isip,mind
832,minahan,mine
441,minutong,minute
388,tamaan,miss
631,paghaluin,mix
769,modernong,modern
987,molekyul,molecule
660,sandali,moment
489,pera,money
590,buwan,month
364,gumala,moon
176,higit pa,more
475,umaga,morning
185,karamihan,most
94,nanay,mother
892,galaw,motion
566,may kabit,mount
261,bundok,mountain
606,bibig,mouth
144,paglipat,move
141,magkano,much
352,paramihin,multiply
288,musika,music
72,kailangan,must
187,ko,my
126,pangalan,name
668,bansa,nation
748,natural,natural
889,likas na katangian,nature
96,malapit,near
802,kinakailangan,necessary
900,leeg,neck
86,kailangan,need
806,kapit-bahay,neighbor
223,hindi kailanman,never
102,bago,new
277,susunod,next
246,gabi,night
975,siyam,nine
184,walang,no
977,ingay,noise
767,tanghali,noon
947,at hindi rin,nor
250,hilaga,north
996,ilong,nose
412,tala,note
353,walang anuman,nothing
499,notice,notice
418,pangngalan,noun
199,ngayon,now
182,numero,number
328,numeral,numeral
360,bagay,object
664,obserbahan,observe
886,maganap,occur
438,karagatan,ocean
30,ng,of
85,mula sa,off
873,alok,offer
603,opisina,office
292,madalas,often
435,oh,oh
626,langis,oil
147,luma,old
8,sa,on
263,sabay-sabay,once
14,isa,one
114,lamang,only
274,bukas,open
760,magpatakbo,operate
963,sa tapat ng,opposite
27,o,or
338,pagkakasunud-sunod,order
673,organ,organ
865,orihinal,original
38,ibang,other
124,ang aming,our
37,out,out
188,sa ibabaw,over
203,sarili,own
901,oxygen,oxygen
204,pahina,page
398,pintahan,paint
530,pares,pair
285,papel,paper
713,talata,paragraph
853,magulang,parent
104,bahagi,part
959,partikular na,particular
774,partido,party
345,pumasa,pass
584,nakalipas,past
893,landas,path
484,pattern,pattern
674,bayaran,pay
186,mga tao,people
510,marahil,perhaps
782,panahon,period
488,tao,person
734,parirala,phrase
511,pumili,pick
88,larawan,picture
342,piraso,piece
930,pitch,pitch
107,lugar,place
302,plain,plain
414,plano,plan
375,eroplano,plane
827,planeta,planet
214,halaman,plant
58,maglaro,play
765,mangyaring,please
997,pangmaramihang,plural
813,tula,poem
93,punto,point
686,mahirap,poor
880,mapuno,populate
65,port,port
320,imungkahi,pose
546,posisyon,position
374,posible,possible
860,post,post
423,pound,pound
402,kapangyarihan,power
761,kasanayan,practice
994,maghanda,prepare
542,kasalukuyan,present
244,pindutin ang,press
904,medyo,pretty
842,naka-print,print
503,malamang,probable
341,problema,problem
759,proseso,process
448,gumawa,produce
325,produkto,product
871,mga pangngalang,proper
985,ari-arian,property
766,ipagtanggol,protect
560,patunayan,prove
795,magbigay,provide
497,hilahin,pull
711,push,push
61,ilagay,put
974,quart,quart
331,tanong,question
436,mabilis,quick
680,tahimik,quiet
653,medyo,quite
897,quotient,quotient
554,lahi,race
784,radyo,radio
793,rail,rail
494,ulan,rain
707,taasan,raise
382,pinatatakbo ng,ran
890,hanay,range
809,sa lalong maliwanag,rather
466,maabot,reach
63,basahin,read
306,handa,ready
247,tunay,real
515,dahilan,reason
604,tumanggap,receive
370,talaan,record
309,pula,red
520,rehiyon,region
459,tandaan,remember
991,paulit-ulit na,repeat
884,sumagot,reply
517,katawanin,represent
992,nangangailangan ng,require
420,pahinga,rest
722,resulta,result
756,mayaman,rich
507,pagsakay,ride
145,karapatan,right
778,singsing,ring
623,tumaas,rise
296,ilog,river
492,kalsada,road
337,rock,rock
739,roll,roll
256,room,room
705,ugat,root
935,ng lubid,rope
840,tumaas,rose
115,pag-ikot,round
605,hilera,row
818,kuskusin,rub
495,panuntunan,rule
241,tumakbo,run
725,ligtas,safe
47,sinabi,said
549,layag,sail
995,asin,salt
149,pareho,same
737,ng buhangin,sand
572,sab,sat
648,i-save ang,save
235,nakita,saw
134,sabihin,say
661,iskala,scale
209,paaralan,school
254,agham,science
926,iskor,score
237,dagat,sea
837,paghahanap,search
907,season,season
949,upuan,seat
300,pangalawa,second
676,seksyon,section
171,tingnan,see
615,buto,seed
275,mukhang,seem
874,segment,segment
988,piliin,select
98,sarili,self
954,ibenta,sell
838,magpadala ng,send
750,pakiramdam,sense
640,ipinadala,sent
131,pangungusap,sentence
762,hiwalay,separate
490,maghatid,serve
52,hanay,set
523,tumira,settle
712,pito,seven
478,ilang,several
715,tiyak,shall
385,hugis,shape
866,magbahagi,share
803,matalim,sharp
150,siya,she
856,sheet,sheet
899,shell,shell
984,kinang,shine
334,barko,ship
965,sapatos,shoe
981,shop,shop
854,baybayin,shore
327,maikling,short
205,dapat,should
966,balikat,shoulder
612,sigaw,shout
119,palabas,show
197,gilid,side
284,paningin,sight
582,lagdaan,sign
735,walang sinasabi,silent
910,pilak,silver
923,katulad,similar
477,simple,simple
346,mula noong,since
469,kantahin,sing
692,single,single
919,kapatid na babae,sister
553,umupo,sit
471,anim,six
521,laki,size
905,kasanayan,skill
696,balat,skin
568,langit,sky
875,alipin,slave
559,tulog,sleep
936,isuot na madali,slip
485,mabagal,slow
59,maliit,small
945,amoy,smell
697,ngiti,smile
391,snow,snow
165,kaya,so
585,malambot,soft
738,lupa,soil
758,kawal,soldier
908,solusyon,solution
708,malutas,solve
23,ilang,some
658,anak,son
322,kanta,song
315,sa lalong madaling panahon,soon
183,tunog,sound
340,timog,south
450,puwang,space
524,magsalita,speak
443,espesyal na,special
888,na salita,speech
671,bilis,speed
67,oras ng paggawa,spell
861,gumastos,spend
785,nagsalita,spoke
844,spot,spot
967,pagkalat,spread
663,tagsibol,spring
514,parisukat,square
202,tumayo,stand
416,star,star
232,simula,start
220,estado,state
867,station,station
355,manatili,stay
376,stead,stead
891,steam,steam
920,asero,steel
460,hakbang,step
693,stick,stick
212,pa rin,still
681,bato,stone
427,nakatayo,stood
262,itigil,stop
556,tindahan,store
234,kuwento,story
666,tuwid,straight
598,kakaiba,strange
822,stream,stream
350,kalye,street
982,banatin,stretch
814,string,string
442,malakas,strong
772,mag-aaral,student
211,pag-aaral,study
519,paksa,subject
857,bagay,substance
957,ibawas,subtract
955,tagumpay,success
75,tulad,such
512,walang anu-ano,sudden
914,suffix,suffix
902,asukal,sugar
618,iminumungkahi,suggest
846,suit,suit
557,tag-araw,summer
217,sun,sun
775,panustos,supply
887,suporta,support
268,sigurado,sure
362,pang-ibabaw,surface
679,sorpresa,surprise
961,lumangoy,swim
533,pantig,syllable
608,simbolo,symbol
367,sistema,system
472,talahanayan,table
447,buntot,tail
105,kumuha,take
313,talk,talk
736,matangkad,tall
430,magturo,teach
632,koponan,team
898,ngipin,teeth
50,sabihin,tell
740,temperatura,temperature
476,sampu,ten
962,taning,term
369,pagsubok,test
191,kaysa,than
911,pasasalamat,thank
4,na,that
29,ang,the
42,ang kanilang,their
161,sila,them
160,pagkatapos,then
152,doon,there
166,mga,these
11,sila,they
757,makapal,thick
825,manipis,thin
170,bagay,thing
133,palagay,think
714,ikatlong,third
16,ito,this
289,iyon,those
311,bagaman,though
226,pag-iisip,thought
380,libo,thousand
53,tatlong,three
128,sa pamamagitan ng,through
983,magtapon,throw
797,kaya,thus
833,itali,tie
43,oras,time
682,maliit na maliit,tiny
392,gulong,tire
31,sa,to
276,magkasama,together
343,sinabi,told
616,tono,tone
148,masyado,too
253,kinuha,took
942,kasangkapan,tool
347,tuktok,top
943,kabuuan,total
628,kalabitin,touch
480,patungo,toward
403,bayan,town
852,track,track
600,kalakalan,trade
558,tren,train
473,paglalakbay,travel
228,puno,tree
826,tatsulok,triangle
602,paglalakbay,trip
611,pag-,trouble
976,trak,truck
455,totoo,true
89,subukan,try
819,tube,tube
139,pagliko,turn
695,dalawampu’t,twenty
173,dalawang,two
729,uri ng,type
125,sa ilalim,under
401,yunit,unit
294,hanggang sa,until
154,up,up
90,atin,us
155,gamitin,use
304,karaniwan,usual
946,lambak,valley
743,halaga,value
522,mag-iba,vary
468,pandiwa,verb
127,napaka,very
749,pagtingin,view
703,nayon,village
583,pagbisita,visit
500,boses,voice
479,patinig,vowel
413,maghintay,wait
282,lumakad,walk
564,pader,wall
54,gusto,want
481,digmaan,war
439,mainit-init,warm
6,noon ay,was
807,wash,wash
269,panoorin,watch
190,tubig,water
538,alon,wave
157,paraan,way
35,namin,we
637,magsuot,wear
589,lagay ng panahon,weather
431,linggo,week
525,timbang,weight
56,na rin,well
82,nagpunta,went
39,ay,were
463,kanluran,west
22,kung ano,what
356,gulong,wheel
153,kapag,when
110,saan,where
710,kung,whether
40,kung saan,which
243,habang,while
278,puting,white
194,kung sino,who
348,kabuuan,whole
776,kung saan ang,whose
78,bakit,why
548,malawak,wide
964,asawa,wife
574,ligaw,wild
45,pamanahan,will
937,panalo,win
330,hangin,wind
555,window,window
804,wing,wing
571,taglamig,winter
633,wire,wire
567,nais,wish
10,may,with
799,babae,woman
906,kababaihan,women
378,wonder,wonder
752,hindi maaari,won’t
272,wood,wood
20,salita,word
103,trabaho,work
95,mundo,world
163,ibig,would
162,sumulat,write
573,nakasulat,written
989,mali,wrong
614,isinulat ni,wrote
622,bakuran,yard
117,taon,year
839,dilaw,yellow
394,yes,yes
537,pa,yet
26,sa iyo,you
305,batang,young
156,iyong,your
