number,gujarati,english
702,આઠ,eight
721,ક્યાં,either
790,ઇલેક્ટ્રિક,electric
770,તત્વ,element
652,અન્ય,else
60,અંત,end
883,દુશ્મન,enemy
501,ઊર્જા,energy
545,એન્જિન,engine
301,પર્યાપ્ત,enough
834,દાખલ,enter
639,સમાન,equal
386,સમીકરણ,equate
915,ખાસ કરીને,especially
69,પણ,even
939,સાંજે,evening
958,ઘટના,event
308,ક્યારેય,ever
120,દરેક,every
607,ચોક્કસ,exact
283,ઉદાહરણ,example
613,સિવાય,except
747,ઉત્તેજિત,excite
563,કસરત,exercise
791,અપેક્ષા,expect
925,અનુભવ,experience
688,પ્રયોગ,experiment
222,આંખ,eye
271,ચહેરો,face
449,હકીકત,fact
645,વાજબી,fair
407,આવતા,fall
318,કુટુંબ,family
820,વિખ્યાત,famous
236,અત્યાર સુધી,far
230,ફાર્મ,farm
467,ઝડપી,fast
863,ચરબી,fat
100,પિતા,father
858,તરફેણ,favor
823,ભય,fear
941,ફીડ,feed
312,લાગે,feel
298,પગ,feet
642,હતો,fell
534,લાગ્યું,felt
249,થોડા,few
419,ક્ષેત્ર,field
916,અંજીર,fig
744,લડાઈ,fight
415,આકૃતિ,figure
396,ભરો,fill
432,અંતિમ,final
200,શોધવા,find
404,દંડ,fine
741,આંગળી,finger
593,સમાપ્ત,finish
339,આગ,fire
193,પ્રથમ,first
260,માછલી,fish
643,ફિટ,fit
458,પાંચ,five
694,ફ્લેટ,flat
720,માળ,floor
644,પ્રવાહ,flow
596,ફૂલ,flower
406,ઉડાન,fly
76,અનુસરો,follow
216,ખોરાક,food
366,પગ,foot
7,માટે,for
358,બળ,force
552,વન,forest
130,ફોર્મ,form
922,આગળ,forward
207,મળી,found
218,ચાર,four
551,અપૂર્ણાંક,fraction
440,મફત,free
836,તાજા,fresh
257,મિત્ર,friend
17,થી,from
429,સામે,front
755,ફળ,fruit
357,સંપૂર્ણ,full
586,મજા,fun
384,રમત,game
638,બગીચો,garden
588,ગેસ,gas
980,ભેગા,gather
433,આપ્યો,gave
526,સામાન્ય,general
798,સૌમ્ય,gentle
106,વિચાર,get
303,છોકરી,girl
123,આપે,give
864,ખુશી,glad
577,કાચ,glass
179,જાઓ,go
373,ગોલ્ડ,gold
599,ગયો,gone
121,સારું,good
281,મળી,got
496,સંચાલન,govern
535,ગ્રાન્ડ,grand
578,ઘાસ,grass
990,ગ્રે,gray
132,મહાન,great
434,લીલા,green
629,વધારો થયો હતો,grew
464,જમીન,ground
286,જૂથ,group
210,વૃદ્ધિ,grow
801,ધારી,guess
924,માર્ગદર્શન,guide
840,બંદૂક,gun
28,હતી,had
717,વાળ,hair
336,છ,half
64,હાથ,hand
332,થાય,happen
594,સુખી,happy
231,હાર્ડ,hard
174,છે,has
953,ટોપી,hat
15,છે,have
5,તે,he
201,વડા,head
265,સાંભળવા,hear
451,સાંભળ્યું,heard
540,હૃદય,heart
390,ગરમી,heat
543,ભારે,heavy
716,આયોજન,held
135,મદદ,help
167,તેના,her
71,અહીં,here
74,ઉચ્ચ,high
724,હિલ,hill
172,તેને,him
3,તેના,his
788,ઇતિહાસ,history
771,હિટ,hit
462,પકડી,hold
699,છિદ્ર,hole
62,ઘર,home
595,આશા,hope
266,ઘોડો,horse
19,ગરમ,hot
387,ગરમ,hot
453,કલાક,hour
87,ઘર,house
46,કેવી રીતે,how
918,વિશાળ,huge
787,માનવ,human
457,સો,hundred
502,શિકાર,hunt
828,ઉતાવળ કરવી,hurry
2,હું,i
527,બરફ,ice
259,વિચાર,idea
44,જો,if
794,કલ્પના,imagine
34,માં,in
351,ઇંચ,inch
531,સમાવેશ થાય છે,include
783,સૂચવે છે,indicate
742,ઉદ્યોગ,industry
780,જંતુ,insect
877,ઇન્સ્ટન્ટ,instant
575,સાધન,instrument
465,રસ,interest
970,શોધ,invent
691,લોખંડ,iron
24,છે,is
365,ટાપુ,island
25,તે,it
580,કામ,job
617,જોડાવા,join
570,આનંદ,joy
700,આવો,jump
129,માત્ર,just
221,રાખો,keep
576,રાખવામાં,kept
690,કી,key
657,મારી,kill
84,પ્રકારની,kind
349,રાજા,king
344,જાણતા હતા,knew
189,ખબર,know
621,મહિલા,lady
659,તળાવ,lake
70,જમીન,land
399,ભાષા,language
66,મોટા,large
224,છેલ્લા,last
240,અંતમાં,late
379,હસે,laugh
730,કાયદો,law
482,મૂકે,lay
408,દોરી,lead
213,જાણવા,learn
610,ઓછા,least
321,છોડી,leave
929,દોરી,led
239,બાકી,left
562,બોલ,leg
516,લંબાઈ,length
474,ઓછી,less
225,દો,let
293,અક્ષર,letter
978,સ્તર,level
745,અસત્ય,lie
248,જીવન,life
848,લિફ્ટ,lift
83,પ્રકાશ,light
164,જેમ,like
137,રેખા,line
894,પ્રવાહી,liquid
310,યાદી,list
470,સાંભળવા,listen
113,ઓછી,little
109,રહે છે,live
777,સ્થિત,locate
895,લોગ,log
561,એકલા,lone
168,લાંબા,long
175,જુઓ,look
635,ગુમાવી,lost
687,ઘણો,lot
662,મોટા,loud
487,પ્રેમ,love
136,ઓછી,low
411,મશીન,machine
108,કરી,made
909,ચુંબક,magnet
273,મુખ્ય,main
835,મુખ્ય,major
169,કરો,make
116,માણસ,man
159,ઘણા,many
493,નકશો,map
291,ચિહ્ન,mark
878,બજાર,market
932,સમૂહ,mass
851,માસ્ટર,master
913,મેચ,match
550,સામગ્રી,material
528,બાબત,matter
195,કરી શકે છે,may
122,મને,me
142,અર્થ,mean
896,અર્થ,meant
323,માપવા,measure
817,માંસ,meat
704,પૂરી,meet
601,મેલોડી,melody
80,પુરુષો,men
709,મેટલ,metal
672,પદ્ધતિ,method
656,મધ્યમ,middle
233,કદાચ,might
295,માઇલ,mile
670,દૂધ,milk
591,મિલિયન,million
444,મન,mind
832,ખાણ,mine
441,મિનિટ,minute
388,ગુમ,miss
631,મિશ્રણ,mix
769,આધુનિક,modern
987,પરમાણુ,molecule
660,ક્ષણ,moment
489,પૈસા,money
590,મહિનો,month
364,ચંદ્ર,moon
176,વધુ,more
475,સવારે,morning
185,સૌથી,most
94,માતા,mother
892,ગતિ,motion
566,માઉન્ટ,mount
261,પર્વત,mountain
606,મોં,mouth
144,ચાલ,move
141,ખૂબ,much
352,ગુણાકાર,multiply
288,સંગીત,music
72,જ જોઈએ,must
187,મારા,my
126,નામ,name
668,રાષ્ટ્ર,nation
748,કુદરતી,natural
889,પ્રકૃતિ,nature
96,નજીક,near
802,જરૂરી,necessary
900,ગરદન,neck
86,જરૂર,need
806,પાડોશી,neighbor
223,ક્યારેય,never
102,નવા,new
277,આગામી,next
246,રાત,night
975,નવ,nine
184,કોઈ,no
977,અવાજ,noise
767,બપોરે,noon
947,કે,nor
250,ઉત્તર,north
996,નાક,nose
412,નોંધ,note
353,કંઈ,nothing
499,નોટિસ,notice
418,નામ,noun
199,હવે,now
182,નંબર,number
328,આંકડો,numeral
360,પદાર્થ,object
664,અવલોકન,observe
886,થાય,occur
438,સમુદ્ર,ocean
30,ના,of
85,બંધ,off
873,ઓફર,offer
603,ઓફિસ,office
292,વારંવાર,often
435,ઓહ,oh
626,તેલ,oil
147,જૂના,old
8,પર,on
263,એક વખત,once
14,એક,one
114,માત્ર,only
274,ઓપન,open
760,કામ,operate
963,વિરુદ્ધ,opposite
27,અથવા,or
338,માટે,order
673,અંગ,organ
865,મૂળ,original
38,અન્ય,other
124,અમારા,our
37,બહાર,out
188,પર,over
203,પોતાના,own
901,ઓક્સિજન,oxygen
204,પાનું,page
398,રંગ,paint
530,જોડી,pair
285,કાગળ,paper
713,ફકરો,paragraph
853,પિતૃ,parent
104,ભાગ,part
959,ખાસ,particular
774,પક્ષ,party
345,પસાર,pass
584,છેલ્લા,past
893,પાથ,path
484,પેટર્ન,pattern
674,ચૂકવણી,pay
186,લોકો,people
510,કદાચ,perhaps
782,સમય,period
488,વ્યક્તિ,person
734,મહાવરો,phrase
511,પસંદ,pick
88,ચિત્ર,picture
342,ભાગ,piece
930,પિચ,pitch
107,સ્થળ,place
302,સાદા,plain
414,યોજના,plan
375,વિમાન,plane
827,ગ્રહ,planet
214,પ્લાન્ટ,plant
58,રમવા,play
765,કૃપા કરીને,please
997,બહુવચન,plural
813,કવિતા,poem
93,બિંદુ,point
686,ગરીબ,poor
880,રચના,populate
65,પોર્ટ,port
320,દંભ,pose
546,સ્થિતિ,position
374,શક્ય,possible
860,પોસ્ટ,post
423,પાઉન્ડ,pound
402,શક્તિ,power
761,પ્રથા,practice
994,તૈયાર,prepare
542,હાજર,present
244,પ્રેસ,press
904,ખૂબ,pretty
842,પ્રિન્ટ,print
503,સંભવિત,probable
341,સમસ્યા,problem
759,પ્રક્રિયા,process
448,ઉત્પાદન,produce
325,ઉત્પાદન,product
871,યોગ્ય,proper
985,મિલકત,property
766,રક્ષણ,protect
560,સાબિત,prove
795,પૂરી પાડે છે,provide
497,ખેંચી,pull
711,દબાણ,push
61,મૂકી,put
974,પા ગેલન,quart
331,પ્રશ્ન,question
436,ઝડપી,quick
680,શાંત,quiet
653,તદ્દન,quite
897,આંક,quotient
554,રેસ,race
784,રેડિયો,radio
793,રેલવે,rail
494,વરસાદ,rain
707,એકત્ર,raise
382,ચાલી હતી,ran
890,શ્રેણી,range
809,બદલે,rather
466,સુધી પહોંચવા,reach
63,વાંચો,read
306,તૈયાર,ready
247,વાસ્તવિક,real
515,કારણ,reason
604,પ્રાપ્ત,receive
370,રેકોર્ડ,record
309,લાલ,red
520,પ્રદેશ,region
459,યાદ,remember
991,વારંવાર,repeat
884,જવાબ,reply
517,પ્રતિનિધિત્વ,represent
992,જરૂરી,require
420,બાકીના,rest
722,પરિણામ,result
756,સમૃદ્ધ,rich
507,સવારી,ride
145,અધિકાર,right
778,રિંગ,ring
623,વધારો,rise
296,નદી,river
492,માર્ગ,road
337,રોક,rock
739,રોલ,roll
256,રૂમ,room
705,રુટ,root
935,દોરડું,rope
840,ગુલાબ,rose
115,રાઉન્ડ,round
605,પંક્તિ,row
818,ઘસવું,rub
495,નિયમ,rule
241,રન,run
725,સલામત,safe
47,"જણાવ્યું હતું કે,",said
549,સઢ,sail
995,મીઠું,salt
149,જ,same
737,રેતી,sand
572,શનિ,sat
648,સેવ,save
235,લાકડાં,saw
134,કહે,say
661,સ્કેલ,scale
209,શાળા,school
254,વિજ્ઞાન,science
926,સ્કોર,score
237,સમુદ્ર,sea
837,શોધ,search
907,મોસમ,season
949,બેઠક,seat
300,બીજા,second
676,વિભાગ,section
171,જુઓ,see
615,બીજ,seed
275,લાગે,seem
874,સેગમેન્ટમાં,segment
988,પસંદ,select
98,સ્વ,self
954,વેચાણ,sell
838,મોકલવા,send
750,અર્થમાં,sense
640,મોકલવામાં,sent
131,સજા,sentence
762,અલગ,separate
490,સેવા આપવા,serve
52,સમૂહ,set
523,પતાવટ,settle
712,સાત,seven
478,અનેક,several
715,રહેશે,shall
385,આકાર,shape
866,શેર,share
803,તીવ્ર,sharp
150,તે,she
856,શીટ,sheet
899,શેલ,shell
984,ચમકવા,shine
334,જહાજ,ship
965,જૂતા,shoe
981,દુકાન,shop
854,કિનારા,shore
327,ટૂંકા,short
205,જોઈએ,should
966,ખભા,shoulder
612,પાડો,shout
119,શો,show
197,બાજુ,side
284,દૃષ્ટિ,sight
582,સાઇન,sign
735,શાંત,silent
910,ચાંદીના,silver
923,સમાન,similar
477,સરળ,simple
346,કારણ,since
469,ગાય,sing
692,એક,single
919,બહેન,sister
553,બેસી,sit
471,છ,six
521,કદ,size
905,કૌશલ્ય,skill
696,ત્વચા,skin
568,આકાશ,sky
875,ગુલામ,slave
559,ઊંઘ,sleep
936,કાપલી,slip
485,ધીમી,slow
59,નાના,small
945,ગંધ,smell
697,સ્મિત,smile
391,બરફ,snow
165,તેથી,so
585,નરમ,soft
738,જમીન,soil
758,સૈનિક,soldier
908,ઉકેલ,solution
708,હલ,solve
23,કેટલાક,some
658,પુત્ર,son
322,ગીત,song
315,ટૂંક સમયમાં,soon
183,ધ્વનિ,sound
340,દક્ષિણ,south
450,જગ્યા,space
524,વાત,speak
443,ખાસ,special
888,ભાષણ,speech
671,ઝડપ,speed
67,જોડણી,spell
861,ખર્ચ,spend
785,વાત કરી હતી,spoke
844,હાજર,spot
967,ફેલાવો,spread
663,વસંત,spring
514,ચોરસ,square
202,ઊભા,stand
416,સ્ટાર,star
232,શરૂઆત,start
220,રાજ્ય,state
867,સ્ટેશન,station
355,રહેવા,stay
376,સ્ટીડનો,stead
891,વરાળ,steam
920,સ્ટીલ,steel
460,પગલું,step
693,લાકડી,stick
212,હજુ પણ,still
681,પથ્થર,stone
427,હતી,stood
262,બંધ,stop
556,સ્ટોર,store
234,વાર્તા,story
666,કોઈ રન નોંધાયો નહીં,straight
598,વિચિત્ર,strange
822,સ્ટ્રીમ,stream
350,શેરી,street
982,ઉંચાઇ,stretch
814,શબ્દમાળા,string
442,મજબૂત,strong
772,વિદ્યાર્થી,student
211,અભ્યાસ,study
519,વિષય,subject
857,પદાર્થ,substance
957,બાદબાકી,subtract
955,સફળતા,success
75,જેમ કે,such
512,અચાનક,sudden
914,પ્રત્યય,suffix
902,ખાંડ,sugar
618,સૂચવે છે,suggest
846,દાવો,suit
557,ઉનાળામાં,summer
217,સૂર્ય,sun
775,પુરવઠો,supply
887,આધાર,support
268,ખાતરી કરો,sure
362,સપાટી,surface
679,આશ્ચર્ય,surprise
961,તરી,swim
533,ઉચ્ચારણ,syllable
608,પ્રતીક,symbol
367,સિસ્ટમ,system
472,ટેબલ,table
447,પૂંછડી,tail
105,લો,take
313,ચર્ચા,talk
736,ઊંચા,tall
430,શીખવવા,teach
632,ટીમ,team
898,દાંત,teeth
50,કહી,tell
740,તાપમાન,temperature
476,દસ,ten
962,શબ્દ,term
369,ટેસ્ટ,test
191,કરતાં,than
911,આભાર,thank
4,કે,that
29,આ,the
42,તેમના,their
161,તેમને,them
160,પછી,then
152,ત્યાં,there
166,આ,these
11,તેઓ,they
757,જાડા,thick
825,પાતળા,thin
170,વસ્તુ,thing
133,લાગે છે,think
714,ત્રીજા,third
16,આ,this
289,તે,those
311,છતાં,though
226,વિચાર્યું,thought
380,હજાર,thousand
53,ત્રણ,three
128,દ્વારા,through
983,ફેંકવું,throw
797,આમ,thus
833,ટાઇ,tie
43,સમય,time
682,નાના,tiny
392,ટાયર,tire
31,માટે,to
276,એક સાથે,together
343,જણાવ્યું,told
616,સ્વર,tone
148,પણ,too
253,લીધો,took
942,સાધન,tool
347,ટોચ,top
943,કુલ,total
628,સ્પર્શ,touch
480,તરફ,toward
403,નગર,town
852,ટ્રેક,track
600,વેપાર,trade
558,ટ્રેન,train
473,પ્રવાસ,travel
228,વૃક્ષ,tree
826,ત્રિકોણ,triangle
602,પ્રવાસ,trip
611,મુશ્કેલી,trouble
976,ટ્રક,truck
455,સાચું,true
89,પ્રયાસ,try
819,ટ્યુબ,tube
139,વળાંક,turn
695,વીસ,twenty
173,બે,two
729,પ્રકાર,type
125,હેઠળ,under
401,એકમ,unit
294,ત્યાં સુધી,until
154,અપ,up
90,અમને,us
155,ઉપયોગ,use
304,સામાન્ય,usual
946,ખીણ,valley
743,કિંમત,value
522,અલગ અલગ હોય છે,vary
468,ક્રિયાપદ,verb
127,ખૂબ,very
749,દૃશ્ય,view
703,ગામ,village
583,મુલાકાત,visit
500,અવાજ,voice
479,સ્વર,vowel
413,રાહ,wait
282,ચાલવા,walk
564,દિવાલ,wall
54,માંગો છો,want
481,યુદ્ધ,war
439,ગરમ,warm
6,હતી,was
807,ધોવું,wash
269,જુઓ,watch
190,પાણી,water
538,તરંગ,wave
157,માર્ગ,way
35,અમે,we
637,ભાષા,wear
589,હવામાન,weather
431,સપ્તાહ,week
525,વજન,weight
56,સાથે સાથે,well
82,ગયા,went
39,હતા,were
463,પશ્ચિમ,west
22,શું,what
356,વ્હીલ,wheel
153,જ્યારે,when
110,જ્યાં,where
710,કે શું,whether
40,જે,which
243,જ્યારે,while
278,સફેદ,white
194,જે,who
348,સમગ્ર,whole
776,જેના,whose
78,શા માટે,why
548,વિશાળ,wide
964,પત્ની,wife
574,જંગલી,wild
45,કરશે,will
937,જીત,win
330,પવન,wind
555,વિન્ડો,window
804,પાંખ,wing
571,શિયાળામાં,winter
633,વાયર,wire
567,માંગો,wish
10,સાથે,with
799,મહિલા,woman
906,સ્ત્રીઓ,women
378,આશ્ચર્ય,wonder
752,નહીં,won’t
272,લાકડું,wood
20,શબ્દ,word
103,કામ,work
95,વિશ્વ,world
163,કરશે,would
162,લખવા,write
573,લખવામાં,written
989,ખોટું,wrong
614,લખ્યું,wrote
622,યાર્ડ,yard
117,વર્ષ,year
839,પીળા,yellow
394,હા,yes
537,હજુ સુધી,yet
26,તમે,you
305,યુવાન,young
156,તમારા,your
