number,macedonian,english
950,продолжи,continue
649,контрола,control
719,кук,cook
684,кул,cool
733,копија,copy
811,пченка,corn
773,агол,corner
421,точни,correct
634,цена,cost
971,памук,cotton
178,можев,could
513,смета,count
206,земја,country
354,се разбира,course
215,покритие,cover
579,крава,cow
698,браздата,crease
805,создаде,create
768,култура,crop
229,премине,cross
810,толпата,crowd
409,крик,cry
847,тековната,current
267,намалување на,cut
868,татко,dad
544,танц,dance
754,опасност,danger
410,темно,dark
177,ден,day
843,мртви,dead
960,договор,deal
882,драги,dear
903,смрт,death
361,одлучи,decide
650,децимална,decimal
363,длабоко,deep
879,степен,degree
816,зависи,depend
718,опише,describe
845,пустината,desert
685,дизајн,design
973,утврди,determine
437,развие,develop
669,речник,dictionary
181,не,did
609,умре,die
138,разликуваат,differ
763,тешко,difficult
319,директна,direct
921,дискутираат,discuss
395,далечни,distant
532,јаз,divide
855,поделба,division
41,направи,do
764,лекар,doctor
51,не,does
317,куче,dog
921,долар,dollar
424,направено,done
242,не,don’t
324,врата,door
948,двојно,double
196,надолу,down
238,подготви,draw
938,сон,dream
677,фустан,dress
885,пијалок,drink
426,диск,drive
539,капка,drop
377,сува,dry
876,патка,duck
456,за време на,during
49,секој,each
651,уво,ear
461,почетокот,early
99,земјата,earth
284,олеснување,ease
397,исток,east
255,јадете,eat
581,работ,edge
789,ефект,effect
506,јајце,egg
702,осум,eight
721,или,either
790,електрични,electric
770,елемент,element
652,друг,else
60,крајот,end
883,непријател,enemy
501,енергија,energy
545,моторот,engine
301,доволно,enough
834,внесете,enter
639,еднакви,equal
386,изедначуваат,equate
915,особено,especially
69,дури и,even
939,вечерта,evening
958,настанот,event
308,некогаш,ever
120,секој,every
607,точниот,exact
283,пример,example
613,освен,except
747,возбуди,excite
563,вежби,exercise
791,очекуваме,expect
925,искуство,experience
688,експеримент,experiment
222,око,eye
271,лице,face
449,всушност,fact
645,фер,fair
407,паѓаат,fall
318,семејство,family
820,познат,famous
236,далеку,far
230,фарма,farm
467,брзо,fast
863,масти,fat
100,татко,father
858,корист,favor
823,страв,fear
941,feed,feed
312,се чувствуваат,feel
298,нозе,feet
642,падна,fell
534,чувствува,felt
249,неколку,few
419,поле,field
916,слика,fig
744,борба,fight
415,слика,figure
396,пополнување,fill
432,конечна,final
200,најдете,find
404,парична казна,fine
741,прст,finger
593,финиш,finish
339,оган,fire
193,прва,first
260,риба,fish
643,одговара,fit
458,пет,five
694,стан,flat
720,кат,floor
644,проток,flow
596,цвет,flower
406,лета,fly
76,следат,follow
216,храна,food
366,нога,foot
7,за,for
358,сила,force
552,шума,forest
130,форма,form
922,напред,forward
207,најде,found
218,четири,four
551,дел,fraction
440,слободен,free
836,свежо,fresh
257,пријател,friend
17,од,from
429,пред,front
755,овошје,fruit
357,целосна,full
586,забава,fun
384,игра,game
638,градина,garden
588,гас,gas
980,соберат,gather
433,даде,gave
526,општо,general
798,нежен,gentle
106,се,get
303,девојка,girl
123,даде,give
864,мило,glad
577,стакло,glass
179,одат,go
373,злато,gold
599,поминаа,gone
121,добро,good
281,доби,got
496,регулираат,govern
535,гренд,grand
578,трева,grass
990,сива,gray
132,голем,great
434,зелена,green
629,зголеми,grew
464,земјата,ground
286,група,group
210,расте,grow
801,претпоставувам,guess
924,водење на,guide
840,пиштол,gun
28,имаше,had
717,коса,hair
336,половина,half
64,страна,hand
332,се случи,happen
594,среќен,happy
231,тешко,hard
174,има,has
953,шапка,hat
15,имаат,have
5,тој,he
201,глава,head
265,слушаат,hear
451,слушнав,heard
540,срцето,heart
390,топлина,heat
543,тешки,heavy
716,одржана,held
135,помогне,help
167,нејзините,her
71,тука,here
74,висок,high
724,рид,hill
172,го,him
3,неговата,his
788,историја,history
771,хит,hit
462,се одржи,hold
699,дупка,hole
62,дома,home
595,се надевам,hope
266,коњ,horse
19,топла,hot
387,топла,hot
453,час,hour
87,куќа,house
46,како,how
918,огромен,huge
787,човечки,human
457,сто,hundred
502,лов,hunt
828,брза,hurry
2,јас,i
527,мраз,ice
259,идеја,idea
44,ако,if
794,замисли,imagine
34,во,in
351,инчен,inch
531,вклучуваат,include
783,укажуваат,indicate
742,индустрија,industry
780,инсекти,insect
877,инстант,instant
575,инструмент,instrument
465,интерес,interest
970,измислат,invent
691,железо,iron
24,е,is
365,остров,island
25,тоа,it
580,работа,job
617,се приклучат,join
570,радост,joy
700,скок,jump
129,само,just
221,задржи,keep
576,чува,kept
690,клучот,key
657,убие,kill
84,вид,kind
349,крал,king
344,знаеја,knew
189,знаете,know
621,дама,lady
659,езерото,lake
70,земјиште,land
399,јазик,language
66,голем,large
224,последните,last
240,крајот,late
379,смеа,laugh
730,закон,law
482,постават,lay
408,доведе,lead
213,научат,learn
610,најмалку,least
321,напушти,leave
929,доведе,led
239,остави,left
562,нога,leg
516,должина,length
474,помалку,less
225,нека,let
293,писмо,letter
978,ниво,level
745,лага,lie
248,живот,life
848,лифт,lift
83,светлината,light
164,како,like
137,линија,line
894,течност,liquid
310,листа,list
470,слушате,listen
113,малку,little
109,живеат,live
777,лоцирајте,locate
895,се логирате,log
561,осамен,lone
168,долг,long
175,погледнете,look
635,изгубени,lost
687,многу,lot
662,гласно,loud
487,љубов,love
136,ниска,low
411,машина,machine
108,направени,made
909,магнет,magnet
273,главната,main
835,големи,major
169,направи,make
116,човек,man
159,многу,many
493,мапа,map
291,знак,mark
878,пазарот,market
932,маса,mass
851,господар,master
913,натпревар,match
550,материјал,material
528,прашање,matter
195,може,may
122,ме,me
142,значи,mean
896,значеше,meant
323,мерење на,measure
817,месо,meat
704,задоволат,meet
601,мелодијата,melody
80,мажи,men
709,метал,metal
672,метод,method
656,средината,middle
233,би можеле да,might
295,милја,mile
670,млеко,milk
591,милиони,million
444,ум,mind
832,рудникот,mine
441,минута,minute
388,мис,miss
631,се меша,mix
769,модерен,modern
987,молекула,molecule
660,момент,moment
489,пари,money
590,месец,month
364,месечината,moon
176,повеќе,more
475,наутро,morning
185,повеќето,most
94,мајка,mother
892,движење,motion
566,монтирање,mount
261,планински,mountain
606,устата,mouth
144,потег,move
141,многу,much
352,мултиплицираат,multiply
288,музика,music
72,мора,must
187,мојата,my
126,име,name
668,нација,nation
748,природни,natural
889,природата,nature
96,во близина,near
802,потребно,necessary
900,вратот,neck
86,треба,need
806,сосед,neighbor
223,никогаш,never
102,нови,new
277,следна,next
246,ноќ,night
975,девет,nine
184,нема,no
977,бучава,noise
767,пладне,noon
947,ниту пак,nor
250,северна,north
996,носот,nose
412,белешка,note
353,ништо,nothing
499,најава,notice
418,именка,noun
199,сега,now
182,број,number
328,броеви,numeral
360,објект,object
664,набљудуваат,observe
886,се случи,occur
438,океанот,ocean
30,на,of
85,надвор,off
873,понуда,offer
603,канцеларија,office
292,често,often
435,ох,oh
626,масло,oil
147,стари,old
8,на,on
263,еднаш,once
14,еден,one
114,само,only
274,отворен,open
760,работи,operate
963,спротивно,opposite
27,или,or
338,цел,order
673,орган,organ
865,оригинални,original
38,други,other
124,нашите,our
37,надвор,out
188,повеќе,over
203,сопствени,own
901,кислород,oxygen
204,страница,page
398,слика,paint
530,пар,pair
285,хартија,paper
713,став,paragraph
853,родител,parent
104,дел,part
959,особено,particular
774,партија,party
345,помине,pass
584,минатото,past
893,пат,path
484,модел,pattern
674,плати,pay
186,луѓе,people
510,можеби,perhaps
782,период,period
488,лице,person
734,фраза,phrase
511,изберете,pick
88,слика,picture
342,парче,piece
930,теренот,pitch
107,место,place
302,обичен,plain
414,план,plan
375,авион,plane
827,планетата,planet
214,растенија,plant
58,игра,play
765,ве молиме,please
997,множина,plural
813,песна,poem
93,точка,point
686,сиромашните,poor
880,доверат,populate
65,порт,port
320,претставува,pose
546,позиција,position
374,можно,possible
860,пост,post
423,фунти,pound
402,моќ,power
761,пракса,practice
994,подготви,prepare
542,моментов,present
244,прес-,press
904,прилично,pretty
842,печатење,print
503,веројатно,probable
341,проблемот,problem
759,процес,process
448,производство на,produce
325,производ,product
871,соодветна,proper
985,сопственост,property
766,заштита на,protect
560,докаже,prove
795,обезбеди,provide
497,повлече,pull
711,притисни,push
61,стави,put
974,кварта,quart
331,прашање,question
436,брзо,quick
680,тивка,quiet
653,доста,quite
897,количник,quotient
554,трка,race
784,радио,radio
793,железнички,rail
494,дожд,rain
707,подигне,raise
382,трчаше,ran
890,опсег,range
809,наместо,rather
466,достигне,reach
63,чита,read
306,подготвени,ready
247,вистински,real
515,причина,reason
604,добијат,receive
370,рекорд,record
309,црвена,red
520,регионот,region
459,се сеќавам,remember
991,повторување,repeat
884,одговори,reply
517,претставуваат,represent
992,бараат,require
420,одмор,rest
722,резултат,result
756,богата,rich
507,возење,ride
145,право,right
778,прстен,ring
623,зголеми,rise
296,река,river
492,патот,road
337,рок,rock
739,ролна,roll
256,соба,room
705,корен,root
935,јаже,rope
840,зголеми,rose
115,круг,round
605,ред,row
818,бришење,rub
495,правило,rule
241,бегство,run
725,безбедно,safe
47,рече,said
549,едро,sail
995,сол,salt
149,исто,same
737,песок,sand
572,са,sat
648,спаси,save
235,видов,saw
134,велат,say
661,скала,scale
209,училиште,school
254,науката,science
926,резултат,score
237,море,sea
837,барај,search
907,сезона,season
949,седиште,seat
300,вториот,second
676,секција,section
171,види,see
615,семе,seed
275,изгледа,seem
874,сегмент,segment
988,изберете,select
98,само,self
954,продаде,sell
838,испрати,send
750,смисла,sense
640,испрати,sent
131,казна,sentence
762,посебна,separate
490,служат,serve
52,сет,set
523,се спогоди,settle
712,седум,seven
478,повеќе,several
715,треба,shall
385,форма,shape
866,удел,share
803,остри,sharp
150,таа,she
856,лист,sheet
899,школка,shell
984,сјај,shine
334,брод,ship
965,чевли,shoe
981,продавница,shop
854,брегот,shore
327,краток,short
205,треба,should
966,рамо,shoulder
612,извик,shout
119,шоу,show
197,страна,side
284,вид,sight
582,знак,sign
735,молчи,silent
910,сребро,silver
923,слични,similar
477,едноставен,simple
346,од,since
469,пее,sing
692,еден,single
919,сестра,sister
553,седат,sit
471,шест,six
521,големина,size
905,вештина,skill
696,кожа,skin
568,небото,sky
875,роб,slave
559,спиење,sleep
936,се лизга,slip
485,бавен,slow
59,мали,small
945,мирисот,smell
697,насмевка,smile
391,снег,snow
165,така,so
585,мека,soft
738,почвата,soil
758,војник,soldier
908,решение,solution
708,реши,solve
23,некои,some
658,син,son
322,песна,song
315,наскоро,soon
183,звучи,sound
340,југ,south
450,простор,space
524,зборуваат,speak
443,специјални,special
888,говор,speech
671,брзина,speed
67,магија,spell
861,поминат,spend
785,зборуваше,spoke
844,место,spot
967,шири,spread
663,пролет,spring
514,плоштад,square
202,стојат,stand
416,ѕвезда,star
232,почеток,start
220,состојба,state
867,станица,station
355,остане,stay
376,наместо,stead
891,пареа,steam
920,челик,steel
460,чекор,step
693,стап,stick
212,уште,still
681,камен,stone
427,стоеше,stood
262,престанат,stop
556,продавница,store
234,приказна,story
666,директно,straight
598,чудно,strange
822,поток,stream
350,улица,street
982,се водат,stretch
814,низа,string
442,силна,strong
772,студент,student
211,студија,study
519,предмет,subject
857,супстанција,substance
957,одземе,subtract
955,успех,success
75,како,such
512,одеднаш,sudden
914,суфиксот,suffix
902,шеќер,sugar
618,укажуваат,suggest
846,костум,suit
557,лето,summer
217,сонцето,sun
775,снабдување,supply
887,поддршка,support
268,сигурни,sure
362,површината,surface
679,изненадување,surprise
961,пливање,swim
533,слог,syllable
608,симбол,symbol
367,систем,system
472,маса,table
447,опашка,tail
105,се,take
313,разговор,talk
736,висок,tall
430,учат,teach
632,тимот,team
898,заби,teeth
50,кажете,tell
740,температура,temperature
476,десет,ten
962,терминот,term
369,тест,test
191,од,than
911,благодарам,thank
4,дека,that
29,на,the
42,нивните,their
161,ги,them
160,тогаш,then
152,постојат,there
166,овие,these
11,тие,they
757,дебели,thick
825,тенка,thin
170,работа,thing
133,мислам,think
714,третиот,third
16,овој,this
289,оние,those
311,иако,though
226,мисли,thought
380,илјади,thousand
53,три,three
128,преку,through
983,фрли,throw
797,на тој начин,thus
833,вратоврска,tie
43,време,time
682,мали,tiny
392,гуми,tire
31,да,to
276,заедно,together
343,изјави,told
616,тон,tone
148,премногу,too
253,се,took
942,алатка,tool
347,врвот,top
943,вкупно,total
628,допир,touch
480,кон,toward
403,градот,town
852,песна,track
600,трговија,trade
558,воз,train
473,патување,travel
228,дрво,tree
826,триаголник,triangle
602,патување,trip
611,проблеми,trouble
976,камион,truck
455,вистински,true
89,се обиде,try
819,цевка,tube
139,возврат,turn
695,дваесет,twenty
173,две,two
729,тип,type
125,под,under
401,единица,unit
294,до,until
154,до,up
90,нас,us
155,употреба,use
304,вообичаената,usual
946,долина,valley
743,вредност,value
522,се разликуваат,vary
468,глагол,verb
127,многу,very
749,поглед,view
703,село,village
583,посета,visit
500,глас,voice
479,самогласка,vowel
413,чекаат,wait
282,прошетка,walk
564,ѕид,wall
54,сакате,want
481,војна,war
439,топла,warm
6,беше,was
807,миење,wash
269,види,watch
190,вода,water
538,бран,wave
157,начин,way
35,ние,we
637,носат,wear
589,ваков,weather
431,недела,week
525,тежина,weight
56,добро,well
82,отиде,went
39,беа,were
463,запад,west
22,што,what
356,на тркала,wheel
153,кога,when
110,каде,where
710,дали,whether
40,кои,which
243,а,while
278,бело,white
194,кои,who
348,целата,whole
776,чија,whose
78,зошто,why
548,широк,wide
964,сопруга,wife
574,диви,wild
45,ќе,will
937,победа,win
330,ветер,wind
555,прозорец,window
804,крило,wing
571,зима,winter
633,жица,wire
567,сакаат,wish
10,со,with
799,жена,woman
906,жени,women
378,се прашувам,wonder
752,нема,won’t
272,дрво,wood
20,збор,word
103,работа,work
95,светот,world
163,би,would
162,пишува,write
573,писмено,written
989,ред,wrong
614,напиша,wrote
622,двор,yard
117,година,year
839,жолта,yellow
394,да,yes
537,уште,yet
26,ќе,you
305,млади,young
156,вашиот,your
