number,persian,english
180,آمده,come
372,مشترک,common
956,شرکت,company
812,مقایسه,compare
333,کامل,complete
940,شرایط,condition
859,اتصال,connect
728,در نظر,consider
667,همخوان,consonant
428,شامل,contain
1000,قاره,continent
950,ادامه,continue
649,کنترل,control
719,آشپز,cook
684,سرد,cool
733,کپی,copy
811,ذرت,corn
773,گوشه,corner
421,درست,correct
634,هزینه,cost
971,پنبه,cotton
178,می تواند,could
513,شمار,count
206,کشور,country
354,البته,course
215,پوشش,cover
579,گاو,cow
698,چین,crease
805,ایجاد,create
768,محصول,crop
229,صلیب,cross
810,جمعیت,crowd
409,فریاد,cry
847,جریان,current
267,برش,cut
868,پدر,dad
544,رقص,dance
754,خطر,danger
410,تاریک,dark
177,روز,day
843,مرده,dead
960,معامله,deal
882,عزیز,dear
903,مرگ,death
361,تصمیم گی,decide
650,اعشاری,decimal
363,عمیق,deep
879,درجه,degree
816,بستگی دارد,depend
718,توصیف,describe
845,بیابان,desert
685,طراحی,design
973,تعیین,determine
437,توسعه,develop
669,فرهنگ لغت,dictionary
181,انجام,did
609,مرگ,die
138,متفاوت,differ
763,دشوار,difficult
319,مستقیم,direct
921,بحث,discuss
395,دور,distant
532,تقسیم,divide
855,بخش,division
41,انجام,do
764,دکتر,doctor
51,میکند,does
317,سگ,dog
921,دلار,dollar
424,انجام,done
242,نکن,don’t
324,درب,door
948,دو,double
196,پایین,down
238,قرعه کشی,draw
938,رویا,dream
677,لباس,dress
885,نوشابه,drink
426,درایو,drive
539,رها کردن,drop
377,خشک,dry
876,اردک,duck
456,در,during
49,هر,each
651,گوش,ear
461,اوایل,early
99,زمین,earth
284,آسان,ease
397,شرق,east
255,خوردن,eat
581,لبه,edge
789,اثر,effect
506,تخم مرغ,egg
702,هشت,eight
721,یا,either
790,برق,electric
770,عنصر,element
652,دیگر,else
60,پایان,end
883,دشمن,enemy
501,انرژی,energy
545,موتور,engine
301,کافی,enough
834,وارد شدن,enter
639,برابر,equal
386,برابر,equate
915,ویژه,especially
69,حتی,even
939,شب,evening
958,رویداد,event
308,همیشه,ever
120,هر,every
607,دقیق,exact
283,مثال,example
613,جز,except
747,تحریک,excite
563,ورزش,exercise
791,انتظار,expect
925,تجربه,experience
688,تجربه,experiment
222,چشم,eye
271,صورت,face
449,واقع,fact
645,عادلانه,fair
407,سقوط,fall
318,خانواده,family
820,معروف,famous
236,بسیار,far
230,مزرعه,farm
467,سریع,fast
863,چربی,fat
100,پدر,father
858,به نفع,favor
823,ترس,fear
941,خوراک,feed
312,احساس,feel
298,پا,feet
642,سقوط,fell
534,نمد,felt
249,کم,few
419,حوزه,field
916,انجیر,fig
744,مبارزه,fight
415,شکل,figure
396,پر,fill
432,نهایی,final
200,پیدا کردن,find
404,خوب,fine
741,انگشت,finger
593,پایان,finish
339,آتش,fire
193,اولین,first
260,ماهی,fish
643,مناسب,fit
458,پنج,five
694,تخت,flat
720,طبقه,floor
644,جریان,flow
596,گل,flower
406,پرواز,fly
76,به دنبال,follow
216,مواد غذایی,food
366,پا,foot
7,برای,for
358,نیروی,force
552,جنگل,forest
130,فرم,form
922,به جلو,forward
207,یافت,found
218,چهار,four
551,بخش,fraction
440,رایگان,free
836,تازه,fresh
257,دوستان,friend
17,از,from
429,جلو,front
755,میوه,fruit
357,کامل,full
586,سرگرم,fun
384,بازی,game
638,باغ,garden
588,گاز,gas
980,جمع کردن,gather
433,به,gave
526,عمومی,general
798,ملایم,gentle
106,دریافت,get
303,دختر,girl
123,را,give
864,خوشحالم,glad
577,شیشه ای,glass
179,به,go
373,طلا,gold
599,رفته,gone
121,خوب,good
281,رو,got
496,حکومت,govern
535,بزرگ,grand
578,چمن,grass
990,خاکستری,gray
132,بزرگ,great
434,سبز,green
629,رشد,grew
464,زمین,ground
286,گروه,group
210,رشد,grow
801,حدس می زنم,guess
924,راهنمایی,guide
840,اسلحه,gun
28,حال,had
717,مو,hair
336,نیم,half
64,دست,hand
332,اتفاق می افتد,happen
594,شاد,happy
231,سخت,hard
174,دارد,has
953,کلاه,hat
15,دارند,have
5,او,he
201,سر,head
265,گوش,hear
451,شنیده,heard
540,قلب,heart
390,حرارت,heat
543,سنگین,heavy
716,برگزار شد,held
135,کمک,help
167,او,her
71,اینجا,here
74,بالا,high
724,تپه,hill
172,او,him
3,خود,his
788,تاریخ,history
771,ضربه,hit
462,نگه داشتن,hold
699,سوراخ,hole
62,خانه,home
595,امیدوارم,hope
266,اسب,horse
19,داغ,hot
387,داغ,hot
453,ساعت,hour
87,خانه,house
46,چگونه,how
918,بزرگ,huge
787,انسانی,human
457,صد,hundred
502,شکار,hunt
828,عجله ب,hurry
2,من,i
527,یخ,ice
259,ایده,idea
44,اگر,if
794,تصور کنید,imagine
34,در,in
351,اینچ,inch
531,عبارتند از,include
783,نشان می دهد,indicate
742,صنعت,industry
780,حشرات,insect
877,فوری,instant
575,ابزار,instrument
465,علاقه,interest
970,اختراع,invent
691,اهن,iron
24,است,is
365,جزیره,island
25,آن,it
580,کار,job
617,عضویت,join
570,لذت,joy
700,پرش به,jump
129,فقط,just
221,نگه داشتن,keep
576,نگه داشته,kept
690,کلید,key
657,کشتن,kill
84,نوع,kind
349,پادشاه,king
344,می دانستم که,knew
189,می دانم,know
621,خانم,lady
659,دریاچه,lake
70,زمین,land
399,زبان,language
66,بزرگ,large
224,آخرین,last
240,اواخر,late
379,خنده,laugh
730,قانون,law
482,ذخیره کردن,lay
408,شود,lead
213,یادگیری,learn
610,کمترین,least
321,ترک,leave
929,رهبری,led
239,سمت چپ,left
562,پا,leg
516,طول,length
474,کمتر,less
225,اجازه,let
293,نامه,letter
978,سطح,level
745,دروغ,lie
248,زندگی,life
848,آسانسور,lift
83,نور,light
164,مانند,like
137,خط,line
894,مایع,liquid
310,لیست,list
470,گوش دادن,listen
113,کمی,little
109,زنده,live
777,قرار,locate
895,ورود به,log
561,تنها,lone
168,طولانی,long
175,نگاه,look
635,از دست داده,lost
687,زیادی,lot
662,با صدا,loud
487,دوست دارم,love
136,کم,low
411,ماشین,machine
108,ساخته شده,made
909,مغناطیس,magnet
273,اصلی,main
835,اصلی,major
169,را,make
116,مرد,man
159,بسیاری از,many
493,نقشه,map
291,علامت,mark
878,بازار,market
932,جرم,mass
851,کارشناس,master
913,مسابقه,match
550,ماده,material
528,موضوع,matter
195,ممکن است,may
122,به من,me
142,متوسط,mean
896,به معنای,meant
323,اندازه گیری,measure
817,گوشت,meat
704,ملاقات,meet
601,ملودی,melody
80,مردها,men
709,فلز,metal
672,روش,method
656,متوسط,middle
233,زور,might
295,مایل,mile
670,شیر,milk
591,میلیون,million
444,ذهن,mind
832,معدن,mine
441,دقیقه,minute
388,دست,miss
631,مخلوط,mix
769,مدرن,modern
987,مولکول,molecule
660,لحظه ای,moment
489,پول,money
590,ماه,month
364,ماه,moon
176,تر,more
475,صبح,morning
185,بیشترین,most
94,مادر,mother
892,حرکت,motion
566,کوه,mount
261,کوه,mountain
606,دهان,mouth
144,حرکت,move
141,بسیار,much
352,ضرب,multiply
288,موسیقی,music
72,باید,must
187,من,my
126,نامونام,name
668,کشور,nation
748,طبیعی,natural
889,طبیعت,nature
96,در نزدیکی,near
802,لازم,necessary
900,گردن,neck
86,نیاز,need
806,همسایه,neighbor
223,هرگز,never
102,جدید,new
277,بعدی,next
246,شب,night
975,نه,nine
184,هیچ,no
977,سر و صدا,noise
767,ظهر,noon
947,و نه,nor
250,شمال,north
996,بینی,nose
412,یادداشت,note
353,هیچ,nothing
499,اطلاع,notice
418,اسم,noun
199,ساعت,now
182,تعداد,number
328,بر اساس اعداد,numeral
360,شی,object
664,مشاهده,observe
886,رخ می دهد,occur
438,اقیانوس,ocean
30,از,of
85,خاموش,off
873,پیشنهاد,offer
603,دفتر,office
292,غالبا,often
435,آه,oh
626,نفت,oil
147,قدیمی,old
8,در,on
263,یک بار,once
14,یک,one
114,تنها,only
274,باز,open
760,کار,operate
963,در مقابل,opposite
27,و یا,or
338,منظور,order
673,عضو,organ
865,اصلی,original
38,دیگر,other
124,ما,our
37,از,out
188,روی,over
203,خود,own
901,اکسیژن,oxygen
204,صفحه,page
398,رنگ,paint
530,جفت,pair
285,مقاله,paper
713,بند,paragraph
853,پدر و مادر,parent
104,بخش,part
959,خاص,particular
774,حزب,party
345,عبور,pass
584,گذشته,past
893,راه,path
484,الگوی,pattern
674,پرداخت,pay
186,مردم,people
510,شاید,perhaps
782,دوره,period
488,فرد,person
734,عبارت,phrase
511,انتخاب کنید,pick
88,تصویر,picture
342,قطعه,piece
930,زمین,pitch
107,محل,place
302,ساده,plain
414,برنامه,plan
375,هواپیما,plane
827,سیاره,planet
214,کارخانه,plant
58,بازی,play
765,لطفا,please
997,جمع,plural
813,شعر,poem
93,نقطه,point
686,ضعیف,poor
880,جمعیت,populate
65,بندر,port
320,مطرح,pose
546,موقعیت,position
374,ممکن,possible
860,پست,post
423,پوند,pound
402,قدرت,power
761,عمل,practice
994,آماده,prepare
542,حاضر,present
244,مطبوعات,press
904,خوب,pretty
842,چاپ,print
503,احتمالی,probable
341,مشکل,problem
759,روند,process
448,محصول,produce
325,محصول,product
871,مناسب,proper
985,خاصیت,property
766,محافظت,protect
560,ثابت,prove
795,ارائه,provide
497,کشیدن,pull
711,فشار,push
61,قرار دادن,put
974,کوارت,quart
331,سوال,question
436,سریع,quick
680,آرام,quiet
653,کاملا,quite
897,خارج قسمت,quotient
554,مسابقه,race
784,رادیو,radio
793,نرده,rail
494,باران,rain
707,بالا بردن,raise
382,فرار,ran
890,دامنه,range
809,نه,rather
466,رسیدن به,reach
63,بهعنوان,read
306,اماده,ready
247,واقعی,real
515,دلیل,reason
604,دریافت,receive
370,رکورد,record
309,قرمز,red
520,منطقه,region
459,به یاد داش,remember
991,تکرار,repeat
884,پاسخ,reply
517,نمایندگی,represent
992,نیاز,require
420,بقیه,rest
722,نتیجه,result
756,غنی,rich
507,سوار,ride
145,راست,right
778,حلقه,ring
623,افزایش,rise
296,رودخانه,river
492,جاده,road
337,سنگ,rock
739,رول,roll
256,اتاق,room
705,ریشه,root
935,طناب,rope
840,افزایش,rose
115,دور,round
605,ردیف,row
818,مالیدن,rub
495,قانون,rule
241,اجرا,run
725,امن,safe
47,گفت:,said
549,بادبان,sail
995,نمک,salt
149,همان,same
737,شن,sand
572,شنبه,sat
648,ذخیره,save
235,اره,saw
134,می گویند,say
661,مقیاس,scale
209,مدرسه,school
254,علم,science
926,نمره,score
237,دریا,sea
837,جستجو,search
907,فصل,season
949,صندلی,seat
300,دوم,second
676,بخش,section
171,ببینید,see
615,دانه,seed
275,به نظر می رسد,seem
874,بخش,segment
988,ب کنید,select
98,خود,self
954,فروش,sell
838,ارسال,send
750,احساس,sense
640,ارسال,sent
131,حکم,sentence
762,جداگانه,separate
490,خدمت,serve
52,مجموعه,set
523,حل و فصل,settle
712,هفت,seven
478,چند,several
715,باید,shall
385,شکل,shape
866,سهم,share
803,تیز,sharp
150,او,she
856,ورق,sheet
899,پوسته,shell
984,درخشش,shine
334,کشتی,ship
965,کفش,shoe
981,فروشگاه,shop
854,ساحل,shore
327,کوتاه,short
205,باید,should
966,شانه,shoulder
612,فریاد,shout
119,نمایش,show
197,سمت,side
284,نظر,sight
582,علامت,sign
735,خاموش,silent
910,نقره ای,silver
923,مشابه,similar
477,ساده,simple
346,از سال,since
469,آواز خواندن,sing
692,تک,single
919,خواهر,sister
553,نشستن,sit
471,شش,six
521,اندازه,size
905,مهارت,skill
696,پوست,skin
568,آسمان,sky
875,برده,slave
559,خواب,sleep
936,لغزش,slip
485,کند,slow
59,کوچک,small
945,بوی,smell
697,لبخند,smile
391,برف,snow
165,تا,so
585,نرم,soft
738,خاک,soil
758,سرباز,soldier
908,راه حل,solution
708,حل,solve
23,برخی از,some
658,پسر,son
322,آهنگ,song
315,بزودی,soon
183,صدا,sound
340,جنوب,south
450,فضا,space
524,کنند,speak
443,ویژه,special
888,سخنرانی,speech
671,سرعت,speed
67,طلسم,spell
861,خرج کردن,spend
785,صحبت,spoke
844,نقطه,spot
967,گسترش,spread
663,بهار,spring
514,مربع,square
202,ایستادن,stand
416,ستاره,star
232,شروع,start
220,دولت,state
867,ایستگاه,station
355,اقامت,stay
376,جا,stead
891,بخار,steam
920,فولاد,steel
460,گام,step
693,چوب,stick
212,هنوز,still
681,سنگ,stone
427,ایستاده بود,stood
262,توقف,stop
556,فروشگاه,store
234,داستان,story
666,مستقیم,straight
598,عجیب و غر,strange
822,جریان,stream
350,خیابان,street
982,کشش,stretch
814,رشته,string
442,قوی,strong
772,دانش آموز,student
211,مطالعه,study
519,موضوع,subject
857,ماده,substance
957,تفریق,subtract
955,موفقیت,success
75,از جمله,such
512,ناگهانی,sudden
914,پسوند,suffix
902,قند,sugar
618,نشان می دهد,suggest
846,کت و ش,suit
557,تابستان,summer
217,آفتاب,sun
775,عرضه,supply
887,پشتیبانی,support
268,مطمئن,sure
362,سطح,surface
679,تعجب,surprise
961,شنا,swim
533,هجا,syllable
608,نماد,symbol
367,سیستم,system
472,جدول,table
447,دم,tail
105,را,take
313,بحث,talk
736,بلند,tall
430,آموزش,teach
632,تیم,team
898,دندانها,teeth
50,بگو,tell
740,درجه حرارت,temperature
476,ده,ten
962,مدت,term
369,آزمون,test
191,نسبت به,than
911,تشکر,thank
4,که,that
29,تر,the
42,شان,their
161,آنها را,them
160,پس از آن,then
152,وجود دارد,there
166,اینها,these
11,آنها,they
757,ضخامت,thick
825,نازک,thin
170,چیزی که,thing
133,فکر کردن,think
714,سوم,third
16,این,this
289,آن,those
311,هر چند,though
226,فکر,thought
380,هزار,thousand
53,سه,three
128,از طریق,through
983,پرتاب,throw
797,بنابر این,thus
833,کراوات,tie
43,زمان,time
682,کوچک,tiny
392,لاستیک,tire
31,به,to
276,با هم,together
343,گفت,told
616,تن,tone
148,هم,too
253,در زمان,took
942,ابزار,tool
347,بالا,top
943,کل,total
628,دستزدن,touch
480,به سمت,toward
403,شهر,town
852,آهنگ,track
600,تجارت,trade
558,قطار,train
473,سفر,travel
228,درخت,tree
826,مثلث,triangle
602,سفر,trip
611,مشکل,trouble
976,کامیون,truck
455,درست است,true
89,سعی کنید,try
819,لوله,tube
139,به نوبه خود,turn
695,بیست,twenty
173,دو,two
729,نوع,type
125,در,under
401,واحد,unit
294,تا زمانی که,until
154,بالا,up
90,ما,us
155,استفاده,use
304,معمول,usual
946,دره,valley
743,ارزش,value
522,متفاوت ا,vary
468,فعل,verb
127,بسیار,very
749,نظر,view
703,روستای,village
583,بازدید,visit
500,صدای,voice
479,واکه,vowel
413,صبر,wait
282,راه رفتن,walk
564,دیوار,wall
54,می خواهم,want
481,جنگ,war
439,گرم,warm
6,بود,was
807,شستشو,wash
269,تماشای,watch
190,اب,water
538,موج,wave
157,راه,way
35,ما,we
637,لباس,wear
589,آب و هوا,weather
431,هفته,week
525,وزن,weight
56,به خوبی,well
82,رفت,went
39,بود,were
463,غرب,west
22,چه,what
356,چرخ,wheel
153,وقتی که,when
110,که در آن,where
710,چه,whether
40,که,which
243,در حالی که,while
278,سفید,white
194,که,who
348,تمام,whole
776,که,whose
78,به همین دلیل,why
548,گسترده,wide
964,همسر,wife
574,وحشی,wild
45,خواهد شد,will
937,برنده,win
330,باد,wind
555,پنجره,window
804,بال,wing
571,زمستان,winter
633,سیم,wire
567,آرزو,wish
10,با,with
799,زن,woman
906,زنان,women
378,جای تعجب,wonder
752,نه,won’t
272,چوب,wood
20,کلمه,word
103,کار,work
95,جهان,world
163,را,would
162,نوشتن,write
573,نوشته شده,written
989,اشتباه,wrong
614,نوشت,wrote
622,حیاط,yard
117,سال,year
839,زرد,yellow
394,بله,yes
537,هنوز,yet
26,شما,you
305,جوان,young
156,خود را,your
