number,swedish,english
245,nära,close
597,kläder,clothe
678,moln,cloud
732,kust,coast
931,kappa,coat
498,förkylning,cold
647,samla,collect
830,koloni,colony
270,färg,color
986,kolonn,column
180,komma,come
372,gemensam,common
956,företaget,company
812,jämföra,compare
333,fullständig,complete
940,tillstånd,condition
859,ansluta,connect
728,överväga,consider
667,konsonant,consonant
428,innehålla,contain
1000,kontinent,continent
950,fortsätta,continue
649,kontroll,control
719,kock,cook
684,sval,cool
733,kopia,copy
811,majs,corn
773,hörn,corner
421,korrekt,correct
634,kostnad,cost
971,bomull,cotton
178,kunde,could
513,räkna,count
206,land,country
354,naturligtvis,course
215,lock,cover
579,ko,cow
698,veck,crease
805,skapa,create
768,gröda,crop
229,korsa,cross
810,publiken,crowd
409,rop,cry
847,ström,current
267,snitt,cut
868,pappa,dad
544,dans,dance
754,fara,danger
410,mörk,dark
177,dag,day
843,död,dead
960,affär,deal
882,kära,dear
903,död,death
361,besluta,decide
650,decimala,decimal
363,djup,deep
879,grad,degree
816,bero,depend
718,beskriva,describe
845,öken,desert
685,konstruktion,design
973,bestämma,determine
437,utveckla,develop
669,ordbok,dictionary
181,gjorde,did
609,dö,die
138,skiljer,differ
763,svårt,difficult
319,direkt,direct
921,diskutera,discuss
395,avlägsen,distant
532,divide,divide
855,delning,division
41,göra,do
764,läkare,doctor
51,gör,does
317,hund,dog
921,dollarn,dollar
424,klar,done
242,inte,don’t
324,dörr,door
948,dubbel,double
196,ner,down
238,rita,draw
938,dröm,dream
677,klänning,dress
885,dryck,drink
426,enhet,drive
539,släpp,drop
377,torka,dry
876,anka,duck
456,under,during
49,varje,each
651,örat,ear
461,tidig,early
99,jord,earth
284,lindra,ease
397,öst,east
255,äta,eat
581,kanten,edge
789,effekt,effect
506,ägg,egg
702,åtta,eight
721,antingen,either
790,elektrisk,electric
770,elementet,element
652,annars,else
60,ände,end
883,fiende,enemy
501,energi,energy
545,motor,engine
301,tillräckligt,enough
834,ange,enter
639,lika,equal
386,likställa,equate
915,speciellt,especially
69,även,even
939,kväll,evening
958,händelse,event
308,någonsin,ever
120,varje,every
607,exakta,exact
283,exempel,example
613,utom,except
747,excitera,excite
563,övning,exercise
791,förvänta,expect
925,erfarenhet,experience
688,experiment,experiment
222,öga,eye
271,ansikte,face
449,faktum,fact
645,verkligt,fair
407,falla,fall
318,familj,family
820,känd,famous
236,långt,far
230,gård,farm
467,snabb,fast
863,fett,fat
100,far,father
858,gynna,favor
823,rädsla,fear
941,foder,feed
312,känna,feel
298,fot,feet
642,föll,fell
534,kände,felt
249,några,few
419,fält,field
916,fig,fig
744,slagsmål,fight
415,figur,figure
396,fylla,fill
432,slutlig,final
200,hitta,find
404,fin,fine
741,finger,finger
593,yta,finish
339,eld,fire
193,först,first
260,fisk,fish
643,passa,fit
458,fem,five
694,platt,flat
720,våningen,floor
644,flöde,flow
596,blombud,flower delivery
406,flyga,fly
76,följ,follow
216,mat,food
366,fot,foot
7,för,for
358,kraft,force
552,skog,forest
130,formulär,form
922,framåt,forward
207,funnen,found
218,fyra,four
551,fraktion,fraction
440,fri,free
836,färsk,fresh
257,vän,friend
17,från,from
429,främre,front
755,frukt,fruit
357,fullständig,full
586,kul,fun
384,spel,game
638,trädgård,garden
588,gas,gas
980,samla,gather
433,gav,gave
526,allmän,general
798,mild,gentle
106,få,get
303,flicka,girl
123,ge,give
864,glad,glad
577,glas,glass
179,gå,go
373,guld,gold
599,borta,gone
121,bra,good
281,fick,got
496,regera,govern
535,stors,grand
578,gräs,grass
990,grå,gray
132,bra,great
434,grön,green
629,växte,grew
464,jord,ground
286,grupp,group
210,växa,grow
801,gissa,guess
924,guide,guide
840,pistol,gun
28,hade,had
717,hår,hair
336,halv,half
64,sidan,hand
332,hända,happen
594,lycklig,happy
231,hård,hard
174,har,has
953,keps,hat
15,ha,have
5,han,he
201,huvud,head
265,höra,hear
451,hört,heard
540,hjärta,heart
390,hetta,heat
543,tung,heavy
716,vänt,held
135,hjälpa,help
167,hennes,her
71,här,here
74,hög,high
724,kulle,hill
172,honom,him
3,hans,his
788,historia,history
771,hit,hit
462,håll,hold
699,hål,hole
62,hem,home
595,hoppas,hope
266,häst,horse
19,het,hot
387,het,hot
453,timme,hour
87,hus,house
46,hur,how
918,enormt,huge
787,humant,human
457,hundra,hundred
502,jakt,hunt
828,skynda,hurry
2,jag,i
527,is,ice
259,idé,idea
44,om,if
794,föreställa sig,imagine
34,i,in
351,tum,inch
531,inkluderar,include
783,indikerar,indicate
742,industrin,industry
966,innovation,innovation
780,insekt,insect
877,omedelbar,instant
575,instrumentet,instrument
465,intresse,interest
970,uppfinna,invent
691,järn,iron
24,är,is
365,ö,island
25,den,it
580,jobb,job
617,ansluta,join
570,glädje,joy
700,hoppa,jump
129,bara,just
221,hålla,keep
576,hålls,kept
690,nyckel,key
657,döda,kill
84,slag,kind
349,kung,king
344,visste,knew
189,vet,know
621,damen,lady
659,sjö,lake
70,mark,land
399,språk,language
66,stor,large
224,sista,last
240,sen,late
379,skratt,laugh
730,lag,law
482,låg,lay
408,bly,lead
213,lära,learn
610,minst,least
321,lämna,leave
929,ledde,led
239,vänster,left
562,ben,leg
516,längd,length
474,mindre,less
225,låt,let
293,bokstav,letter
978,nivå,level
745,lie,lie
248,liv,life
848,lift,lift
83,ljus,light
164,liknande,like
137,linje,line
894,vätska,liquid
310,lista,list
470,lyssna,listen
113,liten,little
109,lever,live
777,lokalisera,locate
895,logga,log
561,ensam,lone
168,lång,long
175,ser,look
635,förlorat,lost
687,mycket,lot
662,högt,loud
487,kärlek,love
136,låg,low
411,maskin,machine
108,gjort,made
909,magnet,magnet
273,huvud,main
835,större,major
169,göra,make
116,människa,man
159,många,many
493,karta,map
291,märke,mark
878,marknad,market
932,massa,mass
851,mästare,master
913,matchen,match
550,materialet,material
528,materia,matter
195,får,may
122,mig,me
142,betyda,mean
896,innebar,meant
323,mäta,measure
817,kött,meat
704,möts,meet
601,melodi,melody
80,män,men
709,metall,metal
672,metod,method
656,mitten,middle
233,kanske,might
295,mil,mile
670,mjölk,milk
591,miljoner,million
444,sinne,mind
832,gruva,mine
441,minut,minute
388,miss,miss
631,blanda,mix
769,moderna,modern
987,molekyl,molecule
660,ögonblick,moment
489,pengar,money
590,månad,month
364,månen,moon
176,mer,more
475,morgon,morning
185,mest,most
94,mor,mother
892,rörelse,motion
566,fäste,mount
261,berg,mountain
606,mun,mouth
144,drag,move
141,mycket,much
352,multiplicera,multiply
288,musik,music
72,must,must
187,min,my
126,namn,name
668,nation,nation
748,naturlig,natural
889,natur,nature
96,nära,near
802,nödvändig,necessary
900,hals,neck
86,behöver,need
806,granne,neighbor
223,aldrig,never
102,ny,new
277,nästa,next
246,natt,night
975,nio,nine
184,nej,no
977,buller,noise
767,middagstid,noon
947,eller,nor
250,norr,north
996,näsa,nose
412,anteckning,note
353,ingenting,nothing
499,meddelande,notice
418,subst,noun
199,nu,now
182,antal,number
328,siffran,numeral
360,objektet,object
664,observera,observe
886,inträffa,occur
438,ocean,ocean
30,av,of
85,off,off
873,erbjudandet,offer
603,kontor,office
292,ofta,often
435,ack,oh
626,olja,oil
147,gammal,old
8,på,on
263,en gång,once
14,ett,one
114,endast,only
274,öppen,open
760,fungera,operate
963,motsatt,opposite
27,eller,or
338,för,order
673,organ,organ
865,original,original
38,andra,other
124,vår,our
37,ut,out
188,över,over
203,egen,own
901,syre,oxygen
204,sida,page
398,måla,paint
530,par,pair
285,papper,paper
713,punkt,paragraph
853,förälder,parent
104,delen,part
959,särskilt,particular
774,parti,party
345,passera,pass
584,förbi,past
893,bana,path
484,mönster,pattern
674,betala,pay
186,människor,people
510,kanske,perhaps
782,period,period
488,personen,person
734,fras,phrase
511,plocka,pick
88,bilden,picture
342,stycke,piece
930,tonhöjd,pitch
107,plats,place
302,vanlig,plain
414,planen,plan
375,plan,plane
827,planet,planet
214,växt,plant
58,spela,play
765,vänligen,please
997,plural,plural
813,dikt,poem
93,punkt,point
686,dålig,poor
880,befolka,populate
65,port,port
320,pose,pose
546,ställning,position
374,möjlig,possible
860,inlägg,post
423,pund,pound
402,kraft,power
761,praktiken,practice
994,förbereda,prepare
542,föreliggande,present
244,tryck,press
904,ganska,pretty
842,tryck,print
503,trolig,probable
341,problemet,problem
759,processen,process
448,producera,produce
325,produkt,product
871,ordentlig,proper
985,egenskap,property
766,skydda,protect
560,bevisa,prove
795,tillhandahålla,provide
497,dra,pull
711,tryck,push
61,sätta,put
974,quart,quart
331,fråga,question
436,sammanfattning,quick
680,ro,quiet
653,ganska,quite
897,kvoten,quotient
554,ras,race
784,radio,radio
793,skena,rail
494,regn,rain
707,höja,raise
382,ran,ran
890,intervall,range
809,snarare,rather
466,nå,reach
63,läsa,read
306,klar,ready
247,verklig,real
515,anledningen,reason
604,motta,receive
370,register,record
309,röd,red
520,region,region
459,minnas,remember
991,upprepning,repeat
884,svara,reply
517,representerar,represent
992,kräva,require
420,resten,rest
722,resultat,result
756,rik,rich
507,ritt,ride
145,höger,right
778,ring,ring
623,stiga,rise
296,flod,river
492,väg,road
337,vagga,rock
739,rulle,roll
256,rum,room
705,rot,root
935,rep,rope
840,ros,rose
115,rund,round
605,rad,row
818,gnida,rub
495,regel,rule
241,köra,run
725,säker,safe
47,sa,said
549,segel,sail
995,salt,salt
149,samma,same
737,sand,sand
572,satellit,sat
648,spara,save
235,sågen,saw
134,säga,say
661,skala,scale
209,skola,school
254,vetenskap,science
926,poäng,score
237,hav,sea
837,sök,search
907,säsong,season
949,säte,seat
300,andra,second
676,sektion,section
171,se,see
615,frö,seed
275,tyckas,seem
874,segment,segment
988,välj,select
98,själv,self
954,sälja,sell
838,skicka,send
750,känsla,sense
640,skickat,sent
131,meningen,sentence
762,separat,separate
490,tjäna,serve
52,uppsättning,set
523,sedimentera,settle
712,sju,seven
478,flera,several
715,skall,shall
385,form,shape
866,andel,share
803,skarp,sharp
150,hon,she
856,ark,sheet
899,skal,shell
984,glans,shine
334,skepp,ship
965,sko,shoe
981,butik,shop
854,stranden,shore
327,kort,short
205,bör,should
612,rop,shout
119,visar,show
197,sida,side
284,syn,sight
582,tecken,sign
735,tyst,silent
910,silver,silver
923,liknande,similar
477,enkel,simple
346,sedan,since
469,sjunger,sing
692,singel,single
919,syster,sister
553,sitta,sit
471,sex,six
521,storlek,size
905,förmåga,skill
696,hud,skin
568,himmelsblå,sky
875,slav,slave
559,sömn,sleep
936,halka,slip
485,långsam,slow
59,liten,small
945,lukt,smell
697,le,smile
391,snö,snow
165,så,so
585,mjuk,soft
738,jord,soil
758,soldat,soldier
908,lösning,solution
708,lösa,solve
23,några,some
658,son,son
322,sång,song
315,snart,soon
183,sund,sound
340,söder,south
450,space,space
524,tala,speak
443,speciell,special
888,tal,speech
671,hastighet,speed
67,stava,spell
861,spendera,spend
785,talade,spoke
844,fläck,spot
967,spridning,spread
663,fjäder,spring
514,kvadrat,square
202,stå,stand
416,stjärna,star
232,start,start
220,tillstånd,state
867,station,station
355,bo,stay
376,stead,stead
891,ånga,steam
920,stål,steel
460,steg,step
693,pinne,stick
212,fortfarande,still
681,sten,stone
427,stod,stood
262,stoppa,stop
556,lagra,store
234,berättelse,story
666,rak,straight
598,främmande,strange
822,ström,stream
350,gata,street
982,sträcka,stretch
814,sträng,string
442,stark,strong
772,studenten,student
211,studie,study
519,ämne,subject
857,substans,substance
957,subtrahera,subtract
955,framgång,success
75,sådan,such
512,plötslig,sudden
914,suffixet,suffix
902,socker,sugar
618,föreslår,suggest
846,kostym,suit
557,sommar,summer
217,sol,sun
775,försörjning,supply
887,stöd,support
268,säker,sure
362,yta,surface
679,överraskning,surprise
961,simma,swim
533,stavelse,syllable
608,symbol,symbol
367,systemet,system
472,tabell,table
447,svans,tail
105,ta,take
313,diskussion,talk
736,tall,tall
430,undervisa,teach
632,lag,team
898,tänder,teeth
50,berätta,tell
740,temperatur,temperature
476,tio,ten
962,term,term
369,testet,test
191,än,than
911,tack,thank
4,att,that
29,den,the
42,deras,their
161,dem,them
152,där,there
166,dessa,these
11,de,they
757,tjock,thick
825,tunn,thin
170,sak,thing
133,tro,think
714,tredje,third
16,detta,this
289,de som,those
311,though,though
226,trodde,thought
380,tusen,thousand
53,tre,three
128,genom,through
983,kasta,throw
797,sålunda,thus
833,slips,tie
43,tid,time
682,liten,tiny
392,däcket,tire
31,till,to
276,tillsammans,together
343,sa,told
616,ton,tone
148,alltför,too
253,tog,took
942,verktyg,tool
347,topp,top
943,totalt,total
628,rör,touch
480,mot,toward
403,stad,town
852,spår,track
600,handel,trade
558,tåg,train
473,resor,travel
228,träd,tree
826,triangel,triangle
602,resa,trip
611,besvär,trouble
976,lastbil,truck
455,sant,true
89,försök,try
819,röret,tube
139,tur,turn
695,tjugo,twenty
173,två,two
729,typ,type
125,enligt,under
401,enhet,unit
294,tills,until
154,upp,up
90,oss,us
155,använda,use
304,vanligt,usual
946,dal,valley
743,värde,value
522,varierar,vary
468,verb,verb
127,mycket,very
749,vy,view
703,by,village
583,besök,visit
500,röst,voice
479,vokal,vowel
413,vänta,wait
282,gå,walk
564,vägg,wall
54,vill,want
481,krig,war
439,varm,warm
6,var,was
807,tvätt,wash
269,klocka,watch
190,vatten,water
538,våg,wave
157,sätt,way
35,vi,we
637,slitage,wear
589,väder,weather
431,vecka,week
525,vikt,weight
56,väl,well
82,gick,went
39,var,were
463,väster,west
22,vad,what
356,hjul,wheel
153,när,when
110,där,where
710,huruvida,whether
40,vilken,which
243,medan,while
278,vit,white
194,som,who
348,hela,whole
776,vars,whose
78,varför,why
548,bred,wide
964,fru,wife
574,vild,wild
45,kommer,will
937,win,win
330,vind,wind
555,fönster,window
804,vinge,wing
571,vinter,winter
633,tråd,wire
567,vill,wish
10,med,with
799,kvinna,woman
906,kvinnor,women
378,undra,wonder
752,kommer inte,won’t
272,trä,wood
20,ord,word
103,arbete,work
95,världen,world
163,skulle,would
162,skriva,write
573,skriven,written
989,fel,wrong
614,skrev,wrote
622,gård,yard
117,år,year
839,gul,yellow
394,ja,yes
537,ännu,yet
26,du,you
305,ung,young
156,din,your
