number,tajik,english
843,мурда,dead
960,созишномаи,deal
882,азиз,dear
903,марг,death
361,қарор,decide
650,даҳӣ,decimal
363,чуқур,deep
879,дараҷаи,degree
816,вобаста аст,depend
718,тасвир кардан,describe
845,биёбон,desert
685,лоиҳа,design
973,муайян кардан,determine
437,инкишоф,develop
669,луғат,dictionary
181,кард,did
609,мурдан,die
138,фарқ,differ
763,мураккаб,difficult
319,бевосита,direct
921,баррасии,discuss
395,дур,distant
532,нобаробарии,divide
855,воҳиди,division
41,кор,do
764,духтур,doctor
51,кунад,does
317,саг,dog
921,доллари,dollar
424,иҷро,done
242,накунед,don’t
324,дари,door
948,дучандон,double
196,поён,down
238,кашидан,draw
938,орзу,dream
677,либос,dress
885,нӯшидан,drink
426,рондан,drive
539,тарки,drop
377,хушк,dry
876,мурғобӣ,duck
456,дар муддати,during
49,ҳар як,each
651,гӯш,ear
461,барвақт,early
99,замин,earth
284,осон,ease
397,шарқ,east
255,хӯрдан,eat
581,гӯша,edge
789,таъсир,effect
506,тухм,egg
702,ҳашт,eight
721,ё,either
790,барқӣ,electric
770,элемент,element
652,боз,else
60,поён,end
883,душман,enemy
501,энергетика,energy
545,муҳаррик,engine
301,кофӣ,enough
834,даромадан,enter
639,баробар,equal
386,баробар,equate
915,махсусан,especially
69,ҳатто,even
939,шом,evening
958,ҳодиса,event
308,бор,ever
120,ҳар,every
607,тамғаи,exact
283,мисол,example
613,ба истиснои,except
747,excite,excite
563,варзиш,exercise
791,интизор,expect
925,таљрибаи,experience
688,озмоиш,experiment
222,чашм,eye
271,рӯй,face
449,далели,fact
645,намоишгоҳ,fair
407,афтод,fall
318,оила,family
820,машҳур,famous
236,дур,far
230,ферма,farm
467,зуд,fast
863,фарбеҳ,fat
100,падар,father
858,хаққи,favor
823,тарс,fear
941,хўроки,feed
312,фикр,feel
298,пойҳои,feet
642,афтод,fell
534,ҳис,felt
249,якчанд,few
419,соҳа,field
916,анҷир,fig
744,мубориза,fight
415,рақам,figure
396,пур кардан,fill
432,нињої,final
200,ёфт,find
404,хуб,fine
741,ангушт,finger
593,марра,finish
339,оташ,fire
193,аввал,first
260,моҳӣ,fish
643,муносиб,fit
458,панҷ,five
694,ҳамвор,flat
720,фарш,floor
644,ҷорист,flow
596,гул,flower
406,паридан,fly
76,пайравӣ,follow
216,таъом,food
366,по,foot
7,барои,for
358,қувваи,force
552,ҷангал,forest
130,шакл,form
922,пеш,forward
207,пайдо,found
218,чаҳор,four
551,њиссаи,fraction
440,озод,free
836,тару тоза,fresh
257,дугона,friend
17,аз,from
429,пеш,front
755,мева,fruit
357,пур,full
586,шавковар,fun
384,бозӣ,game
638,боғ,garden
588,газ,gas
980,гирд,gather
433,дод,gave
526,генерал,general
798,мулоим,gentle
106,гирифтан,get
303,духтар,girl
123,додан,give
864,хурсандиовар,glad
577,шиша,glass
179,рафтан,go
373,тилло,gold
599,гон,gone
121,хуб,good
281,гирифта,got
496,танзим,govern
535,гранд,grand
578,алаф,grass
990,хокистаранг,gray
132,калон,great
434,сабз,green
629,калон,grew
464,замин,ground
286,гурӯҳ,group
210,рӯёнидем,grow
801,тахмин,guess
924,ҳидоят,guide
840,таппончаи,gun
28,"буд,",had
717,мӯй,hair
336,нисф,half
64,даст,hand
332,рӯй,happen
594,хушбахтӣ,happy
231,мушкил,hard
174,дорад,has
953,кулоҳ,hat
15,доранд,have
5,вай,he
201,сар,head
265,"мешунавед,",hear
451,"шунидам,",heard
540,дил,heart
390,гармӣ,heat
543,вазнин,heavy
716,барпогардида,held
135,кӯмак,help
167,вай,her
71,ин ҷо,here
74,баланд,high
724,теппа,hill
172,вай,him
3,вай,his
788,таърих,history
771,задан,hit
462,доред,hold
699,сӯрох,hole
62,хона,home
595,умед,hope
266,асп,horse
19,гарм,hot
387,гарм,hot
453,соат,hour
87,хона,house
46,чӣ хел,how
918,калон,huge
787,инсон,human
457,сад,hundred
502,шикор,hunt
828,шитоб,hurry
2,ман,i
527,ях,ice
259,идеяи,idea
44,агар,if
794,тасаввур кардан,imagine
34,дар,in
351,инч,inch
531,дохил,include
783,ишора,indicate
742,саноат,industry
780,ҳашароти,insect
877,фаврӣ,instant
575,асбоби,instrument
465,манфиат,interest
970,"мебофтаанд,",invent
691,оҳан,iron
24,"аст,",is
365,ҷазира,island
25,ин,it
580,кор,job
617,ҳамроҳ,join
570,хурсандӣ,joy
700,паридан,jump
129,танҳо,just
221,доштан,keep
576,нигоњ,kept
690,калид,key
657,куштан,kill
84,навъ,kind
349,шоҳ,king
344,"медонист,",knew
189,донистан,know
621,муждарасон,lady
659,кул,lake
70,замин,land
399,забон,language
66,калон,large
224,охирин,last
240,дер,late
379,механданд,laugh
730,қонуни,law
482,фидо,lay
408,роҳбарӣ,lead
213,омӯхтан,learn
610,камтарин,least
321,тарк,leave
929,нн – нурнишон,led
239,чап,left
562,пои,leg
516,дарозӣ,length
474,камтар,less
225,бигзор,let
293,ҳарф,letter
978,сатњи,level
745,дурӯғ,lie
248,зиндагӣ,life
848,бардоред,lift
83,сабук,light
164,мисли,like
137,хати,line
894,моеъ,liquid
310,рӯйхат,list
470,гӯш кардан,listen
113,хурд,little
109,зинда,live
777,кўда-,locate
895,қайдгири,log
561,lone,lone
168,тӯлонӣ,long
175,нигоҳ,look
635,гумшуда,lost
687,лут,lot
662,баланд,loud
487,дӯст доштан,love
136,паст,low
411,мошина,machine
108,дод,made
909,оҳанрабо,magnet
273,асосӣ,main
835,асосии,major
169,кунад,make
116,одам,man
159,бисёр,many
493,харита,map
291,марк,mark
878,бозор,market
932,омма,mass
851,усто,master
913,бозии,match
550,моддї,material
528,масъала,matter
195,май,may
122,ба ман,me
142,маъно,mean
896,маънои,meant
323,чен,measure
817,гӯшт,meat
704,ҷавобгӯ,meet
601,оҳанг,melody
80,мардум,men
709,металл,metal
672,метод,method
656,миёна,middle
233,мабодо,might
295,мил,mile
670,шир,milk
591,миллион,million
444,хотир,mind
832,мина,mine
441,лаҳза,minute
388,хайрхоҳи,miss
631,омехта,mix
769,муосир,modern
987,молекулаи,molecule
660,лаҳзаи,moment
489,пул,money
590,моҳ,month
364,моҳ,moon
176,бештар,more
475,пагоҳирӯзӣ,morning
185,аксари,most
94,модар,mother
892,ҳаракат,motion
566,маунт,mount
261,кӯҳ,mountain
606,даҳон,mouth
144,ҳаракат,move
141,хеле,much
352,дучандонаш,multiply
288,мусиқӣ,music
72,бояд,must
187,аз ман,my
126,ном,name
668,миллат,nation
748,табиӣ,natural
889,табиат,nature
96,наздики,near
802,ҳатмӣ,necessary
900,гардан,neck
86,бояд,need
806,ҳамсоя,neighbor
223,ҳаргиз,never
102,нав,new
277,баъдӣ,next
246,шаб,night
975,нӯҳ,nine
184,нест,no
977,садои,noise
767,нимрӯз,noon
947,на,nor
250,шимол,north
996,бинӣ,nose
412,шарҳ,note
353,чизе,nothing
499,огоҳинома,notice
418,исм,noun
199,ҳозир,now
182,шумора,number
328,ададӣ,numeral
360,объекти,object
664,риоя,observe
886,рух,occur
438,уқёнус,ocean
30,аз,of
85,хомӯш кардан,off
873,пешниҳод,offer
603,офис,office
292,зуд-зуд,often
435,оҳ,oh
626,нефт,oil
147,кӯҳна,old
8,ба,on
263,бор,once
14,як,one
114,танҳо,only
274,кушодан,open
760,фаъолият,operate
963,муқобил,opposite
27,ё,or
338,тартибот,order
673,маќомоти,organ
865,аслии,original
38,дигар,other
124,мо,our
37,берун аз,out
188,дар болои,over
203,худ,own
901,кислород,oxygen
204,саҳифа,page
398,ранг,paint
530,ҷуфти,pair
285,коғаз,paper
713,банди,paragraph
853,волидайн,parent
104,қисми,part
959,махсус,particular
774,ҳизб,party
345,гузаштан,pass
584,гузашта,past
893,роҳ,path
484,намуна,pattern
674,пардохт,pay
186,мардум,people
510,мумкин,perhaps
782,муддат,period
488,одам,person
734,ибора,phrase
511,чинанд,pick
88,расм,picture
342,порчаи,piece
930,қатрон,pitch
107,ҷои,place
302,ҳамвор,plain
414,нақшаи,plan
375,ҳавопаймо,plane
827,сайёра,planet
214,растанӣ,plant
58,бозӣ,play
765,лутфан,please
997,ҷамъ,plural
813,шеър,poem
93,нуқтаи,point
686,камбизоат,poor
880,populate,populate
65,бандаргоҳ,port
320,тањдид,pose
546,мавқеи,position
374,имконпазир,possible
860,баъди,post
423,фунт,pound
402,ҳокимият,power
761,амал,practice
994,тайёр,prepare
542,ҳузур,present
244,матбуот,press
904,қашанг,pretty
842,чоп,print
503,имконпазир,probable
341,проблема,problem
759,раванди,process
448,офаридан,produce
325,маҳсулот,product
871,дуруст,proper
985,молу мулк,property
766,муҳофизат,protect
560,исбот кардан,prove
795,таъмин,provide
497,кашидан,pull
711,тела,push
61,гузошта,put
974,quart,quart
331,савол,question
436,тез,quick
680,оҳиста,quiet
653,тамоман,quite
897,quotient,quotient
554,нажод,race
784,радио,radio
793,роҳи оҳан,rail
494,борон,rain
707,баланд бардоштани,raise
382,шитофтанд,ran
890,диапазон,range
809,на,rather
466,расидан ба,reach
63,хондан,read
306,тайёр,ready
247,воқеии,real
515,сабаб,reason
604,гирифтан,receive
370,рекорд,record
309,сурх,red
520,вилоят,region
459,ёд,remember
991,такрор,repeat
884,ҷавоб,reply
517,намояндагӣ,represent
992,талаб,require
420,истироҳат,rest
722,дар натиҷа,result
756,сарватманд,rich
507,рафтан,ride
145,дуруст,right
778,ангуштарин,ring
623,қиём,rise
296,дарё,river
492,роҳ,road
337,шах,rock
739,лӯлапеч,roll
256,хона,room
705,реша,root
935,ресмоне,rope
840,бархост,rose
115,гирд,round
605,сатр,row
818,рубл,rub
495,волоияти,rule
241,давидан,run
725,бехатар,safe
47,гуфт:,said
549,шара,sail
995,намак,salt
149,якхела,same
737,рег,sand
572,шб,sat
648,наҷот,save
235,р,saw
134,гуфтан,say
661,миқёси,scale
209,мактаб,school
254,илм,science
926,ҳисоб,score
237,баҳр,sea
837,кофтуков,search
907,мавсим,season
949,курсии,seat
300,дуюм,second
676,ҷудокунӣ,section
171,дидан,see
615,тухмӣ,seed
275,назар,seem
874,сегмент,segment
988,интихоб кунед,select
98,худ-,self
954,фурӯхтан,sell
838,фиристодан,send
750,маъно,sense
640,фиристода,sent
131,ҳукми суд,sentence
762,алоҳида,separate
490,хизмат,serve
52,маҷмӯи,set
523,ҳал,settle
712,ҳафт,seven
478,якчанд,several
715,гузарон,shall
385,шакл,shape
866,саҳм,share
803,якбора,sharp
150,вай,she
856,лавҳаи,sheet
899,ниҳонӣ,shell
984,_лумо,shine
334,киштӣ,ship
965,кафш,shoe
981,салон,shop
854,соҳил,shore
327,кӯтоҳ,short
205,бояд,should
966,китфи,shoulder
612,бонги,shout
119,шоу,show
197,тараф,side
284,биноӣ,sight
582,имзо,sign
735,ором,silent
910,нуқра,silver
923,монанд,similar
477,содда,simple
346,зеро,since
469,сароидан,sing
692,ягона,single
919,хоҳар,sister
553,нишастан,sit
471,шаш,six
521,андоза,size
905,маҳорат,skill
696,пӯст,skin
568,осмон,sky
875,ғуломи,slave
559,хоб,sleep
936,зиддилағзиш,slip
485,оҳиста,slow
59,майда,small
945,бӯй,smell
697,табассум,smile
391,барф,snow
165,ҳамин тавр,so
585,нарм,soft
738,хок,soil
758,сарбоз,soldier
908,ҳал,solution
708,ҳал,solve
23,баъзе,some
658,писар,son
322,суруд,song
315,ба зудӣ,soon
183,садо,sound
340,ҷануб,south
450,фазо,space
524,сухан,speak
443,махсус,special
888,суханронӣ,speech
671,суръат,speed
67,насабатонро,spell
861,сарф,spend
785,гуфт,spoke
844,ҷойи,spot
967,паҳншавии,spread
663,баҳор,spring
514,мураббаъ,square
202,истодан,stand
416,ситора,star
232,оѓоз,start
220,давлат,state
867,истгоҳ,station
355,мондан,stay
376,"бартобед,",stead
891,буѓї,steam
920,пӯлоди,steel
460,қадами,step
693,чӯб,stick
212,то ҳол,still
681,санг,stone
427,"истода,",stood
262,ист,stop
556,мағозаи,store
234,ошёна,story
666,рост,straight
598,аҷиб,strange
822,наҳр,stream
350,кӯча,street
982,андарун,stretch
814,сатр,string
442,мустаҳкам,strong
772,донишҷӯи,student
211,омӯзиши,study
519,фан,subject
857,моддањои,substance
957,subtract,subtract
955,муваффақият,success
75,монанди,such
512,нобаҳангом,sudden
914,пасванд,suffix
902,шакар,sugar
618,пешниҳод,suggest
846,костюм,suit
557,тобистон,summer
217,офтоб,sun
775,таъминоти,supply
887,дастгирии,support
268,ҳосил,sure
362,рўизаминї,surface
679,ҳайратовар,surprise
961,шино,swim
533,syllable,syllable
608,рамз,symbol
367,система,system
472,мизи,table
447,дум,tail
105,мегирад,take
313,баҳси,talk
736,баланд,tall
430,таълим,teach
632,гурӯҳ,team
898,дандон,teeth
50,"мегӯям,",tell
740,ҳарорат,temperature
476,даҳ,ten
962,мӯҳлат,term
369,озмоиш,test
191,нисбат ба,than
911,ташаккур,thank
4,он,that
29,дар,the
42,онҳо,their
161,онҳо,them
160,баъд,then
152,он ҷо,there
166,онҳо,these
11,онҳо,they
757,пурдарахт,thick
825,тунук,thin
170,чиз,thing
133,фикр,think
714,сеюм,third
16,ин,this
289,онҳо,those
311,ҳатто,though
226,фикр,thought
380,ҳазор,thousand
53,се,three
128,ба воситаи,through
983,партофтан,throw
797,ҳамин тавр,thus
833,ақди,tie
43,вақт,time
682,майдаяк,tiny
392,хаста,tire
31,ба,to
276,ҳамроҳ,together
343,гуфт,told
616,оҳанги,tone
148,аз ҳад зиёд,too
253,"гирифта,",took
942,воситаи,tool
347,боло,top
943,умумии,total
628,ламс,touch
480,ба,toward
403,шаҳр,town
852,суруд,track
600,савдо,trade
558,поезд,train
473,сафари,travel
228,дарахт,tree
826,секунҷа,triangle
602,сафар,trip
611,душворӣ,trouble
976,мошини боркаш,truck
455,ҳақиқӣ,true
89,кӯшиш,try
819,tube,tube
139,навбати,turn
695,бист,twenty
173,ду,two
729,намуди,type
125,зери,under
401,воҳиди,unit
294,то,until
154,то,up
90,мо,us
155,истифода бурдан,use
304,муқаррарии,usual
946,водии,valley
743,арзиши,value
522,фарқ,vary
468,феъл,verb
127,бисёр,very
749,бознигарии,view
703,дењаи,village
583,боздид,visit
500,овоз,voice
479,vowel,vowel
413,интизор шудан,wait
282,рафтан,walk
564,девор,wall
54,мехоҳанд,want
481,ҷанг,war
439,гарм,warm
6,буд,was
807,шустан,wash
269,тамошо кардан,watch
190,об,water
538,мавҷи,wave
157,роҳ,way
35,мо,we
637,пӯшидан,wear
589,обу ҳаво,weather
431,ҳафта,week
525,тарозу,weight
56,хуб,well
82,рафт,went
39,буданд,were
463,ғарб,west
22,чӣ,what
356,чарх,wheel
153,кай,when
110,ки дар он,where
710,новобаста аз он,whether
40,кадом,which
243,ҳол он,while
278,сафед,white
194,кӣ,who
348,тамоми,whole
776,ки,whose
78,чаро,why
548,васеъ,wide
964,зани,wife
574,ваҳшӣ,wild
45,"хоҳад,",will
937,бурди,win
330,шамол,wind
555,тиреза,window
804,ҷиноҳи,wing
571,зимистон,winter
633,сим,wire
567,хоҳиш,wish
10,аз,with
799,зан,woman
906,занон,women
378,ҳайрат,wonder
752,не хоҳад,won’t
272,дарахт,wood
20,сухан,word
103,кор,work
95,ҷаҳон,world
163,розй,would
162,навиштан,write
573,навишта,written
989,нодуруст,wrong
614,навишт,wrote
622,ҳавлӣ,yard
117,сол,year
839,зард,yellow
394,ҳа,yes
537,ҳоло,yet
26,шумо,you
305,ҷавонон,young
156,шумо,your
