number,belarusian,english
229,перасякаюць,cross
810,натоўп,crowd
409,крык,cry
847,ток,current
267,выразаць,cut
868,тата,dad
544,танец,dance
754,небяспека,danger
410,цёмна-,dark
177,дзень,day
843,мёртвых,dead
960,здзелка,deal
882,дарагі,dear
903,смерць,death
361,"вырашыць,",decide
650,дзесятковай,decimal
363,глыбока,deep
879,ступень,degree
816,залежыць,depend
718,апісаць,describe
845,пустыня,desert
685,дызайн,design
973,вызначыць,determine
437,развіваць,develop
669,слоўнік,dictionary
181,зрабіў,did
609,памерці,die
138,адрозніваюцца,differ
763,цяжка,difficult
319,прамы,direct
921,абмеркаваць,discuss
395,аддаленая,distant
532,падзяляй,divide
855,дзяленне,division
41,зрабіць,do
764,лекар,doctor
51,робіць,does
317,сабака,dog
921,даляр,dollar
424,зроблена,done
242,ня,don’t
324,дзверы,door
948,двойчы,double
196,ўніз,down
238,прыцягнуць,draw
938,марыць,dream
677,сукенка,dress
885,напой,drink
426,прывад,drive
539,падзенне,drop
377,сухі,dry
876,качка,duck
456,ць,during
49,кожны,each
651,вуха,ear
461,рана,early
99,зямля,earth
284,палегчыць,ease
397,ўсход,east
255,з’есці,eat
581,край,edge
789,эфект,effect
506,яйка,egg
702,восем,eight
721,альбо,either
790,электрычная,electric
770,элемент,element
652,яшчэ,else
60,канец,end
883,вораг,enemy
501,энергіі,energy
545,рухавік,engine
301,дастаткова,enough
834,увядзіце,enter
639,роўныя,equal
386,прыраўняць,equate
915,асабліва,especially
69,нават,even
939,вечар,evening
958,мерапрыемства,event
308,альбо,ever
120,кожны,every
607,дакладная,exact
283,прыклад,example
613,акрамя,except
747,ўзбуджаюць,excite
563,практыкаванні,exercise
791,чакаць,expect
925,вопыт,experience
688,эксперымент,experiment
222,вачэй,eye
271,твар,face
449,факт,fact
645,кірмаш,fair
407,падаць,fall
318,сям’я,family
820,вядомы,famous
236,далёка,far
230,ферма,farm
467,хутка,fast
863,тлушчу,fat
100,бацька,father
858,карысць,favor
823,страх,fear
941,корму,feed
312,адчуваць,feel
298,ногі,feet
642,ўпаў,fell
534,адчуваў,felt
249,мала,few
419,поле,field
916,мал,fig
744,барацьба,fight
415,фігура,figure
396,запоўніць,fill
432,канчатковы,final
200,знайсці,find
404,выдатна,fine
741,палец,finger
593,аздабленне,finish
339,агонь,fire
193,першая,first
260,рыба,fish
643,адпавядаць,fit
458,пяць,five
694,плоскім,flat
720,паверх,floor
644,цячы,flow
596,кветка,flower
406,лётаць,fly
76,прытрымлівацца,follow
216,ежа,food
366,ногі,foot
7,для,for
358,сіла,force
552,лес,forest
130,форма,form
922,наперад,forward
207,знойдзена,found
218,чатыры,four
551,доля,fraction
440,бясплатна,free
836,свежы,fresh
257,сябар,friend
17,ад,from
429,пярэднія,front
755,садавіна,fruit
357,поўны,full
586,весела,fun
384,гульня,game
638,сад,garden
588,газу,gas
980,збіраць,gather
433,даў,gave
526,агульнае,general
798,пяшчотны,gentle
106,атрымаць,get
303,дзяўчына,girl
123,даваць,give
864,рады,glad
577,шкло,glass
179,перайсці,go
373,золата,gold
599,сышоў,gone
121,добрае,good
281,атрымаў,got
496,кіраваць,govern
535,гранд,grand
578,трава,grass
990,шэры,gray
132,вялікі,great
434,зялёны,green
629,вырасла,grew
464,зямля,ground
286,група,group
210,расці,grow
801,думаю,guess
924,накіроўваць,guide
840,пісталет,gun
28,было,had
717,валасы,hair
336,палова,half
64,рука,hand
332,адбудзецца,happen
594,шчаслівыя,happy
231,цяжка,hard
174,мае,has
953,капялюш,hat
15,мець,have
5,ён,he
201,кіраўнік,head
265,чуюць,hear
451,чуў,heard
540,сэрца,heart
390,цяпло,heat
543,цяжкі,heavy
716,якія трымаюць,held
135,дапамагчы,help
167,яе,her
71,тут,here
74,высокі,high
724,пагорак,hill
172,яго,him
3,яго,his
788,гісторыя,history
771,хіт,hit
462,трымаць,hold
699,адтуліну,hole
62,дадому,home
595,спадзяюся,hope
266,конь,horse
19,гарачая,hot
387,гарачая,hot
453,гадзіну,hour
87,дом,house
46,як,how
918,велізарны,huge
787,чалавек,human
457,сто,hundred
502,паляванне,hunt
828,спяшацца,hurry
2,я,i
527,лёд,ice
259,ідэя,idea
44,калі,if
794,уявіце,imagine
34,папера,in
351,цаля,inch
531,ўключаюць,include
783,паказваюць,indicate
742,прамысловасць,industry
780,казурка,insect
877,імгненнае,instant
575,інструмент,instrument
465,цікавасць,interest
970,вынайсці,invent
691,жалеза,iron
24,з’яўляецца,is
365,востраў,island
25,гэта,it
580,праца,job
617,далучыцца,join
570,радасць,joy
700,скакаць,jump
129,проста,just
221,трымаць,keep
576,захоўваецца,kept
690,ключ,key
657,забіць,kill
84,выгляд,kind
349,кароль,king
344,ведаў,knew
189,ведаю,know
621,лэдзі,lady
659,возера,lake
70,зямля,land
399,мова,language
66,вялікі,large
224,апошняе,last
240,позна,late
379,смех,laugh
730,закон,law
482,закласці,lay
408,прывесці,lead
213,даведацца,learn
610,меры,least
321,пакінуць,leave
929,прывяло,led
239,засталося,left
562,нага,leg
516,даўжыня,length
474,менш,less
225,хай,let
293,ліст,letter
978,ўзровень,level
745,хлусня,lie
248,жыццё,life
848,ліфт,lift
83,святло,light
164,як,like
137,лінія,line
894,вадкасці,liquid
310,спіс,list
470,слухаць,listen
113,трохі,little
109,жыць,live
777,знайсці,locate
895,увайсці,log
561,самотны,lone
168,доўга,long
175,глядзець,look
635,страцілі,lost
687,шмат,lot
662,гучна,loud
487,люблю,love
136,нізкі,low
411,машына,machine
108,зрабіў,made
909,магніт,magnet
273,галоўная,main
835,асноўным,major
169,зрабіць,make
116,чалавек,man
159,многія,many
493,карта,map
291,знак,mark
878,рынак,market
932,шмат,mass
851,майстар,master
913,матч,match
550,матэрыял,material
528,справа,matter
195,можа,may
122,мяне,me
142,значыць,mean
896,азначала,meant
323,вымярэння,measure
817,мяса,meat
704,знаёмства,meet
601,мелодыя,melody
80,мужчыны,men
709,металу,metal
672,метад,method
656,сярэдні,middle
233,моцы,might
295,км,mile
670,малако,milk
591,млн,million
444,розум,mind
832,шахта,mine
441,хвілін,minute
388,міс,miss
631,змешваць,mix
769,сучасны,modern
987,малекула,molecule
660,момант,moment
489,грошы,money
590,месяц,month
364,месяц,moon
176,яшчэ,more
475,раніца,morning
185,найбольш,most
94,маці,mother
892,рух,motion
566,мацаванне,mount
261,гара,mountain
606,рот,mouth
144,ход,move
141,шмат,much
352,памножыць,multiply
288,музыка,music
72,павінны,must
187,мой,my
126,імя,name
668,нацыя,nation
748,натуральна,natural
889,прырода,nature
96,побач,near
802,неабходна,necessary
900,шыя,neck
86,трэба,need
806,сусед,neighbor
223,ніколі не,never
102,новы,new
277,наступны,next
246,ноч,night
975,дзевяць,nine
184,няма,no
977,шум,noise
767,апоўдні,noon
947,ні,nor
250,на поўнач,north
996,масць,nose
412,заўвага,note
353,нічога,nothing
499,апавяшчэнне,notice
418,назоўнік,noun
199,зараз,now
182,лік,number
328,лічба,numeral
360,аб’ект,object
664,назіраць,observe
886,адбываюцца,occur
438,акіян,ocean
30,зялёны,of
85,ад,off
873,прапанову,offer
603,офіс,office
292,часта,often
435,ой,oh
626,алей,oil
147,стары,old
8,на,on
263,раз,once
14,адзін,one
114,толькі,only
274,адкрыты,open
760,працаваць,operate
963,насупраць,opposite
27,або,or
338,парадак,order
673,орган,organ
865,арыгінальны,original
38,іншыя,other
124,наш,our
37,прынёс,out
188,больш,over
203,самастойна,own
901,кіслароду,oxygen
204,старонка,page
398,фарба,paint
530,пара,pair
285,папера,paper
713,пункт,paragraph
853,бацька,parent
104,частка,part
959,прыватнасці,particular
774,партыя,party
345,прайсці,pass
584,міма,past
893,шлях,path
484,малюнак,pattern
674,плаціць,pay
186,людзі,people
510,"магчыма,",perhaps
782,перыяд,period
488,чалавек,person
734,фраза,phrase
511,выбраць,pick
88,фота,picture
342,шт,piece
930,крок,pitch
107,месца,place
302,раўніна,plain
414,план,plan
375,самалёт,plane
827,планета,planet
214,завод,plant
58,гуляць,play
765,калі ласка,please
997,множны,plural
813,верш,poem
93,кропка,point
686,бедных,poor
880,запаўнення,populate
65,порт,port
320,ўяўляюць,pose
546,становішча,position
374,магчыма,possible
860,паведамленне,post
423,фунт,pound
402,магутнасць,power
761,практыка,practice
994,падрыхтаваць,prepare
542,прысутнічае,present
244,націсніце,press
904,даволі,pretty
842,друк,print
503,"верагодна,",probable
341,праблема,problem
759,працэс,process
448,вырабляць,produce
325,прадукт,product
871,уласна,proper
985,нерухомасць,property
766,абароны,protect
560,даказаць,prove
795,забяспечыць,provide
497,пацягніце,pull
711,штуршок,push
61,пакласці,put
974,кварта,quart
331,пытанне,question
436,хутка,quick
680,ціха,quiet
653,цалкам,quite
897,фактар,quotient
554,гонка,race
784,радыё,radio
793,чыгуначныя,rail
494,дождж,rain
707,падняць,raise
382,пабег,ran
890,дыяпазон,range
809,хкутнік,rather
466,дасягнуць,reach
63,чытаць,read
306,гатовы,ready
247,рэальны,real
515,прычына,reason
604,атрымліваць,receive
370,запіс,record
309,чырвоны,red
520,вобласць,region
459,памятаю,remember
991,паўторыце,repeat
884,адказаць,reply
517,ўяўляюць,represent
992,патрабуюць,require
420,астатнія,rest
722,вынік,result
756,багатыя,rich
507,паездка,ride
145,права,right
778,кальцо,ring
623,расці,rise
296,рака,river
492,дарога,road
337,рок,rock
739,рол,roll
256,нумар,room
705,корань,root
935,вяроўка,rope
840,вырасла,rose
115,круглы,round
605,радок,row
818,руб,rub
495,правіла,rule
241,прабег,run
725,сейф,safe
47,сказаў,said
549,ветразь,sail
995,соль,salt
149,ж,same
737,пясок,sand
572,сб,sat
648,захаваць,save
235,піла,saw
134,сказаць,say
661,шкала,scale
209,школа,school
254,навука,science
926,адзнака,score
237,мора,sea
837,пошук,search
907,сезон,season
949,сядзенні,seat
300,другі,second
676,раздзел,section
171,гл,see
615,насення,seed
275,здаецца,seem
874,сегмент,segment
988,выберыце,select
98,самастойна,self
954,прадаць,sell
838,адправіць,send
750,сэнс,sense
640,адпраўлена,sent
131,прысуд,sentence
762,асобны,separate
490,служыць,serve
52,набор,set
523,ўрэгуляваць,settle
712,сем,seven
478,некалькі,several
715,павінен,shall
385,форма,shape
866,доля,share
803,востры,sharp
150,яна,she
856,ліст,sheet
899,абалонка,shell
984,бляск,shine
334,карабель,ship
965,абутку,shoe
981,крама,shop
854,бераг,shore
327,кароткая,short
205,павінны,should
966,плячо,shoulder
612,крык,shout
119,шоў,show
197,бок,side
284,зрок,sight
582,знак,sign
735,маўчанне,silent
910,срэбра,silver
923,падобныя,similar
477,просты,simple
346,стол,since
469,спяваць,sing
692,адзін,single
919,сястра,sister
553,сядзець,sit
471,шэсць,six
521,памер,size
905,уменне,skill
696,скура,skin
568,неба,sky
875,раб,slave
559,сон,sleep
936,слізгацення,slip
485,павольна,slow
59,невялікі,small
945,пах,smell
697,ўсмешка,smile
391,снег,snow
165,так,so
585,мяккая,soft
738,глебы,soil
758,салдат,soldier
908,рашэнне,solution
708,вырашыць,solve
23,некаторыя,some
658,сын,son
322,песня,song
315,хутка,soon
183,гук,sound
340,поўдзень,south
450,прастору,space
524,казаць,speak
443,спецыяльная,special
888,гаворка,speech
671,хуткасць,speed
67,загавораў,spell
861,правесці,spend
785,казаў,spoke
844,пляма,spot
967,распаўсюджванне,spread
663,вясна,spring
514,квадратны,square
202,стаяць,stand
416,зорка,star
232,пачатак,start
220,стан,state
867,станцыя,station
355,застацца,stay
376,замест яго,stead
891,пара,steam
920,сталь,steel
460,крок,step
693,палка,stick
212,яшчэ,still
681,камень,stone
427,стаяў,stood
262,спыніць,stop
556,крама,store
234,гісторыя,story
666,прама,straight
598,дзіўна,strange
822,паток,stream
350,вуліца,street
982,стрейч,stretch
814,радок,string
442,моцны,strong
772,студэнт,student
211,даследаванне,study
519,тэма,subject
857,рэчыва,substance
957,адняць,subtract
955,поспех,success
75,такіх,such
512,раптоўнае,sudden
914,суфікс,suffix
902,цукар,sugar
618,прапанаваць,suggest
846,касцюм,suit
557,лета,summer
217,чц,sun
775,харчавання,supply
887,падтрымка,support
268,упэўнены,sure
362,паверхню,surface
679,сюрпрыз,surprise
961,плаваць,swim
533,склад,syllable
608,сімвал,symbol
367,сістэма,system
472,стол,table
447,хвост,tail
105,прыняць,take
313,абмеркаванне,talk
736,высокі,tall
430,вучыць,teach
632,каманда,team
898,зубы,teeth
50,сказаць,tell
740,тэмпература,temperature
476,дзесяць,ten
962,тэрмін,term
369,тэст,test
191,чым,than
911,дзякуй,thank
4,што,that
29,ўсход,the
42,іх,their
161,іх,them
160,затым,then
152,ёсць,there
166,гэта,these
11,яны,they
757,таўшчынёй,thick
825,тонкі,thin
170,рэч,thing
133,думаю,think
714,трэцяя,third
16,гэта,this
289,"тых,",those
311,хоць,though
226,думаў,thought
380,тыс,thousand
53,тры,three
128,праз,through
983,кінуць,throw
797,"такім чынам,",thus
833,гальштук,tie
43,час,time
682,малюсенькі,tiny
392,шыны,tire
31,смех,to
276,разам,together
343,сказаў,told
616,тон,tone
148,занадта,too
253,узяў,took
942,інструмент,tool
347,лепшых,top
943,за ўсё,total
628,дакранайцеся,touch
480,да,toward
403,горад,town
852,трэк,track
600,гандаль,trade
558,цягнік,train
473,паездкі,travel
228,дрэва,tree
826,трохкутнік,triangle
602,паездка,trip
611,бяда,trouble
976,грузавік,truck
455,праўда,true
89,паспрабуйце,try
819,трубка,tube
139,паварот,turn
695,дваццаць,twenty
173,два,two
729,тып,type
125,пад,under
401,блок,unit
294,да,until
154,да,up
90,нам,us
155,выкарыстанне,use
304,звычайна,usual
946,даліна,valley
743,значэнне,value
522,вар’іравацца,vary
468,дзеяслоў,verb
127,вельмі,very
749,выгляд,view
703,вёска,village
583,візіт,visit
500,голас,voice
479,галосны,vowel
413,чакаць,wait
282,хадзіць,walk
564,сцяна,wall
54,хачу,want
481,вайна,war
439,цёплы,warm
6,было,was
807,мыццё,wash
269,глядзець,watch
190,вада,water
538,хваля,wave
157,спосаб,way
35,мы,we
637,насіць,wear
589,надвор’е,weather
431,тыдзень,week
525,вага,weight
56,добра,well
82,пайшоў,went
39,былі,were
463,захад,west
22,што,what
356,колы,wheel
153,калі,when
110,дзе,where
710,ці,whether
40,якія,which
243,у той час як,while
278,белы,white
194,хто,who
348,ўся,whole
776,якога,whose
78,чаму,why
548,шырокі,wide
964,жонка,wife
574,дзікі,wild
45,будзе,will
937,перамога,win
330,вецер,wind
555,акно,window
804,крыло,wing
571,зіма,winter
633,провад,wire
567,хочаце,wish
10,даць,with
799,жанчына,woman
906,жанчыны,women
378,цікава,wonder
752,не будзе,won’t
272,дрэва,wood
20,слова,word
103,праца,work
95,свет,world
163,будзе,would
162,напісаць,write
573,напісана,written
989,няправільна,wrong
614,напісаў,wrote
622,двор,yard
117,год,year
839,жоўты,yellow
394,ды,yes
537,яшчэ,yet
26,вы,you
305,малады,young
156,ваш,your
