number,luxembourgish,english
333,komplett,complete
940,zoustand,condition
859,konnektéieren,connect
728,betruecht,consider
667,konsonant,consonant
428,enthalen,contain
1000,kontinent,continent
950,weider,continue
649,kontroll,control
719,kreéiert,cook
684,cool,cool
733,kopéieren,copy
811,feierblumm,corn
773,corner,corner
421,korrekt,correct
634,kascht,cost
971,kotteng,cotton
178,konnt,could
513,grof,count
206,land,country
354,natierlech,course
215,cover,cover
579,waaser,cow
698,crease,crease
805,schafen,create
768,boun,crop
229,kräiz,cross
810,gedonnert,crowd
409,kräisch,cry
847,aktuell,current
267,géigewier,cut
868,papp,dad
544,danz,dance
754,gefor,danger
410,däischter,dark
177,dag,day
843,dout,dead
960,bäigeléiert,deal
882,léiwe,dear
903,doud,death
361,decidéieren,decide
650,dezimalzuel,decimal
363,déif,deep
879,ofschloss,degree
816,ofhängeg,depend
718,beschreiwen,describe
845,wüst,desert
685,design,design
973,bestëmmen,determine
437,entwéckelen,develop
669,këscht,dictionary
181,gemaach,did
609,stierwen,die
138,ënnerscheeden,differ
763,schwéier,difficult
319,direkten,direct
921,diskutéieren,discuss
395,wäit,distant
532,gruef,divide
855,divisioun,division
41,maachen,do
764,dokter,doctor
51,heescht,does
317,hond,dog
921,dollar,dollar
424,gemaach,done
242,maachen net,don’t
324,dier,door
948,duebel,double
196,iwwer,down
238,zéien,draw
938,dram,dream
677,rack,dress
885,drénken,drink
426,fuert,drive
539,lëscht,drop
377,dréchnen,dry
876,int,duck
456,während,during
49,all,each
651,ouer,ear
461,fréi,early
99,äerd,earth
284,liichtegkeet,ease
397,osten,east
255,iessen,eat
581,wäitschoss,edge
789,effet,effect
506,ee,egg
702,aacht,eight
721,entweder,either
790,elektrescht,electric
770,element,element
652,soss,else
60,enn,end
883,géigner,enemy
501,energie,energy
545,moteur,engine
301,genuch,enough
834,gitt,enter
639,gläichberechtegt,equal
386,näämlech,equate
915,besonnesch,especially
69,souguer,even
939,owend,evening
958,héichwaasser,event
308,jee,ever
120,all,every
607,genau,exact
283,beispill,example
613,ausser,except
747,provozéiert,excite
563,trainéieren,exercise
791,erwaart,expect
925,erfahrung,experience
688,experimenter,experiment
222,aen,eye
271,gesiicht,face
449,tatsaach,fact
645,fair,fair
407,hierscht,fall
318,famill,family
820,berühmte,famous
236,wäit,far
230,bauerenhaff,farm
467,séier,fast
863,fett,fat
100,papp,father
858,dofir,favor
823,angscht,fear
941,feed,feed
312,fillen,feel
298,féiss,feet
642,gefall,fell
534,gefillt,felt
249,puer,few
419,beräich,field
916,figebam,fig
744,kampf,fight
415,zuelen,figure
396,fëllen,fill
432,finale,final
200,fannen,find
404,geldstrof,fine
741,fanger,finger
593,virum,finish
339,feier,fire
193,éischten,first
260,fësch,fish
643,fit,fit
458,fënnef,five
694,appartement,flat
720,stack,floor
644,onkontrolléiert,flow
596,kiischtebléieschau,flower
406,fléien,fly
76,verfollegen,follow
216,liewensmëttel,food
366,fouss,foot
7,fir,for
358,kraaft,force
552,bësch,forest
130,form,form
922,vir,forward
207,fonnt,found
218,véier,four
551,fraktioun,fraction
440,fräi,free
836,frësch,fresh
257,frënd,friend
17,aus,from
429,virun,front
755,uebst,fruit
357,voll,full
586,spaass,fun
384,spill,game
638,gaart,garden
588,gas,gas
980,léeen,gather
433,huet,gave
526,allgemeng,general
798,sanft,gentle
106,kréien,get
303,girl,girl
123,ginn,give
864,frou,glad
577,glas,glass
179,ginn,go
373,gold,gold
599,eriwwer,gone
121,gutt,good
281,ass,got
496,regéieren,govern
535,grouss,grand
578,ausgerëtscht,grass
990,gro,gray
132,super,great
434,gréng,green
629,gewuess,grew
464,buedem,ground
286,grupp,group
210,wuessen,grow
801,roden,guess
924,guide,guide
840,eng pistoul,gun
28,hu,had
717,hoer,hair
336,halschent,half
64,dem,hand
332,geschéien,happen
594,glécklech,happy
231,schwéier,hard
174,huet,has
953,hittchen,hat
15,hunn,have
5,hien,he
201,kapp,head
265,héieren,hear
451,héieren,heard
540,häerz,heart
390,hëtzt,heat
543,schwéierindustrie,heavy
716,ofgehale ginn,held
135,hëllef,help
167,hirem,her
71,hei,here
74,héich,high
724,bierg,hill
172,him,him
3,sengem,his
788,geschicht,history
771,hit,hit
462,engëm,hold
699,lach,hole
62,doheem,home
595,hoffen,hope
266,päerd,horse
19,waarm,hot
387,waarm,hot
453,stonn,hour
87,haus,house
46,wéi,how
918,grousse,huge
787,mënsch,human
457,honnert,hundred
502,kentaur,hunt
828,presséiert,hurry
2,ech,i
527,äis,ice
259,iddi,idea
44,wann,if
794,envisagéieren,imagine
34,an,in
351,zoll,inch
531,gehéiert,include
783,charakteriséieren,indicate
742,industrie,industry
780,insekt,insect
877,instant,instant
575,instrument,instrument
465,interesséieren,interest
970,sort,invent
691,eisen,iron
24,ass,is
365,insel,island
25,et,it
580,aarbecht,job
617,anzeschreiwen,join
570,glécksgefill,joy
700,sprangen,jump
129,just,just
221,halen,keep
576,huet,kept
690,schlëssel,key
657,ëmzebréngen,kill
84,aart,kind
349,kinnek,king
344,riwwer,knew
189,wëssen,know
621,fra,lady
659,séi,lake
70,land,land
399,sprooch,language
66,grouss,large
224,leschte,last
240,spéit,late
379,laachen,laugh
730,gesetz,law
482,zougemaach,lay
408,an,lead
213,léieren,learn
610,mannst,least
321,verloossen,leave
929,led,led
239,lénks,left
562,been,leg
516,längt,length
474,manner,less
225,loosse,let
293,bréif,letter
978,niveau,level
745,gelunn,lie
248,liewen,life
848,ëmdréien,lift
83,liicht,light
164,wëll,like
137,linn,line
894,flësseg,liquid
310,lëscht,list
470,haaptmenu,listen
113,wéineg,little
109,liewen,live
777,situéiert,locate
895,läschlëscht,log
561,kommissiounen,lone
168,laang,long
175,wanterschlof,look
635,verluer,lost
687,vill,lot
662,haart,loud
487,léift,love
136,héich,low
411,maschinn,machine
108,gemaach,made
909,magnéit,magnet
273,haaptstrooss,main
835,grouss,major
169,maachen,make
116,mënsch,man
159,vill,many
493,uweisen,map
291,uerg,mark
878,maart,market
932,mass,mass
851,meeschtesch,master
913,match,match
550,material,material
528,matière,matter
195,mee,may
122,mech,me
142,heeschen,mean
896,gemengt,meant
323,moossnam,measure
817,fleesch,meat
704,treffen,meet
601,ouverture,melody
80,männer,men
709,metal,metal
672,method,method
656,mëtt,middle
233,kéint,might
295,haushéich,mile
670,mëllech,milk
591,milliounen,million
444,geescht,mind
832,grouf,mine
441,minutt,minute
388,profitéiert,miss
631,mix,mix
769,modern,modern
987,protein,molecule
660,moment,moment
489,suen,money
590,mount,month
364,äerdmound,moon
176,méi,more
475,moien,morning
185,meeschte,most
94,mamm,mother
892,dréchnen,motion
566,montéierung,mount
261,bierg,mountain
606,mond,mouth
144,réckelen,move
141,vill,much
352,féngeren,multiply
288,musek,music
72,muss,must
187,meng,my
126,numm,name
668,natioun,nation
748,natierlech,natural
889,natur,nature
96,nieft,near
802,néideg,necessary
900,verwonnt,neck
86,brauchen,need
806,noper,neighbor
223,ni,never
102,nei,new
277,nächst,next
246,nuecht,night
975,néng,nine
184,nee,no
977,kaméidi,noise
767,mëttes,noon
947,nach,nor
250,norden,north
996,nues,nose
412,notéieren,note
353,näischt,nothing
499,notiz,notice
418,gehandelt ginn,noun
199,elo,now
182,zuel,number
328,numeral,numeral
360,objet,object
664,observéieren,observe
886,geschéien,occur
438,ozean,ocean
30,vun,of
85,ugefaangen,off
873,offer,offer
603,büro,office
292,oft,often
435,oh,oh
626,ueleg,oil
147,al,old
8,op,on
263,eemol,once
14,eent,one
114,nëmmen,only
274,open,open
760,bedreiwen,operate
963,géigendeel,opposite
27,oder,or
338,uerdnung,order
673,uergel,organ
865,original,original
38,aner,other
124,eiser,our
37,aus,out
188,iwwer,over
203,eege,own
901,sauerstoff,oxygen
204,säit,page
398,fierwen,paint
530,hien huet misse,pair
285,pabeier,paper
713,paragraph,paragraph
853,elterendeel,parent
104,deel,part
959,besonnesch,particular
774,partei,party
345,virum,pass
584,vergaangenheet,past
893,ugebonne,path
484,muster,pattern
674,bezuelen,pay
186,leit,people
510,vläicht,perhaps
782,zäitraum,period
488,persoun,person
734,ausdrock,phrase
511,kiischt,pick
88,eroplueden,picture
342,stéck,piece
930,ofwierzentrum,pitch
107,plaz,place
302,kreon,plain
414,plangen,plan
375,fliger,plane
827,planéit,planet
214,planz,plant
58,leeschtung,play
765,wann ech glift,please
997,méizuel,plural
813,gedicht,poem
93,punkt,point
686,aarmséileg,poor
880,rouegen,populate
65,port,port
320,verkleeden,pose
546,positioun,position
374,méiglech,possible
860,post,post
423,weier,pound
402,muecht,power
761,praxis,practice
994,preparéieren,prepare
542,presentéieren,present
244,press,press
904,flott,pretty
842,print,print
503,probabel,probable
341,problem,problem
759,prozess,process
448,recycléieren,produce
325,produit,product
871,zäitmiessung,proper
985,propriétéit,property
766,protegéieren,protect
560,beweise,prove
795,déi,provide
497,erluecht,pull
711,auslänner,push
61,no,put
974,quart,quart
331,fro,question
436,quick,quick
680,roueg,quiet
653,relativ,quite
897,quotient,quotient
554,course,race
784,radio,radio
793,persounegare,rail
494,reen,rain
707,dréimoment,raise
382,géigespiller,ran
890,rei,range
809,éischter,rather
466,erreeche,reach
63,liesen,read
306,prett,ready
247,real,real
515,grond,reason
604,kréien,receive
370,rekord,record
309,rout,red
520,regioun,region
459,erënneren,remember
991,widderhuelen,repeat
884,reply,reply
517,representéieren,represent
992,verlaangen,require
420,rescht,rest
722,resultat,result
756,räich,rich
507,corse,ride
145,riets,right
778,ring,ring
623,klammen,rise
296,floss,river
492,strooss,road
337,rock,rock
739,däerfs,roll
256,zëmmer,room
705,root,root
935,seel,rope
840,opgefuer,rose
115,ronn,round
605,rudderen,row
818,reift,rub
495,regel,rule
241,lafen,run
725,sécher,safe
47,gesot,said
549,segelen,sail
995,salz,salt
149,selwecht,same
737,sand,sand
572,deputéierten,sat
648,spueren,save
235,gesinn,saw
134,soen,say
661,skala,scale
209,schoul,school
254,wëssenschaft,science
926,stoung,score
237,mier,sea
837,sich,search
907,saison,season
949,sëtz,seat
300,zweeten,second
676,sektioun,section
171,gesinn,see
615,som,seed
275,schéngs,seem
874,segment,segment
988,wielt,select
98,self,self
954,verkafen,sell
838,schéckt,send
750,sënn,sense
640,geschéckt,sent
131,saz,sentence
762,separat,separate
490,zerwéieren,serve
52,formatioun,set
523,begréisst,settle
712,siwen,seven
478,puer,several
715,duerf,shall
385,form,shape
866,deelen,share
803,mëttele,sharp
150,si,she
856,drécken,sheet
899,réibau,shell
984,iwwerzeegen,shine
334,schëff,ship
965,schongbuttek,shoe
981,buttek,shop
854,bord,shore
327,kuerz,short
205,soll,should
966,schëller,shoulder
612,gefaang,shout
119,weisen,show
197,säit,side
284,gesinn,sight
582,z’ënnerschreiwen,sign
735,silent,silent
910,sëlwer,silver
923,ähnleche,similar
477,einfach,simple
346,zënter,since
469,sangen,sing
692,eenzel,single
919,schwëster,sister
553,sëtzt,sit
471,sechs,six
521,gréisst,size
905,fäegkeet,skill
696,haut,skin
568,himmel,sky
875,prophéit,slave
559,schlof,sleep
936,réck,slip
485,luesen,slow
59,kleng,small
945,gerochssënn,smell
697,smile,smile
391,schnéi,snow
165,sou,so
585,mëll,soft
738,buedem,soil
758,beruffsoffizéier,soldier
908,léisung,solution
708,léisen,solve
23,puer,some
658,jong,son
322,lidd,song
315,geschwënn,soon
183,toun,sound
340,süden,south
450,plaz,space
524,schwätzen,speak
443,besonnesch,special
888,ried,speech
671,vitesse,speed
67,heimatt,spell
861,vakanz,spend
785,geschwat,spoke
844,plaz,spot
967,verbreedung,spread
663,fréijoer,spring
514,metercarré,square
202,toleréieren,stand
416,stär,star
232,ufank,start
220,staat,state
867,statioun,station
355,bleiwen,stay
376,notzen,stead
891,dampbad,steam
920,stol,steel
460,schrëtt,step
693,duergestallt,stick
212,nach,still
681,stee,stone
427,stoung,stood
262,ophalen,stop
556,store,store
234,geschicht,story
666,riichtaus,straight
598,komësch,strange
822,bäiginn,stream
350,strooss,street
982,zéien,stretch
814,string,string
442,staark,strong
772,schüler,student
211,studéieren,study
519,sujet,subject
857,substanz,substance
957,subtract,subtract
955,succès,success
75,esou,such
512,drastesch,sudden
914,derivéiert,suffix
902,zocker,sugar
618,proposéiere,suggest
846,kostüm,suit
557,summer,summer
217,sonn,sun
775,fourniture,supply
887,ënnerstëtzung,support
268,sécher,sure
362,uewerfläch,surface
679,iwwerraschung,surprise
961,schwammen,swim
533,länner ze,syllable
608,symbol,symbol
367,system,system
472,dësch,table
447,schwäif,tail
105,huelen,take
313,diskussioun,talk
736,grouss,tall
430,léieren,teach
632,team,team
898,zänn,teeth
50,soen,tell
740,temperatur,temperature
476,zéng,ten
962,laangfristeg,term
369,test,test
191,wéi,than
911,merci,thank
4,datt,that
29,der,the
42,hir,their
161,iwwerleeën,them
160,duerno,then
152,do,there
166,dës,these
11,si,they
757,déck,thick
825,dënn,thin
170,saach,thing
133,meenung,think
714,drëtten,third
16,dëst,this
289,deene,those
311,obwuel,though
226,geduecht,thought
380,dausend,thousand
53,dräi,three
128,duerch,through
983,geheien,throw
797,domat,thus
833,tie,tie
43,zäit,time
682,klinzeg,tiny
392,verhaalen,tire
31,ze,to
276,zesumme,together
343,gesot,told
616,ervirhiewen,tone
148,ze,too
253,huet,took
942,blockéieren,tool
347,erop,top
943,total,total
628,déngschtleeschtunge,touch
480,richtung,toward
403,stad,town
852,normaliséieren,track
600,handel,trade
558,zuch,train
473,reesen,travel
228,bam,tree
826,dräieck,triangle
602,rees,trip
611,ierger,trouble
976,camion,truck
455,richteg,true
89,probéieren,try
819,kielech,tube
139,béit,turn
695,zwanzeg,twenty
173,zwee,two
729,typ,type
125,ënner,under
401,eenheet,unit
294,bis,until
154,weider,up
90,eis,us
155,benotzung,use
304,gewéinlech,usual
946,dall,valley
743,wäert,value
522,variéieren,vary
468,verb,verb
127,ganz,very
749,vue,view
703,duerf,village
583,visite,visit
500,stëmm,voice
479,vokal,vowel
413,wait,wait
282,spadséiergank,walk
564,mauer,wall
54,wëllen,want
481,krich,war
439,waarm,warm
6,war,was
807,wäschen,wash
269,nuetswuecht,watch
190,waasser,water
538,laangwelleg,wave
157,manéier,way
35,mir,we
637,opléisen,wear
589,wiederstatioun,weather
431,woch,week
525,gewiicht,weight
56,gutt,well
82,gaangen,went
39,goufen,were
463,westen,west
22,waat,what
356,rad,wheel
153,wéini,when
110,wou,where
710,ob,whether
40,déi,which
243,iwwerdeems,while
278,wäiss,white
194,déi,who
348,ganz,whole
776,deenen hir,whose
78,firwat,why
548,verhënnert,wide
964,fra,wife
574,wëllschwäin,wild
45,wäert,will
937,win,win
330,wand,wind
555,fënster,window
804,säit,wing
571,wanter,winter
633,drot,wire
567,wënschen,wish
10,mat,with
799,fra,woman
906,fraen,women
378,froe mech,wonder
752,wäert net,won’t
272,holz,wood
20,wuert,word
103,aarbecht,work
95,welt,world
163,géifen,would
162,schreiwen,write
573,schrëftlech,written
989,falsch,wrong
614,geschriwwen,wrote
622,haff,yard
117,joer,year
839,giel,yellow
394,jo,yes
537,nach,yet
26,dir,you
305,jonk,young
156,är,your
