number,danish,english
789,effekt,effect
506,æg,egg
702,otte,eight
721,enten,either
790,elektrisk,electric
770,elementet,element
652,andet,else
60,ende,end
883,fjende,enemy
501,energi,energy
545,motor,engine
301,nok,enough
834,indtaste,enter
639,lige,equal
386,sidestille,equate
915,især,especially
69,selv,even
939,aften,evening
958,begivenhed,event
308,nogensinde,ever
120,hver,every
607,eksakt,exact
283,eksempel,example
613,undtagen,except
747,ophidse,excite
563,motion,exercise
791,forventer,expect
925,erfaring,experience
688,eksperiment,experiment
222,øje,eye
271,ansigt,face
449,kendsgerning,fact
645,retfærdig,fair
407,falde,fall
318,familie,family
820,berømt,famous
236,langt,far
230,gård,farm
467,hurtigt,fast
863,fedt,fat
100,far,father
858,begunstige,favor
823,frygt,fear
941,foder,feed
312,føler,feel
298,fødder,feet
642,faldt,fell
534,filt,felt
249,få,few
419,felt,field
916,figen,fig
744,kamp,fight
415,figur,figure
396,fylde,fill
432,endelig,final
200,finde,find
404,bøde,fine
741,finger,finger
593,slut,finish
339,brand,fire
193,første,first
260,fisk,fish
643,passe,fit
458,fem,five
694,flad,flat
720,gulv,floor
644,flow,flow
596,blomst,flower
406,flyve,fly
76,følg,follow
216,mad,food
366,fod,foot
7,til,for
358,kraft,force
552,skov,forest
130,formular,form
922,fremad,forward
207,fundet,found
218,fire,four
551,fraktion,fraction
440,fri,free
836,frisk,fresh
257,ven,friend
17,fra,from
429,forside,front
755,frugt,fruit
357,fuld,full
586,sjov,fun
384,spil,game
638,haven,garden
588,gas,gas
980,samle,gather
433,gav,gave
526,generelt,general
798,blid,gentle
106,få,get
303,pige,girl
123,giver,give
864,glad,glad
577,glas,glass
179,gå,go
373,guld,gold
599,væk,gone
121,god,good
281,fik,got
496,regere,govern
535,store,grand
578,græs,grass
990,grå,gray
132,stor,great
434,grøn,green
629,voksede,grew
464,jorden,ground
286,gruppe,group
210,vokse,grow
801,gætte,guess
924,guide,guide
840,pistol,gun
28,havde,had
717,hår,hair
336,halvdelen,half
64,hånd,hand
332,ske,happen
594,glad,happy
231,hårdt,hard
174,har,has
953,hat,hat
15,har,have
5,han,he
201,hoved,head
265,høre,hear
451,hørt,heard
540,hjerte,heart
390,varme,heat
543,tung,heavy
716,held,held
135,hjælpe,help
167,hende,her
71,her,here
74,høj,high
724,bakke,hill
172,ham,him
3,hans,his
788,historie,history
771,hit,hit
462,holde,hold
699,hul,hole
62,hjem,home
595,håber,hope
266,hest,horse
19,hot,hot
387,varmt,hot
453,time,hour
87,hus,house
46,hvordan,how
918,enorm,huge
787,menneske,human
457,hundrede,hundred
502,jagt,hunt
828,skynde,hurry
2,jeg,i
527,is,ice
259,idé,idea
44,hvis,if
794,forestille,imagine
34,i,in
351,tommer,inch
531,omfatter,include
783,angive,indicate
742,industri,industry
780,insekt,insect
877,øjeblikkelig,instant
575,redskab,instrument
465,interesse,interest
970,opfinde,invent
691,jern,iron
24,er,is
365,ø,island
25,det,it
580,job,job
617,slutte,join
570,glæde,joy
700,hoppe,jump
129,bare,just
221,holde,keep
576,holdt,kept
690,nøgle,key
657,dræbe,kill
84,slags,kind
349,konge,king
344,vidste,knew
189,kende,know
621,dame,lady
659,sø,lake
70,jord,land
399,sprog,language
66,stor,large
224,sidste,last
240,sent,late
379,grine,laugh
730,lov,law
482,lægge,lay
408,føre,lead
213,lære,learn
610,mindst,least
321,forlade,leave
929,ledede,led
239,venstre,left
562,ben,leg
516,længde,length
474,mindre,less
225,lad,let
293,brev,letter
978,niveau,level
745,løgn,lie
248,liv,life
848,elevator,lift
83,lys,light
164,ligesom,like
137,linje,line
894,væske,liquid
310,liste,list
470,lytte,listen
113,lidt,little
109,leve,live
777,lokalisere,locate
895,log,log
561,enlig,lone
168,lang,long
175,se,look
635,tabt,lost
687,parti,lot
662,højt,loud
487,elsker,love
136,lav,low
411,maskine,machine
108,lavet,made
909,magneten,magnet
273,main,main
835,større,major
169,gøre,make
116,mand,man
159,mange,many
493,kort,map
291,mark,mark
878,marked,market
932,masse,mass
851,mester,master
913,kamp,match
550,materiale,material
528,stof,matter
195,kan,may
122,mig,me
142,betyde,mean
896,betød,meant
323,måle,measure
817,kød,meat
704,mød,meet
601,melodi,melody
80,mænd,men
709,metal,metal
672,metode,method
656,midten,middle
233,måske,might
295,mile,mile
670,mælk,milk
591,millioner,million
444,sind,mind
832,minen,mine
441,minut,minute
388,miss,miss
631,mix,mix
769,moderne,modern
987,molekyle,molecule
660,øjeblik,moment
489,penge,money
590,måned,month
364,månen,moon
176,mere,more
475,formiddag,morning
185,mest,most
94,mor,mother
892,bevægelse,motion
566,monteringstid,mount
261,bjerg,mountain
606,mund,mouth
144,træk,move
141,meget,much
352,formere,multiply
288,musik,music
72,skal,must
187,min,my
126,navn,name
668,nation,nation
748,naturlig,natural
889,natur,nature
96,nær,near
802,nødvendig,necessary
900,hals,neck
86,brug,need
806,nabo,neighbor
223,aldrig,never
102,ny,new
277,næste,next
246,nat,night
975,ni,nine
184,nej,no
977,støj,noise
767,middag,noon
947,heller ikke,nor
250,nord,north
996,næse,nose
412,notat,note
353,intet,nothing
499,varsel,notice
418,navneord,noun
199,nu,now
182,nummer,number
328,talord,numeral
360,objekt,object
664,observere,observe
886,forekomme,occur
438,havet,ocean
30,af,of
85,off,off
873,tilbud,offer
603,kontor,office
292,ofte,often
435,oh,oh
626,olie,oil
147,gamle,old
8,på,on
263,en gang,once
14,en,one
114,kun,only
274,åben,open
760,operere,operate
963,modsat,opposite
27,eller,or
338,ordre,order
673,orgel,organ
865,originale,original
38,andre,other
124,vores,our
37,ud,out
188,løbet,over
203,egen,own
901,ilt,oxygen
204,side,page
398,maling,paint
530,pair,pair
285,papir,paper
713,afsnit,paragraph
853,forælder,parent
104,del,part
959,særlig,particular
774,parti,party
345,pass,pass
584,fortid,past
893,sti,path
484,mønster,pattern
674,betale,pay
186,mennesker,people
510,måske,perhaps
782,periode,period
488,"person,",person
734,sætning,phrase
511,pick,pick
88,billede,picture
342,stykke,piece
930,tonehøjde,pitch
107,sted,place
302,plain,plain
414,plan,plan
375,planet,plane
827,verden,planet
214,plante,plant
58,spille,play
765,venligst,please
997,flertal,plural
813,digt,poem
93,punkt,point
686,dårlig,poor
880,befolke,populate
65,havn,port
320,udgøre,pose
546,stilling,position
374,mulig,possible
860,indlæg,post
423,pund,pound
402,magt,power
761,praksis,practice
994,forberede,prepare
542,til stede,present
244,presse,press
904,temmelig,pretty
842,udskriv,print
503,sandsynlig,probable
341,problem,problem
759,proces,process
448,producere,produce
325,produkt,product
871,korrekt,proper
985,ejendom,property
766,beskytte,protect
560,bevise,prove
795,give,provide
497,træk,pull
711,skub,push
61,sætte,put
974,kvart,quart
331,spørgsmål,question
436,hurtig,quick
680,stille,quiet
653,helt,quite
897,kvotient,quotient
554,løb,race
784,radio,radio
793,skinne,rail
494,regn,rain
707,hæve,raise
382,løb,ran
890,rækkevidde,range
809,snarere,rather
466,nå,reach
63,læse,read
306,klar,ready
247,real,real
515,årsag,reason
604,modtage,receive
370,rekord,record
309,rød,red
520,regionen,region
459,huske,remember
991,gentagelse,repeat
884,svar,reply
517,repræsentere,represent
992,kræver,require
420,hvile,rest
722,resultat,result
756,rig,rich
507,tur,ride
145,højre,right
778,ring,ring
623,stige,rise
296,flod,river
492,vej,road
337,sten,rock
739,rulle,roll
256,værelse,room
705,rod,root
935,reb,rope
840,steget,rose
115,runde,round
605,række,row
818,gnide,rub
495,regel,rule
241,køre,run
725,sikker,safe
47,sagde,said
549,sejl,sail
995,salt,salt
149,samme,same
737,sandet,sand
572,lør,sat
648,spare,save
235,sav,saw
134,sige,say
661,skala,scale
209,skole,school
254,videnskab,science
926,baseret,score
237,hav,sea
837,søg,search
907,årstid,season
949,sæde,seat
300,sekund,second
676,sektion,section
171,se,see
615,frø,seed
275,synes,seem
874,segmentet,segment
988,vælg,select
98,selv,self
954,sælge,sell
838,sende,send
750,fornuft,sense
640,sendt,sent
131,sætning,sentence
762,særskilt,separate
490,tjene,serve
52,sæt,set
523,bosætte,settle
712,syv,seven
478,flere,several
715,skal,shall
385,form,shape
866,aktie,share
803,skarp,sharp
150,hun,she
856,ark,sheet
899,skallen,shell
984,skinne,shine
334,skib,ship
965,sko,shoe
981,butik,shop
854,kysten,shore
327,kort,short
205,bør,should
966,skulder,shoulder
612,råbe,shout
119,vis,show
197,side,side
284,syn,sight
582,tegn,sign
735,lydløs,silent
910,sølv,silver
923,lignende,similar
477,simpelt,simple
346,siden,since
469,synge,sing
692,enkelt,single
919,søster,sister
553,sidde,sit
471,seks,six
521,størrelse,size
905,færdighed,skill
696,hud,skin
568,himmel,sky
875,slave,slave
559,søvn,sleep
936,slip,slip
485,langsom,slow
59,lille,small
945,lugt,smell
697,smil,smile
391,sne,snow
165,så,so
585,blød,soft
738,jord,soil
758,soldat,soldier
908,opløsning,solution
708,løse,solve
23,nogle,some
658,søn,son
322,sang,song
315,snart,soon
183,lyd,sound
340,syd,south
450,rum,space
524,tale,speak
443,særlige,special
888,tale,speech
671,hastighed,speed
67,stave,spell
861,tilbringe,spend
785,talte,spoke
844,plet,spot
967,spredning,spread
663,fjeder,spring
514,firkantet,square
202,stå,stand
416,stjerne,star
232,begyndelse,start
220,stat,state
867,stationen,station
355,ophold,stay
376,stedet,stead
891,damp,steam
920,stål,steel
460,trin,step
693,stick,stick
212,stadig,still
681,sten,stone
427,stod,stood
262,stoppe,stop
556,butik,store
234,historie,story
666,lige ud,straight
598,mærkelig,strange
822,strøm,stream
350,gade,street
982,strækning,stretch
814,streng,string
442,stærk,strong
772,studerende,student
211,undersøgelse,study
519,emne,subject
857,stof,substance
957,fratrække,subtract
955,succes,success
75,sådan,such
512,pludselige,sudden
914,endelse,suffix
902,sukker,sugar
618,tyder,suggest
846,kulør,suit
557,sommer,summer
217,sol,sun
775,forsyning,supply
887,støtte,support
268,sikker,sure
362,overflade,surface
679,overraskelse,surprise
961,svømme,swim
533,stavelse,syllable
608,symbolet,symbol
367,systemet,system
472,tabel,table
447,hale,tail
105,tage,take
313,snak,talk
736,høj,tall
430,undervise,teach
632,hold,team
898,tænder,teeth
50,fortælle,tell
740,temperatur,temperature
476,ti,ten
962,sigt,term
369,test,test
191,end,than
911,tak,thank
4,at,that
29,den,the
42,deres,their
161,dem,them
160,derefter,then
152,der,there
166,disse,these
11,de,they
757,tyk,thick
825,tynd,thin
170,ting,thing
133,tænke,think
714,tredje,third
16,dette,this
289,dem,those
311,selv,though
226,tænkte,thought
380,tusinde,thousand
53,tre,three
128,gennem,through
983,smide,throw
797,således,thus
833,slips,tie
43,tid,time
682,lille,tiny
392,dæk,tire
31,til,to
276,sammen,together
343,fortalt,told
616,tone,tone
148,også,too
253,tog,took
942,værktøj,tool
347,top,top
943,samlede,total
628,røre,touch
480,mod,toward
403,by,town
852,spor,track
600,handel,trade
558,tog,train
473,rejser,travel
228,træ,tree
826,trekant,triangle
602,tur,trip
611,besvær,trouble
976,lastbil,truck
455,sand,true
89,prøv,try
819,rør,tube
139,tur,turn
695,tyve,twenty
173,to,two
729,typen,type
125,under,under
401,enhed,unit
294,indtil,until
154,op,up
90,os,us
155,brug,use
304,sædvanlig,usual
946,dal,valley
743,værdi,value
522,variere,vary
468,verbum,verb
127,meget,very
749,udsigt,view
703,landsby,village
583,besøg,visit
500,stemme,voice
479,vokal,vowel
413,vente,wait
282,gang,walk
564,væg,wall
54,ønsker,want
481,krig,war
439,varm,warm
6,var,was
807,vask,wash
269,ser,watch
190,vand,water
538,bølge,wave
157,måde,way
35,vi,we
637,slid,wear
589,vejr,weather
431,uge,week
525,vægt,weight
56,godt,well
82,gik,went
39,var,were
463,vest,west
22,hvad,what
356,hjul,wheel
153,når,when
110,hvor,where
710,hvorvidt,whether
40,som,which
243,mens,while
278,hvid,white
194,der,who
348,hele,whole
776,hvis,whose
78,hvorfor,why
548,bred,wide
964,kone,wife
574,vild,wild
45,vil,will
937,sejr,win
330,vind,wind
555,vindue,window
804,vinge,wing
571,vinter,winter
633,ledning,wire
567,ønske,wish
10,med,with
799,kvinde,woman
906,kvinder,women
378,spekulerer,wonder
752,vil ikke,won’t
272,træ,wood
20,ord,word
103,arbejde,work
95,verden,world
163,ville,would
162,skrive,write
573,skriftlig,written
989,forkert,wrong
614,skrev,wrote
622,værftet,yard
117,år,year
839,gul,yellow
394,ja,yes
537,endnu,yet
26,du,you
305,unge,young
156,deres,your
