number,khmer,english
952,តារាង,chart
383,ពិនិត្យមើល,check
881,chick,chick
829,ប្រធាន,chief
665,កូនក្មេង,child
279,កុមារ,children
641,ជ្រើសយក,choose
862,អង្កត់ធ្នូ,chord
529,រង្វង់,circle
227,ទីក្រុង,city
999,ពាក្យបណ្តឹង,claim
329,ថ្នាក់,class
619,ស្អាត,clean
446,ច្បាស់លាស់,clear
683,ឡើង,climb
831,នាឡិកា,clock
245,ជិតស្និទ្ធ,close
597,ទំនុកបំរុង,clothe
678,ពពក,cloud
732,ឆ្នេរ,coast
931,ថ្នាំកូត,coat
498,ជំងឺផ្តាសាយ,cold
647,ប្រមូល,collect
830,អាណានិគម,colony
270,ពណ៌,color
986,ជួរឈរ,column
180,មក,come
372,ជារឿងធម្មតា,common
956,ក្រុមហ៊ុន,company
812,ប្រៀបធៀប,compare
333,ពេញលេញ,complete
940,លក្ខខណ្ឌ,condition
859,ការតភ្ជាប់,connect
728,ពិចារណា,consider
667,ព្យញ្ជនៈ,consonant
428,មាន,contain
1000,ទ្វីប,continent
950,បន្ត,continue
649,ការត្រួតពិនិត្យ,control
719,ចំអិន,cook
684,ត្រជាក់,cool
733,ច្បាប់ចម្លង,copy
811,ពោត,corn
773,ជ្រុង,corner
421,ត្រឹមត្រូវ,correct
634,ការចំណាយ,cost
971,កប្បាស,cotton
178,អាចធ្វើបាន,could
513,រាប់,count
206,ប្រទេស,country
354,ពិតណាស់,course
215,គម្រប,cover
579,គោ,cow
698,ផ្នត់,crease
805,បង្កើត,create
768,ដំណាំ,crop
229,ឆ្លងកាត់,cross
810,ហ្វូងមនុស្ស,crowd
409,យំ,cry
847,បច្ចុប្បន្ន,current
267,កាត់,cut
868,ឪពុក,dad
544,ការរាំ,dance
754,ះថាក់,danger
410,ងងឹត,dark
177,ថ្ងៃ,day
843,ស្លាប់,dead
960,កិច្ចព្រមព្រៀង,deal
882,ជាទីស្រឡាញ់,dear
903,ការស្លាប់,death
361,សម្រេចចិត្ត,decide
650,ទសភាគ,decimal
363,ជ្រៅ,deep
879,សញ្ញាប័ត្រ,degree
816,អាស្រ័យ,depend
718,ពិពណ៌នា,describe
845,វាលខ្សាច់,desert
685,ការរចនា,design
973,កំណត់,determine
437,ការអភិវឌ្ឍ,develop
669,វចនានុក្រម,dictionary
181,ធ្វើ,did
609,ស្លាប់,die
138,ខុសគ្នា,differ
763,ការលំបាក,difficult
319,ដោយផ្ទាល់,direct
921,ពិភាក្សា,discuss
395,ឆ្ងាយ,distant
532,ចេក,divide
855,ផ្នែក,division
41,ធ្វើបាន,do
764,គ្រូពេទ្យ,doctor
51,មិន,does
317,ឆ្កែ,dog
921,ប្រាក់ដុល្លារ,dollar
424,ធ្វើ,done
242,ធ្វើមិនបាន,don’t
324,ទ្វារ,door
948,ពីរដង,double
196,ចុះ,down
238,គូរ,draw
938,សុបិន្ត,dream
677,សម្លៀកបំពាក់,dress
885,ភេសជ្ជៈ,drink
426,ដ្រាយ,drive
539,ធ្លាក់ចុះ,drop
377,ស្ងួត,dry
876,ទា,duck
456,ក្នុងអំឡុងពេល,during
49,គ្នា,each
651,ត្រចៀក,ear
461,ដើម,early
99,ផែនដី,earth
284,បន្ធូរបន្ថយ,ease
397,ខាងកើត,east
255,បរិភោគ,eat
581,គែម,edge
789,ផលប៉ះពាល់,effect
506,ស៊ុត,egg
702,ប្រាំបី,eight
721,ទាំង,either
790,អគ្គិសនី,electric
770,ធាតុ,element
652,ផ្សេងទៀត,else
60,ចុងបញ្ចប់,end
883,សត្រូវ,enemy
501,ថាមពល,energy
545,ម៉ាស៊ីន,engine
301,គ្រប់គ្រាន់,enough
834,ចូល,enter
639,ស្មើ,equal
386,ស្មើ,equate
915,ជាពិសេស,especially
69,សូម្បីតែ,even
939,ល្ងាច,evening
958,ព្រឹត្តិការណ៍,event
308,មិនធ្លាប់មាន,ever
120,ជារៀងរាល់,every
607,ពិតប្រាកដ,exact
283,ឧទាហរណ៏,example
613,លើកលែងតែ,except
747,រំភើប,excite
563,ការធ្វើលំហាត់ប្រាណ,exercise
791,រំពឹងថានឹងមាន,expect
925,បទពិសោធន៏,experience
688,ពិសោធន៍,experiment
222,ភ្នែក,eye
271,មុខ,face
449,ជាការពិត,fact
645,យុត្តិធម៌,fair
407,ធ្លាក់ចុះ,fall
318,ក្រុមគ្រួសារ,family
820,ដ៏ល្បីល្បាញ,famous
236,ឆ្ងាយ,far
230,កសិដ្ឋាន,farm
467,មានល្បឿនលឿន,fast
863,ជាតិខ្លាញ់,fat
100,ឪពុក,father
858,អនុគ្រោះ,favor
823,ការភ័យខ្លាច,fear
941,មតិព័ត៌មាន,feed
312,មានអារម្មណ៍ថា,feel
298,ជើង,feet
642,បានធ្លាក់ចុះ,fell
534,មានអារម្មណ៍ថា,felt
249,ប៉ុន្មាន,few
419,វាល,field
916,ល្វា,fig
744,ការប្រយុទ្ធ,fight
415,តួលេខ,figure
396,បំពេញ,fill
432,ចុងក្រោយ,final
200,ស្វែងរក,find
404,ការផាកពិន័យ,fine
741,ម្រាមដៃ,finger
593,បញ្ចប់,finish
339,ភ្លើង,fire
193,ជាលើកដំបូង,first
260,ត្រី,fish
643,សម,fit
458,ប្រាំ,five
694,ផ្ទះល្វែង,flat
720,ជាន់,floor
644,ហូរ,flow
596,ផ្កា,flower
406,ការហោះហើរ,fly
76,តាម,follow
216,អាហារ,food
366,ជើង,foot
7,សម្រាប់,for
358,កម្លាំង,force
552,ព្រៃឈើ,forest
130,សំណុំបែបបទ,form
922,ទៅមុខ,forward
207,បានរកឃើញ,found
218,បួននាក់,four
551,ប្រភាគ,fraction
440,ដោយឥតគិតថ្លៃ,free
836,ស្រស់,fresh
257,មិត្តភក្តិ,friend
17,ពី,from
429,ផ្នែកខាងមុខ,front
755,ផ្លែឈើ,fruit
357,ពេញលេញ,full
586,ភាពសប្បាយរីករាយ,fun
384,ការលេងហ្គេម,game
638,សួន,garden
588,ឧស្ម័ន,gas
980,ប្រមូលផ្តុំ,gather
433,បានផ្ដល់ឱ្យ,gave
526,ទូទៅ,general
798,សុភាពរាប,gentle
106,ទទួលបាន,get
303,ក្មេងស្រី,girl
123,ផ្តល់ឱ្យ,give
864,រីករាយ,glad
577,កញ្ចក់,glass
179,ចូលទៅ,go
373,មាស,gold
599,បានយាងចាកចេញទៅ,gone
121,ល្អ,good
281,ទទួលបាន,got
496,គ្រប់គ្រង,govern
535,ធំ,grand
578,ស្មៅ,grass
990,ពណ៌ប្រផេះ,gray
132,ដ៏អស្ចារ្យ,great
434,ពណ៌បៃតង,green
629,បានកើនឡើង,grew
464,ដី,ground
286,ក្រុម,group
210,ការកើនឡើង,grow
801,ទាយ,guess
924,ណែនាំ,guide
840,កាំភ្លើង,gun
28,មាន,had
717,សក់,hair
336,ពាក់កណ្តាល,half
64,ដៃ,hand
332,កើតឡើង,happen
594,រីករាយ,happy
231,ការលំបាក,hard
174,មាន,has
953,មួក,hat
15,មាន,have
5,លោកបាន,he
201,ក្បាល,head
265,ឮ,hear
451,ឮ,heard
540,បេះដូង,heart
390,កំដៅ,heat
543,ធ្ងន់,heavy
716,លើក,held
135,ជួយ,help
167,របស់នាង,her
71,នៅទីនេះ,here
74,ខ្ពស់,high
724,ភ្នំ,hill
172,គាត់ថា,him
3,របស់គាត់,his
788,ប្រវត្តិសាស្រ្ត,history
771,បុក,hit
462,កាន់,hold
699,រន្ធ,hole
62,ផ្ទះ,home
595,សង្ឃឹម,hope
266,សេះ,horse
19,ក្តៅ,hot
387,ក្តៅ,hot
453,ម៉ោង,hour
87,ផ្ទះ,house
46,របៀប,how
918,ដ៏ធំ,huge
787,មនុស្ស,human
457,រយ,hundred
502,ប្រមាញ់,hunt
828,ប្រញាប់,hurry
2,ខ្ញុំ,i
527,ទឹកកក,ice
259,គំនិត,idea
44,ប្រសិនបើ,if
794,ស្រមៃ,imagine
34,នៅក្នុង,in
351,អ៊ីញ,inch
531,រួមបញ្ចូល,include
783,បង្ហាញថា,indicate
742,ឧស្សាហកម្ម,industry
780,សត្វល្អិត,insect
877,បន្ទាន់,instant
575,ឧបករណ៍,instrument
465,ការប្រាក់,interest
970,ប្រឌិត,invent
691,ជាតិដែក,iron
24,គឺ,is
365,កោះ,island
25,វា,it
580,ការងារ,job
617,ចូលរួម,join
570,សេចក្ដីអំណរ,joy
700,លោត,jump
129,គ្រាន់តែ,just
221,រក្សា,keep
576,រក្សាទុក,kept
690,គន្លឹះ,key
657,សម្លាប់,kill
84,ប្រភេទ,kind
349,ស្តេច,king
344,បានដឹងថា,knew
189,ដឹង,know
621,ស្ត្រី,lady
659,បឹង,lake
70,ដី,land
399,ភាសា,language
66,ដែលមានទំហំធំ,large
224,ចុងក្រោយ,last
240,ចុង,late
379,សើច,laugh
730,ច្បាប់,law
482,ដាក់,lay
408,នាំ,lead
213,រៀន,learn
610,យ៉ាងហោចណាស់,least
321,ទុកឱ្យ,leave
929,ដឹកនាំ,led
239,ចាកចេញ,left
562,ជើង,leg
516,ប្រវែង,length
474,តិច,less
225,អនុញ្ញាតឱ្យ,let
293,លិខិត,letter
978,កម្រិត,level
745,កុហក,lie
248,ជីវិត,life
848,ការលើក,lift
83,ពន្លឺ,light
164,ដូចជា,like
137,បន្ទាត់,line
894,រាវ,liquid
310,បញ្ជី,list
470,ស្តាប់,listen
113,តិចតួច,little
109,រស់នៅ,live
777,ទីតាំង,locate
895,ចូល,log
561,តែ,lone
168,ជាយូរមកហើយ,long
175,មើល,look
635,បាត់បង់,lost
687,ច្រើន,lot
662,ខ្លាំង,loud
487,ក្ដីស្រឡាញ់,love
136,ទាប,low
411,ម៉ាស៊ីន,machine
108,បានធ្វើ,made
909,មេដែក,magnet
273,ដ៏សំខាន់,main
835,ដ៏សំខាន់មួយ,major
169,ធ្វើឱ្យ,make
116,បុរសម្នាក់,man
159,ជាច្រើន,many
493,ផែនទី,map
291,សញ្ញា,mark
878,ទីផ្សារ,market
932,ដ៏ធំ,mass
851,មេ,master
913,ការប្រកួត,match
550,សម្ភារៈ,material
528,បញ្ហា,matter
195,អាច,may
122,រូបខ្ញុំ,me
142,មានន័យថា,mean
896,មានន័យថា,meant
323,វាស់,measure
817,សាច់,meat
704,ជួប,meet
601,បត,melody
80,បុរស,men
709,ដែក,metal
672,វិធីសាស្រ្ត,method
656,កណ្តាល,middle
233,អាច,might
295,ម៉ា,mile
670,ទឹកដោះគោ,milk
591,លាននាក់,million
444,ចិត្ត,mind
832,អណ្តូងរ៉ែ,mine
441,នាទី,minute
388,បាត់,miss
631,លាយ,mix
769,សម័យទំនើប,modern
987,ម៉ូលេគុល,molecule
660,ពេល,moment
489,លុយ,money
590,ខែ,month
364,ព្រះច័ន្ទ,moon
176,ច្រើនទៀត,more
475,ព្រឹក,morning
185,ច្រើនបំផុត,most
94,ម្តាយ,mother
892,ចលនា,motion
566,ភ្នំ,mount
261,ភ្នំ,mountain
606,មាត់,mouth
144,ការផ្លាស់ប្តូរ,move
141,ច្រើន,much
352,គុណ,multiply
288,តន្ត្រី,music
72,ត្រូវ,must
187,របស់ខ្ញុំ,my
126,ឈ្មោះ,name
668,ប្រទេស,nation
748,ធម្មជាតិ,natural
889,ធម្មជាតិ,nature
96,នៅក្បែរ,near
802,ចាំបាច់,necessary
900,ក,neck
86,ត្រូវការ,need
806,អ្នកជិតខាង,neighbor
223,មិនដែល,never
102,ថ្មី,new
277,បន្ទាប់ទៀត,next
246,យប់,night
975,ប្រាំបួន,nine
184,គ្មាន,no
977,សំលេងរំខាន,noise
767,ថ្ងៃត្រង់,noon
947,ក៏មិនមែនជា,nor
250,ភាគខាងជើង,north
996,ច្រមុះ,nose
412,ចំណាំ,note
353,គ្មានអ្វី,nothing
499,សេចក្តីជូនដំណឹង,notice
418,នាម,noun
199,ឥឡូវនេះ,now
182,ចំនួន,number
328,លេខ,numeral
360,វត្ថុ,object
664,សង្កេត,observe
886,កើតមានឡើង,occur
438,សមុទ្រ,ocean
30,នៃ,of
85,បិទ,off
873,ការផ្តល់ជូន,offer
603,ការិយាល័,office
292,ជាញឹកញាប់,often
435,អូ!,oh
626,ប្រេង,oil
147,អាយុ,old
8,នៅលើ,on
263,ម្តង,once
14,មួយ,one
114,តែមួយគត់,only
274,ការបើកចំហរ,open
760,ប្រតិបត្តិការ,operate
963,ផ្ទុយ,opposite
27,ឬ,or
338,ការបញ្ជាទិញ,order
673,សរីរាង្គ,organ
865,ដើម,original
38,ផ្សេងទៀត,other
124,របស់យើង,our
37,ចេញ,out
188,ជាង,over
203,ផ្ទាល់ខ្លួន,own
901,អុកស៊ីសែន,oxygen
204,ទំព័រ,page
398,គូរ,paint
530,គូ,pair
285,ក្រដាស,paper
713,កថាខ័ណ្ឌ,paragraph
853,មេ,parent
104,ជាផ្នែកមួយ,part
959,ពិសេស,particular
774,គណបក្ស,party
345,ហុច,pass
584,អតីតកាល,past
893,ផ្លូវ,path
484,គំរូ,pattern
674,បង់,pay
186,មានមនុស្ស,people
510,ប្រហែលជា,perhaps
782,អំឡុងពេល,period
488,មនុស្សម្នាក់,person
734,ឃ្លា,phrase
511,យក,pick
88,រូបភាព,picture
342,ដុំ,piece
930,ទីលានប្រកួត,pitch
107,កន្លែង,place
302,ធម្មតា,plain
414,ផែនការ,plan
375,យន្តហោះ,plane
827,ភពផែនដី,planet
214,រោងចក្រ,plant
58,លេង,play
765,សូម,please
997,ពហុវចនៈ,plural
813,កំណាព្យ,poem
93,ចំណុច,point
686,ជនក្រីក្រ,poor
880,ផ្ទុក,populate
65,កំពង់ផែ,port
320,បង្ក,pose
546,ទីតាំង,position
374,អាចធ្វើបាន,possible
860,ក្រោយ,post
423,ផោន,pound
402,អំណាច,power
761,ការអនុវត្តន៍,practice
994,រៀបចំ,prepare
542,បច្ចុប្បន្ន,present
244,សារពត៌មាន,press
904,ស្អាត,pretty
842,បោះពុម្ព,print
503,ទំនង,probable
341,បញ្ហា,problem
759,ដំណើរការ,process
448,ផលិត,produce
325,ផលិតផល,product
871,បានត្រឹមត្រូវ,proper
985,ទ្រព្យសម្បត្ដិ,property
766,ការពារ,protect
560,បង្ហាញ,prove
795,ផ្តល់នូវការ,provide
497,ទាញ,pull
711,ការជំរុញ,push
61,ដាក់,put
974,quart,quart
331,សំណួរ,question
436,រហ័ស,quick
680,ស្ងាត់,quiet
653,ជាការពិត,quite
897,ផលចែក,quotient
554,ការប្រណាំង,race
784,វិទ្យុ,radio
793,ផ្លូវរថភ្លើង,rail
494,ភ្លៀង,rain
707,បង្កើន,raise
382,រត់,ran
890,ជួរ,range
809,ជា,rather
466,ឈានដល់,reach
63,អាន,read
306,ត្រៀមខ្លួនជាស្រេច,ready
247,ពិតប្រាកដ,real
515,មូលហេតុ,reason
604,ទទួលបាន,receive
370,កំណត់ត្រា,record
309,ពណ៌ក្រហម,red
520,តំបន់,region
459,ចងចាំ,remember
991,ម្តងទៀត,repeat
884,ឆ្លើយតប,reply
517,តំណាង,represent
992,តម្រូវឱ្យមាន,require
420,នៅសល់,rest
722,លទ្ធផល,result
756,សំបូរបែប,rich
507,ជិះ,ride
145,សិទ្ធិ,right
778,ចិញ្ចៀន,ring
623,កើនឡើង,rise
296,ទឹកទន្លេ,river
492,ផ្លូវ,road
337,រ៉ុក,rock
739,វិលជុំ,roll
256,បន្ទប់,room
705,ជា root,root
935,មិនទាន់មានច្បាប់ប្រឆាំង,rope
840,បានកើនឡើង,rose
115,ជុំ,round
605,ជួរដេក,row
818,លុប,rub
495,ច្បាប់,rule
241,ការរត់,run
725,សុវត្ថភាព,safe
47,និយាយថា:,said
549,បើកក្ដោង,sail
995,អំបិល,salt
149,ដូចគ្នា,same
737,ការបូមខ្សាច់,sand
572,រ៏,sat
648,រក្សាទុក,save
235,ឃើញ,saw
134,និយាយ,say
661,ខ្នាត,scale
209,សាលារៀន,school
254,វិទ្យាសាស្រ្ត,science
926,ពិន្ទុ,score
237,សមុទ្រ,sea
837,ស្វែងរក,search
907,រដូវកាល,season
949,កៅអី,seat
300,លើកទីពីរ,second
676,ផ្នែក,section
171,សូមមើល,see
615,ពូជ,seed
275,ហាក់ដូចជា,seem
874,ចម្រៀក,segment
988,ជ្រើស,select
98,ដោយខ្លួនឯង,self
954,លក់,sell
838,ផ្ញើ,send
750,យល់,sense
640,បានផ្ញើរ,sent
131,ការកាត់ទោស,sentence
762,ដោយឡែក,separate
490,បម្រើ,serve
52,សំណុំ,set
523,ដោះស្រាយ,settle
712,ចំនួនប្រាំពីរ,seven
478,ជាច្រើន,several
715,នឹង,shall
385,រូបរាង,shape
866,ចំណែក,share
803,ស្រួច,sharp
150,នាងបាន,she
856,សន្លឹក,sheet
899,សែល,shell
984,ចែងចាំង,shine
334,នាវា,ship
965,ស្បែកជើង,shoe
981,ហាង,shop
854,ច្រាំង,shore
327,ខ្លី,short
205,គួរ,should
966,ស្មា,shoulder
612,ការស្រែក,shout
119,ការបង្ហាញ,show
197,ភាគីម្ខាង,side
284,មើលឃើញ,sight
582,សញ្ញា,sign
735,ស្ងៀម,silent
910,ប្រាក់,silver
923,ស្រដៀងគ្នា,similar
477,សាមញ្ញ,simple
346,ចាប់តាំងពី,since
469,ច្រៀង,sing
692,នៅលីវ,single
919,បងស្រី,sister
553,អង្គុយ,sit
471,ប្រាំមួយ,six
521,ទំហំ,size
905,ជំនាញ,skill
696,ស្បែក,skin
568,មេឃ,sky
875,ទាសករ,slave
559,ការដេក,sleep
936,ប័ណ្ណ,slip
485,យឺត,slow
59,តូច,small
945,ក្លិន,smell
697,ស្នាមញញឹម,smile
391,ព្រិល,snow
165,ដូច្នេះ,so
585,ទន់,soft
738,ដី,soil
758,ទាហាន,soldier
908,ដំណោះស្រាយ,solution
708,ដោះស្រាយ,solve
23,មួយចំនួន,some
658,កូនប្រុស,son
322,បទចម្រៀង,song
315,ឆាប់,soon
183,សំឡេង,sound
340,ភាគខាងត្បូង,south
450,ចន្លោះ,space
524,និយាយ,speak
443,ពិសេស,special
888,សុន្ទរកថា,speech
671,ល្បឿន,speed
67,អក្ខរាវិរុទ្ធ,spell
861,ចំណាយ,spend
785,និយាយ,spoke
844,កន្លែង,spot
967,ការរីករាលដាល,spread
663,និទាឃរដូវ,spring
514,ការ៉េ,square
202,ឈរ,stand
416,តារា,star
232,ការចាប់ផ្តើម,start
220,រដ្ឋ,state
867,ស្ថានីយ៍,station
355,ស្នាក់,stay
376,ជំនួស,stead
891,ចំហាយ,steam
920,ដែកថែប,steel
460,ជំហាន,step
693,ឈើ,stick
212,នៅតែមាន,still
681,ដុំថ្ម,stone
427,ឈរ,stood
262,បញ្ឈប់,stop
556,ហាង,store
234,រឿង,story
666,ត្រង់,straight
598,ចម្លែក,strange
822,ស្ទ្រីម,stream
350,តាមផ្លូវ,street
982,កំណាត់,stretch
814,ខ្សែអក្សរ,string
442,យ៉ាងខ្លាំង,strong
772,សិស្ស,student
211,ការសិក្សា,study
519,ប្រធានបទ,subject
857,សារធាតុ,substance
957,ដក,subtract
955,ភាពជោគជ័យ,success
75,ដូច,such
512,រំពេច,sudden
914,បច្ច័យ,suffix
902,ជាតិស្ករ,sugar
618,ផ្ដល់យោបល់,suggest
846,ឈុត,suit
557,នៅរដូវក្តៅ,summer
217,ព្រះអាទិត្យ,sun
775,ការផ្គត់ផ្គង់,supply
887,ការគាំទ្រ,support
268,ប្រាកដថា,sure
362,ផ្ទៃ,surface
679,ការភ្ញាក់ផ្អើល,surprise
961,ហែលទឹក,swim
533,ព្យាង្គ,syllable
608,និមិត្តសញ្ញា,symbol
367,ប្រព័ន្ធ,system
472,តារាង,table
447,កន្ទុយ,tail
105,យក,take
313,ការពិភាក្សា,talk
736,កម្ពស់,tall
430,បង្រៀន,teach
632,ក្រុមការងារ,team
898,ធ្មេញ,teeth
50,ប្រាប់,tell
740,សីតុណ្ហាភាព,temperature
476,ដប់,ten
962,រយៈពេល,term
369,ការធ្វើតេស្ត,test
191,ជាង,than
911,ថ្លែងអំណរគុណ,thank
4,ថា,that
29,នេះ,the
42,របស់ពួកគេ,their
161,ពួកគេ,them
160,បន្ទាប់មក,then
152,នៅទីនោះ,there
166,ទាំងនេះ,these
11,ពួកគេ,they
757,ក្រាស់,thick
825,ស្តើង,thin
170,រឿង,thing
133,គិត,think
714,ទីបី,third
16,នេះ,this
289,អ្នកដែល,those
311,ទោះបីជា,though
226,គិតថា,thought
380,ពាន់នាក់,thousand
53,បីនាក់,three
128,តាមរយៈការ,through
983,បោះ,throw
797,ដូច្នេះ,thus
833,ស្មើ,tie
43,ពេលវេលា,time
682,តូច,tiny
392,សំបកកង់,tire
31,ដើម្បី,to
276,រួមគ្នា,together
343,បានប្រាប់,told
616,សម្លេង,tone
148,ផងដែរ,too
253,បានយក,took
942,ឧបករណ៍,tool
347,កំពូល,top
943,ចំនួនសរុប,total
628,ប៉ះ,touch
480,ឆ្ពោះទៅកាន់,toward
403,ទីក្រុង,town
852,បទ,track
600,ពាណិជ្ជកម្ម,trade
558,រថភ្លើង,train
473,ការធ្វើដំណើរ,travel
228,ដើម,tree
826,ត្រីកោណ,triangle
602,ការធ្វើដំណើរ,trip
611,បញ្ហា,trouble
976,ឡាន,truck
455,ជាការពិត,true
89,ព្យាយាម,try
819,បំពង់,tube
139,វេន,turn
695,ម្ភៃ,twenty
173,ពីរនាក់,two
729,ប្រភេទ,type
125,ក្រោមការ,under
401,អង្គភាព,unit
294,រហូតដល់,until
154,ឡើង,up
90,ពួកយើង,us
155,ប្រើ,use
304,ធម្មតា,usual
946,ជ្រលងភ្នំ,valley
743,តម្លៃ,value
522,ខុសគ្នា,vary
468,កិរិយាសព្ទ,verb
127,យ៉ាងខ្លាំង,very
749,ទិដ្ឋភាព,view
703,ភូមិ,village
583,ដំណើរទស្សនកិច្ច,visit
500,សំលេង,voice
479,ស្រៈ,vowel
413,រង់ចាំ,wait
282,ដើរ,walk
564,ជញ្ជាំង,wall
54,ចង់បាន,want
481,សង្រ្គាម,war
439,ក្តៅ,warm
6,គឺ,was
807,លាងសមាត,wash
269,មើល,watch
190,ទឹក,water
538,រលក,wave
157,វិធី,way
35,យើង,we
637,ពាក់,wear
589,អាកាសធាតុ,weather
431,សប្តាហ៍,week
525,ទំងន់,weight
56,ល្អ,well
82,បានទៅ,went
39,នាក់,were
463,ភាគខាងលិច,west
22,អ្វីដែល,what
356,កង់,wheel
153,ពេល,when
110,ដែលជាកន្លែងដែល,where
710,ថាតើ,whether
40,ដែល,which
243,ខណៈពេលដែល,while
278,ពណ៌ស,white
194,ដែល,who
348,ទាំងមូល,whole
776,ដែល,whose
78,ហេតុអ្វីបានជា,why
548,ទូលាយ,wide
964,ប្រពន្ធ,wife
574,ព្រៃ,wild
45,នឹង,will
937,ជ័យជម្នះ,win
330,ខ្យល់,wind
555,បង្អួច,window
804,ស្លាប,wing
571,រដូវរងារ,winter
633,លួស,wire
567,មានបំណងចង់,wish
10,ជាមួយនឹង,with
799,ស្រ្តីម្នាក់,woman
906,ស្ត្រី,women
378,ឆ្ងល់,wonder
752,នឹងមិន,won’t
272,ឈើ,wood
20,ពាក្យ,word
103,ការងារធ្វើ,work
95,ពិភពលោក,world
163,នឹង,would
162,សរសេរ,write
573,បានសរសេរ,written
989,ខុស,wrong
614,សរសេរ,wrote
622,ក្នុង yard,yard
117,កាលពីឆ្នាំ,year
839,លឿង,yellow
394,បាទ,yes
537,នៅឡើយទេ,yet
26,អ្នក,you
305,វ័យក្មេង,young
156,របស់អ្នក,your
