number,kyrgyz,english
923,окшош,similar
477,жөнөкөй,simple
346,бери,since
469,ырдоо,sing
692,жалгыз,single
919,бир тууган,sister
553,отуруу,sit
471,алты,six
521,көлөм,size
905,өнөрдүүлүк,skill
696,тери,skin
568,асман,sky
875,кул,slave
559,уйку,sleep
936,тайгалануу,slip
485,жай,slow
59,кичине,small
945,жыт,smell
697,жылмаюу,smile
391,кар,snow
165,ушундай,so
585,жумшак,soft
738,жер,soil
758,аскер,soldier
908,чечим,solution
708,чечүү,solve
23,кээ бир,some
658,уул,son
322,ыр,song
315,жакында,soon
183,тыбыш,sound
340,түштүк,south
450,мейкиндик,space
524,сүйлөө,speak
443,атайын,special
888,сүйлөө,speech
671,ылдамдык,speed
67,сыйкырлоо,spell
861,сарптоо,spend
785,мындай деди:,spoke
844,так,spot
967,жайылуу,spread
663,жаз,spring
514,аянт,square
202,тура,stand
416,жылдыз,star
232,баштоо,start
220,мамлекет,state
867,бекети,station
355,кал,stay
376,ордуна,stead
891,буу,steam
920,болот,steel
460,кадам,step
693,таяк,stick
212,дагы,still
681,таш,stone
427,турду,stood
262,токтотуу,stop
556,дүкөн,store
234,баян,story
666,түз,straight
598,бөлөк,strange
822,агым,stream
350,көчө,street
982,чоюу,stretch
814,аркан,string
442,күчтүү,strong
772,окуучу,student
211,окуу,study
519,тема,subject
857,зат,substance
957,кемитүү,subtract
955,ийгилик,success
75,ушундай,such
512,кокус,sudden
914,suffix,suffix
902,кант,sugar
618,сунуш,suggest
846,туура келүү,suit
557,жай,summer
217,күн,sun
775,жабдуу,supply
887,колдоо,support
268,ишенимдүү,sure
362,жер үстүндөгү,surface
679,күтүлбөстүк,surprise
961,сүзүү,swim
533,муун,syllable
608,белги,symbol
367,система,system
472,стол,table
447,куйрук,tail
105,кабыл алуу,take
313,сүйлөшүү,talk
736,бийик,tall
430,окутуу,teach
632,команда,team
29,тиштер,teeth
898,тиштер,teeth
50,айтып,tell
740,абанын температурасы:,temperature
476,он,ten
962,мөөнөт,term
369,текшерүү,test
191,караганда,than
911,рахмат,thank
4,ошол,that
42,алардын,their
161,аларды,them
160,ошондо,then
152,жок,there
166,бул,these
11,алар,they
757,жоон,thick
825,арык,thin
170,буюм,thing
133,ойлоо,think
714,үчүнчү,third
16,бул,this
289,ошол,those
311,карабастан,though
226,ой,thought
380,мын,thousand
53,үч,three
128,аркылуу,through
983,ыргытуу,throw
797,"ошентип,",thus
833,галстук,tie
43,убакыт,time
682,кичинекей,tiny
392,дөңгөлөктүн алкагы,tire
31,үчүн,to
276,бирге,together
343,айтып,told
616,түс,tone
148,дагы,too
253,алды,took
942,курал,tool
347,жогорку,top
943,жалпы,total
628,тийүү,touch
480,болгон,toward
403,шаар,town
852,жол,track
600,соода,trade
558,поезд,train
473,саякаттоо,travel
228,дарак,tree
826,үч бурчтук,triangle
602,на,trip
611,оор,trouble
976,жүк ташуучу,truck
455,чыныгы,true
89,аракет кылуу,try
819,түтүк,tube
139,бурулуш,turn
695,жыйырма,twenty
173,эки,two
729,түрү,type
125,астында,under
401,бирдиги,unit
294,чейин,until
154,чейин,up
90,бизге,us
155,колдонуу,use
304,демейдеги,usual
946,өрөөн,valley
743,наркы,value
522,өзгөрүү,vary
468,этиш,verb
127,абдан,very
749,көрүнүш,view
703,кыштак,village
583,баруу,visit
500,үн,voice
479,үндүү,vowel
413,күтүү,wait
282,басуу,walk
564,дубал,wall
54,каалоо,want
481,согуш,war
439,жылуу,warm
6,болду,was
807,жуунуу,wash
269,байкоо,watch
190,суу,water
538,толкун,wave
157,жол,way
35,биз,we
637,кийүү,wear
589,аба-ырайы,weather
431,жума,week
525,салмак,weight
56,жакшы,well
82,барды,went
39,болгон,were
463,батыш,west
22,эмне,what
356,дөңгөлөк,wheel
153,качан,when
110,кайда,where
710,же,whether
40,кайсы,which
243,жатканда,while
278,ак,white
194,ким,who
348,бүт,whole
776,кимдин,whose
78,неге,why
548,кең,wide
964,аял,wife
574,жапайы,wild
45,болот,will
937,жеңүү,win
330,шамал,wind
555,терезе,window
804,канат,wing
571,кыш,winter
633,зым,wire
567,каалоо,wish
10,менен,with
799,аял,woman
906,аялдар,women
378,таң калуу,wonder
752,"эркин эмес,",won’t
272,жыгач,wood
20,сөз,word
103,иш,work
95,дүйнө,world
163,турган,would
162,жазуу,write
573,жазылган,written
989,ката,wrong
614,жазган,wrote
622,ярд,yard
117,жыл,year
839,сары,yellow
394,ооба,yes
537,дагы,yet
26,сиз,you
305,жаш,young
156,сенин,your
