number,bosnian,english
284,ublažiti,ease
397,east,east
255,jesti,eat
581,edge,edge
789,učinak,effect
506,jaje,egg
702,osam,eight
721,bilo,either
790,električni,electric
770,element,element
652,ostalo,else
60,kraj,end
883,neprijatelj,enemy
501,energije,energy
545,motor,engine
301,dovoljno,enough
834,ući,enter
639,jednake,equal
386,izjednačavaju,equate
915,posebno,especially
69,čak i,even
939,večer,evening
958,događaja,event
308,ikad,ever
120,svaka,every
607,tačan,exact
283,primjer,example
613,osim,except
747,uzbuditi,excite
563,vježbe,exercise
791,očekujem,expect
925,iskustvo,experience
688,eksperiment,experiment
222,eye,eye
271,lice,face
449,činjenica,fact
645,fair,fair
407,pasti,fall
318,obiteljska,family
820,poznati,famous
236,sada,far
230,farm,farm
467,brzo,fast
863,mast,fat
100,otac,father
858,favorizuje,favor
823,straha,fear
941,hraniti,feed
312,osjećaju,feel
298,stopala,feet
642,pao,fell
534,osećao,felt
249,nekoliko,few
419,terenu,field
916,smokva,fig
744,borba,fight
415,slika,figure
396,popuniti,fill
432,konačne,final
200,naći,find
404,u redu,fine
741,prst,finger
593,završi,finish
339,požara,fire
193,prvi,first
260,ribe,fish
643,odgovarati,fit
458,pet,five
694,stan,flat
720,kat,floor
644,protok,flow
596,flower,flower
406,fly,fly
76,slijediti,follow
216,hrane,food
366,stopala,foot
7,za,for
358,snagu,force
552,forest,forest
130,oblik,form
922,naprijed,forward
207,pronađeno,found
218,četiri,four
551,frakcija,fraction
440,free,free
836,svježe,fresh
257,prijatelj,friend
17,iz,from
429,prednji,front
755,voća,fruit
357,punu,full
586,zabava,fun
384,igra,game
638,vrt,garden
588,gas,gas
980,okupljaju,gather
433,dao,gave
526,general,general
798,blagim,gentle
106,dobiti,get
303,girl,girl
123,daju,give
864,zadovoljan,glad
577,staklo,glass
179,ići,go
373,zlato,gold
599,gone,gone
121,dobro,good
281,dobio,got
496,upravljaju,govern
535,grand,grand
578,trave,grass
990,siva,gray
132,veliki,great
434,zelena,green
629,rastao,grew
464,terenu,ground
286,group,group
210,raste,grow
801,valjda,guess
924,guide,guide
840,pištolj,gun
28,imao,had
717,kosu,hair
336,pola,half
64,ruku,hand
332,dogoditi,happen
594,sretan,happy
231,tvrd,hard
174,ima,has
953,šešir,hat
15,imaju,have
5,on,he
201,glava,head
265,čuti,hear
451,čuo,heard
540,srce,heart
390,toplota,heat
543,heavy,heavy
716,held,held
135,pomoći,help
167,nju,her
71,ovdje,here
74,visok,high
724,hill,hill
172,ga,him
3,svoje,his
788,istorija,history
771,hit,hit
462,držite,hold
699,rupa,hole
62,početna,home
595,nadam se da,hope
266,konja,horse
19,hot,hot
387,hot,hot
453,sata,hour
87,kuća,house
46,kako,how
918,ogromna,huge
787,ljudskih,human
457,stotinu,hundred
502,hunt,hunt
828,požuri,hurry
2,ja,i
527,ice,ice
259,ideja,idea
44,ako je,if
794,zamislite,imagine
34,u,in
351,inča,inch
531,uključuju,include
783,ukazuju,indicate
742,industriju,industry
780,insekata,insect
877,instant,instant
575,instrument,instrument
465,interesa,interest
970,izmišljati,invent
691,željeza,iron
24,je,is
365,otok,island
25,to,it
580,posao,job
617,pristupiti,join
570,joy,joy
700,skočiti,jump
129,samo,just
221,zadržati,keep
576,čuva,kept
690,ključ,key
657,ubiti,kill
84,vrste,kind
349,kralj,king
344,znao,knew
189,znam,know
621,lady,lady
659,jezera,lake
70,zemljišta,land
399,jezik,language
66,velike,large
224,zadnji,last
240,krajem,late
379,laugh,laugh
730,zakon,law
482,ležala,lay
408,vodi,lead
213,uče,learn
610,najmanje,least
321,ostaviti,leave
929,na čelu,led
239,lijevo,left
562,nogu,leg
516,dužina,length
474,manje,less
225,neka,let
293,pismo,letter
978,nivo,level
745,laž,lie
248,život,life
848,lift,lift
83,svjetlo,light
164,kao što,like
137,line,line
894,tekućina,liquid
310,popis,list
470,slušati,listen
113,malo,little
109,živjeti,live
777,locirati,locate
895,log,log
561,lone,lone
168,duga,long
175,pogledaj,look
635,izgubio,lost
687,mnogo,lot
662,glasno,loud
487,love,love
136,niska,low
411,mašina,machine
108,napravio,made
909,magnet,magnet
273,glavni,main
835,glavni,major
169,napraviti,make
116,man,man
159,mnogim,many
493,karta,map
291,mark,mark
878,tržište,market
932,mase,mass
851,master,master
913,meč,match
550,materijala,material
528,pitanje,matter
195,može,may
122,me,me
142,znači,mean
896,značilo,meant
323,izmjeriti,measure
817,meso,meat
704,meet,meet
601,melody,melody
80,muškarci,men
709,metala,metal
672,metoda,method
656,srednji,middle
233,možda,might
295,mile,mile
670,mlijeka,milk
591,milijuna,million
444,uma,mind
832,mine,mine
441,minute,minute
388,promašaj,miss
631,mix,mix
769,moderne,modern
987,molekula,molecule
660,trenutak,moment
489,novac,money
590,mjesec,month
364,moon,moon
176,više,more
475,jutro,morning
185,većina,most
94,majka,mother
892,motion,motion
566,mount,mount
261,planine,mountain
606,usta,mouth
144,potez,move
141,mnogo,much
352,pomnožite,multiply
288,glazba,music
72,mora,must
187,moj,my
126,ime,name
668,nacije,nation
748,prirodni,natural
889,prirode,nature
96,u blizini,near
802,potrebno,necessary
900,vrat,neck
86,treba,need
806,susjed,neighbor
223,nikada,never
102,novi,new
277,sljedeći,next
246,noć,night
975,devet,nine
184,ne,no
977,buke,noise
767,podne,noon
947,ni,nor
250,north,north
996,nos,nose
412,note,note
353,ništa,nothing
499,najave,notice
418,imenica,noun
199,sada,now
182,broj,number
328,brojka,numeral
360,objekta,object
664,poštuju,observe
886,doći,occur
438,ocean,ocean
30,od,of
85,off,off
873,ponuda,offer
603,ured,office
292,često,often
435,oh,oh
626,ulja,oil
147,staro,old
8,na,on
263,jednom,once
14,jedan,one
114,samo,only
274,open,open
760,rade,operate
963,suprotno,opposite
27,ili,or
338,kako bi,order
673,organ,organ
865,original,original
38,druge,other
124,našim,our
37,out,out
188,više,over
203,vlastitih,own
901,kisika,oxygen
204,stranicu,page
398,bojiti,paint
530,par,pair
285,papira,paper
713,stava,paragraph
853,roditelj,parent
104,dio,part
959,posebno,particular
774,stranka,party
345,prolaze,pass
584,prošlost,past
893,put,path
484,obrazac,pattern
674,platiti,pay
186,ljudi,people
510,možda,perhaps
782,periodu,period
488,osoba,person
734,frazu,phrase
511,pick,pick
88,slika,picture
342,komad,piece
930,pitch,pitch
107,mjesto,place
302,plain,plain
414,plan,plan
375,avion,plane
827,planet,planet
214,postrojenja,plant
58,igrati,play
765,molim,please
997,množini,plural
813,pesma,poem
93,tačka,point
686,loše,poor
880,naseliti,populate
65,port,port
320,pose,pose
546,položaj,position
374,moguć,possible
860,post,post
423,pound,pound
402,snaga,power
761,praksi,practice
994,pripremi,prepare
542,prisutni,present
244,pritisnite,press
904,prilično,pretty
842,print,print
503,vjerojatno,probable
341,problem,problem
759,proces,process
448,proizvode,produce
325,proizvod,product
871,pravi,proper
985,imovinu,property
766,štite,protect
560,dokazati,prove
795,pružaju,provide
497,povući,pull
711,push,push
61,put,put
974,quart,quart
331,pitanje,question
436,brzo,quick
680,mirna,quiet
653,sasvim,quite
897,kvocijent,quotient
554,rase,race
784,radio,radio
793,rail,rail
494,kiše,rain
707,podizanje,raise
382,ran,ran
890,raspon,range
809,radije,rather
466,dostići,reach
63,čitati,read
306,spreman,ready
247,real,real
515,razlog,reason
604,primaju,receive
370,zapis,record
309,crvena,red
520,regija,region
459,zapamtite,remember
991,ponavljanja,repeat
884,odgovori,reply
517,predstavljaju,represent
992,zahtijevaju,require
420,ostalo,rest
722,rezultat,result
756,bogata,rich
507,ride,ride
145,pravo,right
778,ring,ring
623,rasti,rise
296,river,river
492,putu,road
337,rock,rock
739,roll,roll
256,soba,room
705,root,root
935,rope,rope
840,ruža,rose
115,okrugli,round
605,red,row
818,rub,rub
495,pravilo,rule
241,run,run
725,sigurno,safe
47,", rekao je",said
549,sail,sail
995,soli,salt
149,isto,same
737,pijesak,sand
572,sat,sat
648,spasiti,save
235,testera,saw
134,kažu,say
661,skale,scale
209,škole,school
254,nauke,science
926,rezultat,score
237,more,sea
837,pretraga,search
907,sezona,season
949,sjedište,seat
300,drugi,second
676,odjeljku,section
171,vidjeti,see
615,sjemena,seed
275,izgleda,seem
874,segment,segment
988,odaberite,select
98,self,self
954,prodati,sell
838,pošalji,send
750,smislu,sense
640,poslao,sent
131,kazna,sentence
762,odvojena,separate
490,služe,serve
52,set,set
523,izmirenje,settle
712,sedam,seven
478,nekoliko,several
715,će,shall
385,oblik,shape
866,share,share
803,oštre,sharp
150,ona,she
856,list,sheet
899,shell,shell
984,sjaj,shine
334,brod,ship
965,cipela,shoe
981,shop,shop
854,shore,shore
327,ukratko,short
205,treba,should
966,ramena,shoulder
612,shout,shout
119,show,show
197,strani,side
284,vida,sight
582,znak,sign
735,silent,silent
910,srebro,silver
923,slično,similar
477,jednostavna,simple
346,s obzirom,since
469,pjevati,sing
692,jedan,single
919,sestra,sister
553,sjediti,sit
471,šest,six
521,veličina,size
905,vještina,skill
696,kože,skin
568,sky,sky
875,slave,slave
559,spavanje,sleep
936,slip,slip
485,spor,slow
59,male,small
945,miris,smell
697,smile,smile
391,snijeg,snow
165,tako,so
585,soft,soft
738,zemljišta,soil
758,vojnik,soldier
908,rješenje,solution
708,riješiti,solve
23,neki,some
658,sina,son
322,song,song
315,uskoro,soon
183,zvuk,sound
340,jug,south
450,prostora,space
524,govori,speak
443,posebnim,special
888,govora,speech
671,brzina,speed
67,piše,spell
861,potrošiti,spend
785,krakova,spoke
844,mjesto,spot
967,namaz,spread
663,proljeće,spring
514,trg,square
202,stand,stand
416,star,star
232,početak,start
220,države,state
867,stanice,station
355,ostati,stay
376,stead,stead
891,pare,steam
920,čelika,steel
460,korak,step
693,stick,stick
212,još,still
681,kamena,stone
427,stajao,stood
262,zaustaviti,stop
556,store,store
234,priča,story
666,straight,straight
598,čudno,strange
822,stream,stream
350,street,street
982,stretch,stretch
814,string,string
442,jaka,strong
772,student,student
211,studija,study
519,predmet,subject
857,supstance,substance
957,oduzmite,subtract
955,uspjeh,success
75,kao što,such
512,naglo,sudden
914,sufiks,suffix
902,šećera,sugar
618,ukazuju,suggest
846,odijelo,suit
557,ljeto,summer
217,sunce,sun
775,napajanja,supply
887,podrška,support
268,siguran,sure
362,površinu,surface
679,iznenađenje,surprise
961,swim,swim
533,slog,syllable
608,simbol,symbol
367,sustav,system
472,stol,table
447,rep,tail
105,uzeti,take
313,razgovor,talk
736,visok,tall
430,naučiti,teach
632,team,team
898,zubi,teeth
50,reci,tell
740,temperature,temperature
476,deset,ten
962,termin,term
369,test,test
191,od,than
911,thank,thank
4,da,that
29,u,the
42,svoje,their
161,ih,them
160,onda,then
152,postoji,there
166,ove,these
11,oni,they
757,debljine,thick
825,tanka,thin
170,stvar,thing
133,mislim,think
714,treći,third
16,ovo,this
289,te,those
311,iako,though
226,mislio,thought
380,hiljada,thousand
53,tri,three
128,kroz,through
983,baciti,throw
797,na taj način,thus
833,tie,tie
43,vrijeme,time
682,maleni,tiny
392,gume,tire
31,u,to
276,zajedno,together
343,rekao,told
616,ton,tone
148,previše,too
253,uzeo,took
942,alat,tool
347,top,top
943,ukupno,total
628,dodirnite,touch
480,ka,toward
403,grad,town
852,track,track
600,trgovinu,trade
558,voz,train
473,putovanja,travel
228,stablo,tree
826,trokut,triangle
602,putovanje,trip
611,nevolje,trouble
976,kamion,truck
455,istina,true
89,pokušati,try
819,tube,tube
139,red,turn
695,dvadeset,twenty
173,dva,two
729,tip,type
125,pod,under
401,jedinica,unit
294,do,until
154,up,up
90,nas,us
155,koristiti,use
304,uobičajeni,usual
946,dolina,valley
743,vrijednost,value
522,variraju,vary
468,glagol,verb
127,vrlo,very
749,pogledaj,view
703,sela,village
583,posjeti,visit
500,glas,voice
479,samoglasnik,vowel
413,čekati,wait
282,hoda,walk
564,zid,wall
54,želim,want
481,rat,war
439,toplo,warm
6,je,was
807,pranje,wash
269,gledati,watch
190,vode,water
538,wave,wave
157,način,way
35,smo,we
637,nose,wear
589,vrijeme,weather
431,sedmica,week
525,težina,weight
56,dobro,well
82,otišao,went
39,bili,were
463,west,west
22,ono što,what
356,kotača,wheel
153,kada,when
110,gdje,where
710,da li je,whether
40,koja,which
243,a,while
278,bela,white
194,koji,who
348,cijeli,whole
776,čije,whose
78,zašto,why
548,širok,wide
964,supruga,wife
574,wild,wild
45,će,will
937,win,win
330,vjetar,wind
555,prozor,window
804,krilo,wing
571,zime,winter
633,žice,wire
567,žele,wish
10,s,with
799,žena,woman
906,žene,women
378,pitam,wonder
752,neće,won’t
272,drvo,wood
20,reč,word
103,rada,work
95,svijetu,world
163,bi,would
162,pišu,write
573,pisani,written
989,u redu,wrong
614,napisao,wrote
622,dvorište,yard
117,godine,year
839,žut,yellow
394,da,yes
537,još,yet
26,te,you
305,mladi,young
156,svoje,your
