number,haitian,english
257,zanmi,friend
17,soti nan,from
429,devan,front
755,fwi,fruit
357,plen,full
586,plezi,fun
384,jwèt,game
638,jaden,garden
588,gaz,gas
980,ranmase,gather
433,te bay,gave
526,jeneral,general
798,dou,gentle
106,jwenn,get
303,ti fi,girl
123,bay,give
864,kontan,glad
577,vè,glass
179,ale,go
373,lò,gold
599,ale,gone
121,bon,good
281,te resevwa,got
496,gouvène,govern
535,grand,grand
578,zèb,grass
990,gri,gray
132,gwo,great
434,vèt,green
629,te grandi,grew
464,tè,ground
286,gwoup,group
210,grandi,grow
801,devine,guess
924,gide,guide
840,zam,gun
28,te gen,had
717,tout cheve nan tèt,hair
336,mwatye,half
64,men,hand
332,rive,happen
594,kontan,happy
231,difisil,hard
174,gen,has
953,chapo,hat
15,gen,have
5,li,he
201,tèt,head
265,tande,hear
451,tande,heard
540,kè,heart
390,chalè,heat
543,lou,heavy
716,ki te fèt,held
135,ede,help
167,gen,her
71,isit la,here
74,segondè,high
724,mòn,hill
172,l ’,him
3,l’,his
788,istwa,history
771,frape,hit
462,kenbe,hold
699,twou,hole
62,lakay,home
595,espere,hope
266,chwal,horse
19,cho,hot
387,cho,hot
453,èdtan,hour
87,kay,house
46,ki jan,how
918,gwo,huge
787,imen,human
457,santèn,hundred
502,lachas,hunt
828,prese,hurry
2,mwen,i
527,glas,ice
259,lide,idea
44,si,if
794,imajine,imagine
34,nan,in
351,pous,inch
531,gen ladan yo,include
783,endike,indicate
742,endistri,industry
780,ensèk,insect
877,enstantane,instant
575,enstriman,instrument
465,enterè,interest
970,envante,invent
691,fè,iron
24,se,is
365,zile,island
25,li,it
580,travay,job
617,rantre nan,join
570,kè kontan,joy
700,sote,jump
129,jis,just
221,kenbe,keep
576,kenbe,kept
690,kle,key
657,touye,kill
84,kalite,kind
349,wa,king
344,te konnen,knew
189,konnen,know
621,dam,lady
659,lak,lake
70,peyi,land
399,lang,language
66,gwo,large
224,dènye,last
240,an reta,late
379,ri,laugh
730,lalwa,law
482,kouche,lay
408,mennen,lead
213,aprann,learn
610,omwen,least
321,kite,leave
929,dirije,led
239,kite,left
562,janm,leg
516,longè,length
474,mwens,less
225,kite,let
293,lèt,letter
978,nivo,level
745,manti,lie
248,lavi,life
848,leve,lift
83,limyè,light
164,tankou,like
137,liy,line
894,likid,liquid
310,lis,list
470,koute,listen
113,ti kras,little
109,ap viv,live
777,lokalize,locate
895,journal,log
561,lone,lone
168,lontan,long
175,gade,look
635,pèdi,lost
687,anpil,lot
662,byen fò,loud
487,renmen,love
136,ki ba,low
411,machin,machine
108,te fè,made
909,leman,magnet
273,prensipal,main
835,pi gwo,major
169,fè,make
116,nonm,man
159,anpil,many
493,kat jeyografik,map
291,make,mark
878,mache,market
932,mas,mass
851,mèt,master
913,matche ak,match
550,materyèl,material
528,pwoblèm,matter
195,kapab,may
122,m ’,me
142,vle di,mean
896,vle di,meant
323,mezire,measure
817,vyann,meat
704,satisfè,meet
601,melodi,melody
80,moun,men
709,metal,metal
672,metòd,method
656,mitan,middle
233,ta ka,might
295,mil,mile
670,lèt,milk
591,milyon dola,million
444,lide,mind
832,m ’,mine
441,minit,minute
388,miss,miss
631,melanje,mix
769,modèn,modern
987,molekil,molecule
660,moman sa,moment
489,lajan,money
590,mwa,month
364,lalin,moon
176,plis,more
475,maten,morning
185,pi,most
94,manman,mother
892,mouvman,motion
566,mòn,mount
261,mòn,mountain
606,bouch,mouth
144,deplase,move
141,anpil,much
352,miltipliye,multiply
288,mizik,music
72,dwe,must
187,mwen,my
126,non,name
668,nasyon,nation
748,natirèl,natural
889,nati,nature
96,tou pre,near
802,nesesè,necessary
900,kou,neck
86,bezwen,need
806,frè parèy,neighbor
223,pa janm,never
102,nouvo,new
277,pwochen,next
246,lannwit,night
975,nèf,nine
184,pa gen okenn,no
977,bri,noise
767,midi,noon
947,ni,nor
250,nò,north
996,nen,nose
412,nòt,note
353,pa gen anyen,nothing
499,avi,notice
418,non,noun
199,kounye a,now
182,nimewo,number
328,a chif,numeral
360,objè,object
664,obsève,observe
886,rive,occur
438,oseyan,ocean
30,nan,of
85,koupe,off
873,òf,offer
603,biwo,office
292,souvan,often
435,oh,oh
626,lwil oliv,oil
147,fin vye granmoun,old
8,sou,on
263,yon fwa,once
14,yon sèl,one
114,sèlman,only
274,louvri,open
760,opere,operate
963,opoze,opposite
27,oswa,or
338,lòd,order
673,ògàn,organ
865,orijinal,original
38,lòt,other
124,nou an,our
37,soti,out
188,sou,over
203,pwòp,own
901,oksijèn,oxygen
204,paj,page
398,penti,paint
530,pè,pair
285,papye,paper
713,paragraf,paragraph
853,paran,parent
104,pati,part
959,patikilye,particular
774,pati,party
345,pase,pass
584,sot pase,past
893,chemen,path
484,modèl,pattern
674,peye,pay
186,moun,people
510,petèt,perhaps
782,peryòd,period
488,moun,person
734,fraz,phrase
511,chwazi,pick
88,foto,picture
342,moso,piece
930,anplasman,pitch
107,plas,place
302,plenn,plain
414,plan,plan
375,avyon,plane
827,planèt,planet
214,plant,plant
58,jwe,play
765,tanpri,please
997,pliryèl,plural
813,powèm,poem
93,pwen,point
686,pòv,poor
880,peple,populate
65,pò,port
320,poze,pose
546,pozisyon,position
374,posib,possible
860,pòs,post
423,liv,pound
402,pouvwa,power
761,pratik,practice
994,prepare,prepare
542,prezan,present
244,laprès,press
904,bèl,pretty
842,ekri an lèt detache,print
503,pwobab,probable
341,pwoblèm,problem
759,pwosesis,process
448,pwodwi,produce
325,pwodwi,product
871,apwopriye,proper
985,pwopriyete,property
766,pwoteje,protect
560,pwouve,prove
795,bay,provide
497,rale,pull
711,pouse,push
61,mete,put
974,lit edmi,quart
331,kesyon,question
436,rapid,quick
680,trankil,quiet
653,byen,quite
897,kosyan,quotient
554,ras,race
784,radyo,radio
793,tren,rail
494,lapli,rain
707,ogmante,raise
382,kouri,ran
890,seri,range
809,olye,rather
466,rive jwenn,reach
63,li,read
306,pare,ready
247,reyèl,real
515,rezon,reason
604,resevwa,receive
370,dosye,record
309,wouj,red
520,rejyon,region
459,sonje,remember
991,repete,repeat
884,reponn,reply
517,reprezante,represent
992,mande pou,require
420,rès,rest
722,rezilta,result
756,moun rich,rich
507,woulib,ride
145,dwa,right
778,bag,ring
623,monte,rise
296,gwo larivyè lefrat,river
492,wout,road
337,wòch,rock
739,woulo liv,roll
256,chanm,room
705,rasin,root
935,kòd,rope
840,leve,rose
115,wonn,round
605,ranje,row
818,fwote,rub
495,règ,rule
241,kouri,run
725,ki san danje,safe
47,te di,said
549,vwal,sail
995,sèl,salt
149,menm,same
737,sab,sand
572,sat,sat
648,sove,save
235,te wè,saw
134,di,say
661,echèl,scale
209,lekòl,school
254,syans,science
926,nòt,score
237,lanmè,sea
837,rechèch,search
907,sezon,season
949,chèz,seat
300,dezyèm,second
676,seksyon,section
171,wè,see
615,pitit pitit,seed
275,sanble,seem
874,segman,segment
988,chwazi,select
98,pwòp tèt ou,self
954,vann,sell
838,voye,send
750,sans,sense
640,voye,sent
131,fraz,sentence
762,separe,separate
490,sèvi,serve
52,seri,set
523,rezoud,settle
712,sèt,seven
478,plizyè,several
715,va,shall
385,fòm,shape
866,pataje,share
803,byen file,sharp
150,li,she
856,fèy,sheet
899,koki,shell
984,klere,shine
334,bato,ship
965,soulye,shoe
981,boutik,shop
854,rivaj,shore
327,kout,short
205,ta dwe,should
966,zepòl,shoulder
612,sèl rèl byen,shout
119,montre,show
197,bò,side
284,je,sight
582,siy,sign
735,an silans,silent
910,ajan,silver
923,menm jan,similar
477,senp,simple
346,depi,since
469,chante,sing
692,sèl,single
919,sè,sister
553,chita,sit
471,sis,six
521,gwosè,size
905,konpetans,skill
696,po,skin
568,syèl,sky
875,esklav,slave
559,dòmi,sleep
936,glise,slip
485,dousman,slow
59,ti,small
945,pran sant,smell
697,souri,smile
391,nèj,snow
165,"se konsa,",so
585,mou,soft
738,tè,soil
758,sòlda,soldier
908,solisyon,solution
708,rezoud,solve
23,kèk,some
658,pitit gason,son
322,chante,song
315,byento,soon
183,son,sound
340,sid,south
450,espas,space
524,pale,speak
443,espesyal,special
888,diskou,speech
671,vitès,speed
67,eple,spell
861,depanse,spend
785,te pale,spoke
844,plas,spot
967,gaye,spread
663,sezon prentan,spring
514,kare,square
202,kanpe,stand
416,etwal,star
232,kòmansman,start
220,eta,state
867,estasyon,station
355,rete,stay
376,plas,stead
891,vapè,steam
920,asye,steel
460,etap,step
693,bwa,stick
212,toujou,still
681,wòch,stone
427,te kanpe,stood
262,sispann,stop
556,magazen,store
234,istwa,story
666,tou dwat,straight
598,etranj,strange
822,kouran,stream
350,lari,street
982,detire,stretch
814,fisèl,string
442,fò,strong
772,elèv,student
211,etid,study
519,sijè,subject
857,sibstans,substance
957,fè soustraksyon,subtract
955,siksè,success
75,sa yo,such
512,toudenkou,sudden
914,sifiks,suffix
902,sik,sugar
618,sijere,suggest
846,kostim,suit
557,ete,summer
217,solèy,sun
775,ekipman pou,supply
887,sipò,support
268,asire w,sure
362,sifas,surface
679,sipriz,surprise
961,naje,swim
533,silab,syllable
608,senbòl,symbol
367,sistèm,system
472,tab,table
447,ke,tail
105,pran,take
313,pale,talk
736,wotè,tall
430,anseye,teach
632,ekip,team
898,dan,teeth
50,di,tell
740,tanperati,temperature
476,dis,ten
962,tèm,term
369,tès,test
191,pase,than
911,mèsi,thank
4,ki,that
29,nan,the
42,yo,their
161,yo,them
160,"lè sa a,",then
152,gen,there
166,sa yo,these
11,yo,they
757,epè,thick
825,mens,thin
170,bagay,thing
133,panse,think
714,twazyèm,third
16,sa a,this
289,moun,those
311,menm si,though
226,te panse,thought
380,mil,thousand
53,twa,three
128,atravè,through
983,voye jete,throw
797,konsa,thus
833,menm kantite vòt,tie
43,tan,time
682,ti,tiny
392,kawotchou,tire
31,gen,to
276,ansanm,together
343,te di,told
616,ton,tone
148,twò,too
253,pran,took
942,zouti,tool
347,tèt,top
943,manm,total
628,manyen,touch
480,nan direksyon,toward
403,vil,town
852,tras,track
600,komès,trade
558,tren,train
473,vwayaj,travel
228,pyebwa,tree
826,triyang,triangle
602,vwayaj,trip
611,pwoblèm,trouble
976,kamyon,truck
455,vre,true
89,eseye,try
819,tib,tube
139,vire,turn
695,ven,twenty
173,de,two
729,kalite,type
125,anba,under
401,inite,unit
294,jiskaske,until
154,moute,up
90,nou,us
155,itilize,use
304,nòmal,usual
946,fon,valley
743,valè,value
522,varye,vary
468,vèb,verb
127,trè,very
749,view,view
703,vilaj,village
583,vizit,visit
500,vwa,voice
479,vwayèl,vowel
413,rete tann,wait
282,mache,walk
564,miray,wall
54,vle,want
481,lagè,war
439,cho,warm
6,te,was
807,lave,wash
269,gade,watch
190,dlo,water
538,vag,wave
157,fason,way
35,nou,we
637,mete,wear
589,move tan,weather
431,semèn,week
525,pwa,weight
56,byen,well
82,te ale,went
39,yo te,were
463,lwès,west
22,sa ki,what
356,wou,wheel
153,lè,when
110,ki kote,where
710,si wi ou non,whether
40,ki,which
243,pandan y ap,while
278,blan,white
194,ki moun ki,who
348,antye,whole
776,ki gen,whose
78,poukisa,why
548,lajè,wide
964,madanm,wife
574,sovaj,wild
45,pral,will
937,genyen,win
330,van,wind
555,fenèt,window
804,zèl,wing
571,sezon fredi,winter
633,fil,wire
567,swete,wish
10,ak,with
799,fanm,woman
906,fanm,women
378,mande,wonder
752,pa pral,won’t
272,bwa,wood
20,mo,word
103,travay,work
95,mond,world
163,ta,would
162,ekri,write
573,ekri,written
989,mal,wrong
614,ekri,wrote
622,lakou,yard
117,ane,year
839,jòn,yellow
394,repons lan se wi,yes
537,ankò,yet
26,ou,you
305,jèn,young
156,ou,your
