number,turkish,english
862,akor,chord
529,daire,circle
227,şehir,city
999,iddia,claim
329,sınıf,class
619,temiz,clean
446,açık,clear
683,tırmanış,climb
831,saat,clock
245,yakın,close
597,giydirmek,clothe
678,bulut,cloud
732,sahil,coast
931,ceket,coat
498,soğuk,cold
647,toplamak,collect
830,koloni,colony
270,renk,color
986,sütun,column
180,gel,come
372,ortak,common
956,şirket,company
812,karşılaştırma,compare
333,komple,complete
940,durumu,condition
859,bağlamak,connect
728,düşünmek,consider
667,ünsüz,consonant
428,içeren,contain
1000,kıta,continent
950,devam etmek,continue
649,kontrolü,control
719,aşçı,cook
684,serin,cool
733,kopya,copy
811,mısır,corn
773,köşe,corner
421,doğru,correct
634,maliyet,cost
971,pamuk,cotton
178,olabilir,could
513,saymak,count
206,ülke,country
354,ders,course
215,kapak,cover
579,inek,cow
698,kırışık,crease
805,oluşturmak,create
768,kırpma,crop
229,çapraz,cross
810,kalabalık,crowd
409,ağlamak,cry
847,akım,current
267,kesim,cut
868,baba,dad
544,dans,dance
754,tehlike,danger
410,karanlık,dark
177,gün,day
843,ölü,dead
960,anlaşma,deal
882,sevgili,dear
903,ölüm,death
361,karar vermek,decide
650,ondalık,decimal
363,derin,deep
879,derecesi,degree
816,bağlı,depend
718,tanımlamak,describe
845,çöl,desert
685,dizayn,design
973,belirlemek,determine
437,geliştirmek,develop
669,sözlük,dictionary
181,yaptım,did
609,ölmek,die
138,farklı,differ
763,zor,difficult
319,doğrudan,direct
921,tartışmak,discuss
395,uzak,distant
532,bölmek,divide
855,bölünme,division
41,do,do
764,doktor,doctor
51,yok,does
317,köpek,dog
921,dolar,dollar
424,bitti,done
242,yapamaz,don’t
324,kapı,door
948,çift,double
196,aşağı,down
238,çizmek,draw
938,rüya,dream
677,elbise,dress
885,içki,drink
426,sürücü,drive
539,bırakın,drop
377,kuru,dry
876,ördek,duck
456,sırasında,during
49,her,each
651,kulak,ear
461,erken,early
99,toprak,earth
284,kolaylığı,ease
397,doğu,east
255,yemek,eat
581,kenar,edge
789,etkisi,effect
506,yumurta,egg
702,sekiz,eight
721,ya da,either
790,elektrik,electric
770,eleman,element
652,başka,else
60,son,end
883,düşman,enemy
501,enerji,energy
545,motor,engine
301,yeterli,enough
834,girin,enter
639,eşit,equal
386,eşit,equate
915,özellikle,especially
69,hatta,even
939,akşam,evening
958,olay,event
308,hiç,ever
120,her,every
607,tam,exact
283,örnek,example
613,hariç,except
747,heyecanlandırmak,excite
563,egzersiz,exercise
791,bekliyoruz,expect
925,deneyim,experience
688,deneme,experiment
222,göz,eye
271,yüz,face
449,gerçek,fact
645,adil,fair
407,düşmek,fall
318,aile,family
820,ünlü,famous
236,kadar,far
230,çiftlik,farm
467,hızlı,fast
863,şişman,fat
100,baba,father
858,iyilik,favor
823,korku,fear
941,beslemek,feed
312,hissetmek,feel
298,ayaklar,feet
642,düştü,fell
534,keçe,felt
249,az,few
419,alan,field
916,incir,fig
744,kavga,fight
415,rakam,figure
396,doldurun,fill
432,nihai,final
200,bulmak,find
404,ince,fine
741,parmak,finger
593,bitirmek,finish
339,yangın,fire
193,ilk,first
260,balık,fish
643,uygun,fit
458,beş,five
694,düz,flat
720,zemin,floor
644,akış,flow
596,çiçek,flower
406,uçmak,fly
76,izleyin,follow
216,gıda,food
366,ayak,foot
7,için,for
358,kuvvet,force
552,orman,forest
130,formu,form
922,ileri,forward
207,bulundu,found
218,dört,four
551,kesir,fraction
440,ücretsiz,free
836,taze,fresh
257,arkadaşı,friend
17,dan,from
429,ön,front
755,meyve,fruit
357,tam,full
586,eğlenceli,fun
384,oyunu,game
638,bahçe,garden
588,gaz,gas
980,toplamak,gather
433,verdi,gave
526,genel,general
798,nazik,gentle
106,olsun,get
303,kız,girl
123,vermek,give
864,memnun,glad
577,cam,glass
179,gitmek,go
373,altın,gold
599,gitti,gone
121,iyi,good
281,var,got
496,idare,govern
535,büyük,grand
578,çim,grass
990,gri,gray
132,büyük,great
434,yeşil,green
629,büyüdü,grew
464,zemin,ground
286,grup,group
210,büyümek,grow
801,sanırım,guess
924,kılavuz,guide
840,gun,gun
28,vardı,had
717,saç,hair
336,yarım,half
64,el,hand
332,olur,happen
594,mutlu,happy
231,sert,hard
174,var,has
953,şapka,hat
15,var,have
5,diye,he
201,kafa,head
265,duymak,hear
451,duydum,heard
540,kalp,heart
390,ısı,heat
543,ağır,heavy
716,tutulan,held
135,yardım,help
167,onu,her
71,burada,here
74,yüksek,high
724,tepe,hill
172,onu,him
3,onun,his
788,geçmişi,history
771,vurmak,hit
462,tutun,hold
699,delik,hole
62,ev,home
595,umut,hope
266,at,horse
19,sıcak,hot
387,sıcak,hot
453,saat,hour
87,ev,house
46,nasıl,how
918,büyük,huge
787,insan,human
457,yüz,hundred
502,avı,hunt
828,acele,hurry
2,ben,i
527,buz,ice
259,fikir,idea
44,eğer,if
794,hayal,imagine
34,içinde,in
351,inch,inch
531,dahil,include
783,göstermektedir,indicate
742,sanayi,industry
780,böcek,insect
877,anlık,instant
575,enstrüman,instrument
465,faiz,interest
970,icat,invent
691,demir,iron
24,olduğunu,is
365,ada,island
25,o,it
580,iş,job
617,katılmak,join
570,sevinç,joy
700,atlama,jump
129,sadece,just
221,tutmak,keep
576,tuttu,kept
690,anahtar,key
657,öldürmek,kill
84,tür,kind
349,kral,king
344,biliyordu,knew
189,bilmek,know
621,bayan,lady
659,göl,lake
70,arazi,land
399,dil,language
66,büyük,large
224,son,last
240,geç,late
379,gülmek,laugh
730,hukuk,law
482,koymak,lay
408,kurşun,lead
213,öğrenmek,learn
610,en az,least
321,bırakın,leave
929,açtı,led
239,sol,left
562,bacak,leg
516,uzunluk,length
474,daha az,less
225,let,let
293,mektup,letter
978,seviyesi,level
745,yalan,lie
248,hayat,life
848,asansör,lift
83,ışık,light
164,gibi,like
137,hat,line
894,sıvı,liquid
310,listesi,list
470,dinle,listen
113,küçük,little
109,canlı,live
777,yerleştirmek,locate
895,log,log
561,yalnız,lone
168,uzun,long
175,bak,look
635,kaybetti,lost
687,çok,lot
662,yüksek sesle,loud
487,aşk,love
136,düşük,low
411,makine,machine
108,yapılan,made
909,mıknatıs,magnet
273,ana,main
835,büyük,major
169,yapmak,make
116,adam,man
159,birçok,many
493,harita,map
291,işareti,mark
878,pazar,market
932,kitle,mass
851,usta,master
913,maç,match
550,materyal,material
528,madde,matter
195,may,may
122,bana,me
142,yani,mean
896,demek,meant
323,ölçmek,measure
817,et,meat
704,karşılamak,meet
601,melodi,melody
80,erkekler,men
709,metal,metal
672,yöntem,method
656,orta,middle
233,olabilir,might
295,kilometre,mile
670,süt,milk
591,milyon,million
444,zihin,mind
832,mayın,mine
441,dakika,minute
388,özledim,miss
631,karıştırmak,mix
769,çağdaş,modern
987,molekülü,molecule
660,an,moment
489,para,money
590,ay,month
364,ay,moon
176,daha fazla,more
475,sabah,morning
185,en,most
94,anne,mother
892,hareket,motion
566,dağ,mount
261,dağ,mountain
606,ağız,mouth
144,hareket,move
141,çok,much
352,çarpmak,multiply
288,müzik,music
72,gerekir,must
187,benim,my
126,adı,name
668,ulus,nation
748,doğal,natural
889,doğa,nature
96,yakın,near
802,gerekli,necessary
900,boyun,neck
86,gerek,need
806,komşu,neighbor
223,asla,never
102,yeni,new
277,sonraki,next
246,gece,night
975,dokuz,nine
184,hayır,no
977,gürültü,noise
767,öğlen,noon
947,ne,nor
250,kuzey,north
996,burun,nose
412,notu,note
353,hiçbir şey,nothing
499,haber,notice
418,i,noun
199,şimdi,now
182,numarası,number
328,rakam,numeral
360,nesne,object
664,gözlemlemek,observe
886,meydana,occur
438,okyanus,ocean
30,arasında,of
85,kapalı,off
873,teklif,offer
603,ofis,office
292,sık sık,often
435,oh,oh
626,yağ,oil
147,eski,old
8,üzerinde,on
263,bir kez,once
14,bir,one
114,sadece,only
274,açık,open
760,işletmek,operate
963,karşısında,opposite
27,veya,or
338,sipariş,order
673,organ,organ
865,orijinal,original
38,diğer,other
124,bizim,our
37,üzerinden,out
188,üzerinde,over
203,kendi,own
901,oksijen,oxygen
204,sayfa,page
398,boya,paint
530,çifti,pair
285,kâğıt,paper
713,paragraf,paragraph
853,ebeveyn,parent
104,bölüm,part
959,özellikle,particular
774,parti,party
345,geçmek,pass
584,geçmiş,past
893,yol,path
484,desen,pattern
674,ödeme,pay
186,insanlar,people
510,belki,perhaps
782,dönemi,period
488,kişi,person
734,ifade,phrase
511,seçmek,pick
88,resim,picture
342,parça,piece
930,zift,pitch
107,yer,place
302,düz,plain
414,planı,plan
375,düzlem,plane
827,gezegen,planet
214,bitki,plant
58,oynamak,play
765,lütfen,please
997,çoğul,plural
813,şiir,poem
93,nokta,point
686,kötü,poor
880,doldurmak,populate
65,liman,port
320,poz,pose
546,pozisyon,position
374,mümkün,possible
860,sonrası,post
423,kiloluk,pound
402,güç,power
761,uygulama,practice
994,hazırlamak,prepare
542,mevcut,present
244,basın,press
904,güzel,pretty
842,baskı,print
503,muhtemel,probable
341,sorun,problem
759,süreç,process
448,üretmek,produce
325,ürün,product
871,uygun,proper
985,mülkiyet,property
766,korumak,protect
560,kanıtlamak,prove
795,sağlamak,provide
497,çek,pull
711,it,push
61,koymak,put
974,kuart,quart
331,soru,question
436,hızlı,quick
680,sessiz,quiet
653,oldukça,quite
897,bölüm,quotient
554,yarış,race
784,radyo,radio
793,demiryolu,rail
494,yağmur,rain
707,yükseltmek,raise
382,koştu,ran
890,aralığı,range
809,yerine,rather
466,ulaşmak,reach
63,okumak,read
306,hazır,ready
247,gerçek,real
515,neden,reason
604,almak,receive
370,kayıt,record
309,kırmızı,red
520,bölge,region
459,hatırlıyorum,remember
991,tekrar,repeat
884,cevap,reply
517,temsil,represent
992,gerektirir,require
420,gerisi,rest
722,sonuç,result
756,zengin,rich
507,binmek,ride
145,sağ,right
778,halka,ring
623,yükselecek,rise
296,nehir,river
492,yol,road
337,kaya,rock
739,rulo,roll
256,oda,room
705,kök,root
935,halat,rope
840,gül,rose
115,yuvarlak,round
605,satır,row
818,ovmak,rub
495,kural,rule
241,run,run
725,güvenli,safe
47,dedi,said
549,yelken,sail
995,tuz,salt
149,aynı,same
737,kum,sand
572,cts,sat
648,kaydetmek,save
235,testere,saw
134,demek,say
661,ölçek,scale
209,okul,school
254,bilim,science
926,puan,score
237,deniz,sea
837,arama,search
907,sezon,season
949,koltuk,seat
300,ikinci,second
676,bölüm,section
171,görmek,see
615,tohum,seed
275,görünmek,seem
874,segmenti,segment
988,seçin,select
98,öz,self
954,satmak,sell
838,göndermek,send
750,sense,sense
640,gönderildi,sent
131,cümle,sentence
762,ayrı,separate
490,hizmet,serve
52,set,set
523,yerleşmek,settle
712,yedi,seven
478,birkaç,several
715,shall,shall
385,şekil,shape
866,payı,share
803,keskin,sharp
150,diye,she
856,levha,sheet
899,kabuk,shell
984,parlaklık,shine
334,gemi,ship
965,ayakkabı,shoe
981,dükkan,shop
854,kıyı,shore
327,kısa,short
205,gerekir,should
966,omuz,shoulder
612,bağırmak,shout
119,gösterisi,show
197,yan,side
284,görüş,sight
582,işareti,sign
735,sessiz,silent
910,gümüş,silver
923,benzer,similar
477,basit,simple
346,beri,since
469,şarkı söylemek,sing
692,tek,single
919,kardeş,sister
553,oturmak,sit
471,altı,six
521,boyut,size
905,beceri,skill
696,cilt,skin
568,gökyüzü,sky
875,köle,slave
559,uyku,sleep
936,kayma,slip
485,yavaş,slow
59,küçük,small
945,koku,smell
697,gülümseme,smile
391,kar,snow
165,bu yüzden,so
585,yumuşak,soft
738,toprak,soil
758,asker,soldier
908,çözüm,solution
708,çözmek,solve
23,bazı,some
658,oğlu,son
322,şarkı,song
315,yakında,soon
183,ses,sound
340,güney,south
450,uzay,space
524,konuşmak,speak
443,özel,special
888,konuşma,speech
671,hız,speed
67,büyü,spell
861,harcamak,spend
785,konuştu,spoke
844,nokta,spot
967,yaymak,spread
663,bahar,spring
514,kare,square
202,standı,stand
416,yıldız,star
232,başlangıç,start
220,devlet,state
867,istasyon,station
355,kalmak,stay
376,başkasının yeri,stead
891,buhar,steam
920,çelik,steel
460,adım,step
693,sopa,stick
212,hala,still
681,taş,stone
427,durdu,stood
262,dur,stop
556,mağaza,store
234,hikaye,story
666,düz,straight
598,garip,strange
822,akışı,stream
350,sokak,street
982,streç,stretch
814,dize,string
442,güçlü,strong
772,öğrenci,student
211,çalışma,study
519,konu,subject
857,madde,substance
957,çıkarmak,subtract
955,başarı,success
75,böyle,such
512,ani,sudden
914,sonek,suffix
902,şeker,sugar
618,önermek,suggest
846,takım elbise,suit
557,yaz,summer
217,güneş,sun
775,besleme,supply
887,destek,support
268,emin,sure
362,yüzey,surface
679,sürpriz,surprise
961,yüzmek,swim
533,hece,syllable
608,sembol,symbol
367,sistem,system
472,tablo,table
447,kuyruk,tail
105,almak,take
313,tartışma,talk
736,uzun boylu,tall
430,öğretmek,teach
632,takım,team
898,dişler,teeth
50,söyle,tell
740,sıcaklık,temperature
476,on,ten
962,vadeli,term
369,test,test
191,daha,than
911,teşekkür ederim,thank
4,bu,that
29,,the
42,onların,their
161,onları,them
160,o zaman,then
152,orada,there
166,bu,these
11,onlar,they
757,kalın,thick
825,ince,thin
170,şey,thing
133,düşünmek,think
714,üçüncü,third
16,bu,this
289,bu,those
311,olsa,though
226,düşünce,thought
380,bin,thousand
53,üç,three
128,ile,through
983,atmak,throw
797,böylece,thus
833,kravat,tie
43,zaman,time
682,küçücük,tiny
392,lastik,tire
31,karşı,to
276,birlikte,together
343,söyledi,told
616,sesi,tone
148,çok,too
253,aldı,took
942,aracı,tool
347,üst,top
943,toplam,total
628,dokunma,touch
480,doğru,toward
403,kasaba,town
852,iz,track
600,ticaret,trade
558,tren,train
473,seyahat,travel
228,ağaç,tree
826,üçgen,triangle
602,gezi,trip
611,sorun,trouble
976,kamyon,truck
455,gerçek,true
89,denemek,try
819,tüp,tube
139,dönüş,turn
695,yirmi,twenty
173,iki,two
729,tipi,type
125,altında,under
401,ünitesi,unit
294,kadar,until
154,yukarı,up
90,bizi,us
155,kullanım,use
304,olağan,usual
946,vadi,valley
743,değeri,value
522,değiştirmek,vary
468,fiil,verb
127,çok,very
749,görünüm,view
703,köy,village
583,ziyareti,visit
500,ses,voice
479,ünlü,vowel
413,bekleyin,wait
282,yürümek,walk
564,duvar,wall
54,istiyorum,want
481,savaş,war
439,sıcak,warm
6,oldu,was
807,yıkama,wash
269,izle,watch
190,su,water
538,dalga,wave
157,yol,way
35,biz,we
637,giymek,wear
589,hava,weather
431,hafta,week
525,ağırlık,weight
56,iyi,well
82,gitti,went
39,vardı,were
463,batı,west
22,ne,what
356,tekerlek,wheel
153,zaman,when
110,nerede,where
710,olsun,whether
40,hangi,which
243,süre,while
278,beyaz,white
194,kim,who
348,bütün,whole
776,kimin,whose
78,neden,why
548,geniş,wide
964,karısı,wife
574,vahşi,wild
45,olacak,will
937,win,win
330,rüzgar,wind
555,penceresi,window
804,kanat,wing
571,kış,winter
633,tel,wire
567,dilek,wish
10,ile,with
799,kadın,woman
906,kadın,women
378,acaba,wonder
752,olmaz,won’t
272,ahşap,wood
20,kelime,word
103,iş,work
95,dünya,world
163,would,would
162,yazmak,write
573,yazılı,written
989,yanlış,wrong
614,yazdı,wrote
622,yarda,yard
117,yıl,year
839,sarı,yellow
394,evet,yes
537,henüz,yet
26,sen,you
305,genç,young
156,senin,your
