number,odia_(oriya),english
486,କେନ୍ଦ୍ର,center
727,ଶତାବ୍ଦୀ,century
405,ନିଶ୍ଚିତ,certain
753,ଚେୟାର,chair
979,ସୁଯୋଗ,chance
81,ପରିବର୍ତ୍ତନ,change
779,ବର୍ଣ୍ଣ,character
870,ଚାର୍ଜ,charge
952,ଚାର୍ଟ,chart
383,ଯାଞ୍ଚ କରନ୍ତୁ |,check
881,କୁକୁଡ଼ା,chick
829,ମୁଖିଆ,chief
665,ପିଲା,child
279,ପିଲାମାନେ,children
641,ବାଛନ୍ତୁ |,choose
862,ଧ୍ୱନି,chord
529,ବୃତ୍ତ,circle
227,ସହର,city
999,ଦାବି,claim
329,ଶ୍ରେଣୀ,class
619,ପରିଷ୍କାର,clean
446,ସଫା,clear
683,ଚଢିବା,climb
831,ଘଣ୍ଟା,clock
245,ବନ୍ଦ,close
597,ପରିଧାନ କର,clothe
678,ମେଘ,cloud
732,ଉପକୂଳ,coast
931,କୋଟ,coat
498,ଥଣ୍ଡା,cold
647,ସଂଗ୍ରହ କରନ୍ତୁ |,collect
830,କଲୋନୀ,colony
270,ରଙ୍ଗ,color
986,ସ୍ତମ୍ଭ,column
180,ଆସ,come
372,ସାଧାରଣ,common
956,କମ୍ପାନୀ,company
812,ତୁଳନା କର,compare
333,ସଂପୂର୍ଣ୍ଣ,complete
940,ଅବସ୍ଥା,condition
859,ସଂଯୋଗ କରନ୍ତୁ |,connect
728,ଧ୍ୟାନ ଦିଅ |,consider
667,ଧ୍ୱନି,consonant
428,ଧାରଣ କରନ୍ତୁ |,contain
1000,ମାଳଦ୍ୱୀପ,continent
950,ଜାରି ରଖ |,continue
649,ନିୟନ୍ତ୍ରଣ,control
719,ରାନ୍ଧ |,cook
684,ଥଣ୍ଡା,cool
733,କପି କରନ୍ତୁ |,copy
811,ମକା,corn
773,କୋଣ,corner
421,ସଠିକ୍,correct
634,ମୂଲ୍ୟ,cost
971,କପା,cotton
178,କରିପାରନ୍ତି |,could
513,ଗଣନା,count
206,ଦେଶ,country
354,ପାଠ୍ୟକ୍ରମ,course
215,ଆବରଣ |,cover
579,ଗା cow,cow
698,କ୍ରିଜ୍,crease
805,ସୃଷ୍ଟି କରନ୍ତୁ |,create
768,ଫସଲ,crop
229,କ୍ରସ୍,cross
810,ଭିଡ଼,crowd
409,କାନ୍ଦ,cry
847,ସାମ୍ପ୍ରତିକ,current
267,କାଟ,cut
868,ବାପା,dad
544,ନୃତ୍ୟ,dance
754,ବିପଦ,danger
410,ଅନ୍ଧାର,dark
177,ଦିନ,day
843,ମୃତ,dead
960,କାରବାର,deal
882,ପ୍ରିୟ,dear
903,ମୃତ୍ୟୁ,death
361,ନିଷ୍ପତ୍ତି ନିଅ,decide
650,ଦଶମିକ,decimal
363,ଗଭୀର,deep
879,ଡିଗ୍ରୀ,degree
816,ନିର୍ଭର କରେ |,depend
718,ବର୍ଣ୍ଣନା କର |,describe
845,ମରୁଭୂମି,desert
685,ଡିଜାଇନ୍,design
973,ନିର୍ଣ୍ଣୟ କର |,determine
437,ବିକାଶ,develop
669,ଅଭିଧାନ,dictionary
181,କରିଛନ୍ତି,did
609,ମର,die
138,ଭିନ୍ନ,differ
763,କଷ୍ଟକର |,difficult
319,ସିଧାସଳଖ |,direct
921,ଆଲୋଚନା କରନ୍ତୁ |,discuss
395,ଦୂର,distant
532,ବିଭାଜନ,divide
855,ବିଭାଜନ,division
41,କର,do
764,ଡାକ୍ତର,doctor
51,କରେ,does
317,କୁକୁର,dog
921,ଡଲାର,dollar
424,ସମାପ୍ତ,done
242,କରନ୍ତୁ ନାହିଁ |,don’t
324,କବାଟ,door
948,ଦୁଇଥର |,double
196,ତଳକୁ,down
238,ଡ୍ର,draw
938,ସ୍ୱପ୍ନ,dream
677,ପୋଷାକ,dress
885,ପିଅ,drink
426,ଡ୍ରାଇଭ୍,drive
539,ଡ୍ରପ୍,drop
377,ଶୁଖିଲା |,dry
876,ବତକ,duck
456,ସମୟରେ,during
49,ପ୍ରତ୍ୟେକ,each
651,କାନ,ear
461,ଶୀଘ୍ର,early
99,ପୃଥିବୀ,earth
284,ସହଜ,ease
397,ପୂର୍ବ,east
255,ଖାଅ,eat
581,ଧାର,edge
789,ପ୍ରଭାବ,effect
506,ଅଣ୍ଡା,egg
702,ଆଠ,eight
721,କିମ୍ବା,either
790,ବ electric ଦ୍ୟୁତିକ,electric
770,ଉପାଦାନ,element
652,ଅନ୍ୟ,else
60,ଶେଷ,end
883,ଶତ୍ରୁ,enemy
501,ଶକ୍ତି,energy
545,ଇଞ୍ଜିନ୍,engine
301,ଯଥେଷ୍ଟ,enough
834,ପ୍ରବେଶ କର |,enter
639,ସମାନ,equal
386,ସମାନ,equate
915,ବିଶେଷ କରି,especially
69,ଏପରିକି,even
939,ସନ୍ଧ୍ୟା,evening
958,ଇଭେଣ୍ଟ,event
308,ସବୁବେଳେ,ever
120,ପ୍ରତ୍ୟେକ,every
607,ସଠିକ୍,exact
283,ଉଦାହରଣ |,example
613,ଏହା ବ୍ୟତୀତ,except
747,ଉତ୍ତେଜିତ,excite
563,ବ୍ୟାୟାମ,exercise
791,ଆଶା କରିବା,expect
925,ଅଭିଜ୍ଞତା,experience
688,ପରୀକ୍ଷଣ |,experiment
222,ଆଖି,eye
271,ମୁହଁ,face
449,ସତ୍ୟ,fact
645,ମେଳା,fair
407,ପତନ,fall
318,ପରିବାର,family
820,ପ୍ରସିଦ୍ଧ,famous
236,ବହୁତ ଦୂର,far
230,ଚାଷ,farm
467,ଦ୍ରୁତ,fast
863,ଚର୍ବି |,fat
100,ବାପା,father
858,ଅନୁଗ୍ରହ,favor
823,ଭୟ,fear
941,ଫିଡ୍,feed
312,ଅନୁଭବ କର |,feel
298,ପାଦ,feet
642,ପଡିଲା |,fell
534,ଅନୁଭବ କଲେ,felt
249,ଅଳ୍ପ,few
419,କ୍ଷେତ୍ର,field
916,ଡିମ୍ବିରି,fig
744,ଯୁଦ୍ଧ କର,fight
415,ଚିତ୍ର,figure
396,ପୁରଣ କର,fill
432,ଅନ୍ତିମ,final
200,ଖୋଜ |,find
404,ଭଲ ଅଛି,fine
741,ଆଙ୍ଗୁଠି,finger
593,ସମାପ୍ତ,finish
339,ଅଗ୍ନି,fire
193,ପ୍ରଥମେ,first
260,ମାଛ |,fish
643,ଫିଟ୍,fit
458,ପାଞ୍ଚ,five
694,ଫ୍ଲାଟ,flat
720,ଚଟାଣ,floor
644,ପ୍ରବାହ,flow
596,ଫୁଲ,flower
406,ଉଡ,fly
76,ଅନୁସରଣ କର,follow
216,ଖାଦ୍ୟ,food
366,ପାଦ,foot
7,ପାଇଁ,for
358,ବଳ,force
552,ଜଙ୍ଗଲ,forest
130,ଫର୍ମ,form
922,ଆଗକୁ,forward
207,ମିଳିଲା,found
218,ଚାରି,four
551,ଭଗ୍ନାଂଶ,fraction
440,ମାଗଣା |,free
836,ସତେଜ,fresh
257,ସାଙ୍ଗ,friend
17,ଠାରୁ,from
429,ଆଗ,front
755,ଫଳ,fruit
357,ପୂର୍ଣ୍ଣ,full
586,ମଜା,fun
384,ଖେଳ,game
638,ବଗିଚା,garden
588,ଗ୍ୟାସ୍,gas
980,ଏକତ୍ର କର,gather
433,ଦେଇଛି,gave
526,ସାଧାରଣ,general
798,ଭଦ୍ର,gentle
106,ପାଅ,get
303,girl ିଅ,girl
123,ଦିଅ,give
864,ଖୁସି,glad
577,ଗ୍ଲାସ୍ |,glass
179,ଯାଅ,go
373,ସୁନା,gold
599,ଚାଲିଗଲା,gone
121,ଭଲ,good
281,ପାଇଛି,got
496,ଶାସନ କର |,govern
535,ଗ୍ରାଣ୍ଡ୍,grand
578,ଘାସ,grass
990,ଧୂସର,gray
132,ବହୁତ ଭଲ,great
434,ସବୁଜ,green
629,ବ grew ିଲା |,grew
464,ଭୂମି,ground
286,ଗୋଷ୍ଠୀ,group
210,ବ grow ନ୍ତୁ |,grow
801,ଅନୁମାନ କର,guess
924,ଗାଇଡ୍,guide
840,ବନ୍ଧୁକ,gun
28,ଥିଲା,had
717,କେଶ,hair
336,ଅଧା,half
64,ହାତ,hand
332,ଘଟେ |,happen
594,ଖୁସି,happy
231,କଠିନ,hard
174,ଅଛି,has
953,ଟୋପି,hat
15,ଅଛି,have
5,ସେ,he
201,ମୁଣ୍ଡ,head
265,ଶୁଣ,hear
451,ଶୁଣିଛି,heard
540,ହୃଦୟ,heart
390,ଉତ୍ତାପ,heat
543,ଭାରୀ,heavy
716,ଅନୁଷ୍ଠିତ,held
135,ସାହାଯ୍ୟ,help
167,ତାଙ୍କୁ,her
71,ଏଠାରେ,here
74,ଉଚ୍ଚ,high
724,ପାହାଡ,hill
172,ତାଙ୍କୁ,him
3,ତାଙ୍କର,his
788,ଇତିହାସ,history
771,ହିଟ୍,hit
462,ଧର,hold
699,ଗର୍ତ୍ତ,hole
62,ଘର,home
595,ଆଶା,hope
266,ଘୋଡା,horse
19,ଗରମ,hot
387,ଗରମ,hot
453,ଘଣ୍ଟା,hour
87,ଘର,house
46,କିପରି,how
918,ବିରାଟ,huge
787,ମାନବ,human
457,ଶହେ,hundred
502,ଶିକାର,hunt
828,ଜଲ୍ଦି,hurry
2,ମୁଁ,i
527,ବରଫ,ice
259,ଧାରଣା,idea
44,ଯଦି,if
794,କଳ୍ପନା କର |,imagine
34,ଭିତରେ,in
351,ଇଞ୍ଚ,inch
531,ଅନ୍ତର୍ଭୂକ୍ତ କରନ୍ତୁ |,include
783,ସୂଚାନ୍ତୁ,indicate
742,ଶିଳ୍ପ,industry
780,କୀଟ,insect
877,ତତକ୍ଷଣାତ୍,instant
575,ଯନ୍ତ୍ର,instrument
465,ଆଗ୍ରହ,interest
970,ଉଦ୍ଭାବନ,invent
691,ଲୁହା,iron
24,ହେଉଛି,is
365,ଦ୍ୱୀପ,island
25,ଏହା,it
580,ଚାକିରି,job
617,ଯୋଗ ଦିଅନ୍ତୁ |,join
570,ଆନନ୍ଦ,joy
700,ଡେଇଁପଡ |,jump
129,କେବଳ,just
221,ରଖ,keep
576,ରଖାଯାଇଛି |,kept
690,ଚାବି,key
657,ହତ୍ୟା,kill
84,ପ୍ରକାର,kind
349,ରାଜା,king
344,ଜାଣିଥିଲେ,knew
189,ଜାଣ,know
621,ଲେଡି,lady
659,ହ୍ରଦ,lake
70,ଜମି,land
399,ଭାଷା,language
66,ବଡ,large
224,ଶେଷ,last
240,ବିଳମ୍ବ,late
379,ହସିବା,laugh
730,ନିୟମ,law
482,ଶଯ୍ୟା,lay
408,ସୀସା |,lead
213,ଶିଖ |,learn
610,ସର୍ବନିମ୍ନ,least
321,ଛାଡ,leave
929,ନେତୃତ୍ୱ,led
239,ବାମ,left
562,ଗୋଡ,leg
516,ଲମ୍ବ,length
474,କମ୍,less
225,ଚାଲ,let
293,ଚିଠି,letter
978,ସ୍ତର,level
745,ମିଛ,lie
248,ଜୀବନ,life
848,ଲିଫ୍ଟ,lift
83,ଆଲୋକ,light
164,ପରି,like
137,ରେଖା,line
894,ତରଳ,liquid
310,ତାଲିକା |,list
470,ଶୁଣ,listen
113,ଅଳ୍ପ,little
109,ଜୀବନ୍ତ,live
777,ଖୋଜ,locate
895,ଲଗ୍,log
561,ଏକାକୀ,lone
168,ଲମ୍ବା,long
175,ଦେଖ |,look
635,ହଜିଯାଇଛି |,lost
687,ବହୁତ,lot
662,ଉଚ୍ଚ ସ୍ୱରରେ,loud
487,ପ୍ରେମ,love
136,ନିମ୍ନ,low
411,ଯନ୍ତ୍ର,machine
108,ତିଆରି,made
909,ଚୁମ୍ବକ,magnet
273,ମୁଖ୍ୟ,main
835,ପ୍ରମୁଖ,major
169,ତିଆରି କର |,make
116,ମଣିଷ,man
159,ଅନେକ,many
493,ମାନଚିତ୍ର,map
291,ଚିହ୍ନ,mark
878,ବଜାର,market
932,ମାସ,mass
851,ଗୁରୁ,master
913,ମ୍ୟାଚ୍,match
550,ସାମଗ୍ରୀ,material
528,ବିଷୟ,matter
195,ହୋଇପାରେ |,may
122,ମୁଁ,me
142,ଅର୍ଥ,mean
896,ଅର୍ଥାତ୍,meant
323,ମାପ,measure
817,ମାଂସ,meat
704,ସାକ୍ଷାତ,meet
601,ମେଲୋଡି,melody
80,ପୁରୁଷମାନେ |,men
709,ଧାତୁ |,metal
672,ପଦ୍ଧତି,method
656,ମଧ୍ୟମ,middle
233,ହୁଏତ,might
295,ମାଇଲ୍,mile
670,କ୍ଷୀର,milk
591,ଲକ୍ଷ,million
444,ମନ,mind
832,ମୋର,mine
441,ମିନିଟ୍,minute
388,ମିସ୍,miss
631,ମିଶ୍ରଣ କରନ୍ତୁ |,mix
769,ଆଧୁନିକ,modern
987,ଅଣୁ,molecule
660,ମୁହୂର୍ତ୍ତ,moment
489,ଟଙ୍କା,money
590,ମାସ,month
364,ଚନ୍ଦ୍ର,moon
176,ଅଧିକ,more
475,ସକାଳ,morning
185,ଅଧିକାଂଶ,most
94,ମା,mother
892,ଗତି,motion
566,ଆରୋହଣ,mount
261,ପର୍ବତ,mountain
606,ପାଟି,mouth
144,ଘୁଞ୍ଚାନ୍ତୁ |,move
141,ବହୁତ,much
352,ଗୁଣ କର,multiply
288,ସଙ୍ଗୀତ,music
72,ନିଶ୍ଚୟ |,must
187,ମୋର,my
126,ନାମ,name
668,ଜାତି,nation
748,ପ୍ରାକୃତିକ,natural
889,ପ୍ରକୃତି,nature
96,ନିକଟ,near
802,ଆବଶ୍ୟକ,necessary
900,ବେକ,neck
86,ଆବଶ୍ୟକତା,need
806,ପଡୋଶୀ,neighbor
223,କେବେ ନୁହେଁ,never
102,ନୂତନ,new
277,ପରବର୍ତ୍ତୀ,next
246,ରାତି,night
975,ନଅ,nine
184,ନା,no
977,ଶବ୍ଦ,noise
767,ମଧ୍ୟାହ୍ନ,noon
947,ନା,nor
250,ଉତ୍ତର,north
996,ନାକ,nose
412,ଧ୍ୟାନ ଦିଅନ୍ତୁ,note
353,କିଛି ନୁହେଁ,nothing
499,ନୋଟିସ୍,notice
418,ବିଶେଷ୍ୟ,noun
199,ବର୍ତ୍ତମାନ,now
182,ସଂଖ୍ୟା,number
328,ସଂଖ୍ୟା,numeral
360,ବସ୍ତୁ,object
664,ପାଳନ କର |,observe
886,ଘଟେ |,occur
438,ସମୁଦ୍ର,ocean
30,ର,of
85,ବନ୍ଦ,off
873,ଅଫର୍,offer
603,କାର୍ଯ୍ୟାଳୟ,office
292,ପ୍ରାୟତ। |,often
435,ଓ oh,oh
626,ତେଲ,oil
147,ପୁରୁଣା,old
8,ଉପରେ,on
263,ଥରେ |,once
14,ଗୋଟିଏ |,one
114,କେବଳ,only
274,ଖୋଲ |,open
760,କାର୍ଯ୍ୟ କର,operate
963,ବିପରୀତ,opposite
27,କିମ୍ବା,or
338,ଆଦେଶ,order
673,ଅଙ୍ଗ,organ
865,ମୂଳ,original
38,ଅନ୍ୟ,other
124,ଆମର,our
37,ବାହାରେ,out
188,ସମାପ୍ତ,over
203,ନିଜର,own
901,ଅମ୍ଳଜାନ |,oxygen
204,ପୃଷ୍ଠା |,page
398,ରଙ୍ଗ,paint
530,ଯୋଡି |,pair
285,କାଗଜ,paper
713,ଅନୁଚ୍ଛେଦ,paragraph
853,ପିତାମାତା |,parent
104,ଅଂଶ,part
959,ନିର୍ଦ୍ଦିଷ୍ଟ,particular
774,ପାର୍ଟୀ,party
345,ପାସ୍ କର |,pass
584,ଅତୀତ,past
893,ପଥ,path
484,ନମୁନା,pattern
674,ଦେୟ,pay
186,ଲୋକମାନେ,people
510,ବୋଧହୁଏ |,perhaps
782,ଅବଧି,period
488,ବ୍ୟକ୍ତି,person
734,ବାକ୍ୟାଂଶ,phrase
511,ବାଛ,pick
88,ଛବି,picture
342,ଖଣ୍ଡ,piece
930,ପିଚ୍,pitch
107,ସ୍ଥାନ,place
302,ସାଧା,plain
414,ଯୋଜନା,plan
375,ବିମାନ,plane
827,ଗ୍ରହ,planet
214,ଉଦ୍ଭିଦ,plant
58,ଖେଳ,play
765,ଦୟାକରି,please
997,ବହୁବଚନ,plural
813,କବିତା,poem
93,ବିନ୍ଦୁ,point
686,ଗରିବ,poor
880,ଜନସଂଖ୍ୟା,populate
65,ପୋର୍ଟ,port
320,ପୋଜ୍,pose
546,ଅବସ୍ଥାନ,position
374,ସମ୍ଭବ,possible
860,ପୋଷ୍ଟ କରନ୍ତୁ |,post
423,ଛେଚିବା,pound
402,ଶକ୍ତି,power
761,ଅଭ୍ୟାସ କର |,practice
994,ପ୍ରସ୍ତୁତ କର |,prepare
542,ଉପସ୍ଥିତ,present
244,ଦବାନ୍ତୁ |,press
904,ସୁନ୍ଦର,pretty
842,ମୁଦ୍ରଣ,print
503,ସମ୍ଭବତ,probable
341,ସମସ୍ୟା,problem
759,ପ୍ରକ୍ରିୟା,process
448,ଉତ୍ପାଦନ,produce
325,ଉତ୍ପାଦ,product
871,ଉପଯୁକ୍ତ,proper
985,ସମ୍ପତ୍ତି,property
766,ସୁରକ୍ଷା ଦିଅ |,protect
560,ପ୍ରମାଣ କର |,prove
795,ପ୍ରଦାନ କରନ୍ତୁ |,provide
497,ଟାଣ,pull
711,ଠେଲିବା,push
61,ରଖ,put
974,କ୍ୱାର୍ଟର୍,quart
331,ପ୍ରଶ୍ନ,question
436,ଶୀଘ୍ର,quick
680,ଶାନ୍ତ,quiet
653,ଯଥେଷ୍ଟ,quite
897,ଭାଗ,quotient
554,ଜାତି,race
784,ରେଡିଓ,radio
793,ରେଳ,rail
494,ବର୍ଷା,rain
707,ଉଠାନ୍ତୁ |,raise
382,ଦ ran ଡ଼ିଲା |,ran
890,ପରିସର,range
809,ବରଂ,rather
466,ପହଞ୍ଚିବା |,reach
63,ପ read ଼ନ୍ତୁ |,read
306,ପ୍ରସ୍ତୁତ,ready
247,ବାସ୍ତବ,real
515,କାରଣ,reason
604,ଗ୍ରହଣ କରନ୍ତୁ |,receive
370,ରେକର୍ଡ,record
309,ନାଲି,red
520,ଅଞ୍ଚଳ,region
459,ମନେରଖ |,remember
991,ପୁନରାବୃତ୍ତି କର |,repeat
884,ଉତ୍ତର ଦିଅ,reply
517,ପ୍ରତିନିଧିତ୍ୱ କରନ୍ତୁ |,represent
992,ଆବଶ୍ୟକ କରେ |,require
420,ବିଶ୍ରାମ,rest
722,ଫଳାଫଳ,result
756,ଧନୀ,rich
507,ରଥଯାତ୍ରା |,ride
145,ଠିକ୍,right
778,ରିଙ୍ଗ୍ |,ring
623,ଉଠ,rise
296,ନଦୀ,river
492,ରାସ୍ତା,road
337,ପଥର,rock
739,ଗାଡ଼ି,roll
256,କୋଠରୀ,room
705,ମୂଳ,root
935,ଦଉଡି,rope
840,ଗୋଲାପ,rose
115,ଗୋଲାକାର |,round
605,ଧାଡି,row
818,ଘଷନ୍ତୁ |,rub
495,ନିୟମ |,rule
241,ଚଲାନ୍ତୁ |,run
725,ସୁରକ୍ଷିତ,safe
47,କହିଛନ୍ତି,said
549,ପାଲ,sail
995,ଲୁଣ,salt
149,ସମାନ,same
737,ବାଲି,sand
572,ବସିଲା,sat
648,ସଞ୍ଚୟ କରନ୍ତୁ |,save
235,ଦେଖ,saw
134,କୁହ,say
661,ସ୍କେଲ,scale
209,ବିଦ୍ୟାଳୟ,school
254,ବିଜ୍ଞାନ,science
926,ସ୍କୋର,score
237,ସମୁଦ୍ର,sea
837,ସନ୍ଧାନ,search
907,season ତୁ,season
949,ଆସନ,seat
300,ଦ୍ୱିତୀୟ,second
676,ବିଭାଗ,section
171,ଦେଖନ୍ତୁ |,see
615,ମଞ୍ଜି,seed
275,ଦେଖାଯାଉଛି |,seem
874,ବିଭାଗ,segment
988,ଚୟନ କରନ୍ତୁ |,select
98,ଆତ୍ମ,self
954,ବିକ୍ରୟ କର |,sell
838,ପଠାନ୍ତୁ,send
750,ଅର୍ଥ,sense
640,ପଠାଯାଇଛି,sent
131,ବାକ୍ୟ,sentence
762,ଅଲଗା,separate
490,ସେବା କର |,serve
52,ସେଟ୍ କରନ୍ତୁ |,set
523,ସମାଧାନ କର |,settle
712,ସାତ,seven
478,ଅନେକ,several
715,କରିବେ,shall
385,ଆକୃତି |,shape
866,ଅଂଶୀଦାର,share
803,ତୀକ୍ଷ୍ଣ |,sharp
150,ସେ,she
856,ସିଟ୍ |,sheet
899,ଶେଲ୍ |,shell
984,ଉଜ୍ଜ୍ୱଳ,shine
334,ଜାହାଜ,ship
965,ଜୋତା,shoe
981,ଦୋକାନ,shop
854,କୂଳ,shore
327,ସଂକ୍ଷିପ୍ତ,short
205,କରିବା ଉଚିତ,should
966,କାନ୍ଧ,shoulder
612,ଚିତ୍କାର କର,shout
119,ଦେଖାନ୍ତୁ |,show
197,ପାର୍ଶ୍ୱ,side
284,ଦୃଶ୍ୟ,sight
582,ଚିହ୍ନ,sign
735,ଚୁପ୍,silent
910,ରୂପା,silver
923,ସମାନ,similar
477,ସରଳ,simple
346,ପରଠାରୁ,since
469,ଗାଅ,sing
692,ଏକକ,single
919,ଭଉଣୀ,sister
553,ବସ,sit
471,ଛଅ,six
521,ଆକାର,size
905,ଦକ୍ଷତା,skill
696,ଚର୍ମ,skin
568,ଆକାଶ,sky
875,ଦାସ,slave
559,ଶୋଇବା,sleep
936,ସ୍ଲିପ୍,slip
485,ଧୀର,slow
59,ଛୋଟ,small
945,ଗନ୍ଧ,smell
697,ହସ,smile
391,ତୁଷାର,snow
165,ତେଣୁ,so
585,ନରମ,soft
738,ମାଟି,soil
758,ସ soldier ନିକ,soldier
908,ସମାଧାନ,solution
708,ସମାଧାନ,solve
23,କେତେକ,some
658,ପୁଅ,son
322,ଗୀତ,song
315,ଶୀଘ୍ର,soon
183,ଶବ୍ଦ,sound
340,ଦକ୍ଷିଣ,south
450,ସ୍ଥାନ,space
524,କୁହ,speak
443,ବିଶେଷ,special
888,ଭାଷଣ,speech
671,ଗତି,speed
67,ମନ୍ତ୍ର,spell
861,ଖର୍ଚ୍ଚ କରନ୍ତୁ |,spend
785,କଥା ହେଲା |,spoke
844,ସ୍ପଟ୍,spot
967,ବିସ୍ତାର,spread
663,ବସନ୍ତ,spring
514,ବର୍ଗ,square
202,ଛିଡା ହୁଅ |,stand
416,ତାରା,star
232,ଆରମ୍ଭ କର |,start
220,ରାଜ୍ୟ,state
867,ଷ୍ଟେସନ |,station
355,ରୁହ,stay
376,ସ୍ଥିର,stead
891,ବାଷ୍ପ,steam
920,ଇସ୍ପାତ |,steel
460,ପଦାଙ୍କ,step
693,ବାଡ଼ି,stick
212,ତଥାପି,still
681,ପଥର,stone
427,ଠିଆ ହେଲା |,stood
262,ବନ୍ଦ କର |,stop
556,ଷ୍ଟୋର୍‌ କରନ୍ତୁ |,store
234,କାହାଣୀ,story
666,ସିଧା,straight
598,ଅଜବ,strange
822,stream ରଣା,stream
350,ଗଳି,street
982,ବିସ୍ତାର,stretch
814,ଷ୍ଟ୍ରିଙ୍ଗ୍,string
442,ଶକ୍ତିଶାଳୀ,strong
772,ଛାତ୍ର,student
211,ଅଧ୍ୟୟନ |,study
519,ବିଷୟ,subject
857,ପଦାର୍ଥ,substance
957,ବିତରଣ,subtract
955,ସଫଳତା,success
75,ଏହିପରି,such
512,ହଠାତ୍,sudden
914,ସଫିକ୍ସ,suffix
902,ଚିନି,sugar
618,ପରାମର୍ଶ ଦିଅନ୍ତୁ |,suggest
846,ସୁଟ୍,suit
557,ଗ୍ରୀଷ୍ମ,summer
217,ସୂର୍ଯ୍ୟ,sun
775,ଯୋଗାଣ,supply
887,ସମର୍ଥନ,support
268,ନିଶ୍ଚିତ,sure
362,ପୃଷ୍ଠ,surface
679,ଆଶ୍ଚର୍ଯ୍ୟ,surprise
961,ପହଁରିବା,swim
533,ଶବ୍ଦ,syllable
608,ପ୍ରତୀକ,symbol
367,ସିଷ୍ଟମ୍,system
472,ଟେବୁଲ୍ |,table
447,ଲାଂଜ,tail
105,ନିଅ,take
313,କଥାବାର୍ତ୍ତା |,talk
736,ଲମ୍ବା,tall
430,ଶିକ୍ଷା ଦିଅ,teach
632,ଦଳ,team
898,ଦାନ୍ତ,teeth
