number,arabic,english
733,نسخة,copy
811,الذرة,corn
773,ركن,corner
421,صحيح,correct
634,التكلفة,cost
971,قطن,cotton
178,يمكن,could
513,عد,count
206,بلد,country
354,بالطبع,course
215,غطاء,cover
579,بقرة,cow
698,تجعد,crease
805,خلق,create
768,محصول,crop
229,عبور,cross
810,الحشد,crowd
409,صرخة,cry
847,التيار,current
267,قطع,cut
868,أب,dad
544,رقص,dance
754,خطر,danger
410,مظلم,dark
177,يوم,day
843,ميت,dead
960,صفقة,deal
882,عزيزتي,dear
903,الموت,death
361,تقرر,decide
650,العشري,decimal
363,عميق,deep
879,درجة,degree
816,تعتمد,depend
718,وصف,describe
845,صحراء,desert
685,تصميم,design
973,حدد,determine
437,تطوير,develop
669,قاموس,dictionary
181,لم,did
609,مات,die
138,اختلف,differ
763,الصعب,difficult
319,مباشر,direct
921,بحث,discuss
395,بعيد,distant
532,الفجوة,divide
855,تقسيم,division
41,القيام,do
764,الطبيب,doctor
51,لا,does
317,الكلب,dog
921,الدولار,dollar
424,منجز,done
242,لا,don’t
324,باب,door
948,ضعف,double
196,إلى,down
238,رسم,draw
938,حلم,dream
677,فستان,dress
885,شراب,drink
426,محرك,drive
539,إسقاط,drop
377,جاف,dry
876,بط,duck
456,خلال,during
49,كل,each
651,إذن,ear
461,في وقت مبكر,early
99,أرض,earth
284,سهولة,ease
397,الشرق,east
255,أكل,eat
581,حافة,edge
789,تأثير,effect
506,البيض,egg
702,ثمانية,eight
721,كل,either
790,كهربائي,electric
770,عنصر,element
652,آخر,else
60,نهاية,end
883,العدو,enemy
501,الطاقة,energy
545,محرك,engine
301,بما فيه الكفاية,enough
834,دخول,enter
639,متساو,equal
386,مساواة,equate
915,خاصة,especially
69,حتى,even
939,مساء,evening
958,حدث,event
308,أبدا,ever
120,كل,every
607,بالضبط,exact
283,مثال,example
613,إلا,except
747,أثار,excite
563,ممارسة,exercise
791,توقع,expect
925,التجربة,experience
688,تجربة,experiment
222,العين,eye
271,وجه,face
449,حقيقة,fact
645,عادل,fair
407,سقط,fall
318,عائلة,family
820,الشهيرة,famous
236,الآن,far
230,مزرعة,farm
467,بسرعة,fast
863,دهن,fat
100,الأب,father
858,صالح,favor
823,خوف,fear
941,علف,feed
312,إحساس,feel
298,قدم,feet
642,سقط,fell
534,شعر,felt
249,قليل,few
419,الحقل,field
916,تين,fig
744,المعركة,fight
415,الرقم,figure
396,شغل,fill
432,نهائي,final
200,اكتشاف,find
404,غرامة,fine
741,إصبع,finger
593,نهاية,finish
339,النار,fire
193,الأول,first
260,سمك,fish
643,تناسب,fit
458,خمسة,five
694,شقة,flat
720,الطابق,floor
644,تدفق,flow
596,زهرة,flower
406,يطير,fly
76,تابع,follow
216,غذاء,food
366,القدم,foot
7,إلى,for
358,قوة,force
552,الغابات,forest
130,شكل,form
922,إلى الأمام,forward
207,أسس,found
218,أربعة,four
551,جزء,fraction
440,حر,free
836,جديدة,fresh
257,صديق,friend
17,من,from
429,الجبهة,front
755,الفاكهة,fruit
357,كامل,full
586,مرح,fun
384,لعبة,game
638,حديقة,garden
588,الغاز,gas
980,جمع,gather
433,أعطى,gave
526,عام,general
798,لطيف,gentle
106,الحصول على,get
303,فتاة,girl
123,منح,give
864,سعيد,glad
577,زجاج,glass
179,تذهب,go
373,الذهب,gold
599,ذهب,gone
121,جيد,good
281,حصلت,got
496,الحكم,govern
535,الكبرى,grand
578,العشب,grass
990,رمادي,gray
132,عظيم,great
434,الأخضر,green
629,نما,grew
464,أرض,ground
286,مجموعة,group
210,تنمو,grow
801,تخمين,guess
924,توجيه,guide
840,بندقية,gun
28,كان,had
717,الشعر,hair
336,نصف,half
64,يد,hand
332,يحدث,happen
594,سعيدة,happy
231,شاق,hard
174,لديه,has
953,قبعة,hat
15,ديك,have
5,هو,he
201,رئيس,head
265,سمع,hear
451,سمعت,heard
540,قلب,heart
390,حرارة,heat
543,ثقيلة,heavy
716,عقدت,held
135,مساعدة,help
167,لها,her
71,هنا,here
74,ارتفاع,high
724,التل,hill
172,له,him
3,له,his
788,التاريخ,history
771,ضرب,hit
462,عقد,hold
699,حفرة,hole
62,المنزل,home
595,نأمل,hope
266,الحصان,horse
19,حار,hot
387,حار,hot
453,ساعة,hour
87,منزل,house
46,كيف,how
918,ضخم,huge
787,بشري,human
457,مائة,hundred
502,مطاردة,hunt
828,عجل,hurry
2,أنا,i
527,الجليد,ice
259,فكرة,idea
44,إذا,if
794,تخيل,imagine
34,في,in
351,بوصة,inch
531,تضمن,include
783,تشير,indicate
742,صناعة,industry
780,الحشرة,insect
877,لحظة,instant
575,أداة,instrument
465,مصلحة,interest
970,اختراع,invent
691,حديد,iron
24,هو,is
365,الجزيرة,island
25,هو,it
580,العمل,job
617,انضمام,join
570,الفرح,joy
700,القفزة,jump
129,فقط,just
221,احتفظ,keep
576,أبقى,kept
690,مفتاح,key
657,قتل,kill
84,نوع,kind
349,ملك,king
344,عرف,knew
189,تعرف,know
621,سيدة,lady
659,بحيرة,lake
70,الأرض,land
399,اللغة,language
66,كبير,large
224,آخر,last
240,متأخر,late
379,الضحك,laugh
730,القانون,law
482,وضع,lay
408,قيادة,lead
213,تعلم,learn
610,الأقل,least
321,ترك,leave
929,أدى,led
239,غادر,left
562,الساق,leg
516,طول,length
474,أقل,less
225,سمح,let
293,الرسالة,letter
978,مستوى,level
745,كذبة,lie
248,حياة,life
848,رفع,lift
83,ضوء,light
164,مثل,like
137,خط,line
894,السائل,liquid
310,قائمة,list
470,استمع,listen
113,القليل,little
109,حي,live
777,حدد,locate
895,تسجيل,log
561,وحيد,lone
168,طويل,long
175,بحث,look
635,فقدت,lost
687,الكثير,lot
662,بصوت عال,loud
487,الحب,love
136,منخفض,low
411,آلة,machine
108,مصنوع,made
909,مغناطيس,magnet
273,رئيسي,main
835,الرئيسية,major
169,جعل,make
116,رجل,man
159,كثير,many
493,خريطة,map
291,علامة,mark
878,سوق,market
932,كتلة,mass
851,سيد,master
913,مباراة,match
550,مادة,material
528,مسألة,matter
195,قد,may
122,أنا,me
142,متوسط,mean
896,مقصود,meant
323,قياس,measure
817,اللحوم,meat
704,تلبية,meet
601,لحن,melody
80,الرجال,men
709,المعادن,metal
672,طريقة,method
656,وسط,middle
233,قد,might
295,ميل,mile
670,حليب,milk
591,مليون,million
444,عقل,mind
832,منجم,mine
441,دقيقة,minute
388,ملكة جمال,miss
631,مزيج,mix
769,الحديث,modern
987,جزيء,molecule
660,لحظة,moment
489,المال,money
590,شهر,month
364,ضوء القمر,moon
176,أكثر,more
475,الصباح,morning
185,أكثر,most
94,أم,mother
892,الحركة,motion
566,جبل,mount
261,الجبل,mountain
606,فم,mouth
144,خطوة,move
141,كثيرا,much
352,مضاعفة,multiply
288,الموسيقى,music
72,يجب,must
187,لي,my
126,اسم,name
668,الأمة,nation
748,طبيعي,natural
889,الطبيعة,nature
96,قرب,near
802,الضرورة,necessary
900,الرقبة,neck
86,تحتاج,need
806,الجيران,neighbor
223,أبدا,never
102,جديدة,new
277,المقبل,next
246,الليل,night
975,تسعة,nine
184,لا,no
977,الضوضاء,noise
767,ظهرا,noon
947,ولا,nor
250,شمال,north
996,الأنف,nose
412,مذكرة,note
353,لا شيء,nothing
499,إشعار,notice
418,إسم,noun
199,الآن,now
182,عدد,number
328,الأرقام,numeral
360,موضوع,object
664,رصد,observe
886,تحدث,occur
438,المحيط,ocean
30,من,of
85,بعيدا,off
873,العرض,offer
603,مكتب,office
292,غالبا,often
435,يا,oh
626,زيت,oil
147,قديم,old
8,في,on
263,مرة واحدة,once
14,واحد,one
114,فقط,only
274,مفتوحة,open
760,العمل,operate
963,العكس,opposite
27,أو,or
338,النظام,order
673,عضو,organ
865,الأصلي,original
38,البعض,other
124,لدينا,our
37,خارج,out
188,على,over
203,الخاصة,own
901,الأكسجين,oxygen
204,الصفحة,page
398,الطلاء,paint
530,زوج,pair
285,ورق,paper
713,فقرة,paragraph
853,الأم,parent
104,جزء,part
959,خاصة,particular
774,حزب,party
345,تمر,pass
584,الماضي,past
893,مسار,path
484,نمط,pattern
674,دفع,pay
186,الناس,people
510,ربما,perhaps
782,فترة,period
488,شخص,person
734,العبارة,phrase
511,اختيار,pick
88,صور,picture
342,قطعة,piece
930,رمية,pitch
107,مكان,place
302,سهل,plain
414,خطة,plan
375,طائرة,plane
827,كوكب,planet
214,مصنع,plant
58,لعب,play
765,الرجاء,please
997,الجمع,plural
813,قصيدة,poem
93,نقطة,point
686,فقير,poor
880,أهل,populate
65,ميناء,port
320,أربك,pose
546,موقف,position
374,ممكن,possible
860,آخر,post
423,الجنيه,pound
402,قوة,power
761,ممارسة,practice
994,إعداد,prepare
542,الحاضر,present
244,الصحافة,press
904,جميل,pretty
842,طباعة,print
503,محتمل,probable
341,مشكلة,problem
759,عملية,process
448,إنتاج,produce
325,نتاج,product
871,السليم,proper
985,الملكية,property
766,حماية,protect
560,إثبات,prove
795,توفير,provide
497,سحب,pull
711,دفع,push
61,وضع,put
974,رابعا,quart
331,السؤال,question
436,سريع,quick
680,هادئ,quiet
653,تماما,quite
897,حاصل,quotient
554,سباق,race
784,راديو,radio
793,سكة حديدية,rail
494,مطر,rain
707,رفع,raise
382,ركض,ran
890,مجموعة,range
809,بالأحرى,rather
466,الوصول,reach
63,قرأ,read
306,جاهزة,ready
247,حقيقية,real
515,سبب,reason
604,تلقي,receive
370,سجل,record
309,أحمر,red
520,منطقة,region
459,تذكر,remember
991,كرر,repeat
884,الرد,reply
517,تمثيل,represent
992,تتطلب,require
420,بقية,rest
722,نتيجة,result
756,غني,rich
507,ركوب,ride
145,الحق,right
778,عصابة,ring
623,الارتفاع,rise
296,النهر,river
492,طريق,road
337,صخرة,rock
739,لفة,roll
256,غرفة,room
705,الجذر,root
935,حبل,rope
840,ارتفع,rose
115,جولة,round
605,الصف,row
818,فرك,rub
495,حكم,rule
241,تشغيل,run
725,آمنة,safe
47,قال,said
549,الشراع,sail
995,ملح,salt
149,نفسه,same
737,رمل,sand
572,السبت,sat
648,حفظ,save
235,منشار,saw
134,قول,say
661,على نطاق و,scale
209,المدرسة,school
254,علم,science
926,النتيجة,score
237,بحر,sea
837,البحث,search
907,الموسم,season
949,مقعد,seat
300,ثان,second
676,القسم,section
171,شاهد,see
615,بذرة,seed
275,يبدو,seem
874,قطاع,segment
988,اختر,select
98,النفس,self
954,بيع,sell
838,إرسال,send
750,المعنى,sense
640,أرسلت,sent
131,عقوبة,sentence
762,منفصلة,separate
490,خدمة,serve
52,مجموعة,set
523,حل,settle
712,سبعة,seven
478,عدة,several
715,يجب,shall
385,شكل,shape
866,حصة,share
803,حاد,sharp
150,هي,she
856,ورقة,sheet
899,قذيفة,shell
984,تألق,shine
334,سفينة,ship
965,حذاء,shoe
981,متجر,shop
854,الشاطئ,shore
327,قصير,short
205,ينبغي,should
966,الكتف,shoulder
612,صيحة,shout
119,المعرض,show
197,الجانب,side
284,مشهد,sight
582,علامة,sign
735,الصمت,silent
910,فضة,silver
923,مماثل,similar
477,بسيطة,simple
346,منذ,since
469,الغناء,sing
692,احد,single
919,شقيقة,sister
553,الجلوس,sit
471,ستة,six
521,حجم,size
905,مهارة,skill
696,الجلد,skin
568,سماء,sky
875,الرقيق,slave
559,نوم,sleep
936,انزلاق,slip
485,بطيئة,slow
59,صغير,small
945,رائحة,smell
697,الابتسامة,smile
391,ثلج,snow
165,هكذا,so
585,لينة,soft
738,التربة,soil
758,جندي,soldier
908,حل,solution
708,حل,solve
23,بعض,some
658,ابن,son
322,أغنية,song
315,قريبا,soon
183,صوت,sound
340,الجنوب,south
450,الفضاء,space
524,الكلام,speak
443,خاص,special
888,خطاب,speech
671,السرعة,speed
67,تهجى,spell
861,أنفق,spend
785,وتحدث,spoke
844,بقعة,spot
967,انتشار,spread
663,الربيع,spring
514,مربع,square
202,الوقوف,stand
416,نجمة,star
232,بداية,start
220,دولة,state
867,محطة,station
355,إقامة,stay
376,بدلا,stead
891,البخار,steam
920,الصلب,steel
460,خطوة,step
693,عصا,stick
212,لا يزال,still
681,حجر,stone
427,وقفت,stood
262,توقف,stop
556,متجر,store
234,قصة,story
666,مباشرة,straight
598,غريب,strange
822,تيار,stream
350,شارع,street
982,امتداد,stretch
814,سلسلة,string
442,قوي,strong
772,طالب,student
211,دراسة,study
519,الموضوع,subject
857,مادة,substance
957,طرح,subtract
955,نجاح,success
75,مثل,such
512,مفاجئ,sudden
914,لاحقة,suffix
902,السكر,sugar
618,اقترح,suggest
846,دعوى,suit
557,الصيف,summer
217,شمس,sun
775,تزويد,supply
887,دعم,support
268,بالتأكيد,sure
362,سطح,surface
679,مفاجأة,surprise
961,السباحة,swim
533,مقطع لفظي,syllable
608,رمز,symbol
367,نظام,system
472,الجدول,table
447,ذيل,tail
105,أخذ,take
313,الحديث,talk
736,طويل,tall
430,تعليم,teach
632,فريق,team
898,أسنان,teeth
50,أقول,tell
740,درجة الحرارة,temperature
476,عشرة,ten
962,مصطلح,term
369,اختبار,test
191,من,than
911,شكرا,thank
4,أن,that
29,و,the
42,من,their
161,هم,them
160,ثم,then
152,هناك,there
166,هؤلاء,these
11,هم,they
757,سميك,thick
825,رقيق,thin
170,شيء,thing
133,اعتقد,think
714,الثالث,third
16,هذا,this
289,تلك,those
311,على الرغم من,though
226,يعتقد,thought
380,ألف,thousand
53,ثلاثة,three
128,من خلال,through
983,رمي,throw
797,وبالتالي,thus
833,ربطة عنق,tie
43,الوقت,time
682,صغير,tiny
392,إطار العجلة,tire
31,إلى,to
276,معا,together
343,قال,told
616,نغمة,tone
148,أيضا,too
253,استغرق,took
942,أداة,tool
347,أعلى,top
943,الكل,total
628,لمس,touch
480,نحو,toward
403,مدينة,town
852,المسار,track
600,تجارة,trade
558,قطار,train
473,السفر,travel
228,شجرة,tree
826,مثلث,triangle
602,رحلة,trip
611,مشكلة,trouble
976,شاحنة,truck
455,صحيح,true
89,محاولة,try
819,أنبوب,tube
139,منعطف,turn
695,عشرون,twenty
173,اثنين,two
729,نوع,type
125,تحت,under
401,وحدة,unit
294,حتى,until
154,فوق,up
90,لنا,us
155,استخدام,use
304,معتاد,usual
946,الوادي,valley
743,قيمة,value
522,تختلف,vary
468,الفعل,verb
127,جدا,very
749,رأي,view
703,قرية,village
583,زيارة,visit
500,صوت,voice
479,حرف لين,vowel
413,انتظر,wait
282,سير,walk
564,جدار,wall
54,تريد,want
481,حرب,war
439,الحارة,warm
6,كان,was
807,غسل,wash
269,راقب,watch
190,ماء,water
538,موجة,wave
157,طريق,way
35,نحن,we
637,ارتداء,wear
589,الطقس,weather
431,أسبوع,week
525,الوزن,weight
56,جيد,well
82,ذهب,went
39,و,were
463,غرب,west
22,ما,what
356,عجلة,wheel
153,عندما,when
110,حيث,where
710,سواء,whether
40,التي,which
243,في حين,while
278,أبيض,white
194,الذي,who
348,ككل,whole
776,الذي,whose
78,لماذا,why
548,واسع,wide
964,زوجة,wife
574,بري,wild
45,سوف,will
937,الفوز,win
330,الرياح,wind
555,نافذة,window
804,جناح,wing
571,شتاء,winter
633,سلك,wire
567,رغب,wish
10,مع,with
799,امرأة,woman
906,النساء,women
378,عجب,wonder
752,سوف لا,won’t
272,الخشب,wood
20,كلمة,word
103,العمل,work
95,العالم,world
163,أراد,would
162,إرسال,write
573,مكتوبة,written
989,خاطئ,wrong
614,كتب,wrote
622,ساحة,yard
117,عام,year
839,الأصفر,yellow
394,نعم,yes
537,بعد,yet
26,أنت,you
305,الشباب,young
156,ك,your
