number,yoruba,english
514,ìgbọnwọn,square
202,duro,stand
416,star,star
232,ibere,start
220,ipinle,state
867,ibudo,station
355,duro,stay
376,ipò,stead
891,nya,steam
920,irin,steel
460,igbese,step
693,stick,stick
212,si tun,still
681,okuta,stone
427,duro,stood
262,duro,stop
556,itaja,store
234,itan,story
666,taara,straight
598,ajeji,strange
822,san,stream
350,ita,street
982,na,stretch
814,okun,string
442,lagbara,strong
772,akeko,student
211,iwadi,study
519,koko,subject
857,nkan na,substance
957,yọ kuro,subtract
955,aseyori,success
75,iru,such
512,lojiji,sudden
914,suffix,suffix
902,suga,sugar
618,daba,suggest
846,aṣọ,suit
557,ooru,summer
217,oorun,sun
775,ipese,supply
887,atilẹyin,support
268,daju,sure
362,dada,surface
679,iyalenu,surprise
961,we,swim
533,kohun,syllable
608,aami,symbol
367,eto,system
472,tabili,table
447,iru,tail
105,ya,take
313,ọrọ,talk
736,ga,tall
430,kọ,teach
632,egbe,team
898,eyin,teeth
50,sọ fun,tell
740,otutu,temperature
476,mẹwa,ten
962,oro,term
369,igbeyewo,test
191,ju,than
911,dupẹ,thank
4,ti,that
29,awọn,the
42,wọn,their
161,wọn,them
160,ki o si,then
152,nibẹ,there
166,wọnyi,these
11,ti won,they
757,nipọn,thick
825,tinrin,thin
170,ohun,thing
133,ro,think
714,ẹgbẹ,third
16,yi,this
289,awon ti,those
311,tilẹ,though
226,ro,thought
380,ẹgbẹrun,thousand
53,mẹta,three
128,nipasẹ,through
983,o jabọ,throw
797,bayi,thus
833,tai,tie
43,akoko,time
682,aami,tiny
392,taya,tire
31,to,to
276,papo,together
343,so fun,told
616,ohun orin,tone
148,ju,too
253,si mu,took
942,ọpa,tool
347,oke,top
943,lapapọ,total
628,ọwọ kan,touch
480,si,toward
403,ilu,town
852,orin,track
600,isowo,trade
558,oko,train
473,ajo,travel
228,igi,tree
826,onigun mẹta,triangle
602,irin ajo,trip
611,wahala,trouble
976,ikoledanu,truck
455,otitọ,true
89,gbiyanju,try
819,tube,tube
139,tan,turn
695,ogun,twenty
173,meji,two
729,iru,type
125,labẹ,under
401,kuro,unit
294,titi,until
154,soke,up
90,wa,us
155,lilo,use
304,ibùgbé,usual
946,afonifoji,valley
743,iye,value
522,yatọ,vary
468,ọrọìse,verb
127,gan,very
749,wo,view
703,abule,village
583,ibewo,visit
500,ohun,voice
479,vowel,vowel
413,duro,wait
282,rin,walk
564,odi,wall
54,fẹ,want
481,ogun,war
439,gbona,warm
6,je,was
807,ínrọ,wash
269,wo,watch
190,omi,water
538,igbi,wave
157,ọna,way
35,a,we
637,wọ,wear
589,oju ojo,weather
431,ọsẹ,week
525,àdánù,weight
56,daradara,well
82,si lọ,went
39,wọn,were
463,ìwọ,west
22,kini,what
356,kẹkẹ,wheel
153,nigbawo,when
110,ibi ti,where
710,boya,whether
40,eyi ti,which
243,nigba ti,while
278,funfun,white
194,ti o,who
348,gbogbo,whole
776,ti,whose
78,idi,why
548,jakejado,wide
964,iyawo,wife
574,egan,wild
45,yoo,will
937,win,win
330,afẹfẹ,wind
555,ferese,window
804,apakan,wing
571,otutu,winter
633,waya,wire
567,fẹ,wish
10,pẹlu,with
799,obirin,woman
906,obirin,women
378,iyanu,wonder
752,yoo ko,won’t
272,igi,wood
20,ọrọ,word
103,iṣẹ,work
95,aye,world
163,ṣe,would
162,kọ,write
573,kọ,written
989,ti ko tọ si,wrong
614,kowe,wrote
622,àgbàlá,yard
117,odun,year
839,ofeefee,yellow
394,bẹẹni,yes
537,sibe,yet
26,ti o,you
305,odo,young
156,rẹ,your
