number,afrikaans,english
513,tel,count
206,land,country
354,natuurlik,course
215,dekking,cover
579,koei,cow
698,toename,crease
805,skep,create
768,oes,crop
229,steek,cross
810,skare,crowd
409,geroep,cry
847,huidige,current
267,cut,cut
868,pa,dad
544,dans,dance
754,gevaar,danger
410,donker,dark
177,dag,day
843,dood,dead
960,transaksie,deal
882,liewe,dear
903,dood,death
361,besluit,decide
650,desimale,decimal
363,diep,deep
879,graad,degree
816,afhang,depend
718,beskryf,describe
845,woestyn,desert
685,ontwerp,design
973,bepaal,determine
437,ontwikkel,develop
669,woordeboek,dictionary
181,het,did
609,sterf,die
138,verskil,differ
763,moeilik,difficult
319,direkte,direct
921,bespreek,discuss
395,verre,distant
532,verdeel,divide
855,afdeling,division
41,doen,do
764,dokter,doctor
51,doen,does
317,hond,dog
921,dollar,dollar
424,gedoen,done
242,doen nie,don’t
324,deur,door
948,dubbel,double
196,af,down
238,trek,draw
938,droom,dream
677,rok,dress
885,drink,drink
426,ry,drive
539,drop,drop
377,droë,dry
876,eend,duck
456,tydens,during
49,elke,each
651,oor,ear
461,vroeë,early
99,aarde,earth
284,verlig,ease
397,oos,east
255,eet,eat
581,rand,edge
789,uitwerking,effect
506,eier,egg
702,agt,eight
721,óf,either
790,elektriese,electric
770,element,element
652,anders,else
60,einde,end
883,vyand,enemy
501,energie,energy
545,enjin,engine
301,genoeg,enough
834,betree,enter
639,gelyke,equal
386,gelyk,equate
915,veral,especially
69,selfs,even
939,aand,evening
958,gebeurtenis,event
308,ooit,ever
120,elke,every
607,presiese,exact
283,byvoorbeeld,example
613,behalwe,except
747,opgewonde,excite
563,oefening,exercise
791,verwag,expect
925,ervaring,experience
688,eksperiment,experiment
222,oog,eye
271,gesig,face
449,trouens,fact
645,billike,fair
407,val,fall
318,gesin,family
820,bekende,famous
236,ver,far
230,plaas,farm
467,vinnig,fast
863,vet,fat
100,vader,father
858,guns,favor
823,vrees,fear
941,voer,feed
312,voel,feel
298,voete,feet
642,val,fell
534,gevoel,felt
249,paar,few
419,gebied,field
916,fig,fig
744,stryd,fight
415,figuur,figure
396,vul,fill
432,finale,final
200,vind,find
404,fyn,fine
741,vinger,finger
593,afwerking,finish
339,vuur,fire
193,eerste,first
260,vis,fish
643,pas,fit
458,vyf,five
694,plat,flat
720,vloer,floor
644,vloei,flow
596,blom,flower
406,vlieg,fly
76,volg,follow
216,voedsel,food
366,voet,foot
7,vir,for
358,krag,force
552,bos,forest
130,vorm,form
922,vorentoe,forward
207,gevind,found
218,vier,four
551,breuk,fraction
440,gratis,free
836,vars,fresh
257,vriend,friend
17,uit,from
429,front,front
755,vrugte,fruit
357,volle,full
586,pret,fun
384,spel,game
638,tuin,garden
588,gas,gas
980,versamel,gather
433,gegee,gave
526,algemene,general
798,sagte,gentle
106,kry,get
303,meisie,girl
123,gee,give
864,bly,glad
577,glas,glass
179,gaan,go
373,goud,gold
599,weg,gone
121,goeie,good
281,het,got
496,regeer,govern
535,grand,grand
578,gras,grass
990,grys,gray
132,groot,great
434,groen,green
629,gegroei,grew
464,grond,ground
286,groep,group
210,groei,grow
801,raai,guess
924,lei,guide
840,geweer,gun
28,moes,had
717,hare,hair
336,helfte,half
64,hand,hand
332,gebeur,happen
594,gelukkig,happy
231,hard,hard
174,het,has
953,hoed,hat
15,het,have
5,hy,he
201,hoof,head
265,hoor,hear
451,gehoor,heard
540,hart,heart
390,hitte,heat
543,swaar,heavy
716,gehou,held
135,help,help
167,haar,her
71,hier,here
74,hoë,high
724,hill,hill
172,hom,him
3,sy,his
788,geskiedenis,history
771,getref,hit
462,hou,hold
699,gat,hole
62,huis,home
595,hoop,hope
266,perd,horse
19,warm,hot
387,warm,hot
453,uur,hour
87,huis,house
46,hoe,how
918,groot,huge
787,menslike,human
457,honderd,hundred
502,jag,hunt
828,haastig,hurry
2,ek,i
527,ys,ice
259,idee,idea
44,indien,if
794,dink,imagine
34,in,in
351,duim,inch
531,sluit,include
783,dui,indicate
742,bedryf,industry
780,insekte,insect
877,direkte,instant
575,instrument,instrument
465,belangstelling,interest
970,bedink,invent
691,yster,iron
24,is,is
365,eiland,island
25,dit,it
580,werk,job
617,sluit,join
570,vreugde,joy
700,spring,jump
129,net,just
221,hou,keep
576,gehou,kept
690,sleutel,key
657,dood te maak,kill
84,soort,kind
349,koning,king
344,geweet,knew
189,weet,know
621,lady,lady
659,meer,lake
70,land,land
399,taal,language
66,groot,large
224,laaste,last
240,laat,late
379,lag,laugh
730,wet,law
482,lê,lay
408,lei,lead
213,leer,learn
610,minste,least
321,verlaat,leave
929,gelei,led
239,verlaat,left
562,been,leg
516,lengte,length
474,minder,less
225,laat,let
293,brief,letter
978,vlak,level
745,leuen,lie
248,lewe,life
848,lift,lift
83,lig,light
164,soos,like
137,lyn,line
894,vloeistof,liquid
310,lys,list
470,luister,listen
113,bietjie,little
109,lewe,live
777,spoor,locate
895,teken,log
561,eensaam,lone
168,lang,long
175,kyk,look
635,verloor,lost
687,baie,lot
662,hard,loud
487,liefde,love
136,lae,low
411,masjien,machine
108,gemaak,made
909,magnet,magnet
273,hoof,main
835,groot,major
169,maak,make
116,man,man
159,baie,many
493,kaart,map
291,merk,mark
878,mark,market
932,massa,mass
851,meester,master
913,wedstryd,match
550,materiaal,material
528,saak,matter
195,mag,may
122,my,me
142,beteken,mean
896,bedoel,meant
323,meet,measure
817,vleis,meat
704,ontmoet,meet
601,melodie,melody
80,mans,men
709,metaal,metal
672,metode,method
656,middel,middle
233,mag,might
295,myl,mile
670,melk,milk
591,miljoen,million
444,gedagte,mind
832,myn,mine
441,minuut,minute
388,mis,miss
631,meng,mix
769,moderne,modern
987,molekule,molecule
660,oomblik,moment
489,geld,money
590,maand,month
364,maan,moon
176,meer,more
475,oggend,morning
185,mees,most
94,ma,mother
892,beweging,motion
566,berg,mount
261,berg,mountain
606,mond,mouth
144,skuif,move
141,veel,much
352,vermeerder,multiply
288,musiek,music
72,moet,must
187,my,my
126,naam,name
668,nasie,nation
748,natuurlike,natural
889,aard,nature
96,naby,near
802,nodige,necessary
900,nek,neck
86,nodig,need
806,naaste,neighbor
223,nooit,never
102,nuwe,new
277,volgende,next
246,nag,night
975,nege,nine
184,geen,no
977,geraas,noise
767,middag,noon
947,of,nor
250,noord,north
996,neus,nose
412,noot,note
353,niks,nothing
499,kennisgewing,notice
418,naamwoord,noun
199,nou,now
182,aantal,number
328,syfer,numeral
360,voorwerp,object
664,neem,observe
886,voorkom,occur
438,oseaan,ocean
30,van,of
85,af,off
873,aanbod,offer
603,kantoor,office
292,dikwels,often
435,o,oh
626,olie,oil
147,ou,old
8,op,on
263,keer,once
14,een,one
114,slegs,only
274,oop,open
760,bedryf,operate
963,teenoorgestelde,opposite
27,of,or
338,orde,order
673,orrel,organ
865,oorspronklike,original
38,ander,other
124,ons,our
37,uit,out
188,oor,over
203,eie,own
901,suurstof,oxygen
204,bladsy,page
398,verf,paint
530,paar,pair
285,papier,paper
713,paragraaf,paragraph
853,ouer,parent
104,deel,part
959,bepaalde,particular
774,partytjie,party
345,slaag,pass
584,verlede,past
893,pad,path
484,patroon,pattern
674,betaal,pay
186,mense,people
510,miskien,perhaps
782,tydperk,period
488,persoon,person
734,frase,phrase
511,kies,pick
88,prentjie,picture
342,stukkie,piece
930,steek,pitch
107,plek,place
302,vlakte,plain
414,plan,plan
375,vliegtuig,plane
827,planeet,planet
214,plant,plant
58,speel,play
765,asseblief,please
997,meervoud,plural
813,gedig,poem
93,punt,point
686,swak,poor
880,vul,populate
65,hawe,port
320,inhou,pose
546,posisie,position
374,moontlik,possible
860,post,post
423,pond,pound
402,krag,power
761,praktyk,practice
994,voor te berei,prepare
542,huidige,present
244,pers,press
904,mooi,pretty
842,druk,print
503,waarskynlike,probable
341,probleem,problem
759,proses,process
448,produseer,produce
325,produk,product
871,behoorlike,proper
985,eiendom,property
766,beskerm,protect
560,bewys,prove
795,verskaf,provide
497,trek,pull
711,stoot,push
61,sit,put
974,kwart,quart
331,vraag,question
436,vinnige,quick
680,stil,quiet
653,baie,quite
897,kwosiënt,quotient
554,ras,race
784,radio,radio
793,spoor,rail
494,reën,rain
707,verhoog,raise
382,hardloop,ran
890,reeks,range
809,eerder,rather
466,bereik,reach
63,lees,read
306,gereed,ready
247,werklike,real
515,rede,reason
604,ontvang,receive
370,rekord,record
309,rooi,red
520,streek,region
459,onthou,remember
991,herhaling,repeat
884,antwoord,reply
517,verteenwoordig,represent
992,vereis,require
420,res,rest
722,gevolg,result
756,ryk,rich
507,rit,ride
145,reg,right
778,ring,ring
623,styg,rise
296,rivier,river
492,pad,road
337,rock,rock
739,roll,roll
256,kamer,room
705,wortel,root
935,tou,rope
840,gestyg,rose
115,ronde,round
605,ry,row
818,vryf,rub
495,reël,rule
241,hardloop,run
725,veilig,safe
47,gesê,said
549,vaar,sail
995,sout,salt
149,dieselfde,same
737,sand,sand
572,sat,sat
648,red,save
235,saag,saw
134,sê,say
661,skaal,scale
209,skool,school
254,wetenskap,science
926,telling,score
237,see,sea
837,soek,search
907,seisoen,season
949,sitplek,seat
300,tweede,second
676,artikel,section
171,sien,see
615,saad,seed
275,lyk,seem
874,segment,segment
988,kies,select
98,self,self
954,verkoop,sell
838,stuur,send
750,sin,sense
640,gestuur,sent
131,vonnis,sentence
762,afsonderlike,separate
490,dien,serve
52,stel,set
523,vestig,settle
712,sewe,seven
478,verskeie,several
715,sal,shall
385,vorm,shape
866,aandeel,share
803,skerp,sharp
150,sy,she
856,blad,sheet
899,dop,shell
984,skyn,shine
334,skip,ship
965,skoen,shoe
981,winkel,shop
854,strand,shore
327,kort,short
205,behoort,should
966,skouer,shoulder
612,skree,shout
119,show,show
197,kant,side
284,oë,sight
582,teken,sign
735,stil,silent
910,silwer,silver
923,soortgelyke,similar
477,eenvoudige,simple
346,sedert,since
469,sing,sing
692,enkele,single
919,suster,sister
553,sit,sit
471,ses,six
521,grootte,size
905,vaardigheid,skill
696,vel,skin
568,lug,sky
875,slaaf,slave
559,slaap,sleep
936,strokie,slip
485,stadig,slow
59,klein,small
945,reuk,smell
697,glimlag,smile
391,sneeu,snow
165,so,so
585,sagte,soft
738,grond,soil
758,soldaat,soldier
908,oplossing,solution
708,los,solve
23,sommige,some
658,seun,son
322,lied,song
315,gou,soon
183,klink,sound
340,suid-,south
450,ruimte,space
524,praat,speak
443,spesiale,special
888,toespraak,speech
671,spoed,speed
67,spel,spell
861,spandeer,spend
785,gepraat,spoke
844,spot,spot
967,verspreiding,spread
663,die lente,spring
514,vierkante,square
202,staan,stand
416,ster,star
232,begin,start
220,staat,state
867,stasie,station
355,bly,stay
376,plek,stead
891,stoom,steam
920,staal,steel
460,stap,step
693,stok,stick
212,steeds,still
681,klip,stone
427,staan,stood
262,stop,stop
556,winkel,store
234,storie,story
666,reguit,straight
598,vreemde,strange
822,stroom,stream
350,straat,street
982,rek,stretch
814,string,string
442,sterk,strong
772,student,student
211,studie,study
519,onderwerp,subject
857,stof,substance
957,aftrek,subtract
955,sukses,success
75,sodanige,such
512,skielike,sudden
914,agtervoegsel,suffix
902,suiker,sugar
618,stel,suggest
846,pak,suit
557,somer,summer
217,son,sun
775,toevoer,supply
887,ondersteuning,support
268,seker,sure
362,oppervlak,surface
679,verrassing,surprise
961,swem,swim
533,lettergreep,syllable
608,simbool,symbol
367,stelsel,system
472,tafel,table
447,stert,tail
105,neem,take
313,besprekings,talk
736,hoë,tall
430,leer,teach
632,span,team
898,tande,teeth
50,vertel,tell
740,temperatuur,temperature
476,tien,ten
962,term,term
369,toets,test
191,as,than
911,dankie,thank
4,wat,that
29,die,the
42,hul,their
161,hulle,them
160,dan,then
152,daar,there
166,hierdie,these
11,hulle,they
757,dik,thick
825,dun,thin
170,ding,thing
133,dink,think
714,derde,third
16,hierdie,this
289,diegene,those
311,alhoewel,though
226,gedink,thought
380,duisend,thousand
53,drie,three
128,deur,through
983,gooi,throw
797,dus,thus
833,tie,tie
43,tyd,time
682,klein,tiny
392,band,tire
31,te,to
276,saam,together
343,vertel,told
616,toon,tone
148,te,too
253,het,took
942,hulpmiddel,tool
347,top,top
943,totale,total
628,raak,touch
480,teenoor,toward
403,dorp,town
852,spoor,track
600,handel,trade
558,trein,train
473,reis,travel
228,boom,tree
826,driehoek,triangle
602,reis,trip
611,moeilikheid,trouble
976,vragmotor,truck
455,ware,true
89,probeer,try
819,buis,tube
139,beurt,turn
695,twintig,twenty
173,twee,two
729,tipe,type
125,onder,under
401,eenheid,unit
294,totdat,until
154,up,up
90,ons,us
155,gebruik,use
304,gewone,usual
946,vallei,valley
743,waarde,value
522,wissel,vary
468,werkwoord,verb
127,baie,very
749,view,view
703,dorpie,village
583,besoek,visit
500,stem,voice
479,vokaal,vowel
413,wag,wait
282,loop,walk
564,muur,wall
54,wil,want
481,oorlog,war
439,warm,warm
6,was,was
807,wash,wash
269,kyk,watch
190,water,water
538,golf,wave
157,manier,way
35,ons,we
637,dra,wear
589,weer,weather
431,week,week
525,gewig,weight
56,goed,well
82,gegaan,went
39,was,were
463,west,west
22,wat,what
356,wiel,wheel
153,wanneer,when
110,waar,where
710,of,whether
40,wat,which
243,terwyl,while
278,wit,white
194,wat,who
348,geheel,whole
776,wie se,whose
78,hoekom,why
548,wye,wide
964,vrou,wife
574,wilde,wild
45,sal,will
937,oorwinning,win
330,wind,wind
555,venster,window
804,vleuel,wing
571,winter,winter
633,draad,wire
567,wens,wish
10,met,with
799,vrou,woman
906,vroue,women
378,wonder,wonder
752,sal nie,won’t
272,hout,wood
20,woord,word
103,werk,work
95,wêreld,world
163,sou,would
162,skryf,write
573,geskryf,written
989,verkeerd,wrong
614,geskryf,wrote
622,agterplaas,yard
117,jaar,year
839,geel,yellow
394,ja,yes
537,nog,yet
26,jy,you
305,jong,young
156,jou,your
