number,hindi,english
534,लगा,felt
249,कुछ,few
419,क्षेत्र,field
916,अंजीर,fig
744,लड़ाई,fight
415,आंकड़ा,figure
396,भरने,fill
432,अंतिम,final
200,लगता है,find
404,ठीक,fine
741,उंगली,finger
593,खत्म,finish
339,आग,fire
193,पहले,first
260,मछली,fish
643,फिट,fit
458,पांच,five
694,फ्लैट,flat
720,मंजिल,floor
644,प्रवाह,flow
596,फूल,flower
406,मक्खी,fly
76,का पालन करें,follow
216,भोजन,food
366,पैर,foot
7,के लिए,for
358,बल,force
552,वन,forest
130,फार्म,form
922,आगे,forward
207,पाया,found
218,चार,four
551,अंश,fraction
440,मुक्त,free
836,ताजा,fresh
257,दोस्त,friend
17,से,from
429,सामने,front
755,फल,fruit
357,पूर्ण,full
586,मज़ा,fun
384,खेल,game
638,बगीचा,garden
588,गैस,gas
980,इकट्ठा,gather
433,दिया,gave
526,सामान्य,general
798,कोमल,gentle
106,प्राप्त,get
303,लड़की,girl
123,दे,give
864,प्रसन्न,glad
577,कांच,glass
179,जाना,go
373,सोना,gold
599,चला गया,gone
121,अच्छा,good
281,मिला,got
496,शासन,govern
535,भव्य,grand
578,घास,grass
990,ग्रे,gray
132,महान,great
434,हरे रंग,green
629,बढ़ी,grew
464,जमीन,ground
286,समूह,group
210,बढ़ने,grow
801,अनुमान,guess
924,गाइड,guide
840,बंदूक,gun
28,था,had
717,बाल,hair
336,आधा,half
64,हाथ,hand
332,होना,happen
594,खुश,happy
231,कठिन,hard
174,है,has
953,टोपी,hat
15,है,have
5,वह,he
201,सिर,head
265,सुनना,hear
451,सुना,heard
540,दिल,heart
390,गर्मी,heat
543,भारी,heavy
716,आयोजित,held
135,मदद,help
167,उसके,her
71,यहाँ,here
74,उच्च,high
724,पहाड़ी,hill
172,उसे,him
3,उसके,his
788,इतिहास,history
771,मारना,hit
462,पकड़,hold
699,छेद,hole
62,घर,home
595,आशा,hope
266,घोड़ा,horse
19,गरम,hot
387,गरम,hot
453,घंटे,hour
87,घर,house
46,कैसे,how
918,भारी,huge
787,मानव,human
457,सौ,hundred
502,शिकार,hunt
828,जल्दी करो,hurry
2,मैं,i
527,बर्फ,ice
259,विचार,idea
44,अगर,if
794,कल्पना,imagine
34,में,in
351,इंच,inch
531,शामिल,include
783,संकेत मिलता है,indicate
742,उद्योग,industry
780,कीट,insect
877,पल,instant
575,साधन,instrument
465,ब्याज,interest
970,आविष्कार,invent
691,लोहा,iron
24,है,is
365,द्वीप,island
25,यह,it
580,काम,job
617,शामिल होने,join
570,हर्ष,joy
700,कूद,jump
129,बस,just
221,रखना,keep
576,रखा,kept
690,कुंजी,key
657,हत्या,kill
84,तरह,kind
349,राजा,king
344,पता था,knew
189,पता,know
621,महिला,lady
659,झील,lake
70,भूमि,land
399,भाषा,language
66,बड़ा,large
224,पिछले,last
240,देर से,late
379,हंसी,laugh
730,कानून,law
482,रखना,lay
408,नेतृत्व,lead
213,सीखना,learn
610,कम से कम,least
321,छोड़,leave
929,नेतृत्व,led
239,छोड़ा,left
562,पैर,leg
516,लंबाई,length
474,कम,less
225,चलो,let
293,पत्र,letter
978,स्तर,level
745,झूठ,lie
248,जीवन,life
848,लिफ्ट,lift
83,प्रकाश,light
164,जैसा,like
137,रेखा,line
894,तरल,liquid
310,सूची,list
470,सुनो,listen
113,थोड़ा,little
109,जीना,live
777,स्थिति जानें,locate
895,लॉग इन करें,log
561,लोन,lone
168,लंबे समय तक,long
175,देखो,look
635,खोया,lost
687,बहुत,lot
662,जोर,loud
487,प्यार,love
136,कम,low
411,मशीन,machine
108,निर्मित,made
909,चुंबक,magnet
273,मुख्य,main
835,प्रमुख,major
169,कर,make
116,आदमी,man
159,कई,many
493,नक्शा,map
291,मार्क,mark
878,बाजार,market
932,सामूहिक,mass
851,मास्टर,master
913,मैच,match
550,सामग्री,material
528,मामला,matter
195,मई,may
122,मुझे,me
142,मतलब,mean
896,मतलब,meant
323,नाप,measure
817,मांस,meat
704,मिलो,meet
601,राग,melody
80,पुरुषों,men
709,धातु,metal
672,विधि,method
656,बीच,middle
233,हो सकता है,might
295,मील,mile
670,दूध,milk
591,लाख,million
444,मन,mind
832,मेरा,mine
441,मिनट,minute
388,मिस,miss
631,मिश्रण,mix
769,आधुनिक,modern
987,अणु,molecule
660,पल,moment
489,धन,money
590,माह,month
364,चांद,moon
176,अधिक,more
475,सुबह,morning
185,सबसे,most
94,मां,mother
892,प्रस्ताव,motion
566,माउंट,mount
261,पहाड़,mountain
606,मुंह,mouth
144,चाल,move
141,ज्यादा,much
352,गुणा,multiply
288,संगीत,music
72,चाहिए,must
187,मेरे,my
126,नाम,name
668,राष्ट्र,nation
748,प्राकृतिक,natural
889,प्रकृति,nature
96,निकट,near
802,आवश्यक,necessary
900,गर्दन,neck
86,आवश्यकता,need
806,पड़ोसी,neighbor
223,कभी नहीं,never
102,नई,new
277,अगला,next
246,रात,night
975,नौ,nine
184,नहीं,no
977,शोर,noise
767,दोपहर,noon
947,और न ही,nor
250,उत्तर,north
996,नाक,nose
412,नोट,note
353,कुछ नहीं,nothing
499,नोटिस,notice
418,संज्ञा,noun
199,अब,now
182,संख्या,number
328,अंक,numeral
360,वस्तु,object
664,निरीक्षण,observe
886,घटित,occur
438,सागर,ocean
30,की,of
85,बंद,off
873,प्रस्ताव,offer
603,कार्यालय,office
292,अक्सर,often
435,ओह,oh
626,तेल,oil
147,पुराना,old
8,पर,on
263,एक बार,once
14,एक,one
114,केवल,only
274,खुला,open
760,संचालित,operate
963,विपरीत,opposite
27,या,or
338,आदेश,order
673,अंग,organ
865,मूल,original
38,अन्य,other
124,हमारे,our
37,बाहर,out
188,अधिक,over
203,खुद,own
901,ऑक्सीजन,oxygen
204,पेज,page
398,रंग,paint
530,जोड़ी,pair
285,कागज,paper
713,पैरा,paragraph
853,माता पिता,parent
104,हिस्सा,part
959,विशेष,particular
774,पार्टी,party
345,पास,pass
584,अतीत,past
893,पथ,path
484,पैटर्न,pattern
674,भुगतान,pay
186,लोग,people
510,शायद,perhaps
782,अवधि,period
488,व्यक्ति,person
734,वाक्यांश,phrase
511,उठाओ,pick
88,तस्वीर,picture
342,टुकड़ा,piece
930,पिच,pitch
107,जगह,place
302,सादे,plain
414,योजना,plan
375,विमान,plane
827,ग्रह,planet
214,संयंत्र,plant
58,खेलने,play
765,कृपया,please
997,बहुवचन,plural
813,कविता,poem
93,बिंदु,point
686,गरीब,poor
880,आबाद,populate
65,बंदरगाह,port
320,ढोंग,pose
546,स्थिति,position
374,संभव,possible
860,पोस्ट,post
423,पाउंड,pound
402,बिजली,power
761,अभ्यास,practice
994,तैयार,prepare
542,वर्तमान,present
244,प्रेस,press
904,सुंदर,pretty
842,प्रिंट,print
503,संभावित,probable
341,समस्या,problem
759,प्रक्रिया,process
448,उत्पादन,produce
325,उत्पाद,product
871,उचित,proper
985,संपत्ति,property
766,रक्षा,protect
560,साबित,prove
795,प्रदान,provide
497,खींच,pull
711,धक्का,push
61,डाल,put
974,चौथाई गेलन,quart
331,सवाल,question
436,त्वरित,quick
680,शांत,quiet
653,काफी,quite
897,भागफल,quotient
554,दौड़,race
784,रेडियो,radio
793,रेल,rail
494,बारिश,rain
707,उठाना,raise
382,भागा,ran
890,सीमा,range
809,बल्कि,rather
466,तक पहुँचने,reach
63,पढ़ा,read
306,तैयार,ready
247,असली,real
515,कारण,reason
604,प्राप्त करना,receive
370,रिकॉर्ड,record
309,लाल,red
520,क्षेत्र,region
459,याद,remember
991,दोहराना,repeat
884,उत्तर,reply
517,का प्रतिनिधित्व,represent
992,आवश्यकता,require
420,बाकी,rest
722,परिणाम,result
756,अमीर,rich
507,सवारी,ride
145,सही,right
778,अंगूठी,ring
623,वृद्धि,rise
296,नदी,river
492,सड़क,road
337,रॉक,rock
739,रोल,roll
256,कमरे,room
705,जड़,root
935,रस्सी,rope
840,गुलाब,rose
115,दौर,round
605,पंक्ति,row
818,रगड़,rub
495,नियम,rule
241,चलाने,run
725,सुरक्षित,safe
47,कहा,said
549,स्टील अथॉरिटी ऑफ इंडिया,sail
995,नमक,salt
149,वही,same
737,रेत,sand
572,शनि,sat
648,बचा,save
235,देखा,saw
134,कहना,say
661,पैमाने,scale
209,स्कूल,school
254,विज्ञान,science
926,स्कोर,score
237,समुद्र,sea
837,खोज,search
907,मौसम,season
949,सीट,seat
300,दूसरा,second
676,अनुभाग,section
171,देखना,see
615,बीज,seed
275,प्रतीत,seem
874,खंड,segment
988,चयन,select
98,आत्म,self
954,बेचने,sell
838,भेजें,send
750,भावना,sense
640,भेजा,sent
131,वाक्य,sentence
762,अलग,separate
490,सेवा कर,serve
52,सेट,set
523,बसा,settle
712,सात,seven
478,कई,several
715,करेगा,shall
385,आकार,shape
866,शेयर,share
803,तेज़,sharp
150,वह,she
856,चादर,sheet
899,खोल,shell
984,चमक,shine
334,जहाज,ship
965,जूता,shoe
981,दुकान,shop
854,किनारे,shore
327,कम,short
205,चाहिए,should
966,कंधे,shoulder
612,चिल्लाओ,shout
119,शो,show
197,पक्ष,side
284,दृष्टि,sight
582,साइन,sign
735,चुप,silent
910,चांदी,silver
923,इसी तरह,similar
477,सरल,simple
346,के बाद से,since
469,गाना,sing
692,एकल,single
919,बहन,sister
553,बैठना,sit
471,छह,six
521,आकार,size
905,कौशल,skill
696,त्वचा,skin
568,आसमान,sky
875,गुलाम,slave
559,नींद,sleep
936,पर्ची,slip
485,धीमी,slow
59,छोटे,small
945,गंध,smell
697,मुस्कान,smile
391,बर्फ,snow
165,तो,so
585,मुलायम,soft
738,मिट्टी,soil
758,सैनिक,soldier
908,समाधान,solution
708,हल,solve
23,कुछ,some
658,बेटा,son
322,गीत,song
315,शीघ्र,soon
183,ध्वनि,sound
340,दक्षिण,south
450,अंतरिक्ष,space
524,बोलना,speak
443,विशेष,special
888,भाषण,speech
671,गति,speed
67,जादू,spell
861,खर्च,spend
785,बात,spoke
844,हाजिर,spot
967,प्रसार,spread
663,वसंत,spring
514,वर्ग,square
202,खड़े,stand
416,सितारा,star
232,शुरुआत,start
220,राज्य,state
867,स्टेशन,station
355,रहना,stay
376,जगह,stead
891,भाप,steam
920,स्टील,steel
460,कदम,step
693,छड़ी,stick
212,अब तक,still
681,पत्थर,stone
427,खड़ा हुआ,stood
262,रोक,stop
556,दुकान,store
234,कहानी,story
666,सीधे,straight
598,अजीब,strange
822,धारा,stream
350,सड़क,street
982,खिंचाव,stretch
814,स्ट्रिंग,string
442,मजबूत,strong
772,छात्र,student
211,अध्ययन,study
519,विषय,subject
857,पदार्थ,substance
957,घटाना,subtract
955,सफलता,success
75,ऐसा,such
512,अचानक,sudden
914,प्रत्यय,suffix
902,चीनी,sugar
618,सुझाव है,suggest
846,सूट,suit
557,गर्मियों,summer
217,सूरज,sun
775,आपूर्ति,supply
887,समर्थन,support
268,यकीन,sure
362,सतह,surface
679,आश्चर्य,surprise
961,तैरना,swim
533,शब्दांश,syllable
608,प्रतीक,symbol
367,प्रणाली,system
472,तालिका,table
447,पूंछ,tail
105,लेना,take
313,वार्ता,talk
736,लंबा,tall
430,सिखाना,teach
632,टीम,team
898,दांत,teeth
50,बता,tell
740,तापमान,temperature
476,दस,ten
962,अवधि,term
369,परीक्षण,test
191,से,than
911,धन्यवाद,thank
4,कि,that
29,,the
42,उनके,their
161,उन्हें,them
160,तो,then
152,वहाँ,there
166,इन,these
11,वे,they
757,मोटी,thick
825,पतली,thin
170,बात,thing
133,लगता है,think
714,तीसरे,third
16,इस,this
289,उन,those
311,हालांकि,though
226,सोचा,thought
380,हजार,thousand
53,तीन,three
128,के माध्यम से,through
983,फेंक,throw
797,इस प्रकार,thus
833,टाई,tie
43,समय,time
682,छोटे,tiny
392,टायर,tire
31,तक,to
276,एक साथ,together
343,बताया,told
616,स्वर,tone
148,भी,too
253,ले लिया,took
942,उपकरण,tool
347,शीर्ष,top
943,संपूर्ण,total
628,स्पर्श,touch
480,की ओर,toward
403,शहर,town
852,ट्रैक,track
600,व्यापार,trade
558,सफर,train
473,यात्रा,travel
228,पेड़,tree
826,त्रिकोण,triangle
602,यात्रा,trip
611,मुसीबत,trouble
976,ट्रक,truck
455,सच,true
89,कोशिश,try
819,ट्यूब,tube
139,बारी,turn
695,बीस,twenty
173,दो,two
729,प्रकार,type
125,नीचे,under
401,इकाई,unit
294,जब तक,until
154,ऊपर,up
90,हमें,us
155,उपयोग,use
304,हमेशा की तरह,usual
946,घाटी,valley
743,मूल्य,value
522,भिन्न हो,vary
468,क्रिया,verb
127,बहुत,very
749,देखें,view
703,गांव,village
583,यात्रा,visit
500,आवाज,voice
479,स्वर,vowel
413,इंतजार,wait
282,चलना,walk
564,दीवार,wall
54,चाहते हैं,want
481,युद्ध,war
439,गर्म,warm
6,था,was
807,धोने,wash
269,घड़ी,watch
190,पानी,water
538,लहर,wave
157,रास्ता,way
35,हम,we
637,पहनना,wear
589,मौसम,weather
431,सप्ताह,week
525,वजन,weight
56,अच्छी तरह से,well
82,चला गया,went
39,थे,were
463,पश्चिम,west
22,क्या,what
356,पहिया,wheel
153,जब,when
110,जहां,where
710,चाहे,whether
40,जो,which
243,जबकि,while
278,सफेद,white
194,कौन,who
348,पूरे,whole
776,जिसका,whose
78,क्यों,why
548,विस्तृत,wide
964,पत्नी,wife
574,जंगली,wild
45,होगा,will
937,जीत,win
330,हवा,wind
555,खिड़की,window
804,पंख,wing
571,सर्दियों,winter
633,तार,wire
567,इच्छा,wish
10,साथ,with
799,महिला,woman
906,महिलाओं,women
378,आश्चर्य,wonder
752,नहीं होगा,won’t
272,लकड़ी,wood
20,शब्द,word
103,काम,work
95,दुनिया,world
163,होगा,would
162,लिखना,write
573,लिखित,written
989,गलत,wrong
614,लिखा,wrote
622,यार्ड,yard
117,वर्ष,year
839,पीले,yellow
394,हां,yes
537,अभी तक,yet
26,आप,you
305,युवा,young
156,अपने,your
