number,indonesian,english
323,mengukur,measure
817,daging,meat
704,bertemu,meet
601,melodi,melody
80,laki-laki,men
709,logam,metal
672,metode,method
656,tengah,middle
233,mungkin,might
295,mil,mile
670,susu,milk
591,juta,million
444,pikiran,mind
832,tambang,mine
441,menit,minute
388,rindu,miss
631,mencampur,mix
769,yang modern,modern
987,molekul,molecule
660,saat,moment
489,uang,money
590,bulan,month
364,bulan,moon
176,lebih,more
475,pagi,morning
185,sebagian besar,most
94,ibu,mother
892,gerak,motion
566,gunung,mount
261,gunung,mountain
606,mulut,mouth
144,bergerak,move
141,banyak,much
352,kalikan,multiply
288,musik,music
72,harus,must
187,saya,my
126,nama,name
668,bangsa,nation
748,alam,natural
889,alam,nature
96,dekat,near
802,diperlukan,necessary
900,leher,neck
86,perlu,need
806,tetangga,neighbor
223,tidak pernah,never
102,baru,new
277,selanjutnya,next
246,malam,night
975,sembilan,nine
184,tidak,no
977,noise,noise
767,siang,noon
947,atau,nor
250,utara,north
996,hidung,nose
412,catatan,note
353,tidak ada,nothing
499,pemberitahuan,notice
418,nomina,noun
199,sekarang,now
182,jumlah,number
328,angka,numeral
360,objek,object
664,mengamati,observe
886,terjadi,occur
438,ocean,ocean
30,dari,of
85,off,off
873,penawaran,offer
603,kantor,office
292,sering,often
435,oh,oh
626,minyak,oil
147,old,old
8,pada,on
263,sekali,once
14,satu,one
114,hanya,only
274,terbuka,open
760,mengoperasikan,operate
963,sebaliknya,opposite
27,atau,or
338,rangka,order
673,organ,organ
865,asli,original
38,lainnya,other
124,kami,our
37,out,out
188,lebih dari,over
203,sendiri,own
901,oksigen,oxygen
204,halaman,page
398,cat,paint
530,pasangan,pair
285,kertas,paper
713,ayat,paragraph
853,induk,parent
104,bagian,part
959,tertentu,particular
774,partai,party
345,lulus,pass
584,masa lalu,past
893,path,path
484,pola,pattern
674,membayar,pay
186,orang,people
510,mungkin,perhaps
782,periode,period
488,orang,person
734,frase,phrase
511,memilih,pick
88,gambar,picture
342,piece,piece
930,nada,pitch
107,tempat,place
302,polos,plain
414,rencana,plan
375,pesawat,plane
827,planet,planet
214,tanaman,plant
58,bermain,play
765,silahkan,please
997,plural,plural
813,puisi,poem
93,titik,point
686,miskin,poor
880,mengisi,populate
65,pelabuhan,port
320,berpose,pose
546,posisi,position
374,mungkin,possible
860,posting,post
423,pound,pound
402,daya,power
761,praktek,practice
994,mempersiapkan,prepare
542,sekarang,present
244,pers,press
904,cukup,pretty
842,mencetak,print
503,kemungkinan,probable
341,masalah,problem
759,proses,process
448,menghasilkan,produce
325,produk,product
871,tepat,proper
985,properti,property
766,melindungi,protect
560,membuktikan,prove
795,menyediakan,provide
497,menarik,pull
711,mendorong,push
61,menempatkan,put
974,liter,quart
331,pertanyaan,question
436,cepat,quick
680,tenang,quiet
653,cukup,quite
897,quotient,quotient
554,ras,race
784,radio,radio
793,rel,rail
494,hujan,rain
707,meningkatkan,raise
382,ran,ran
890,kisaran,range
809,agak,rather
466,mencapai,reach
63,baca,read
306,siap,ready
247,nyata,real
515,alasan,reason
604,menerima,receive
370,rekor,record
309,merah,red
520,wilayah,region
459,ingat,remember
991,ulangi,repeat
884,membalas,reply
517,mewakili,represent
992,membutuhkan,require
420,sisanya,rest
722,hasil,result
756,kaya,rich
507,naik,ride
145,kanan,right
778,cincin,ring
623,naik,rise
296,sungai,river
492,jalan,road
337,batu,rock
739,gulungan,roll
256,kamar,room
705,akar,root
935,tali,rope
840,naik,rose
115,putaran,round
605,baris,row
818,menggosok,rub
495,aturan,rule
241,jumlah,run
725,aman,safe
47,kata,said
549,berlayar,sail
995,garam,salt
149,sama,same
737,pasir,sand
572,duduk,sat
648,menyimpan,save
235,saw,saw
134,mengatakan,say
661,skala,scale
209,sekolah,school
254,ilmu,science
926,rata,score
237,laut,sea
837,pencarian,search
907,musim,season
949,kursi,seat
300,kedua,second
676,bagian,section
171,lihat,see
615,benih,seed
275,tampak,seem
874,ruas,segment
988,pilih,select
98,diri,self
954,menjual,sell
838,mengirim,send
750,akal,sense
640,dikirim,sent
131,kalimat,sentence
762,terpisah,separate
490,melayani,serve
52,kumpulan,set
523,menyelesaikan,settle
712,tujuh,seven
478,beberapa,several
715,wajib,shall
385,bentuk,shape
866,share,share
803,tajam,sharp
150,dia,she
856,sheet,sheet
899,shell,shell
984,bersinar,shine
334,kapal,ship
965,sepatu,shoe
981,shop,shop
854,shore,shore
327,pendek,short
205,harus,should
966,bahu,shoulder
612,berteriak,shout
119,menunjukkan,show
197,sisi,side
284,penglihatan,sight
582,tanda,sign
735,diam,silent
910,perak,silver
923,serupa,similar
477,sederhana,simple
346,karena,since
469,bernyanyi,sing
692,single,single
919,adik,sister
553,duduk,sit
471,enam,six
521,ukuran,size
905,keterampilan,skill
696,kulit,skin
568,langit,sky
875,budak,slave
559,tidur,sleep
936,slip,slip
485,lambat,slow
59,kecil,small
945,bau,smell
697,senyum,smile
391,salju,snow
165,jadi,so
585,lembut,soft
738,tanah,soil
758,tentara,soldier
908,larutan,solution
708,memecahkan,solve
23,beberapa,some
658,putra,son
322,lagu,song
315,segera,soon
183,suara,sound
340,selatan,south
450,ruang,space
524,berbicara,speak
443,khusus,special
888,pidato,speech
671,kecepatan,speed
67,mantra,spell
861,menghabiskan,spend
785,berbicara,spoke
844,tempat,spot
967,penyebaran,spread
663,musim semi,spring
514,persegi,square
202,berdiri,stand
416,bintang,star
232,start,start
220,negara,state
867,stasiun,station
355,tinggal,stay
376,manfaat,stead
891,steam,steam
920,baja,steel
460,langkah,step
693,tongkat,stick
212,masih,still
681,batu,stone
427,berdiri,stood
262,berhenti,stop
556,toko,store
234,cerita,story
666,lurus,straight
598,aneh,strange
822,aliran,stream
350,jalan,street
982,stretch,stretch
814,string,string
442,kuat,strong
772,mahasiswa,student
211,penelitian,study
519,subjek,subject
857,substansi,substance
957,kurangi,subtract
955,keberhasilan,success
75,seperti,such
512,tiba-tiba,sudden
914,akhiran,suffix
902,gula,sugar
618,menyarankan,suggest
846,setelan,suit
557,musim panas,summer
217,sun,sun
775,pasokan,supply
887,mendukung,support
268,yakin,sure
362,permukaan,surface
679,kejutan,surprise
961,berenang,swim
533,suku kata,syllable
608,simbol,symbol
367,sistem,system
472,tabel,table
447,ekor,tail
105,mengambil,take
313,pembicaraan,talk
736,tinggi,tall
430,mengajar,teach
632,tim,team
898,gigi,teeth
50,memberitahu,tell
740,suhu,temperature
476,sepuluh,ten
962,istilah,term
369,uji,test
191,dari,than
911,terima,thank
4,bahwa,that
29,itu,the
42,mereka,their
161,mereka,them
160,kemudian,then
152,ada,there
166,ini,these
11,mereka,they
757,tebal,thick
825,tipis,thin
170,hal,thing
133,berpikir,think
714,ketiga,third
16,ini,this
289,mereka,those
311,meskipun,though
226,pikiran,thought
380,ribu,thousand
53,tiga,three
128,melalui,through
983,membuang,throw
797,demikian,thus
833,dasi,tie
43,waktu,time
682,kecil,tiny
392,ban,tire
31,untuk,to
276,bersama-sama,together
343,mengatakan,told
616,nada,tone
148,terlalu,too
253,mengambil,took
942,alat,tool
347,atas,top
943,total,total
628,sentuh,touch
480,menuju,toward
403,kota,town
852,jalur,track
600,perdagangan,trade
558,kereta,train
473,wisata,travel
228,pohon,tree
826,segitiga,triangle
602,perjalanan,trip
611,masalah,trouble
976,truk,truck
455,benar,true
89,coba,try
819,tube,tube
139,gilirannya,turn
695,dua puluh,twenty
173,dua,two
729,jenis,type
125,di bawah,under
401,unit,unit
294,sampai,until
154,naik,up
90,kami,us
155,penggunaan,use
304,biasa,usual
946,lembah,valley
743,nilai,value
522,bervariasi,vary
468,kata kerja,verb
127,sangat,very
749,tampilan,view
703,desa,village
583,kunjungan,visit
500,suara,voice
479,vokal,vowel
413,menunggu,wait
282,berjalan,walk
564,wall,wall
54,ingin,want
481,perang,war
439,hangat,warm
6,adalah,was
807,mencuci,wash
269,menonton,watch
190,air,water
538,gelombang,wave
157,cara,way
35,kami,we
637,memakai,wear
589,cuaca,weather
431,minggu,week
525,berat,weight
56,baik,well
82,pergi,went
39,yang,were
463,barat,west
22,apa,what
356,roda,wheel
153,ketika,when
110,mana,where
710,apakah,whether
40,yang,which
243,sementara,while
278,putih,white
194,yang,who
348,seluruh,whole
776,yang,whose
78,mengapa,why
548,lebar,wide
964,istri,wife
574,liar,wild
45,akan,will
937,menang,win
330,angin,wind
555,window,window
804,sayap,wing
571,musim dingin,winter
633,kawat,wire
567,ingin,wish
10,dengan,with
799,wanita,woman
906,wanita,women
378,bertanya-tanya,wonder
752,tidak akan,won’t
272,kayu,wood
20,kata,word
103,pekerjaan,work
95,dunia,world
163,akan,would
162,menulis,write
573,ditulis,written
989,salah,wrong
614,menulis,wrote
622,yard,yard
117,tahun,year
839,kuning,yellow
394,ya,yes
537,belum,yet
26,anda,you
305,muda,young
156,anda,your
