number,kinyarwanda,english
713,igika,paragraph
853,umubyeyi,parent
104,igice,part
959,byumwihariko,particular
774,ibirori,party
345,pass,pass
584,kahise,past
893,inzira,path
484,icyitegererezo,pattern
674,kwishyura,pay
186,abantu,people
510,ahari,perhaps
782,igihe,period
488,umuntu,person
734,interuro,phrase
511,hitamo,pick
88,ishusho,picture
342,igice,piece
930,ikibuga,pitch
107,ikibanza,place
302,ikibaya,plain
414,gahunda,plan
375,indege,plane
827,umubumbe,planet
214,igihingwa,plant
58,gukina,play
765,nyamuneka,please
997,mu bwinshi,plural
813,igisigo,poem
93,ingingo,point
686,abakene,poor
880,gutura,populate
65,icyambu,port
320,kwifotoza,pose
546,umwanya,position
374,birashoboka,possible
860,post,post
423,pound,pound
402,imbaraga,power
761,imyitozo,practice
994,itegure,prepare
542,bahari,present
244,kanda,press
904,byiza,pretty
842,icapiro,print
503,birashoboka,probable
341,ikibazo,problem
759,inzira,process
448,umusaruro,produce
325,ibicuruzwa,product
871,bikwiye,proper
985,umutungo,property
766,kurinda,protect
560,garagaza,prove
795,gutanga,provide
497,gukurura,pull
711,gusunika,push
61,shyira,put
974,icya kane,quart
331,ikibazo,question
436,vuba,quick
680,ceceka,quiet
653,rwose,quite
897,igipimo,quotient
554,ubwoko,race
784,radiyo,radio
793,gari ya moshi,rail
494,imvura,rain
707,kuzamura,raise
382,yirutse,ran
890,intera,range
809,ahubwo,rather
466,kugera,reach
63,soma,read
306,biteguye,ready
247,nyabyo,real
515,impamvu,reason
604,yakira,receive
370,inyandiko,record
309,umutuku,red
520,karere,region
459,ibuka,remember
991,subiramo,repeat
884,subiza,reply
517,guhagararira,represent
992,bisaba,require
420,ikiruhuko,rest
722,ibisubizo,result
756,abakire,rich
507,kugendera,ride
145,iburyo,right
778,impeta,ring
623,kuzamuka,rise
296,uruzi,river
492,umuhanda,road
337,urutare,rock
739,umuzingo,roll
256,icyumba,room
705,umuzi,root
935,umugozi,rope
840,roza,rose
115,kuzenguruka,round
605,umurongo,row
818,rub,rub
495,amategeko,rule
241,kwiruka,run
725,umutekano,safe
47,ati,said
549,ubwato,sail
995,umunyu,salt
149,kimwe,same
737,umucanga,sand
572,yicaye,sat
648,kuzigama,save
235,yabonye,saw
134,vuga,say
661,igipimo,scale
209,ishuri,school
254,siyanse,science
926,amanota,score
237,inyanja,sea
837,gushakisha,search
907,igihe,season
949,intebe,seat
300,kabiri,second
676,igice,section
171,reba,see
615,imbuto,seed
275,bisa,seem
874,igice,segment
988,hitamo,select
98,wenyine,self
954,kugurisha,sell
838,ohereza,send
750,kumva,sense
640,yoherejwe,sent
131,interuro,sentence
762,gutandukana,separate
490,gukorera,serve
52,gushiraho,set
523,gutuza,settle
712,karindwi,seven
478,byinshi,several
715,igomba,shall
385,imiterere,shape
866,kugabana,share
803,ityaye,sharp
150,we,she
856,urupapuro,sheet
899,igikonoshwa,shell
984,kumurika,shine
334,ubwato,ship
965,inkweto,shoe
981,iduka,shop
854,inkombe,shore
327,ngufi,short
205,igomba,should
966,igitugu,shoulder
612,induru,shout
119,kwerekana,show
197,ruhande,side
284,kureba,sight
582,ikimenyetso,sign
735,ceceka,silent
910,ifeza,silver
923,bisa,similar
477,byoroshye,simple
346,kuva,since
469,kuririmba,sing
692,ingaragu,single
919,mushiki wawe,sister
553,icara,sit
471,atandatu,six
521,ingano,size
905,ubuhanga,skill
696,uruhu,skin
568,ijuru,sky
875,imbata,slave
559,gusinzira,sleep
936,kunyerera,slip
485,gahoro,slow
59,nto,small
945,impumuro,smell
697,kumwenyura,smile
391,shelegi,snow
165,bityo,so
585,yoroshye,soft
738,ubutaka,soil
758,umusirikare,soldier
908,igisubizo,solution
708,gukemura,solve
23,bimwe,some
658,umuhungu,son
322,indirimbo,song
315,vuba,soon
183,ijwi,sound
340,majyepfo,south
450,umwanya,space
524,vuga,speak
443,idasanzwe,special
888,imvugo,speech
671,umuvuduko,speed
67,amarozi,spell
861,gukoresha,spend
785,yavuze,spoke
844,ikibanza,spot
967,gukwirakwira,spread
663,isoko,spring
514,kare,square
202,ihagarare,stand
416,inyenyeri,star
232,gutangira,start
220,leta,state
867,sitasiyo,station
355,guma,stay
376,mu mwanya,stead
891,icyuka,steam
920,ibyuma,steel
460,intambwe,step
693,inkoni,stick
212,biracyaza,still
681,ibuye,stone
427,arahagarara,stood
262,hagarara,stop
556,ububiko,store
234,inkuru,story
666,igororotse,straight
598,bidasanzwe,strange
822,umugezi,stream
350,ibarabara,street
982,kurambura,stretch
814,umugozi,string
442,komera,strong
772,umunyeshuri,student
211,kwiga,study
519,ingingo,subject
857,ibintu,substance
957,gukuramo,subtract
955,intsinzi,success
75,nkibyo,such
512,gitunguranye,sudden
914,umugereka,suffix
902,isukari,sugar
618,tekereza,suggest
846,ikositimu,suit
557,icyi,summer
217,izuba,sun
775,gutanga,supply
887,inkunga,support
268,byanze bikunze,sure
362,hejuru,surface
679,gutungurwa,surprise
961,koga,swim
533,indangantego,syllable
608,ikimenyetso,symbol
367,sisitemu,system
472,ameza,table
447,umurizo,tail
105,fata,take
313,vuga,talk
736,muremure,tall
430,wigishe,teach
632,itsinda,team
898,amenyo,teeth
50,bwira,tell
740,ubushyuhe,temperature
476,icumi,ten
962,ijambo,term
369,ikizamini,test
191,kuruta,than
911,murakoze,thank
4,ibyo,that
29,i,the
42,yabo,their
161,bo,them
160,hanyuma,then
152,ngaho,there
166,ibi,these
11,bo,they
757,umubyimba,thick
825,inanutse,thin
170,ikintu,thing
133,tekereza,think
714,gatatu,third
16,iyi,this
289,abo,those
311,nubwo,though
226,yatekereje,thought
380,igihumbi,thousand
53,bitatu,three
128,binyuze,through
983,guta,throw
797,bityo,thus
833,karavati,tie
43,igihe,time
682,gito,tiny
392,ipine,tire
31,kuri,to
276,hamwe,together
343,yabwiwe,told
616,ijwi,tone
148,na,too
253,yafashe,took
942,igikoresho,tool
347,hejuru,top
943,yose hamwe,total
628,gukoraho,touch
480,yerekeza,toward
403,umujyi,town
852,inzira,track
600,ubucuruzi,trade
558,gari ya moshi,train
473,ingendo,travel
228,igiti,tree
826,inyabutatu,triangle
602,urugendo,trip
611,ingorane,trouble
976,ikamyo,truck
455,ukuri,true
89,gerageza,try
819,itiyo,tube
139,hindukira,turn
695,makumyabiri,twenty
173,bibiri,two
729,ubwoko,type
125,munsi,under
401,igice,unit
294,kugeza,until
154,hejuru,up
90,twe,us
155,koresha,use
304,bisanzwe,usual
946,ikibaya,valley
743,agaciro,value
522,biratandukanye,vary
468,inshinga,verb
127,cyane,very
749,reba,view
703,umudugudu,village
583,gusura,visit
500,ijwi,voice
479,inyajwi,vowel
413,rindira,wait
282,genda,walk
564,urukuta,wall
54,bakeneye,want
481,intambara,war
439,gishyushye,warm
6,yari,was
807,gukaraba,wash
269,reba,watch
190,amazi,water
538,umuraba,wave
157,inzira,way
35,twe,we
637,kwambara,wear
589,ikirere,weather
431,icyumweru,week
525,uburemere,weight
56,neza,well
82,yagiye,went
39,bari,were
463,iburengerazuba,west
22,iki,what
356,ipine,wheel
153,ryari,when
110,he,where
710,niba,whether
40,bikaba,which
243,mugihe,while
278,cyera,white
194,ninde,who
348,yose,whole
776,ninde,whose
78,kubera iki,why
548,ubugari,wide
964,umugore,wife
574,ishyamba,wild
45,ubushake,will
937,gutsinda,win
330,umuyaga,wind
555,idirishya,window
804,ibaba,wing
571,imbeho,winter
633,wire,wire
567,icyifuzo,wish
10,hamwe na,with
799,umugore,woman
906,abagore,women
378,igitangaza,wonder
752,ntabwo,won’t
272,inkwi,wood
20,ijambo,word
103,akazi,work
95,isi,world
163,ese,would
162,andika,write
573,byanditswe,written
989,nabi,wrong
614,yanditse,wrote
622,yard,yard
117,umwaka,year
839,umuhondo,yellow
394,yego,yes
537,nyamara,yet
26,wowe,you
305,muto,young
156,yawe,your
