number,uzbek,english
704,uchrashmoq,meet
601,kuy,melody
80,erkaklar,men
709,metall,metal
672,usul,method
656,o’rta,middle
233,qudrat,might
295,milya,mile
670,sut,milk
591,million,million
444,fikr,mind
832,meniki,mine
441,daqiqa,minute
388,kechikmoq,miss
631,mix,mix
769,zamonaviy,modern
987,molekulasi,molecule
660,daqiqa,moment
489,pul,money
590,oy,month
364,oy,moon
176,ko’proq,more
475,ertalab,morning
185,eng,most
94,ona,mother
892,harakat,motion
566,mount,mount
261,tog ’,mountain
606,og’iz,mouth
144,harakat,move
141,ko’p,much
352,ko’paytirib,multiply
288,musiqa,music
72,kerak,must
187,mening,my
126,ism,name
668,millat,nation
748,tabiiy,natural
889,tabiat,nature
96,yaqin,near
802,zarur,necessary
900,bo’yin,neck
86,kerak,need
806,qo’shni,neighbor
223,hech qachon,never
102,yangi,new
277,keyingisi,next
246,tun,night
975,to’qqiz,nine
184,yo’q,no
977,shovqin,noise
767,peshin,noon
947,na,nor
250,shimol,north
996,burun,nose
412,eslatma,note
353,hech nima,nothing
499,bildirishnoma,notice
418,ot,noun
199,hozir,now
182,soni,number
328,raqam,numeral
360,ob’ekt,object
664,kuzatish,observe
886,sodir,occur
438,okean,ocean
30,ning,of
85,off,off
873,taklif qilish,offer
603,idora,office
292,ko’pincha,often
435,ah,oh
626,neft,oil
147,qari,old
8,bo’yicha,on
263,bir marta,once
14,bir,one
114,faqat,only
274,ochiq,open
760,faoliyat,operate
963,qarama-qarshi,opposite
27,yoki,or
338,buyurtma,order
673,organ,organ
865,original,original
38,boshqa,other
124,bizning,our
37,tashqarida,out
188,ustida,over
203,xususiy,own
901,kislorod,oxygen
204,bet,page
398,bo’yoq,paint
530,juft,pair
285,qog’oz,paper
713,paragraf,paragraph
853,ota-,parent
104,qism,part
959,alohida,particular
774,partiya,party
345,o’tishi,pass
584,o’tgan,past
893,yo’l,path
484,namuna,pattern
674,to’lov,pay
186,odamlar,people
510,ehtimol,perhaps
782,davr,period
488,shaxs,person
734,ifoda,phrase
511,termoq,pick
88,surat,picture
342,qism,piece
930,pitch,pitch
107,joy,place
302,tekis,plain
414,reja,plan
375,samolyot,plane
827,sayyora,planet
214,o’simlik,plant
58,o’yin,play
765,iltimos,please
997,ko’plik,plural
813,she’r,poem
93,nuqtasi,point
686,kambag’al,poor
880,aholining,populate
65,port,port
320,tug’dirmaydi,pose
546,vaziyat,position
374,mumkin,possible
860,post,post
423,funt,pound
402,kuch,power
761,amaliyot,practice
994,tayyorlash,prepare
542,hozirgi,present
244,matbuot,press
904,shirin,pretty
842,chop etish,print
503,ehtimolli,probable
341,muammo,problem
759,jarayon,process
448,mahsulot,produce
325,mahsulot,product
871,muvofiq,proper
985,mulk,property
766,himoya,protect
560,isbotlash,prove
795,ta’minlash,provide
497,torting,pull
711,durang,push
61,qo’yish,put
974,kvarta,quart
331,savol,question
436,tez,quick
680,sokin,quiet
653,mutlaqo,quite
897,bo’linma,quotient
554,irq,race
784,radio,radio
793,rels,rail
494,yomg’ir,rain
707,oshirish,raise
382,yugurib,ran
890,oralig’i,range
809,afzal,rather
466,erishish,reach
63,o’qish,read
306,tayyor,ready
247,haqiqiy,real
515,sabab,reason
604,qabul,receive
370,rekord,record
309,qizil,red
520,mintaqa,region
459,eslayman,remember
991,takrorlash,repeat
884,javob,reply
517,vakili,represent
992,talab,require
420,dam,rest
722,natija,result
756,boy,rich
507,haydash,ride
145,o’ng,right
778,ring,ring
623,oshirish,rise
296,daryo,river
492,yo’l,road
337,qoya,rock
739,roll,roll
256,xona,room
705,ildiz,root
935,arqon,rope
840,atirgul,rose
115,dumaloq,round
605,qator,row
818,ishqalamoq,rub
495,qoida,rule
241,run,run
725,zararsiz,safe
47,dedi,said
549,suzmoq,sail
995,tuz,salt
149,bir xil,same
737,qum,sand
572,signallarini,sat
648,saqlash,save
235,arra,saw
134,aytish,say
661,miqyosli,scale
209,maktab,school
254,fan,science
926,xol,score
237,dengiz,sea
837,qidirish,search
907,mavsum,season
949,o’rin,seat
300,ikkinchi,second
676,bo’lim,section
171,qarang,see
615,urug ’,seed
275,ko’rinadi,seem
874,segment,segment
988,tanlang,select
98,o’zini,self
954,sotish,sell
838,yuborish,send
750,sezgi,sense
640,yuborilgan,sent
131,hukm,sentence
762,alohida,separate
490,xizmat,serve
52,to’plami,set
523,hal,settle
712,yetti,seven
478,bir necha,several
715,keladir,shall
385,shakli,shape
866,ulushi,share
803,o’tkir,sharp
150,u,she
856,varaq,sheet
899,chig’anoq,shell
984,nur,shine
334,kema,ship
965,tufli,shoe
981,do’kon,shop
854,qirg’oq,shore
327,qisqa,short
205,kerak,should
966,elka,shoulder
612,baqirmoq qichqirmoq,shout
119,ko’rsatish,show
197,taraf,side
284,ko’z,sight
582,belgi,sign
735,shovqinsiz,silent
910,kumush,silver
923,o’xshash,similar
477,oddiy,simple
346,chunki,since
469,kuylashadi,sing
692,yakka,single
919,singil,sister
553,o’tirib,sit
471,olti,six
521,hajmi,size
905,mahorat,skill
696,teri,skin
568,osmon,sky
875,qul,slave
559,uyqu,sleep
936,siljitmoq,slip
485,sekin,slow
59,kichkina,small
945,hid,smell
697,tabassum,smile
391,qor,snow
165,shunday,so
585,yumshoq,soft
738,yer,soil
758,askar,soldier
908,qaror,solution
708,hal,solve
23,bir qancha,some
658,o’g’il,son
322,song,song
315,yaqinda,soon
183,ovozli,sound
340,janub,south
450,maydon,space
524,gapirish,speak
443,maxsus,special
888,nutq,speech
671,tezlik,speed
67,sehr,spell
861,nafaqa,spend
785,gapirdi,spoke
844,spot,spot
967,tarqalishi,spread
663,bahor,spring
514,kvadrat,square
202,turmoq,stand
416,yulduz,star
232,start,start
220,davlat,state
867,bekat,station
355,qolish,stay
376,foyda,stead
891,bug ’,steam
920,po’lat,steel
460,qadam,step
693,tayoq,stick
212,hali,still
681,tosh,stone
427,turib,stood
262,stop,stop
556,do’kon,store
234,hikoya,story
666,streyt,straight
598,g’alati,strange
822,oqim,stream
350,ko’cha,street
982,cho’zmoq,stretch
814,string,string
442,kuchli,strong
772,talaba,student
211,o’rganish,study
519,mavzu,subject
857,modda,substance
957,ayirmoq,subtract
955,muvaffaqiyat,success
75,bunday,such
512,kutilmagan,sudden
914,qo’shimchasi,suffix
902,shakar,sugar
618,taklif,suggest
846,kostyum,suit
557,yoz,summer
217,quyosh,sun
775,ta’minlash,supply
887,qo’llab-quvvatlash,support
268,ishonch,sure
362,yuza,surface
679,surprise,surprise
961,suzmoq,swim
533,bo’g’in,syllable
608,ramz,symbol
367,tizim,system
472,stol,table
447,dum,tail
105,olmoq,take
313,suhbat,talk
736,baland,tall
430,o’rgatish,teach
632,komanda,team
898,teeth,teeth
50,aytib,tell
740,harorat,temperature
476,o’n,ten
962,muddat,term
369,sinov,test
191,nisbatan,than
911,rahmat,thank
4,ekan,that
29,the,the
42,ularning,their
161,ularga,them
160,so’ng,then
152,u yerda,there
166,bular,these
11,ular,they
757,qalin,thick
825,ingichka,thin
170,narsa,thing
133,deb o’ylayman,think
714,uchinchi,third
16,bu,this
289,ular,those
311,garchi,though
226,fikr,thought
380,ming,thousand
53,uch,three
128,ichidan,through
983,otish,throw
797,shunday,thus
833,galstuk,tie
43,vaqt,time
682,kichkina,tiny
392,shina,tire
31,uchun,to
276,birga,together
343,aytdi,told
616,ohang,tone
148,ham,too
253,oldi,took
942,asbob,tool
347,eng yaxshi,top
943,jami,total
628,tegish,touch
480,tomonga,toward
403,shahar,town
852,trek,track
600,savdo,trade
558,poezd,train
473,sayohat,travel
228,daraxt,tree
826,uchburchak,triangle
602,sayohat,trip
611,tashvish,trouble
976,yuk mashinasi,truck
455,haqiqiy,true
89,urinish,try
819,trubka,tube
139,burilish,turn
695,yigirma,twenty
173,ikki,two
729,shrift,type
125,ostida,under
401,birlik,unit
294,gacha,until
154,up,up
90,bizga,us
155,foydalanish,use
304,oddiy,usual
946,vodiy,valley
743,qiymati,value
522,farq,vary
468,fe’l,verb
127,juda,very
749,ko’rinish,view
703,qishloq,village
583,tashrif,visit
500,ovoz,voice
479,unli tovush,vowel
413,kutish,wait
282,yurish,walk
564,devor,wall
54,istaymiz,want
481,urush,war
439,iliq,warm
6,edi,was
807,yuvish,wash
269,tomosha,watch
190,suv,water
538,to’lqin,wave
157,yo’l,way
35,bizlar,we
637,kiyish,wear
589,ob-havo,weather
431,xafta,week
525,vazn,weight
56,yaxshi,well
82,ketdi,went
39,edi,were
463,g’arb,west
22,nima,what
356,g’ildirak,wheel
153,qachon,when
110,qayerda,where
710,yoki,whether
40,qaysi,which
243,paytda,while
278,oq rang,white
194,kim,who
348,butun,whole
776,kimning,whose
78,nima uchun,why
548,keng,wide
964,rafiqa,wife
574,yovvoyi,wild
45,bo’ladi,will
937,win,win
330,shamol,wind
555,deraza,window
804,qanot,wing
571,qish,winter
633,sim,wire
567,iltimos,wish
10,bilan,with
799,ayol,woman
906,ayollar,women
378,hayron,wonder
752,yo’q,won’t
272,o’tin,wood
20,so’z,word
103,ish,work
95,dunyo,world
163,bulardi,would
162,yozish,write
573,yozma,written
989,noto’g’ri,wrong
614,yozgan,wrote
622,yard,yard
117,yil,year
839,sariq,yellow
394,ha,yes
537,hali,yet
26,siz,you
305,yosh,young
156,sening,your
