number,scots_gaelic,english
405,sònraichte,certain
753,cathraiche,chair
979,cothrom,chance
81,atharrachadh,change
779,caractar,character
870,cosgais,charge
952,chart,chart
383,sùil,check
881,isean,chick
829,ceann-feadhna,chief
665,pàiste,child
279,clann,children
641,a thaghadh,choose
862,chord,chord
529,cearcall,circle
227,bhaile,city
999,tagradh,claim
329,clas,class
619,glan,clean
446,soilleir,clear
683,dìreadh,climb
831,gleoc,clock
245,dùin,close
597,aodach,clothe
678,neul,cloud
732,costa,coast
931,còta,coat
498,fuar,cold
647,a ’cruinneachadh,collect
830,choloinidh,colony
270,dath,color
986,colbh,column
180,tighinn,come
372,cumanta,common
956,companaidh,company
812,coimeas a dhèanamh eadar,compare
333,crìochnaichte,complete
940,staid,condition
859,ceangal,connect
728,beachdaichidh,consider
667,chonnraig,consonant
428,tha,contain
1000,thìr,continent
950,leantainn air adhart,continue
649,smachd,control
719,còcaire,cook
684,tarraingeach,cool
733,leth-bhreac,copy
811,arbhair,corn
773,oisean,corner
421,ceart,correct
634,cosgais,cost
971,cotan,cotton
178,b ’urrainn,could
513,a ’cunntadh,count
206,dùthaich,country
354,chùrsa,course
215,còmhdach,cover
579,bhò,cow
698,crease,crease
805,chruthachadh,create
768,bhàrr,crop
229,tarsainn,cross
810,sluagh,crowd
409,glaodh,cry
847,#namn?,current
267,gearradh,cut
868,athair,dad
544,dannsa,dance
754,cunnart,danger
410,dorcha,dark
177,latha,day
843,marbh,dead
960,mòran,deal
882,ghràdhach,dear
903,bhàis,death
361,co-dhùnadh,decide
650,deicheach,decimal
363,domhainn,deep
879,ceum,degree
816,an crochadh,depend
718,a ’mìneachadh,describe
845,fhàsach,desert
685,dealbhadh,design
973,dearbhadh,determine
437,leasachadh,develop
669,faclair,dictionary
181,rinn,did
609,bàsaich,die
138,eadar-dhealaichte,differ
763,doirbh,difficult
319,dìreach,direct
921,a ’bruidhinn,discuss
395,fhaide air falbh,distant
532,divide,divide
855,sgaradh,division
41,a dhèanamh,do
764,dotair,doctor
51,a ’dèanamh,does
317,chù,dog
921,dolair,dollar
424,deiseil,done
242,nach eil,don’t
324,doras,door
948,dùbailte,double
196,sìos,down
238,a ’tarraing,draw
938,bruadar,dream
677,èideadh,dress
885,deoch,drink
426,draibh,drive
539,leig,drop
377,tioram,dry
876,tunnag,duck
456,rè,during
49,gach,each
651,chluais,ear
461,tràth,early
99,talamh,earth
284,faochadh,ease
397,ear,east
255,ithe,eat
581,oir,edge
789,buaidh,effect
506,ugh,egg
702,ochd,eight
721,an dara cuid,either
790,electric,electric
770,eileamaid,element
652,eile,else
60,deireadh,end
883,nàmhaid,enemy
501,lùth,energy
545,einnsean,engine
301,gu leòr,enough
834,#namn?,enter
639,co-ionnan,equal
386,chothromachadh,equate
915,gu h-àraidh,especially
69,eadhon,even
939,feasgar,evening
958,tachartas,event
308,riamh,ever
120,a h-uile,every
607,dearbh,exact
283,mar eisimpleir,example
613,ach a-mhàin,except
747,excite,excite
563,eacarsaich,exercise
791,an dùil,expect
925,eòlas,experience
688,deuchainn,experiment
222,shùil,eye
271,aghaidh,face
449,gu dearbh,fact
645,cothromach,fair
407,tuit,fall
318,teaghlach,family
820,ainmeil,famous
236,fada,far
230,tuathanas,farm
467,luath,fast
863,reamhar,fat
100,athair,father
858,taobhadh,favor
823,eagal,fear
941,feed,feed
312,a ’faireachdainn,feel
298,troighean,feet
642,thuit,fell
534,a ’faireachdainn,felt
249,beagan,few
419,achadh,field
916,fhige,fig
744,strì,fight
415,figear,figure
396,lìonadh,fill
432,dheireannaich,final
200,lorg,find
404,càin,fine
741,mheur,finger
593,crìochnaicheadh,finish
339,teine,fire
193,a’ chiad,first
260,èisg,fish
643,a ’freagairt,fit
458,còig,five
694,còmhnard,flat
720,làr,floor
644,sruthadh,flow
596,flùr,flower
406,itealaich,fly
76,a ’leantainn,follow
216,biadh,food
366,bonn,foot
7,airson,for
358,feachd,force
552,coille,forest
130,foirm,form
922,air adhart,forward
207,lorg,found
218,ceithir,four
551,bloigh,fraction
440,saor an-asgaidh,free
836,ùr,fresh
257,caraid,friend
17,bho,from
429,air beulaibh,front
755,mheasan,fruit
357,làn,full
586,spòrsail,fun
384,geama,game
638,gàrradh,garden
588,gas,gas
980,a ’cruinneachadh,gather
433,thug,gave
526,fharsaingeachd,general
798,socair,gentle
106,fhaighinn,get
303,nighean,girl
123,thoir,give
864,glad,glad
577,glainne,glass
179,dol,go
373,òir,gold
599,gone,gone
121,math,good
281,fhuair,got
496,ùghdarrasach,govern
535,grand,grand
578,feur,grass
990,glas,gray
132,sgoinneil,great
434,uaine,green
629,dh’fhàs,grew
464,talamh,ground
286,buidheann,group
210,fàs,grow
801,tomhas,guess
924,stiùireadh,guide
840,gunna,gun
28,bha,had
717,falt,hair
336,leth,half
64,làimh,hand
332,tachairt,happen
594,sona,happy
231,cruaidh,hard
174,tha,has
953,ad,hat
15,tha,have
5,e,he
201,ceann,head
265,eisdibh,hear
451,chuala,heard
540,chridhe,heart
390,teas,heat
543,trom,heavy
716,glèidhte,held
135,cuideachadh,help
167,aice,her
71,an seo,here
74,àrd,high
724,cnoc,hill
172,ris,him
3,aige,his
788,eachdraidh,history
771,bhuail,hit
462,chumail,hold
699,toll,hole
62,dachaigh,home
595,dòchas,hope
266,each,horse
19,teth,hot
387,teth,hot
453,uair,hour
87,taigh,house
46,ciamar,how
918,mòr,huge
787,daonna,human
457,ceud,hundred
502,sealg,hunt
828,greasadh,hurry
2,tha mi a ’,i
527,deighe,ice
259,beachd,idea
44,ma,if
794,smaoineachadh,imagine
34,ann an,in
351,òirleach,inch
531,gabhail a-steach,include
783,a ’sealltainn,indicate
742,gnìomhachas,industry
780,insect,insect
877,grad-,instant
575,ionnstramaid,instrument
465,ùidh,interest
970,fheadhainn,invent
691,iarann,iron
24,tha,is
365,eilean,island
25,e,it
580,obair,job
617,còmhla ri,join
570,aoibhneas,joy
700,leumadh,jump
129,dìreach,just
221,a chumail,keep
576,cumail,kept
690,prìomh,key
657,mharbhadh,kill
84,seòrsa,kind
349,righ,king
344,eòlach air,knew
189,fios,know
621,lady,lady
659,loch,lake
70,fearainn,land
399,cànan,language
66,mòr,large
224,mu dheireadh,last
240,anmoch,late
379,gàire,laugh
730,lagh,law
482,luidh,lay
408,stiùireadh,lead
213,ionnsachadh,learn
610,co-dhiù,least
321,fhàgail,leave
929,stiùireadh,led
239,clì,left
562,chas,leg
516,a dh’fhaid,length
474,nas lugha,less
225,leig,let
293,litir,letter
978,ìre,level
745,laighe,lie
248,beatha,life
848,lioft,lift
83,sgòthan,light
164,mar,like
137,loidhne,line
894,leaghan,liquid
310,liosta,list
470,èisteachd,listen
113,beag,little
109,fuireach,live
777,lorg,locate
895,log,log
561,aonar,lone
168,a dh’fhaid,long
175,a ’coimhead,look
635,chaill,lost
687,tòrr,lot
662,ard,loud
487,gràdh,love
136,ìosal,low
411,inneal,machine
108,a dhèanamh,made
909,tàladh,magnet
273,prìomh,main
835,major,major
169,a dhèanamh,make
116,fear,man
159,iomadh,many
493,map,map
291,chomharra,mark
878,mhargaidh,market
932,mass,mass
851,mhaighstir,master
913,matches,match
550,stuth,material
528,chùis,matter
195,a’ chèitean,may
122,dhomh,me
142,a ’ciallachadh,mean
896,a ’ciallachadh,meant
323,thomhas,measure
817,feòil,meat
704,a ’coinneachadh,meet
601,fonn,melody
80,fir,men
709,meatailt,metal
672,dòigh,method
656,meadhan,middle
233,fhaodainn,might
295,mìle,mile
670,bainne,milk
591,millean,million
444,inntinn,mind
832,mhèinn,mine
441,mionaid,minute
388,miss,miss
631,mix,mix
769,latha an-diugh,modern
987,moileciuil sa chruinne-,molecule
660,#namn?,moment
489,airgid,money
590,mìos,month
364,ghealach,moon
176,barrachd,more
475,madainn,morning
185,chuid as motha de,most
94,màthair,mother
892,gluasad,motion
566,sliabh,mount
261,bheinn,mountain
606,bheul,mouth
144,gluasad,move
141,mòr,much
352,iomadaich,multiply
288,ceòl,music
72,feumaidh,must
187,mo,my
126,ainm,name
668,nàisean,nation
748,nàdarra,natural
889,nàdar,nature
96,faisg air,near
802,riatanach,necessary
900,amhaich,neck
86,feumaidh,need
806,nàbaidh,neighbor
223,riamh,never
102,ùr,new
277,ath,next
246,oidhche,night
975,naoi,nine
184,chan eil,no
977,fuaim,noise
767,meadhan-latha,noon
947,no,nor
250,tuath,north
996,sròn,nose
412,note,note
353,dad,nothing
499,fios,notice
418,ainmear,noun
199,a-nis,now
182,àireamh,number
328,àireamh,numeral
360,nì,object
664,sùil,observe
886,tachairt,occur
438,ocean,ocean
30,de,of
85,dheth,off
873,tairgse,offer
603,oifis,office
292,gu tric,often
435,oh,oh
626,ola,oil
147,seann,old
8,air,on
263,aon uair,once
14,aon,one
114,a-mhàin,only
274,fosgailte,open
760,obrachadh,operate
963,mu choinneamh,opposite
27,no,or
338,òrdugh,order
673,organ,organ
865,thùsail,original
38,eile,other
124,againn,our
37,#namn?,out
188,thairis,over
203,fhèin,own
901,ocsaidean,oxygen
204,duilleag,page
398,a ’peantadh,paint
530,paidhir,pair
285,pàipear,paper
713,paragraf,paragraph
853,pàrant,parent
104,pàirt,part
959,sònraichte,particular
774,pàrtaidh,party
345,seachad,pass
584,dh’fhalbh,past
893,frith-rathad,path
484,pàtran,pattern
674,phàigheadh,pay
186,daoine,people
510,’s dòcha,perhaps
782,ùine,period
488,neach,person
734,abairt,phrase
511,tagh,pick
88,dealbh,picture
342,pìos,piece
930,phàirce,pitch
107,àite,place
302,plain,plain
414,plana,plan
375,plèana,plane
827,phlanaid,planet
214,lus,plant
58,a ’cluich,play
765,mas e do thoil e,please
997,iomarra,plural
813,dàn,poem
93,phuing,point
686,bochd,poor
880,dh’fhuireach ann,populate
65,port,port
320,nan seasamh,pose
546,suidheachadh,position
374,ghabhas,possible
860,dreuchd,post
423,punnd,pound
402,cumhachd,power
761,cleachdadh,practice
994,ullachadh,prepare
542,#namn?,present
244,naidheachd,press
904,breagha,pretty
842,priont,print
503,coltaiche,probable
341,trioblaid,problem
759,pròiseas,process
448,a ’dèanamh,produce
325,bathar,product
871,ceart,proper
985,seilbh,property
766,dhìon,protect
560,dearbhadh,prove
795,a ’toirt,provide
497,tarraingeadh,pull
711,putaidh,push
61,chuir,put
974,quart,quart
331,cheist,question
436,sgiobalta,quick
680,sàmhach,quiet
653,gu math,quite
897,quotient,quotient
554,rèis,race
784,rèidio,radio
793,rèile,rail
494,uisge,rain
707,thogail,raise
382,a ’ruith,ran
890,raon,range
809,àite,rather
466,ruigsinn,reach
63,leughadh,read
306,deiseil,ready
247,fìor,real
515,adhbhar,reason
604,a ’faighinn,receive
370,chlàr,record
309,dearg,red
520,sgìre,region
459,cuimhnich,remember
991,atharrais a dhèanamh air,repeat
884,freagairt,reply
517,riochdachadh,represent
992,feum,require
420,chòrr,rest
722,thoradh air,result
756,saidhbhir,rich
507,ride,ride
145,deas,right
778,fàinne,ring
623,dh’èireas,rise
296,aibhne,river
492,rathad,road
337,creag,rock
739,rolla,roll
256,seòmar,room
705,freumh,root
935,sìoman,rope
840,dh’èirich,rose
115,timcheall,round
605,sreath,row
818,suathadh,rub
495,riaghailt,rule
241,ruith,run
725,sàbhailte,safe
47,thuirt,said
549,seòl,sail
995,salainn,salt
149,aon,same
737,gainmheach,sand
572,sat,sat
648,sàbhail,save
235,sàibh,saw
134,ràdh,say
661,sgèile,scale
209,sgoil,school
254,saidheans,science
926,sgòr,score
237,mhuir,sea
837,rannsachadh,search
907,ràith,season
949,suidheachan,seat
300,an dàrna,second
676,earrann,section
171,fhaicinn,see
615,sìol,seed
275,a rèir coltais,seem
874,earrann,segment
988,tagh,select
98,fèin,self
954,reic,sell
838,cuir,send
750,mothachadh,sense
640,chuir,sent
131,seantans,sentence
762,air leth,separate
490,a ’frithealadh,serve
52,seata,set
523,dh’fhuireach,settle
712,seachd,seven
478,grunn,several
715,hithidh,shall
385,cumadh,shape
866,sgaoil,share
803,biorach,sharp
150,i,she
856,duilleag,sheet
899,sligean,shell
984,shine,shine
334,soitheach,ship
965,bròg,shoe
981,bhùth,shop
854,chladach,shore
327,goirid,short
205,bu chòir,should
966,ghualainn,shoulder
612,iolaich,shout
119,seall,show
197,taobh,side
284,sùilibh,sight
582,soidhne,sign
735,sàmhach,silent
910,airgid,silver
923,coltach,similar
477,sìmplidh,simple
346,bho,since
469,seinn,sing
692,singilte,single
919,piuthar,sister
553,suidhe,sit
471,sia,six
521,meud,size
905,sgil,skill
696,skin,skin
568,sky,sky
875,tràillean,slave
559,cadal,sleep
936,shleamhnach,slip
485,slaodach,slow
59,beag,small
945,fàileadh,smell
697,gàire,smile
391,sneachd,snow
165,mar sin,so
585,bog,soft
738,ùir,soil
758,saighdear,soldier
908,fuasgladh,solution
708,fuasgladh,solve
23,cuid,some
658,mac,son
322,òran,song
315,a dh’aithghearr,soon
183,fuaim,sound
340,deas,south
450,space,space
524,bruidhinn,speak
443,sònraichte,special
888,òraid,speech
671,luaths,speed
67,spell,spell
861,a ’cur seachad,spend
785,bhruidhinn,spoke
844,àite,spot
967,sgaoileadh,spread
663,as t-earrach,spring
514,ceàrnagach,square
202,seasamh,stand
416,star,star
232,toiseach,start
220,stàite,state
867,stèisean,station
355,fuireach,stay
376,àit,stead
891,#namn?,steam
920,stàilinn,steel
460,cheum,step
693,maide,stick
212,fhathast,still
681,cloiche,stone
427,sheas,stood
262,stad,stop
556,stòr,store
234,sgeulachd,story
666,dìreach,straight
598,neònach,strange
822,#namn?,stream
350,#namn?,street
982,pìos,stretch
814,string,string
442,làidir,strong
772,oileanach,student
211,sgrùdadh,study
519,cuspair,subject
857,mì-,substance
957,thoir air falbh,subtract
955,soirbheachadh,success
75,leithid,such
512,gu h-obann,sudden
914,iar-leasachan,suffix
902,siùcair,sugar
618,mholadh,suggest
846,deise,suit
557,as t-samhradh,summer
217,ghrian,sun
775,solar,supply
887,taic,support
268,cinnteach,sure
362,uachdar,surface
679,iongnadh,surprise
961,snàmh,swim
533,lide,syllable
608,samhla,symbol
367,siostam,system
472,clàr,table
447,earball,tail
105,ghabhail,take
313,deasbaireachd,talk
736,a dh’àirde,tall
430,teagasg,teach
632,sgioba,team
898,fiaclan,teeth
50,innse,tell
740,teòthachd,temperature
476,deich,ten
962,ùine,term
369,deuchainn,test
191,na,than
911,taing a thoirt,thank
4,gu bheil,that
29,a ’,the
42,aca,their
161,orra,them
160,an uair sin,then
152,an sin,there
166,sin,these
11,iad,they
757,tiugh,thick
825,tana,thin
170,rud,thing
133,smaoineachadh,think
714,an treas,third
16,seo,this
289,fheadhainn,those
311,ged,though
226,smaoineachadh,thought
380,mìle,thousand
53,trì,three
128,tro,through
983,thilgeil,throw
797,mar sin a ’,thus
833,taidh,tie
43,ùine,time
682,beag bìodach,tiny
392,taidheir,tire
31,gu,to
276,còmhla,together
343,dh’innis,told
616,tòna,tone
148,ro,too
253,ghabh,took
942,inneal,tool
347,mullach,top
943,gu h-iomlan,total
628,beantuinn,touch
480,a dh’ionnsaigh,toward
403,bhaile,town
852,àireamh,track
600,malairt,trade
558,trèana,train
473,siubhal,travel
228,chraobh,tree
826,triantan,triangle
602,turas,trip
611,trioblaid,trouble
976,làraidh,truck
455,fìor,true
89,feuchainn,try
819,tube,tube
139,tionndadh,turn
695,fichead,twenty
173,dhà,two
729,seòrsa,type
125,fo,under
401,aonad,unit
294,gus an,until
154,suas,up
90,dhuinn,us
155,cleachdadh,use
304,àbhaisteach,usual
946,gleann,valley
743,luach,value
522,eadar-dhealaichte,vary
468,gnìomhair,verb
127,fìor,very
749,sealladh,view
703,bhaile,village
583,turas,visit
500,guth,voice
479,fuaimreige,vowel
413,feitheamh,wait
282,coiseachd,walk
564,bhalla,wall
54,ag iarraidh,want
481,cogadh,war
439,blàth,warm
6,bha,was
807,nighe,wash
269,a ’coimhead,watch
190,uisge,water
538,tonn,wave
157,slighe,way
35,tha sinn a ’,we
637,a ’cur orra,wear
589,tuairmse na h-,weather
431,seachdain,week
525,cuideam,weight
56,gu math,well
82,chaidh,went
39,bha,were
463,iar,west
22,dè,what
356,cuibhle,wheel
153,cuin,when
110,far a bheil,where
710,co-dhiù,whether
40,a tha a ’,which
243,fhad ’sa,while
278,geal,white
194,a,who
348,gu h-iomlan,whole
776,aig a bheil,whose
78,carson,why
548,farsaing,wide
964,bhean,wife
574,fiadhaich,wild
45,bidh,will
937,chom-,win
330,àirde na gaoithe,wind
555,uinneig,window
804,sgiath,wing
571,geamhradh,winter
633,uèir,wire
567,airson,wish
10,le,with
799,boireannach,woman
906,boireannaich,women
378,saoil,wonder
752,cha bhi,won’t
272,fiodh,wood
20,fhacal,word
103,obair,work
95,t-saoghail,world
163,b’àill,would
162,sgrìobhadh,write
573,sgrìobhte,written
989,ceàrr,wrong
614,sgrìobh,wrote
622,gàrradh,yard
117,bliadhna,year
839,buidhe,yellow
394,tha,yes
537,gidheadh,yet
26,thu,you
305,òga,young
156,agad,your
