number,icelandic,english
434,grænt,green
629,óx,grew
464,jörð,ground
286,hópur,group
210,vaxa,grow
801,giska,guess
924,leiðbeina,guide
840,byssu,gun
28,hafði,had
717,hárið,hair
336,helmingur,half
64,hönd,hand
332,gerast,happen
594,hamingjusamur,happy
231,harður,hard
174,hefur,has
953,hatt,hat
15,hafa,have
5,hann,he
201,höfuð,head
265,heyra,hear
451,heyrði,heard
540,hjarta,heart
390,hita,heat
543,þungur,heavy
716,held,held
135,hjálpa,help
167,henni,her
71,hér,here
74,hár,high
724,hæð,hill
172,hann,him
3,hans,his
788,saga,history
771,högg,hit
462,halda,hold
699,holu,hole
62,heim,home
595,vona,hope
266,hestur,horse
19,heitt,hot
387,heitt,hot
453,klukkustund,hour
87,hús,house
46,hvernig,how
918,gríðarstór,huge
787,manna,human
457,hundrað,hundred
502,veiði,hunt
828,drífa,hurry
2,ég,i
527,ís,ice
259,hugmynd,idea
44,ef,if
794,ímynda,imagine
34,í,in
351,tomma,inch
531,meðal annars,include
783,benda,indicate
742,iðnaður,industry
780,skordýrum,insect
877,augnablik,instant
575,tæki,instrument
465,vextir,interest
970,finna,invent
691,járn,iron
24,er,is
365,eyjan,island
25,það,it
580,starf,job
617,ganga,join
570,gleði,joy
700,hoppa,jump
129,bara,just
221,halda,keep
576,haldið,kept
690,lykill,key
657,drepa,kill
84,góður,kind
349,konungur,king
344,vissi,knew
189,vita,know
621,konan,lady
659,lake,lake
70,landið,land
399,tungumál,language
66,stór,large
224,síðasta,last
240,seint,late
379,hlæja,laugh
730,lög,law
482,lá,lay
408,leiða,lead
213,læra,learn
610,amk,least
321,fara,leave
929,leiddi,led
239,vinstri,left
562,fótur,leg
516,lengd,length
474,minna,less
225,láta,let
293,bréf,letter
978,stigi,level
745,ljúga,lie
248,lífið,life
848,lyfta,lift
83,ljós,light
164,eins,like
137,lína,line
894,fljótandi,liquid
310,listi,list
470,hlusta,listen
113,lítið,little
109,lifa,live
777,finna,locate
895,log,log
561,lone,lone
168,langur,long
175,leita,look
635,missti,lost
687,mikið,lot
662,hávær,loud
487,ást,love
136,lágt,low
411,vél,machine
108,gert,made
909,segull,magnet
273,helstu,main
835,meiriháttar,major
169,gera,make
116,maður,man
159,margir,many
493,kort,map
291,merkja,mark
878,markaður,market
932,massi,mass
851,húsbóndi,master
913,leikurinn,match
550,efni,material
528,mál,matter
195,getur,may
122,mér,me
142,meina,mean
896,þýddi,meant
323,mæla,measure
817,kjöt,meat
704,mæta,meet
601,lag,melody
80,menn,men
709,málmur,metal
672,aðferð,method
656,miðja,middle
233,gæti,might
295,kílómetri,mile
670,mjólk,milk
591,milljónir,million
444,hugur,mind
832,minn,mine
441,mínútu,minute
388,sakna,miss
631,blanda,mix
769,nútíma,modern
987,sameind,molecule
660,stund,moment
489,peningar,money
590,mánuði,month
364,tunglið,moon
176,meira,more
475,morgun,morning
185,mest,most
94,móðir,mother
892,hreyfing,motion
566,fjall,mount
261,fjallið,mountain
606,munni,mouth
144,ferðinni,move
141,mikið,much
352,margfalda,multiply
288,tónlist,music
72,verður,must
187,minn,my
126,nafn,name
668,þjóð,nation
748,eðlilegt,natural
889,náttúran,nature
96,nálægt,near
802,nauðsynlegt,necessary
900,háls,neck
86,þarf,need
806,nágranni,neighbor
223,aldrei,never
102,ný,new
277,næsta,next
246,nótt,night
975,níu,nine
184,nei,no
977,hávaði,noise
767,hádegi,noon
947,né,nor
250,norður,north
996,nef,nose
412,minnismiða,note
353,ekkert,nothing
499,tilkynning,notice
418,nafnorð,noun
199,nú,now
182,fjöldi,number
328,talan,numeral
360,hlut,object
664,fylgjast,observe
886,stað,occur
438,haf,ocean
30,af,of
85,burt,off
873,tilboð,offer
603,skrifstofa,office
292,oft,often
435,ó,oh
626,olía,oil
147,gamall,old
8,á,on
263,einu sinni,once
14,einn,one
114,aðeins,only
274,opinn,open
760,starfa,operate
963,fjær,opposite
27,eða,or
338,röð,order
673,orgel,organ
865,upprunalega,original
38,annað,other
124,okkar,our
37,út,out
188,yfir,over
203,eigin,own
901,súrefni,oxygen
204,síðu,page
398,mála,paint
530,par,pair
285,pappír,paper
713,málsgrein,paragraph
853,foreldri,parent
104,hluti,part
959,einkum,particular
774,aðila,party
345,fara,pass
584,fortíð,past
893,slóðin,path
484,mynstur,pattern
674,borga,pay
186,fólk,people
510,kannski,perhaps
782,tímabil,period
488,maður,person
734,setning,phrase
511,velja,pick
88,mynd,picture
342,stykki,piece
930,bik,pitch
107,staður,place
302,látlaus,plain
414,áætlun,plan
375,flugvél,plane
827,reikistjarna,planet
214,planta,plant
58,spila,play
765,vinsamlegast,please
997,fleirtölu,plural
813,kvæði,poem
93,lið,point
686,léleg,poor
880,byggja,populate
65,höfn,port
320,sitja,pose
546,staða,position
374,mögulegt,possible
860,post,post
423,pund,pound
402,máttur,power
761,æfa,practice
994,undirbúa,prepare
542,staðar,present
244,stutt,press
904,nokkuð,pretty
842,prenta,print
503,líklegt,probable
341,vandamál,problem
759,ferli,process
448,framleiða,produce
325,vara,product
871,réttur,proper
985,eign,property
766,vernda,protect
560,sanna,prove
795,veita,provide
497,draga,pull
711,ýta,push
61,setja,put
974,lítri,quart
331,spurning,question
436,fljótur,quick
680,rólegur,quiet
653,alveg,quite
897,stuðullinn,quotient
554,kapp,race
784,útvarp,radio
793,járnbrautum,rail
494,rigning,rain
707,hækka,raise
382,hljóp,ran
890,svið,range
809,fremur,rather
466,ná,reach
63,lesa,read
306,tilbúin,ready
247,alvöru,real
515,ástæða,reason
604,fá,receive
370,met,record
309,rauður,red
520,svæði,region
459,muna,remember
991,endurtaka,repeat
884,svara,reply
517,tákna,represent
992,krefjast,require
420,hvíld,rest
722,niðurstaðan,result
756,ríkur,rich
507,ríða,ride
145,réttur,right
778,hringur,ring
623,rísa,rise
296,áin,river
492,vegum,road
337,rokk,rock
739,rúlla,roll
256,herbergi,room
705,rót,root
935,reipi,rope
840,hækkaði,rose
115,umferð,round
605,róður,row
818,nudda,rub
495,regla,rule
241,hlaupa,run
725,öruggur,safe
47,sagði,said
549,sigla,sail
995,saltið,salt
149,sama,same
737,sandur,sand
572,sat,sat
648,vista,save
235,sá,saw
134,segja,say
661,mælikvarði,scale
209,skóli,school
254,vísindi,science
926,skora,score
237,sjó,sea
837,leita,search
907,árstíð,season
949,sæti,seat
300,annað,second
676,kafla,section
171,sjá,see
615,fræ,seed
275,virðast,seem
874,hluti,segment
988,velja,select
98,sjálf,self
954,selja,sell
838,senda,send
750,vit,sense
640,send,sent
131,setning,sentence
762,aðskilin,separate
490,þjóna,serve
52,sett,set
523,setjast,settle
712,sjö,seven
478,nokkrir,several
715,skal,shall
385,lögun,shape
866,hlut,share
803,skarpur,sharp
150,hún,she
856,blað,sheet
899,skel,shell
984,skína,shine
334,skipið,ship
965,skór,shoe
981,búð,shop
854,fjaran,shore
327,stutt,short
205,ætti,should
966,öxl,shoulder
612,óp,shout
119,sýna,show
197,hlið,side
284,sjón,sight
582,skilti,sign
735,hljóður,silent
910,silfur,silver
923,svipað,similar
477,einfalt,simple
346,síðan,since
469,syngja,sing
692,einn,single
919,systir,sister
553,sitja,sit
471,sex,six
521,stærð,size
905,kunnátta,skill
696,húð,skin
568,himinn,sky
875,þræll,slave
559,sofa,sleep
936,miði,slip
485,hægur,slow
59,lítil,small
945,lykt,smell
697,bros,smile
391,snjór,snow
165,svo,so
585,mjúkur,soft
738,jarðvegi,soil
758,hermaður,soldier
908,lausn,solution
708,leysa,solve
23,sumir,some
658,sonur,son
322,lag,song
315,fljótlega,soon
183,hljóð,sound
340,suður,south
450,rúm,space
524,tala,speak
443,sérstakt,special
888,ræðu,speech
671,hraða,speed
67,stafa,spell
861,eyða,spend
785,talaði,spoke
844,blettur,spot
967,breiða,spread
663,vor,spring
514,veldi,square
202,standa,stand
416,stjörnu,star
232,byrja,start
220,ástand,state
867,stöð,station
355,halda,stay
376,stead,stead
891,gufu,steam
920,stál,steel
460,skref,step
693,stafur,stick
212,enn,still
681,steinn,stone
427,stóð,stood
262,hætta,stop
556,verslun,store
234,saga,story
666,beint,straight
598,undarlegt,strange
822,straum,stream
350,götu,street
982,teygja,stretch
814,band,string
442,sterk,strong
772,nemandi,student
211,rannsókn,study
519,efni,subject
857,efni,substance
957,draga,subtract
955,velgengni,success
75,svo,such
512,skyndileg,sudden
914,viðskeyti,suffix
902,sykur,sugar
618,benda,suggest
846,föt,suit
557,sumar,summer
217,sól,sun
775,framboð,supply
887,stuðningur,support
268,viss,sure
362,yfirborð,surface
679,óvart,surprise
961,synda,swim
533,sérhljóða,syllable
608,tákn,symbol
367,kerfi,system
472,borð,table
447,hala,tail
105,taka,take
313,tala,talk
736,hæð,tall
430,kenna,teach
632,lið,team
898,tennur,teeth
50,segja,tell
740,hiti,temperature
476,tíu,ten
962,tíma,term
369,próf,test
191,en,than
911,þakka,thank
4,að,that
29,sem,the
42,þeirra,their
161,þá,them
160,þá,then
152,það,there
166,þessir,these
11,þeir,they
757,þykkur,thick
825,þunnur,thin
170,hlutur,thing
133,hugsa,think
714,þriðja,third
16,þetta,this
289,þá,those
311,þó,though
226,hugsun,thought
380,þúsund,thousand
53,þrír,three
128,gegnum,through
983,kasta,throw
797,þannig,thus
833,binda,tie
43,tími,time
682,pínulítill,tiny
392,dekk,tire
31,að,to
276,saman,together
343,sagði,told
616,tónn,tone
148,of,too
253,tók,took
942,tól,tool
347,efst,top
943,alls,total
628,snerta,touch
480,átt,toward
403,bæ,town
852,lag,track
600,verslun,trade
558,lest,train
473,ferðalög,travel
228,tré,tree
826,þríhyrningur,triangle
602,ferð,trip
611,vandræði,trouble
976,vörubíll,truck
455,satt,true
89,reyna,try
819,rör,tube
139,snúa,turn
695,tuttugu,twenty
173,tveir,two
729,tegund,type
125,undir,under
401,eining,unit
294,þar,until
154,upp,up
90,okkur,us
155,notkun,use
304,venjulega,usual
946,dalurinn,valley
743,gildi,value
522,breytileg,vary
468,sögn,verb
127,mjög,very
749,skoða,view
703,þorpinu,village
583,heimsókn,visit
500,rödd,voice
479,vowel,vowel
413,bíða,wait
282,ganga,walk
564,vegg,wall
54,vilja,want
481,stríð,war
439,heitt,warm
6,var,was
807,þvo,wash
269,horfa,watch
190,vatn,water
538,bylgja,wave
157,leið,way
35,við,we
637,klæðast,wear
589,veðrið,weather
431,viku,week
525,þyngd,weight
56,vel,well
82,fór,went
39,voru,were
463,vestur,west
22,hvað,what
356,hjól,wheel
153,þegar,when
110,þar,where
710,hvort,whether
40,sem,which
243,meðan,while
278,hvítt,white
194,sem,who
348,heild,whole
776,sem,whose
78,hvers vegna,why
548,breiður,wide
964,kona,wife
574,villtur,wild
45,mun,will
937,vinna,win
330,vindur,wind
555,glugga,window
804,væng,wing
571,vetur,winter
633,vír,wire
567,óska,wish
10,með,with
799,kona,woman
906,konur,women
378,furða,wonder
752,mun ekki,won’t
272,tré,wood
20,orð,word
103,vinna,work
95,veröld,world
163,myndi,would
162,skrifa,write
573,skrifað,written
989,rangt,wrong
614,skrifaði,wrote
622,garð,yard
117,ári,year
839,gulur,yellow
394,já,yes
537,enn,yet
26,þú,you
305,ung,young
156,þinn,your
