number,hungarian,english
948,dupla,double
196,lefelé,down
238,felhívni,draw
938,álom,dream
677,ruha,dress
885,ital,drink
426,meghajtó,drive
539,csepp,drop
377,száraz,dry
876,kacsa,duck
456,alatt,during
49,minden,each
651,fül,ear
461,korai,early
99,föld,earth
284,könnyű,ease
397,kelet,east
255,eszik,eat
581,él,edge
789,hatás,effect
506,tojás,egg
702,nyolc,eight
721,vagy,either
790,elektromos,electric
770,elem,element
652,más,else
60,end,end
883,ellenség,enemy
501,energia,energy
545,motor,engine
301,elég,enough
834,be,enter
639,egyenlő,equal
386,egyenlővé,equate
915,különösen,especially
69,még,even
939,este,evening
958,esemény,event
308,valaha,ever
120,minden,every
607,pontos,exact
283,példa,example
613,kivéve,except
747,gerjeszti,excite
563,gyakorlat,exercise
791,vár,expect
925,tapasztalat,experience
688,kísérlet,experiment
222,szem,eye
271,arc,face
449,tény,fact
645,vásár,fair
407,esik,fall
318,család,family
820,híres,famous
236,messze,far
230,gazdasági,farm
467,gyors,fast
863,zsír,fat
100,apa,father
858,előnyben,favor
823,félelem,fear
941,etet,feed
312,"úgy érzi,",feel
298,láb,feet
642,esett,fell
534,"úgy érezte,",felt
249,kevés,few
419,mező,field
916,füge,fig
744,harc,fight
415,ábra,figure
396,töltse,fill
432,utolsó,final
200,talál,find
404,finom,fine
741,ujj,finger
593,befejez,finish
339,tűz,fire
193,első,first
260,hal,fish
643,megfelelő,fit
458,öt,five
694,lapos,flat
720,emelet,floor
644,folyik,flow
596,virág,flower
406,légy,fly
76,kövesse,follow
216,étel,food
366,láb,foot
7,a,for
358,erő,force
552,erdő,forest
130,űrlap,form
922,előre,forward
207,talált,found
218,négy,four
551,frakció,fraction
440,ingyenes,free
836,friss,fresh
257,barát,friend
17,a,from
429,első,front
755,gyümölcs,fruit
357,teljes,full
586,tréfa,fun
384,játék,game
638,kert,garden
588,gáz,gas
980,gyűjt,gather
433,adott,gave
526,általános,general
798,szelíd,gentle
106,kap,get
303,lány,girl
123,ad,give
864,boldog,glad
577,üveg,glass
179,megy,go
373,arany,gold
599,elmúlt,gone
121,jó,good
281,kapott,got
496,kormány,govern
535,nagy,grand
578,fű,grass
990,szürke,gray
132,nagy,great
434,zöld,green
629,nőtt,grew
464,föld,ground
286,csoport,group
210,nő,grow
801,gondolom,guess
924,útmutató,guide
840,pisztoly,gun
28,volt,had
717,haj,hair
336,fél,half
64,kézi,hand
332,történik,happen
594,boldog,happy
231,kemény,hard
174,van,has
953,kalap,hat
15,van,have
5,ő,he
201,fej,head
265,hall,hear
451,hallott,heard
540,szív,heart
390,hő,heat
543,nehéz,heavy
716,tartotta,held
135,segítség,help
167,ő,her
71,itt,here
74,nagy,high
724,hegy,hill
172,neki,him
3,övé,his
788,történelem,history
771,hit,hit
462,tartsa,hold
699,lyuk,hole
62,otthon,home
595,remény,hope
266,ló,horse
19,forró,hot
387,forró,hot
453,óra,hour
87,ház,house
46,hogyan,how
918,hatalmas,huge
787,emberi,human
457,száz,hundred
502,vadászat,hunt
828,siess,hurry
2,i,i
527,jég,ice
259,ötlet,idea
44,ha,if
794,képzelni,imagine
34,itt,in
351,hüvelyk,inch
531,többek között,include
783,"azt mutatják,",indicate
742,ipar,industry
780,rovar,insect
877,azonnali,instant
575,eszköz,instrument
465,kamat,interest
970,feltalál,invent
691,vas,iron
24,az,is
365,sziget,island
25,azt,it
580,munka,job
617,csatlakozik,join
570,öröm,joy
700,ugrás,jump
129,csak,just
221,tart,keep
576,tartott,kept
690,kulcs,key
657,megöl,kill
84,kedves,kind
349,király,king
344,tudta,knew
189,tudja,know
621,hölgy,lady
659,tó,lake
70,föld,land
399,nyelv,language
66,nagy,large
224,utolsó,last
240,késő,late
379,nevetés,laugh
730,törvény,law
482,világi,lay
408,vezet,lead
213,tanul,learn
610,legkevésbé,least
321,elhagy,leave
929,vezetett,led
239,balra,left
562,láb,leg
516,hossz,length
474,kevesebb,less
225,legyen,let
293,levél,letter
978,szint,level
745,hazugság,lie
248,élet,life
848,lift,lift
83,fény,light
164,hasonló,like
137,vonal,line
894,folyadék,liquid
310,lista,list
470,hallgat,listen
113,kis,little
109,él,live
777,elhelyez,locate
895,log,log
561,magányos,lone
168,hosszú,long
175,néz,look
635,elveszett,lost
687,sok,lot
662,hangos,loud
487,szerelem,love
136,alacsony,low
411,gép,machine
108,készült,made
909,mágnes,magnet
273,fő,main
835,nagyobb,major
169,hogy,make
116,férfi,man
159,sok,many
493,térkép,map
291,jel,mark
878,piac,market
932,tömeg,mass
851,gazda,master
913,mérkőzés,match
550,anyagi,material
528,kérdés,matter
195,lehet,may
122,nekem,me
142,átlagos,mean
896,jelentett,meant
323,intézkedés,measure
817,hús,meat
704,találkozik,meet
601,dallam,melody
80,férfiak,men
709,fém,metal
672,módszer,method
656,középső,middle
233,talán,might
295,mérföld,mile
670,tej,milk
591,millió,million
444,elme,mind
832,az enyém,mine
441,perc,minute
388,miss,miss
631,mix,mix
769,modern,modern
987,molekula,molecule
660,pillanat,moment
489,pénz,money
590,hónap,month
364,hold,moon
176,több,more
475,reggel,morning
185,legtöbb,most
94,anya,mother
892,mozgás,motion
566,tartó,mount
261,hegyi,mountain
606,száj,mouth
144,lépés,move
141,sokkal,much
352,szaporodnak,multiply
288,zene,music
72,kell,must
187,én,my
126,név,name
668,nemzet,nation
748,természetes,natural
889,természet,nature
96,közel,near
802,szükséges,necessary
900,nyak,neck
86,szükség,need
806,szomszéd,neighbor
223,soha,never
102,új,new
277,következő,next
246,éjszaka,night
975,kilenc,nine
184,nincs,no
977,zaj,noise
767,dél,noon
947,sem,nor
250,északi,north
996,orr,nose
412,hangjegy,note
353,semmi,nothing
499,értesítés,notice
418,főnév,noun
199,jelenleg,now
182,szám,number
328,szám,numeral
360,tárgy,object
664,tartsa,observe
886,előfordul,occur
438,óceán,ocean
30,a,of
85,le,off
873,kínálat,offer
603,iroda,office
292,gyakran,often
435,oh,oh
626,olaj,oil
147,régi,old
8,szóló,on
263,egyszer,once
14,egy,one
114,csak,only
274,nyitott,open
760,működik,operate
963,szemben,opposite
27,vagy,or
338,rendelés,order
673,orgona,organ
865,eredeti,original
38,más,other
124,mi,our
37,ki,out
188,át,over
203,saját,own
901,oxigén,oxygen
204,oldal,page
398,festék,paint
530,pár,pair
285,papír,paper
713,bekezdés,paragraph
853,szülő,parent
104,rész,part
959,különös,particular
774,fél,party
345,át,pass
584,múlt,past
893,út,path
484,minta,pattern
674,fizet,pay
186,emberek,people
510,talán,perhaps
782,időszak,period
488,személy,person
734,kifejezés,phrase
511,vegye,pick
88,kép,picture
342,darab,piece
930,pályán,pitch
107,hely,place
302,sima,plain
414,terv,plan
375,repülőgép,plane
827,bolygó,planet
214,növény,plant
58,játék,play
765,kérem,please
997,többes,plural
813,vers,poem
93,pont,point
686,szegény,poor
880,benépesít,populate
65,porton,port
320,jelent,pose
546,pozíció,position
374,lehetséges,possible
860,posta,post
423,font,pound
402,teljesítmény,power
761,gyakorlat,practice
994,előkészítése,prepare
542,jelenlegi,present
244,sajtó,press
904,szép,pretty
842,nyomtatás,print
503,valószínű,probable
341,probléma,problem
759,folyamat,process
448,termel,produce
325,termék,product
871,megfelelő,proper
985,ingatlan,property
766,védelme,protect
560,bizonyít,prove
795,hogy,provide
497,húzza,pull
711,nyomja,push
61,tesz,put
974,liter,quart
331,kérdés,question
436,gyors,quick
680,csendes,quiet
653,egészen,quite
897,hányados,quotient
554,verseny,race
784,rádió,radio
793,sín,rail
494,eső,rain
707,fel,raise
382,futott,ran
890,tartomány,range
809,inkább,rather
466,elérni,reach
63,olvas,read
306,kész,ready
247,valóságos,real
515,ok,reason
604,kap,receive
370,rekord,record
309,piros,red
520,terület,region
459,emlékezik,remember
991,ismétlés,repeat
884,válasz,reply
517,képviseli,represent
992,szükség,require
420,pihenés,rest
722,eredmény,result
756,gazdag,rich
507,út,ride
145,jobb,right
778,gyűrű,ring
623,emelkedik,rise
296,folyó,river
492,út,road
337,kő,rock
739,tekercs,roll
256,szoba,room
705,gyökér,root
935,kötél,rope
840,rózsa,rose
115,kerek,round
605,sor,row
818,dörzsölje,rub
495,szabály,rule
241,fuss,run
725,biztonságos,safe
47,mondta,said
549,vitorla,sail
995,só,salt
149,ugyanaz,same
737,homok,sand
572,ült,sat
648,kivéve,save
235,fűrész,saw
134,mondjuk,say
661,skála,scale
209,iskola,school
254,tudomány,science
926,pontszám,score
237,tenger,sea
837,keresés,search
907,szezon,season
949,ülés,seat
300,második,second
676,rész,section
171,lásd,see
615,mag,seed
275,látszik,seem
874,szegmens,segment
988,válassza,select
98,self,self
954,elad,sell
838,küld,send
750,értelme,sense
640,küldött,sent
131,mondat,sentence
762,külön,separate
490,szolgál,serve
52,készlet,set
523,rendezni,settle
712,hét,seven
478,több,several
715,kell,shall
385,forma,shape
866,részvény,share
803,éles,sharp
150,ő,she
856,ív,sheet
899,kagyló,shell
984,ragyog,shine
334,hajó,ship
965,cipő,shoe
981,üzlet,shop
854,part,shore
327,rövid,short
205,kellene,should
966,váll,shoulder
612,kiáltás,shout
119,előadás,show
197,oldal,side
284,látvány,sight
582,jel,sign
735,csendes,silent
910,ezüst,silver
923,hasonló,similar
477,egyszerű,simple
346,óta,since
469,énekel,sing
692,egyetlen,single
919,nővére,sister
553,ül,sit
471,hat,six
521,méret,size
905,készség,skill
696,bőr,skin
568,ég,sky
875,rabszolga,slave
559,alvás,sleep
936,csúszás,slip
485,lassú,slow
59,kicsi,small
945,szag,smell
697,mosoly,smile
391,hóban,snow
165,így,so
585,puha,soft
738,talaj,soil
758,katona,soldier
908,megoldás,solution
708,megoldani,solve
23,néhány,some
658,fiú,son
322,dal,song
315,hamar,soon
183,hang,sound
340,délre,south
450,hely,space
524,beszél,speak
443,speciális,special
888,beszéd,speech
671,sebesség,speed
67,varázslat,spell
861,költ,spend
785,küllős,spoke
844,folt,spot
967,terjedését,spread
663,tavasz,spring
514,tér,square
202,állvány,stand
416,csillag,star
232,kezdet,start
220,állami,state
867,állomás,station
355,marad,stay
376,helyett,stead
891,gőz,steam
920,acél,steel
460,lépés,step
693,bot,stick
212,még mindig,still
681,kő,stone
427,állt,stood
262,megáll,stop
556,üzlet,store
234,történet,story
666,egyenes,straight
598,furcsa,strange
822,folyam,stream
350,utca,street
982,szakaszon,stretch
814,húr,string
442,erős,strong
772,diák,student
211,tanulmány,study
519,téma,subject
857,anyag,substance
957,levon,subtract
955,siker,success
75,ilyen,such
512,hirtelen,sudden
914,utótag,suffix
902,cukor,sugar
618,javasol,suggest
846,öltöny,suit
557,nyár,summer
217,nap,sun
775,ellátás,supply
887,támogatás,support
268,biztos,sure
362,felület,surface
679,meglepetés,surprise
961,úszás,swim
533,szótag,syllable
608,szimbólum,symbol
367,rendszer,system
472,táblázat,table
447,farok,tail
105,hogy,take
313,beszélgetés,talk
736,magas,tall
430,tanít,teach
632,csapat,team
898,fogak,teeth
50,mondd meg,tell
740,hőmérséklet,temperature
476,tíz,ten
962,kifejezés,term
369,teszt,test
191,mint,than
911,köszönöm,thank
4,hogy,that
29,az,the
42,ezek,their
161,őket,them
160,akkor,then
152,ott,there
166,ezeket,these
11,ők,they
757,vastag,thick
825,vékony,thin
170,dolog,thing
133,gondol,think
714,harmadik,third
16,ezt,this
289,azok,those
311,bár,though
226,gondolat,thought
380,ezer,thousand
53,három,three
128,keresztül,through
983,dobja,throw
797,így,thus
833,nyakkendő,tie
43,idő,time
682,apró,tiny
392,gumiabroncs,tire
31,hogy,to
276,együtt,together
343,mondta,told
616,tónus,tone
148,túl,too
253,vett,took
942,eszköz,tool
347,felső,top
943,teljes,total
628,érintés,touch
480,felé,toward
403,város,town
852,pálya,track
600,kereskedelem,trade
558,vonat,train
473,utazás,travel
228,fa,tree
826,háromszög,triangle
602,utazás,trip
611,baj,trouble
976,teherautó,truck
455,igaz,true
89,próbálja,try
819,cső,tube
139,viszont,turn
695,húsz,twenty
173,két,two
729,típus,type
125,alatt,under
401,egység,unit
294,míg,until
154,up,up
90,nekünk,us
155,használat,use
304,szokásos,usual
946,völgy,valley
743,érték,value
522,változik,vary
468,ige,verb
127,nagyon,very
749,nézet,view
703,falu,village
583,látogatás,visit
500,hang,voice
479,magánhangzó,vowel
413,várjon,wait
282,séta,walk
564,fal,wall
54,akar,want
481,háború,war
439,meleg,warm
6,volt,was
807,mosás,wash
269,karóra,watch
190,víz,water
538,hullám,wave
157,út,way
35,mi,we
637,kopás,wear
589,időjárás,weather
431,hét,week
525,súly,weight
56,jól,well
82,ment,went
39,voltak,were
463,west,west
22,milyen,what
356,kerék,wheel
153,amikor,when
110,ahol,where
710,akár,whether
40,amely,which
243,míg,while
278,fehér,white
194,aki,who
348,egész,whole
776,akinek,whose
78,miért,why
548,széles,wide
964,feleség,wife
574,vad,wild
45,fog,will
937,győzelem,win
330,szél,wind
555,ablak,window
804,szárny,wing
571,tél,winter
633,drót,wire
567,szeretnék,wish
10,-val,with
799,nő,woman
906,nők,women
378,csoda,wonder
752,nem fog,won’t
272,fa,wood
20,szó,word
103,munka,work
95,világ,world
163,lenne,would
162,ír,write
573,írott,written
989,rossz,wrong
614,írta,wrote
622,udvar,yard
117,év,year
839,sárga,yellow
394,igen,yes
537,még,yet
26,ön,you
305,fiatal,young
156,ön,your
