number,dutch,english
1000,werelddeel,continent
950,blijven,continue
649,controle,control
719,kok,cook
684,koele,cool
733,kopie,copy
811,maïs,corn
773,hoek,corner
421,juist,correct
634,kosten,cost
971,katoen,cotton
178,kon,could
513,tellen,count
206,land,country
354,cursus,course
215,afdekking,cover
579,koe,cow
698,vouw,crease
805,creëren,create
768,gewas,crop
229,oversteken,cross
810,menigte,crowd
409,huilen,cry
847,huidige,current
267,gesneden,cut
868,dad,dad
544,dans,dance
754,gevaar,danger
410,donker,dark
177,dag,day
843,dood,dead
960,deal,deal
882,lieve,dear
903,dood,death
361,beslissen,decide
650,decimaal,decimal
363,diepe,deep
879,graad,degree
816,afhangen,depend
718,beschrijven,describe
845,woestijn,desert
685,ontwerp,design
973,bepalen,determine
437,ontwikkelen,develop
669,woordenboek,dictionary
181,deed,did
609,sterven,die
138,verschillen,differ
763,moeilijk,difficult
319,rechtstreeks,direct
921,bespreken,discuss
395,verre,distant
532,kloof,divide
855,divisie,division
41,doen,do
764,arts,doctor
51,doet,does
317,hond,dog
921,deas,dollar
424,gedaan,done
242,niet,don’t
324,deur,door
948,dubbel,double
196,naar beneden,down
238,tekenen,draw
938,dromen,dream
677,kleding,dress
885,drankje,drink
426,rijden,drive
539,laten vallen,drop
377,droge,dry
876,eend,duck
456,tijdens,during
49,elk,each
651,oor,ear
461,vroeg,early
99,aarde,earth
284,gemak,ease
397,oosten,east
255,eet,eat
581,edge,edge
789,werking,effect
506,ei,egg
702,acht,eight
721,ofwel,either
790,elektrische,electric
770,onderdeel,element
652,anders,else
60,end,end
883,vijand,enemy
501,energie,energy
545,motor,engine
301,genoeg,enough
834,voeren,enter
639,gelijk,equal
386,gelijk,equate
915,vooral,especially
69,zelfs,even
939,avond,evening
958,evenement,event
308,ooit,ever
120,elke,every
607,exacte,exact
283,voorbeeld,example
613,behalve,except
747,excite,excite
563,oefening,exercise
791,verwachten,expect
925,ervaring,experience
688,experiment,experiment
222,oog,eye
271,gezicht,face
449,feit,fact
645,eerlijk,fair
407,vallen,fall
318,familie,family
820,beroemde,famous
236,ver,far
230,boerderij,farm
467,snel,fast
863,vet,fat
100,vader,father
858,gunst,favor
823,angst,fear
941,voer,feed
312,voelen,feel
298,voeten,feet
642,viel,fell
534,vilt,felt
249,weinig,few
419,veld,field
916,vijg,fig
744,strijd,fight
415,figuur,figure
396,vullen,fill
432,finale,final
200,vinden,find
404,fijne,fine
741,vinger,finger
593,afwerking,finish
339,brand,fire
193,eerste,first
260,vis,fish
643,passen,fit
458,vijf,five
694,flat,flat
720,vloer,floor
644,stromen,flow
596,bloem,flower
406,vliegen,fly
76,volgen,follow
216,voedsel,food
366,voet,foot
7,voor,for
358,kracht,force
552,bos,forest
130,vorm,form
922,vooruit,forward
207,gevonden,found
218,vier,four
551,fractie,fraction
440,gratis,free
836,vers,fresh
257,vriend,friend
17,van,from
429,voorzijde,front
755,fruit,fruit
357,volledige,full
586,lol,fun
384,spel,game
638,tuin,garden
588,gas,gas
980,verzamelen,gather
433,gaf,gave
526,algemeen,general
798,zachte,gentle
106,krijgen,get
303,meisje,girl
123,geven,give
864,blij,glad
577,glas,glass
179,gaan,go
373,goud,gold
599,weg,gone
121,goed,good
281,kreeg,got
496,regeren,govern
535,grand,grand
578,gras,grass
990,grijs,gray
132,grote,great
434,groen,green
629,groeide,grew
464,grond,ground
286,groep,group
210,groeien,grow
801,denk,guess
924,begeleiden,guide
840,pistool,gun
28,had,had
717,haar,hair
336,helft,half
64,de hand,hand
332,gebeuren,happen
594,happy,happy
231,hard,hard
174,heeft,has
953,hoed,hat
15,hebben,have
5,hij,he
201,hoofd,head
265,hear,hear
451,gehoord,heard
540,hart,heart
390,warmte,heat
543,zwaar,heavy
716,gehouden,held
135,helpen,help
167,haar,her
71,hier,here
74,hoog,high
724,hill,hill
172,hem,him
3,zijn,his
788,geschiedenis,history
771,hit,hit
462,houden,hold
699,gat,hole
62,thuis,home
595,hopen,hope
266,paard,horse
19,heet,hot
387,heet,hot
453,uur,hour
87,huis,house
46,hoe,how
918,reusachtig,huge
787,menselijk,human
457,honderd,hundred
502,hunt,hunt
828,haast,hurry
2,i,i
527,ijs,ice
259,idee,idea
44,indien,if
794,stel,imagine
34,in,in
351,inch,inch
531,omvatten,include
783,geven,indicate
742,industrie,industry
780,insecten,insect
877,onmiddellijke,instant
575,instrument,instrument
465,rente,interest
970,uitvinden,invent
691,ijzer,iron
24,is,is
365,eiland,island
25,het,it
580,werk,job
617,toetreden tot,join
570,vreugde,joy
700,springen,jump
129,gewoon,just
221,houden,keep
576,gehouden,kept
690,sleutel,key
657,doden,kill
84,soort,kind
349,king,king
344,wist,knew
189,weten,know
621,dame,lady
659,meer,lake
70,land,land
399,taal,language
66,grote,large
224,laatste,last
240,laat,late
379,lachen,laugh
730,wet,law
482,leggen,lay
408,leiden,lead
213,leren,learn
610,minste,least
321,vertrekken,leave
929,geleid,led
239,links,left
562,been,leg
516,lengte,length
474,minder,less
225,laten,let
293,brief,letter
978,niveau,level
745,leugen,lie
248,leven,life
848,lift,lift
83,licht,light
164,zoals,like
137,lijn,line
894,vloeistof,liquid
310,lijst,list
470,luisteren,listen
113,weinig,little
109,wonen,live
777,lokaliseren,locate
895,aanmelden,log
561,eenzame,lone
168,lang,long
175,kijken,look
635,verloren,lost
687,veel,lot
662,luid,loud
487,liefde,love
136,laag,low
411,apparaat,machine
108,gemaakt,made
909,magneet,magnet
273,belangrijkste,main
835,grote,major
169,maken,make
116,man,man
159,veel,many
493,kaart,map
291,mark,mark
878,markt,market
932,massa,mass
851,meester,master
913,wedstrijd,match
550,materiaal,material
528,aangelegenheid,matter
195,kan,may
122,mij,me
142,betekenen,mean
896,betekende,meant
323,meten,measure
817,vlees,meat
704,ontmoeten,meet
601,melodie,melody
80,mannen,men
709,metalen,metal
672,methode,method
656,midden,middle
233,zou,might
295,mijl,mile
670,melk,milk
591,miljoen,million
444,geest,mind
832,de mijne,mine
441,minuut,minute
388,miss,miss
631,mengen,mix
769,moderne,modern
987,molecuul,molecule
660,momenteel,moment
489,geld,money
590,maand,month
364,maan,moon
176,meer,more
475,ochtend,morning
185,meest,most
94,moeder,mother
892,beweging,motion
566,berg,mount
261,berg,mountain
606,mond,mouth
144,verhuizing,move
141,veel,much
352,vermenigvuldigen,multiply
288,muziek,music
72,moet,must
187,mijn,my
126,naam,name
668,natie,nation
748,natuurlijke,natural
889,natuur,nature
96,dichtbij,near
802,noodzakelijk,necessary
900,nek,neck
86,nodig hebben,need
806,buurman,neighbor
223,nooit,never
102,nieuwe,new
277,volgende,next
246,nacht,night
975,negen,nine
184,geen,no
977,geluidsoverlast,noise
767,middag,noon
947,noch,nor
250,noorden,north
996,neus,nose
412,noot,note
353,niets,nothing
499,kennisgeving,notice
418,zelfstandig naamwoord,noun
199,nu,now
182,aantal,number
328,cijfer,numeral
360,object,object
664,waarnemen,observe
886,voorkomen,occur
438,oceaan,ocean
30,van,of
85,uitgeschakeld,off
873,aanbod,offer
603,kantoor,office
292,vaak,often
435,oh,oh
626,olie,oil
147,oude,old
8,op,on
263,eenmaal,once
14,een,one
114,alleen,only
274,geopend,open
760,werken,operate
963,tegengesteld,opposite
27,of,or
338,orde,order
673,orgel,organ
865,origineel,original
38,andere,other
124,onze,our
37,uit,out
188,meer dan,over
203,eigen,own
901,zuurstof,oxygen
204,pagina,page
398,schilderen,paint
530,paar,pair
285,papier,paper
713,paragraaf,paragraph
853,ouder,parent
104,deel,part
959,bijzonder,particular
774,partij,party
345,passeren,pass
584,verleden,past
893,pad,path
484,patroon,pattern
674,betalen,pay
186,mensen,people
510,misschien,perhaps
782,periode,period
488,persoon,person
734,zinsnede,phrase
511,pick,pick
88,afbeelding,picture
342,stuk,piece
930,toonhoogte,pitch
107,plaats,place
302,vlakte,plain
414,plannen,plan
375,vliegtuig,plane
827,planeet,planet
214,planten,plant
58,spelen,play
765,aub,please
997,meervoud,plural
813,gedicht,poem
93,punt,point
686,slechte,poor
880,bevolken,populate
65,poort,port
320,pose,pose
546,positie,position
374,mogelijk,possible
860,post,post
423,pond,pound
402,kracht,power
761,praktijk,practice
994,bereiden,prepare
542,aanwezig,present
244,pers,press
904,vrij,pretty
842,afdrukken,print
503,waarschijnlijk,probable
341,probleem,problem
759,proces,process
448,produceren,produce
325,artikel,product
871,behoorlijk,proper
985,pand,property
766,beschermen,protect
560,bewijzen,prove
795,bieden,provide
497,trek,pull
711,duw,push
61,zetten,put
974,quart,quart
331,vraag,question
436,snel,quick
680,rustig,quiet
653,heel,quite
897,quotiënt,quotient
554,ras,race
784,radio in,radio
793,spoor,rail
494,regen,rain
707,verhogen,raise
382,ran,ran
890,reeks,range
809,eerder,rather
466,bereiken,reach
63,lezen,read
306,klaar,ready
247,echt,real
515,reden,reason
604,ontvangen,receive
370,opnemen,record
309,rood,red
520,regio,region
459,onthouden,remember
991,herhaal,repeat
884,antwoorden,reply
517,vertegenwoordigen,represent
992,vereisen,require
420,rest,rest
722,resultaat,result
756,rijk,rich
507,rit,ride
145,rechts,right
778,kookplaten,ring
623,stijgen,rise
296,rivier,river
492,weg,road
337,rots,rock
739,rol,roll
256,kamer,room
705,wortel,root
935,touw,rope
840,gestegen,rose
115,ronde,round
605,rij,row
818,wrijven,rub
495,regel,rule
241,lopen,run
725,veilig,safe
47,zei,said
549,zeil,sail
995,zout,salt
149,hetzelfde,same
737,zand,sand
572,zat,sat
648,besparen,save
235,zaag,saw
134,zeggen,say
661,schaal,scale
209,de school,school
254,wetenschap,science
926,partituur,score
237,zee,sea
837,zoeken,search
907,seizoen,season
949,zitje,seat
300,tweede,second
676,sectie,section
171,zien,see
615,zaad,seed
275,lijken,seem
874,segmenten,segment
988,selecteren,select
98,zelf,self
954,verkopen,sell
838,sturen,send
750,sense,sense
640,verzonden,sent
131,zin,sentence
762,apart,separate
490,dienen,serve
52,set,set
523,vestigen,settle
712,zeven,seven
478,verscheidene,several
715,zal,shall
385,vorm,shape
866,aandeel,share
803,scherpe,sharp
150,ze,she
856,blad,sheet
899,schelp,shell
984,glans,shine
334,schip,ship
965,schoen,shoe
981,winkel,shop
854,oever,shore
327,korte,short
205,moeten,should
966,schouder,shoulder
612,schreeuw,shout
119,show,show
197,kant,side
284,zicht,sight
582,teken,sign
735,stil,silent
910,zilver,silver
923,gelijkaardige,similar
477,eenvoudig,simple
346,sinds,since
469,zingen,sing
692,enkelvoudige,single
919,zus,sister
553,zitten,sit
471,zes,six
521,grootte,size
905,vaardigheid,skill
696,huid,skin
568,hemel,sky
875,slaaf,slave
559,slaap,sleep
936,slip,slip
485,langzaam,slow
59,klein,small
945,geur,smell
697,glimlach,smile
391,sneeuw,snow
165,dus,so
585,zachte,soft
738,bodem,soil
758,soldaat,soldier
908,oplossing,solution
708,op te lossen,solve
23,sommige,some
658,zoon,son
322,lied,song
315,spoedig,soon
183,klinken,sound
340,zuiden,south
450,ruimte,space
524,spreken,speak
443,speciaal,special
888,spraak,speech
671,snelheid,speed
67,spell,spell
861,besteden,spend
785,sprak,spoke
844,plek,spot
967,spreiding,spread
663,voorjaar,spring
514,square,square
202,staan,stand
416,ster,star
232,begin,start
220,staat,state
867,station,station
355,blijven,stay
376,plaats,stead
891,stoom,steam
920,staal,steel
460,stap,step
693,stok,stick
212,nog,still
681,steen,stone
427,stond,stood
262,stop,stop
556,winkel,store
234,verhaal,story
666,straight,straight
598,vreemd,strange
822,stroom,stream
350,straat,street
982,rekken,stretch
814,koord,string
442,sterke,strong
772,leerling,student
211,studie,study
519,onderwerp,subject
857,stof,substance
957,aftrekken,subtract
955,succes,success
75,dergelijke,such
512,plotseling,sudden
914,achtervoegsel,suffix
902,suiker,sugar
618,suggereren,suggest
846,pak,suit
557,zomer,summer
217,zon,sun
775,levering,supply
887,ondersteuning,support
268,zeker,sure
362,oppervlak,surface
679,verrassing,surprise
961,zwemmen,swim
533,lettergreep,syllable
608,symbool,symbol
367,systeem,system
472,tafel,table
447,staart,tail
105,nemen,take
313,overleg,talk
736,hoog,tall
430,leren,teach
632,team,team
898,tanden,teeth
50,vertellen,tell
740,temperatuur,temperature
476,tien,ten
962,termijn,term
369,toets,test
191,dan,than
911,dank,thank
4,dat,that
29,de,the
42,hun,their
161,hen,them
160,dan,then
152,er,there
166,deze,these
11,ze,they
757,dikke,thick
825,dun,thin
170,ding,thing
133,denken,think
714,derde,third
16,deze,this
289,die,those
311,hoewel,though
226,gedachte,thought
380,duizend,thousand
53,drie,three
128,door,through
983,gooien,throw
797,dus,thus
833,stropdas,tie
43,tijd,time
682,minuscuul,tiny
392,band,tire
31,aan,to
276,samen,together
343,vertelde,told
616,toon,tone
148,ook,too
253,nam,took
942,gereedschap,tool
347,boven,top
943,totaal,total
628,aanraken,touch
480,in de richting van,toward
403,stad,town
852,spoor,track
600,handel,trade
558,trein,train
473,reizen,travel
228,boom,tree
826,driehoek,triangle
602,reis,trip
611,problemen,trouble
976,vrachtwagen,truck
455,ware,true
89,proberen,try
819,buis,tube
139,beurt,turn
695,twintig,twenty
173,twee,two
729,soort,type
125,onder,under
401,eenheid,unit
294,tot,until
154,omhoog,up
90,ons,us
155,gebruiken,use
304,gebruikelijke,usual
946,dal,valley
743,waarde,value
522,variëren,vary
468,werkwoord,verb
127,zeer,very
749,view,view
703,dorp,village
583,bezoek,visit
500,stem,voice
479,klinker,vowel
413,wachten,wait
282,lopen,walk
564,muur,wall
54,willen,want
481,oorlog,war
439,warme,warm
6,was,was
807,wassen,wash
269,kijken,watch
190,water,water
538,wave,wave
157,manier,way
35,we,we
637,dragen,wear
589,weer,weather
431,week,week
525,gewicht,weight
56,goed,well
82,ging,went
39,waren,were
463,west,west
22,wat,what
356,wiel,wheel
153,wanneer,when
110,waar,where
710,of,whether
40,die,which
243,terwijl,while
278,wit,white
194,die,who
348,geheel,whole
776,wiens,whose
78,waarom,why
548,breed,wide
964,vrouw,wife
574,wild,wild
45,zal,will
937,win,win
330,wind,wind
555,venster,window
804,vleugel,wing
571,de winter,winter
633,draad,wire
567,wensen,wish
10,met,with
799,vrouw,woman
906,vrouwen,women
378,afvragen,wonder
752,zal niet,won’t
272,hout,wood
20,woord,word
103,werk,work
95,wereld,world
163,zou,would
162,schrijven,write
573,geschreven,written
989,mis,wrong
614,schreef,wrote
622,yard,yard
117,jaar,year
839,geel,yellow
394,ja,yes
537,nog,yet
26,u,you
305,jonge,young
156,uw,your
