"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap","priceChangedFiveDayPercent","priceChangedOneMonthPercent","priceChangedThreeMonthsPercent"
"BMF","UPCOM","Dong Nai Building Material and Fuel Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2018-04-16",4159600,108565560000,"N/A","N/A","N/A"
"BMG","UPCOM","Binh Minh Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-12-25",5292000,53978400000,"N/A","N/A","N/A"
"BMI","HOSE","BaoMinh Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2008-04-21",109623985,3299681948500,1.99,6.48,-3.32
"BMJ","UPCOM","Easterns AHP Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2009-12-22",104999978,2056949569020,-2.56,18.46,"N/A"
"BMN","UPCOM","715 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-04-06",2750000,31900000000,"N/A","N/A","N/A"
"BMP","HOSE","Binh Minh Plastics Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-07-11",81860938,5263658313400,-1.09,4.35,7.93
"BMS","UPCOM","BaoMinh Securities Company","Financials","Financial Services","Financial Services","Investment Services","2018-08-08",56999986,737971437500,2.44,24.39,6.5
"BMV","UPCOM","Vinafood 1 Flour Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-06-06",24200000,363000000000,"N/A","N/A","N/A"
"BNA","HNX","Bao Ngoc Investment Production Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","2020-10-12",19999989,445999754700,4.93,14.35,-56.95
"BNW","UPCOM","Bac Ninh Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-12-28",37549391,326679701700,"N/A","N/A","N/A"
"BOT","UPCOM","Thai Ha Bridge BOT Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2019-02-14",59246800,402522759200,0,5.97,-13.43
"BPC","HNX","Vicem Packaging Bimson Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2002-04-05",3800000,44080000000,"N/A","N/A","N/A"
"BQB","UPCOM","Hanoi - Quang Binh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-01-09",5800000,25166200000,0,"N/A","N/A"
"BRC","HOSE","Ben Thanh Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2011-12-13",12374997,159018711450,3.89,-14.86,"N/A"
"BRR","UPCOM","BaRia Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2017-06-16",112500000,2340000000000,"N/A","N/A","N/A"
"BRS","UPCOM","Ba Ria Urban Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-01-24",4541950,123541040000,"N/A","N/A","N/A"
"BSA","UPCOM","Buon Don Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2018-08-20",63019723,1134355014000,0.56,"N/A","N/A"
"BSC","HNX","BenThanh Service Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2011-01-05",3150747,40959711000,"N/A","N/A","N/A"
"BSD","UPCOM","Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-04-28",3000000,76200000000,"N/A","N/A","N/A"
"BSG","UPCOM","Saigon Passenger Transport Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2016-11-21",60000000,685380000000,4.39,-4.39,"N/A"
"BSH","UPCOM","Sai Gon - Ha Noi Beer Corporation","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-07-04",18000000,583200000000,"N/A","N/A","N/A"
"BSI","HOSE","Bank for Investment and Development of Viet Nam Joint Stock Securities Company","Financials","Financial Services","Financial Services","Investment Services","2011-07-19",122070078,3683589725400,-0.5,3.47,0.33
"BSL","UPCOM","Sai Gon - Song Lam Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-06-16",45000000,526500000000,"N/A","N/A","N/A"
"BSP","UPCOM","Sai Gon - Phu Tho Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2016-08-10",12500000,218975000000,"N/A","N/A","N/A"
"BSQ","UPCOM","Sai Gon - Quang Ngai Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-02-28",45000000,1683000000000,"N/A","N/A","N/A"
"BSR","UPCOM","Binh Son Refining and Petrochemical Joint Stock Company","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","2018-03-01",244119369,79475106656928,5.47,4.69,-17.27
"BST","HNX","Binh Thuan Book And Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2008-12-18",1100000,15180000000,"N/A","N/A","N/A"
"BT1","UPCOM","Central Plant Protection Joint Stock Company No.1","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2016-11-09",5250000,102375000000,"N/A","N/A","N/A"
"BT6","UPCOM","BETON 6 Corporation","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2002-03-18",32993550,169562093030,"N/A","N/A","N/A"
"BTB","UPCOM","Ha Noi - Thai Binh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-01-12",7691226,47685601200,"N/A","N/A","N/A"
"BTD","UPCOM","Thuduc Centrifugal Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-03-02",6414100,191086271800,-1.01,2.68,-13.09
"BTG","UPCOM","Tien Giang Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2010-03-24",1190000,8925000000,"N/A","N/A","N/A"
"BTH","UPCOM","Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2008-01-04",25000000,506150000000,31.37,"N/A","N/A"
"BTN","UPCOM","Binh Dinh Tunnel Brick Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2018-01-05",4465570,21218773412,8.16,16.33,14.29
"BTP","HOSE","Ba Ria Thermal Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2009-11-25",60485600,1091765080000,"N/A","N/A","N/A"
"BTS","HNX","VICEM But Son Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-12-05",123559858,1062614778800,2.33,2.33,-10.47
"BTT","HOSE","Ben Thanh Trading and Service Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","2010-04-14",13500000,607500000000,"N/A","N/A","N/A"
"BTU","UPCOM","Ben Tre Urban Project Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2016-03-11",3600000,43920000000,"N/A","N/A","N/A"
"BTV","UPCOM","Ben Thanh Tourist Service Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2017-03-03",25000000,339409760000,"N/A","N/A","N/A"
