"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap"
"AGR","HOSE","AgriBank Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","2009-12-10",212000000,2374399473600
"AGX","UPCOM","Sai Gon Export Foodstuffs and Agricultural Products Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Food Retailers & Wholesalers","2015-09-14",10800000,395010000000
"AIC","UPCOM","Vietnam National Aviation Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2021-01-08",100000000,1082100000000
"ALT","HNX","Alta Company","Consumer Services","Media","Media","Publishing","2006-11-22",6172523,128502281600
"ALV","UPCOM","ALVICO Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-09-17",5657936,38258963232
"AMC","HNX","Asia Mineral Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2012-02-15",2850000,65550000000
"AMD","HOSE","FLC Stone Mining and Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2014-08-11",163504874,495419768220
"AME","HNX","Alphanam E&amp;C Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2010-06-02",65200000,710680000000
"AMP","UPCOM","Armephaco Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-01-12",13000000,141700000000
"AMS","UPCOM","AMECC Mechanical Construction Joint Stock Company ","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","2017-02-06",36629865,311976560205
"AMV","HNX","American Vietnamese Biotech Incorporation","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","2009-12-20",131105650,1048845200000
"ANT","UPCOM","An Giang Fruit-Vegetables &amp; Foodstuff Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2016-12-22",8000000,102560000000
"ANV","HOSE","Nam Viet Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2007-12-07",127539625,5434716656250
"APC","HOSE","An Phu Irradiation Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Biotechnology","2010-02-05",20121395,358290450000
"APF","UPCOM","Quang Ngai Agricultural Products And Foodstuff Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-06-08",20007784,1462343021735
"APG","HOSE","APG Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2016-11-30",146306612,974402035920
"APH","HOSE","An Phat Holdings Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2020-07-28",243884268,3170495484000
"API","HNX","Asia - Pacific Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-09-13",38220000,1360632000000
"APL","UPCOM","VVMI - Mechanical And Pressure Equipment Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2016-10-14",1200000,29760000000
"APS","HNX","Asia - Pacific Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2010-04-19",83000000,1153700000000
"APT","UPCOM","Saigon Aquatic Product Trading Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2019-06-07",8800000,26400000000
"ARM","HNX","General Aviation Import Export Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","2010-10-26",3111283,137207580300
"ART","HNX","BOS Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2017-08-02",96922509,455535792300
"ASA","UPCOM","ASA Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2012-03-12",10000000,126000000000
"ASG","HOSE","ASG Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2020-09-24",75653891,2084264697050
"ASM","HOSE","Sao Mai Group Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2010-01-18",336526752,5182511980800
"ASP","HOSE","An Pha Petrol Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2008-02-15",37339929,260256607740
"AST","HOSE","Taseco Air Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2018-01-04",45000000,2736000000000
"ATA","UPCOM","NTACO Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2009-09-08",11999998,26483995586
"ATB","UPCOM","An Thinh Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-08-25",13884000,19493136000
"ATG","UPCOM","An Truong An Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2016-08-22",15220000,53163460000
"ATS","HNX","Atesco Pharmaceutical Group Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Restaurants & Bars","2016-03-29",3500000,53550000000
"AUM","UPCOM","Vinacafe Son Thanh Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2016-09-26",1000000,10500000000
"AVC","UPCOM","A Vuong Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2018-01-08",75052052,2859483181200
"AVF","UPCOM","Anvifish Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2010-11-23",43338000,43338000000
"B82","UPCOM","Joint Stock - Company No 482","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2008-03-17",5000000,5000000000
"BAB","HNX","Bac A Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2017-12-28",753135500,13583551878000
"BAF","HOSE","BAF Vietnam Agriculture Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2021-12-03",143520000,4793568000000
"BAL","UPCOM","Beer - Alcohol - Beverage Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2018-01-12",2000000,23462000000
"BAX","HNX","Thong Nhat Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-03-24",8200000,639600000000
"BBC","HOSE","Bibica Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","2001-12-19",18752687,1277057984700
"BBH","UPCOM","Hoang Thach Joint Stock Bagging Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2020-05-14",2047932,23551218000
"BBM","UPCOM","Ha Noi - Nam Dinh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-01-05",2000000,25600000000
"BBS","HNX","VICEM Packing But Son Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2005-12-28",6000000,61800000000
"BBT","UPCOM","Bach Tuyet Cotton Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2018-06-12",9800000,110740000000
"BCA","UPCOM","B.C.H Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2021-09-08",19000000,134862000000
"BCB","UPCOM","397 Joint Stock Company","Basic Materials","Basic Resources","Mining","Coal","2018-10-29",5000000,2000000000
"BCC","HNX","Bim Son Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-11-24",123209812,1885110123600
"BCE","HOSE","Binh Duong Construction And Civil Engineering Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-06-28",35000000,322000000000
"BCF","HNX","Bich Chi Food Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2020-03-16",25300423,1057555656000
"BCG","HOSE","Bamboo Capital Joint Stock Company","Financials","Financial Services","Financial Services","Specialty Finance","2015-07-16",503305437,7675407914250
"BCM","HOSE","Investment and Industrial Development Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-02-21",1035000000,76072500000000
"BCP","UPCOM","Enlie Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2015-09-14",6000000,56400000000
"BCV","UPCOM","Vimico - Cao Bang Bang Giang Travel And Trading Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","2021-03-16",1800000,38700000000
"BDB","HNX","Binh Dinh Book and Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2010-01-29",1126474,14418867200
"BDG","UPCOM","Protrade Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2016-04-06",12000000,592572000000
"BDT","UPCOM","DongThap Building Materials & Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-09-06",38600000,1640304500000
"BDW","UPCOM","Binh Dinh Water Supply and Sewerage Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2015-10-14",12410800,281725160000
"BED","HNX","Da Nang Books & Educational Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2009-10-21",3000000,119100000000
"BEL","UPCOM","Viettronics Bien Hoa Joint Stock Company","Consumer Goods","Personal & Household Goods","Leisure Goods","Consumer Electronics","2016-07-12",6000000,75000000000
"BFC","HOSE","Binh Dien Fertilizer Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2015-10-07",57167993,1286279842500
"BGW","UPCOM","Bac Giang Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-10-31",18149446,317615305000
"BHA","UPCOM","Bac Ha Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2017-08-02",66000000,891000000000
"BHC","UPCOM","Bien Hoa Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2009-05-15",4500000,11173500000
"BHG","UPCOM","Bien Ho Tea Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2018-10-30",8935643,120631180500
"BHK","UPCOM","Ha Noi - Kim Bai Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-04-05",3986000,43846000000
"BHN","HOSE","Hanoi Beer Alcohol and Beverage Joint Stock Corporation","Consumer Goods","Food & Beverage","Beverages","Brewers","2016-10-28",231800000,12053600000000
"BHP","UPCOM","Ha Noi - Hai Phong Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2013-01-21",9179290,82613610000
"BHT","UPCOM","Bach Dang TMC Construction Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2011-01-11",4565000,52633200000
"BIC","HOSE","BIDV Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2011-09-06",117276895,3342391507500
"BID","HOSE","Joint Stock Commercial Bank for Investment and Development of Vietnam","Banks","Banks","Banks","Banks","2014-01-24",5058523816,188682938336800
"BIG","UPCOM","BIG Invest Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","2022-01-10",5000000,84345000000
"BII","HNX","Louis Land Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2014-09-22",57680000,230720000000
"BIO","UPCOM","Nha Trang Vaccines and Biological Products Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2018-08-30",8562000,229180200000
"BKC","HNX","Bac Kan Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2009-08-18",11737728,73947686400
"BKG","HOSE","BKG Vietnam Investment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2020-12-31",62000000,366420000000
"BKH","UPCOM","Hanoi Confectionery Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2019-06-26",1750000,53025000000
"BLF","HNX","Bac Lieu Fisheries Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2008-06-02",11500000,37949996700
"BLI","UPCOM","Bao Long Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2015-12-11",60000000,955371624502
"BLN","UPCOM","Lien Ninh Transport and Service Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2016-09-09",5000000,37000000000
"BLT","UPCOM","Binh Dinh Food Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-07-10",4000000,98000000000
"BLW","UPCOM","Bac Lieu Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-10-19",11168800,190986480000
"BMC","HOSE","Binh Dinh Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2006-12-28",12392630,213772867500
"BMD","UPCOM","Binh Thuan Environmental Urban Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-06-14",2753280,17620992000
"BMF","UPCOM","Dong Nai Building Material and Fuel Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2018-04-16",4159600,108565560000
"BMG","UPCOM","Binh Minh Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-12-25",5292000,47098800000
"BMI","HOSE","BaoMinh Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2008-04-21",109623985,3080433978500
"BMJ","UPCOM","Easterns AHP Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2009-12-22",104999978,1511999683200
"BMN","UPCOM","715 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-04-06",2750000,53075000000
"BMP","HOSE","Binh Minh Plastics Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-07-11",81860938,4903470186200
"BMS","UPCOM","BaoMinh Securities Company","Financials","Financial Services","Financial Services","Investment Services","2018-08-08",56999986,544574129375
"BMV","UPCOM","Vinafood 1 Flour Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-06-06",24200000,363000000000
"BNA","HNX","Bao Ngoc Investment Production Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","2020-10-12",19999989,377999792100
"BNW","UPCOM","Bac Ninh Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-12-28",37549391,326679701700
"BOT","UPCOM","Thai Ha Bridge BOT Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2019-02-14",59246800,366915432400
"BPC","HNX","Vicem Packaging Bimson Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2002-04-05",3800000,40660000000
"BQB","UPCOM","Hanoi - Quang Binh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-01-09",5800000,25334400000
"BRC","HOSE","Ben Thanh Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2011-12-13",12374997,185624955000
"BRR","UPCOM","BaRia Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2017-06-16",112500000,2112187500000
"BRS","UPCOM","Ba Ria Urban Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-01-24",4541950,141295522550
"BSA","UPCOM","Buon Don Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2018-08-20",63019723,1075179494103
"BSC","HNX","BenThanh Service Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2011-01-05",3150747,40959711000
"BSD","UPCOM","Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-04-28",3000000,88200000000
"BSG","UPCOM","Saigon Passenger Transport Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2016-11-21",60000000,680580000000
"BSH","UPCOM","Sai Gon - Ha Noi Beer Corporation","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-07-04",18000000,648000000000
"BSI","HOSE","Bank for Investment and Development of Viet Nam Joint Stock Securities Company","Financials","Financial Services","Financial Services","Investment Services","2011-07-19",122070078,3464762613000
"BSL","UPCOM","Sai Gon - Song Lam Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-06-16",45000000,562095000000
"BSP","UPCOM","Sai Gon - Phu Tho Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2016-08-10",12500000,208750000000
"BSQ","UPCOM","Sai Gon - Quang Ngai Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-02-28",45000000,1643265000000
"BSR","UPCOM","Binh Son Refining and Petrochemical Joint Stock Company","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","2018-03-01",244119369,76356004043232
"BST","HNX","Binh Thuan Book And Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2008-12-18",1100000,20020000000
"BT1","UPCOM","Central Plant Protection Joint Stock Company No.1","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2016-11-09",5250000,91875000000
"BT6","UPCOM","BETON 6 Corporation","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2002-03-18",32993550,174399203000
"BTB","UPCOM","Ha Noi - Thai Binh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-01-12",7691226,53838582000
"BTD","UPCOM","Thuduc Centrifugal Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-03-02",6414100,183160680124
"BTG","UPCOM","Tien Giang Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2010-03-24",1190000,9361730000
"BTH","UPCOM","Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2008-01-04",25000000,237500000000
"BTN","UPCOM","Binh Dinh Tunnel Brick Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2018-01-05",4465570,17332035804
"BTP","HOSE","Ba Ria Thermal Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2009-11-25",60485600,1004060960000
"BTS","HNX","VICEM But Son Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-12-05",123559858,1037902807200
"BTT","HOSE","Ben Thanh Trading and Service Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","2010-04-14",13500000,647325000000
"BTU","UPCOM","Ben Tre Urban Project Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2016-03-11",3600000,44640000000
"BTV","UPCOM","Ben Thanh Tourist Service Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2017-03-03",25000000,357702947800
"BTW","HNX","Ben Thanh Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2010-03-04",9360000,299520000000
"BVB","UPCOM","Viet Capital Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2020-07-09",367090000,5092272480000
"BVG","UPCOM","Bac Viet Group Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2010-08-09",9750948,29243093052
"BVH","HOSE","Bao Viet Holdings","Financials","Insurance","Life Insurance","Life Insurance","2009-06-25",742322764,42906255759200
"BVL","UPCOM","BV Land Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","2021-06-11",57312800,1510192280000
"BVN","UPCOM","Vietnam Cotton Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2011-10-11",5000000,48000000000
"BVS","HNX","Bao Viet Securities Company","Financials","Financial Services","Financial Services","Investment Services","2006-12-18",72233937,1379022769500
"BWA","UPCOM","Bao Loc Supply Sewerage and Constructon Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2010-06-14",2700000,27810000000
"BWE","HOSE","Binh Duong Water Environment Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-07-20",192920000,9202284000000
"BWS","UPCOM","Ba Ria - Vung Tau Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-11-28",90000000,2909340000000
"BXH","HNX","Haiphong Packing VICEM Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2009-11-25",3012040,40662540000
"C12","UPCOM","Bridge Joint Stock Company No.12","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-12-26",4850000,19400000000
"C21","UPCOM","Century 21 Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2016-11-01",19336371,235802411000
"C22","UPCOM","22 Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2018-05-24",3550000,69935000000
"C32","HOSE","CIC39 Corporation","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2012-11-30",15030145,377256639500
"C47","HOSE","Construction Joint Stock Company 47","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2011-03-30",27529504,386789531200
"C4G","UPCOM","Cienco4 Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2018-12-10",224718202,2679315122446
"C69","HNX","1369 Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-04-21",60000000,612000000000
"CAB","UPCOM","Vietnam Television Cable Joint Stock Company","Consumer Services","Media","Media","Broadcasting & Entertainment","2019-09-06",45745876,736508603600
"CAD","UPCOM","Cadovimex Seafood Import-Export And Processing Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2012-11-01",8799927,34527878820
"CAG","HNX","An Giang Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2017-12-04",13800000,158700000000
"CAN","HNX","Halong Canned Food Joint Stock Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","2001-10-22",5000000,251500000000
"CAP","HNX","Yen Bai Joint Stock Forest Agricultural Products And Foodstuffs Company","Basic Materials","Basic Resources","Forestry & Paper","Paper","2008-01-09",5236023,671514264000
"CAR","UPCOM","Tri Viet Education Group Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Business Training & Employment Agencies","2022-07-13",3200000,84992000000
"CAT","UPCOM","Ca Mau Joint Stock Seafoods Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2018-03-23",9748579,205778857500
"CAV","HOSE","Vietnam Electric Cable Corporation","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","2014-12-08",57600000,3167667593000
"CBI","UPCOM","Cao Bang Cast Iron and Steel Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2017-09-28",43006366,451566843000
"CBS","UPCOM","Cao Bang Sugar Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-06-20",3527925,163695720000
"CC1","UPCOM","Construction Corporation No.1 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-07-20",319674087,4994419528680
"CC4","UPCOM","Investment and Construction Joint Stock Company No.4","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-07-28",32000000,643200000000
"CCA","UPCOM","Can Tho Import Export Seafood Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2019-12-26",15092326,249519620856
"CCI","HOSE","Cuchi Commercial and Industrial Developing Investment Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2010-04-15",17743865,458699895750
