plate,type,name
BP,"Bộ Tư Lệnh, Binh Chủng",Bộ tư lệnh Pháo binh
BS,"Bộ Tư Lệnh, Binh Chủng",Lực lượng cảnh sát biển VN
BT,"Bộ Tư Lệnh, Binh Chủng",Bộ tư lệnh Thông tin liên lạc
BV,"Bộ Tư Lệnh, Binh Chủng",Tổng Công ty Dịch vụ bay
CA,Tổng Cục,Tổng công ty 36 - Bộ Quốc Phòng
CB,Tổng Cục,Ngân hàng TMCP Quân Đội - Bộ Quốc Phòng
CC,Tổng Cục,Tổng công ty xăng dầu quân đội - Bộ Quốc Phòng
CH,Tổng Cục,Bộ phận chính trị của Khối văn phòng - Bộ Quốc Phòng
CM,Tổng Cục,Tổng công ty Thái Sơn - Bộ Quốc Phòng
CP,Tổng Cục,Tổng Công Ty 319 - Bộ Quốc Phòng
CV,Tổng Cục,Tổng công ty xây dựng Lũng Lô - Bộ Quốc Phòng
DB,Tổng Cục,Tổng công ty Đông Bắc - Bộ Quốc Phòng
HA,Học Viện,Học viện Quốc phòng
HB,Học Viện,Học viện Lục quân
HC,Học Viện,Học viện Chính trị quân sự
HD,Học Viện,Học viện Kỹ thuật Quân sự
HE,Học Viện,Học viện Hậu cần
HH,Học Viện,Học viện quân y
HN,Học Viện,Học viện chính trị Quân sự Bắc Ninh
HQ,Học Viện,Trường Sỹ quan lục quân II
HT,Học Viện,Trường Sỹ quan lục quân I
KA,Quân Khu,Quân khu 1
KB,Quân Khu,Quân khu 2
KC,Quân Khu,Quân khu 3
KD,Quân Khu,Quân khu 4
KK,Quân Khu,Quân khu 9
KN,Quân Khu,Đặc khu Quảng Ninh
KP,Quân Khu,Quân khu 7
KT,Quân Khu,Quân khu Thủ đô
KV,Quân Khu,Quân khu 5
ND,Tổng Cục,Tổng công ty Đầu tư Phát triển nhà - Bộ Quốc Phòng
NG,Đặc Biệt,Ngoại giao
NN,Đặc Biệt,Nước ngoài
PA,Cơ Quan Đặc Biệt,Cục đối ngoại BQP
PC,Cơ Quan Đặc Biệt,Tổng cục tình báo
PK,Cơ Quan Đặc Biệt,Ban Cơ yếu - Bộ Quốc phòng
PM,Cơ Quan Đặc Biệt,Viện thiết kế - Bộ Quốc phòng
PP,Cơ Quan Đặc Biệt,Bệnh viện 108 - Bộ Quốc phòng
PQ,Cơ Quan Đặc Biệt,Trung tâm khoa học và kỹ thuật QS
PT,Cơ Quan Đặc Biệt,Cục tài chính - Bộ Quốc phòng
PX,Cơ Quan Đặc Biệt,Trung tâm nhiệt đới Việt – Nga
PY,Cơ Quan Đặc Biệt,Cục Quân Y - Bộ Quốc phòng
QA,Quân Chủng,Quân chủng Phòng không không quân
QB,Quân Chủng,Bộ tư lệnh Bộ đội biên phòng
QH,Quân Chủng,Quân chủng Hải quân
TC,Tổng Cục,Tổng cục Chính trị
TH,Tổng Cục,Tổng cục Hậu cần
TK,Tổng Cục,Tổng cục Công nghiệp quốc phòng
TM,Tổng Cục,Bộ Tổng tham mưu
TN,Tổng Cục,Tổng cục tình báo quân đội
TT,Tổng Cục,Tổng cục kỹ thuật
VB,Tổng Cục,Khối văn phòng Binh chủng - Bộ Quốc Phòng
VK,Tổng Cục,Ủy ban tìm kiếm cứu nạn - Bộ Quốc Phòng
VT,Tổng Cục,Tập đoàn Viettel - Bộ Quốc Phòng
