"symbol","action","fullName","firstName","lastName","amount","asset","disclosureYear","disclosureDate","transactionDate","url"
"IFF","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","International Flavors & Fragrances Inc","2022","2022-04-16","2022-04-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020811.pdf"
"TJX","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","TJX Companies Inc","2022","2022-04-12","2022-04-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020782.pdf"
"NVDA","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","NVIDIA Corporation","2022","2022-04-12","2022-04-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020782.pdf"
"IFF","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","International Flavors & Fragrances Inc","2022","2022-04-12","2022-04-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020782.pdf"
"IFF","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","International Flavors & Fragrances Inc","2022","2022-04-12","2022-04-05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020782.pdf"
"IFF","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","International Flavors & Fragrances Inc","2022","2022-04-12","2022-04-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020781.pdf"
"NFLX","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Netflix Inc - Corporate Bond 5.75%","2022","2022-04-10","2022-03-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020770.pdf"
"JBI","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Janus International Group Inc","2022","2022-04-10","2022-03-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020770.pdf"
"JBI","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Janus International Group Inc","2022","2022-04-10","2022-03-25","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020770.pdf"
"IFF","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","International Flavors & Fragrances Inc","2022","2022-04-10","2022-04-04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020770.pdf"
"NFLX","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Netflix Inc - Corporate Bond 03/01/2024 Interest 5.75%","2022","2022-04-10","2022-03-29","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020769.pdf"
"JBI","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Janus International Group Inc","2022","2022-03-26","2022-03-16","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020690.pdf"
"NFLX","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Netflix","2022","2022-03-04","2022-02-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020565.pdf"
"C","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","CITI Group","2022","2022-03-04","2022-02-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020565.pdf"
"AMT","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","American Tower Corporation","2022","2022-03-04","2022-02-25","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020565.pdf"
"PSQ","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","ProShares Short QQQ","2022","2022-03-04","2022-02-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020564.pdf"
"ADSK","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Autodesk Inc","2022","2022-03-04","2022-03-03","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020564.pdf"
"ADSK","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Autodesk Inc","2022","2022-03-04","2022-02-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020564.pdf"
"PSQ","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","ProShares Short QQQ","2022","2022-03-04","2022-02-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020563.pdf"
"NFLX","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Netflix","2022","2022-03-04","2022-02-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020563.pdf"
"H","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Hyatt Hotels","2022","2022-03-04","2022-03-03","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020563.pdf"
"C","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","CITI Group","2022","2022-03-04","2022-02-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020563.pdf"
"PSQ","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","ProShares Short QQQ","2022","2022-03-04","2022-02-24","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020562.pdf"
"NFLX","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Netflix","2022","2022-03-04","2022-02-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020562.pdf"
"SPGI","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","S&P Global Inc.","2022","2022-02-18","2022-02-09","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020486.pdf"
"WFC","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Well Fargo & Co - Bond maturity 2/13/2023 - interest 3.45%","2022","2022-02-10","2022-01-26","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020427.pdf"
"HD","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Home Depot Inc","2022","2022-01-30","2022-01-21","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020334.pdf"
"HD","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Home Depot Inc","2022","2022-01-30","2022-01-21","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020333.pdf"
"HD","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Home Depot Inc","2022","2022-01-29","2022-01-21","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020331.pdf"
"PSQ","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","ProShares Short QQQ","2022","2022-01-27","2022-01-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020323.pdf"
"RUN","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Sunrun Inc","2022","2022-01-27","2022-01-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020322.pdf"
"PSQ","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","ProShares Short QQQ","2022","2022-01-27","2022-01-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020322.pdf"
"GOOG","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Alphabet Inc - Class C Capital Stock","2022","2022-01-27","2022-01-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020322.pdf"
"PSQ","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","ProShares Short QQQ","2022","2022-01-27","2022-01-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020321.pdf"
"GOOG","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Alphabet Inc - Class C Capital Stock","2022","2022-01-27","2022-01-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020321.pdf"
"DIS","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$50,001 - $100,000","Walt Disney Company","2022","2022-01-21","2021-03-02","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020274.pdf"
"UBER","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Uber Technologies Inc","2022","2022-01-21","2021-12-27","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020271.pdf"
"SCI","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Service Corp International Note - 4.625% interest maturity 12/15/2027","2022","2022-01-21","2021-12-30","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020271.pdf"
"JBI","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Janus International Group Inc","2022","2022-01-21","2022-01-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020271.pdf"
"TMUS","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","T-Mobile US Inc","2022","2022-01-21","2021-12-27","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020270.pdf"
"JBI","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Janus International Group Inc","2022","2022-01-06","2021-12-20","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020167.pdf"
"IWN","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","iShares Russel 2000 Value ETF","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020099.pdf"
"BKNG","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Booking Holdings Inc","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020099.pdf"
"IWN","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","iShares Russel 2000 Value ETF","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020098.pdf"
"BKNG","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Booking Holdings Inc","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020098.pdf"
"ADBE","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Adobe Inc","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020098.pdf"
"IWN","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","iShares Russel 2000 Value ETF","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020097.pdf"
"BKNG","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Booking Holdings Inc","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020097.pdf"
"ADBE","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Adobe Inc","2021","2021-12-25","2021-12-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020097.pdf"
"AZN","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","AstraZeneca PLC - ADR Shares","2021","2021-12-14","2021-12-01","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020009.pdf"
