symbol,name,lastsale,netchange,pctchange,marketCap,url
AATC,Autoscope Technologies Corporation Common Stock,$4.95,-0.04,-0.802%,"26,768,150",/market-activity/stocks/aatc
AAU,"Almaden Minerals, Ltd. Common Shares",$0.2401,0.0001,0.042%,"32,946,860",/market-activity/stocks/aau
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$100.31,-0.46,-0.456%,"2,845,212,701",/market-activity/stocks/aaww
AB,AllianceBernstein Holding L.P.  Units,$40.69,0.34,0.843%,"4,085,318,480",/market-activity/stocks/ab
ABB,ABB Ltd Common Stock,$31.475,-0.015,-0.048%,"59,015,625,000",/market-activity/stocks/abb
ABBV,AbbVie Inc. Common Stock,$161.67,0.49,0.304%,"285,910,243,728",/market-activity/stocks/abbv
ABC,AmerisourceBergen Corporation Common Stock,$170.33,-0.36,-0.211%,"34,481,846,387",/market-activity/stocks/abc
ABCB,Ameris Bancorp Common Stock,$52.53,-0.35,-0.662%,"3,643,045,274",/market-activity/stocks/abcb
ABCL,AbCellera Biologics Inc. Common Shares,$13.6481,0.7781,6.046%,"3,904,727,238",/market-activity/stocks/abcl
ABCM,Abcam plc American Depositary Shares,$16.58,0.54,3.367%,"3,797,569,847",/market-activity/stocks/abcm
ABEO,Abeona Therapeutics Inc. Common Stock,$3.76,UNCH,--,"64,581,004",/market-activity/stocks/abeo
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$3.0708,0.0208,0.682%,"48,339,250,273",/market-activity/stocks/abev
ABG,Asbury Automotive Group Inc Common Stock,$188.63,1.01,0.538%,"4,174,958,542",/market-activity/stocks/abg
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$10.02,-0.01,-0.10%,"193,712,151",/market-activity/stocks/abgi
ABIO,"ARCA biopharma, Inc. Common Stock",$2.09,UNCH,--,"30,117,199",/market-activity/stocks/abio
ABM,ABM Industries Incorporated Common Stock,$47.47,0.29,0.615%,"3,140,213,604",/market-activity/stocks/abm
ABMD,"ABIOMED, Inc. Common Stock",$377.08,-0.71,-0.188%,"17,002,983,663",/market-activity/stocks/abmd
ABNB,"Airbnb, Inc. Class A Common Stock",$101.345,-0.795,-0.778%,"60,442,057,364",/market-activity/stocks/abnb
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",$5.735,0.055,0.968%,"234,706,504",/market-activity/stocks/abos
ABR,Arbor Realty Trust Common Stock,$15.075,0.195,1.31%,"2,585,718,149",/market-activity/stocks/abr
ABR^D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",$18.24,UNCH,--,NA,/market-activity/stocks/abr^d
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$17.98,0.29,1.639%,NA,/market-activity/stocks/abr^e
ABR^F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",$19.552,-0.348,-1.749%,NA,/market-activity/stocks/abr^f
ABSI,Absci Corporation Common Stock,$2.57,0.07,2.80%,"237,454,916",/market-activity/stocks/absi
ABST,Absolute Software Corporation Common Stock,$10.05,0.36,3.715%,"525,077,084",/market-activity/stocks/abst
ABT,Abbott Laboratories Common Stock,$108.225,0.645,0.60%,"188,698,272,016",/market-activity/stocks/abt
ABUS,Arbutus Biopharma Corporation Common Stock,$2.405,0.055,2.34%,"376,303,339",/market-activity/stocks/abus
ABVC,"ABVC BioPharma, Inc. Common Stock",$0.7436,0.0049,0.663%,"24,265,400",/market-activity/stocks/abvc
AC,"Associated Capital Group, Inc. Common Stock",$40.45,UNCH,--,"889,989,071",/market-activity/stocks/ac
ACA,"Arcosa, Inc. Common Stock ",$61.3256,0.2256,0.369%,"2,965,367,744",/market-activity/stocks/aca
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.11,UNCH,--,"379,125,000",/market-activity/stocks/acab
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$10.16,-0.02,-0.196%,"109,537,500",/market-activity/stocks/acac
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$15.52,-0.06,-0.385%,"2,513,169,027",/market-activity/stocks/acad
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$9.94,-0.01,-0.101%,"428,662,500",/market-activity/stocks/acah
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$9.93,0.01,0.101%,NA,/market-activity/stocks/acahu
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.07,UNCH,--,NA,/market-activity/stocks/acahw
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,$10.23,-0.02,-0.195%,"328,485,300",/market-activity/stocks/acaq
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,$9.94,0.04,0.404%,"111,874,700",/market-activity/stocks/acax
ACB,Aurora Cannabis Inc. Common Shares,$1.30,0.03,2.362%,"421,632,358",/market-activity/stocks/acb
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.59,UNCH,--,"64,111,860",/market-activity/stocks/acba
ACCD,"Accolade, Inc. Common Stock",$9.10,0.27,3.058%,"654,644,081",/market-activity/stocks/accd
ACCO,Acco Brands Corporation Common Stock,$5.68,0.11,1.975%,"535,402,060",/market-activity/stocks/acco
ACDC,ProFrac Holding Corp. Class A Common Stock,$24.38,0.80,3.393%,"1,315,517,836",/market-activity/stocks/acdc
ACDCW,ProFrac Holding Corp. Warrant,$0.05,0.0011,2.249%,NA,/market-activity/stocks/acdcw
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,$10.26,0.01,0.098%,"384,750,000",/market-activity/stocks/acdi
ACEL,"Accel Entertainment, Inc. ",$8.745,0.195,2.281%,"764,899,597",/market-activity/stocks/acel
ACER,Acer Therapeutics Inc. Common Stock (DE),$1.301,0.031,2.441%,"21,302,068",/market-activity/stocks/acer
ACET,"Adicet Bio, Inc. Common Stock ",$18.24,0.06,0.33%,"357,318,463",/market-activity/stocks/acet
ACGL,Arch Capital Group Ltd. Common Stock,$59.39,-0.52,-0.868%,"21,966,759,074",/market-activity/stocks/acgl
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",$19.16,-0.08,-0.416%,NA,/market-activity/stocks/acgln
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",$22.3852,0.1852,0.834%,NA,/market-activity/stocks/acglo
ACHC,"Acadia Healthcare Company, Inc. Common Stock",$87.215,-1.845,-2.072%,"7,934,534,024",/market-activity/stocks/achc
ACHL,Achilles Therapeutics plc American Depositary Shares,$1.965,-0.055,-2.723%,"80,444,669",/market-activity/stocks/achl
ACHR,Archer Aviation Inc. Class A Common Stock,$2.6214,0.1114,4.438%,"637,772,976",/market-activity/stocks/achr
ACHV,"Achieve Life Sciences, Inc. Common Shares",$2.80,UNCH,--,"50,111,681",/market-activity/stocks/achv
ACI,"Albertsons Companies, Inc. Class A Common Stock",$20.955,0.005,0.024%,"11,212,314,568",/market-activity/stocks/aci
ACII,Atlas Crest Investment Corp. II Class A Common Stock,$10.09,UNCH,--,"435,131,250",/market-activity/stocks/acii
ACIU,AC Immune SA Common Stock,$2.40,-0.15,-5.882%,"200,192,395",/market-activity/stocks/aciu
ACIW,"ACI Worldwide, Inc. Common Stock",$21.5451,0.6451,3.087%,"2,421,111,933",/market-activity/stocks/aciw
ACLS,"Axcelis Technologies, Inc. Common Stock",$78.845,-1.015,-1.271%,"2,589,949,602",/market-activity/stocks/acls
ACLX,"Arcellx, Inc. Common Stock",$20.2042,0.2642,1.325%,"886,032,825",/market-activity/stocks/aclx
ACM,AECOM Common Stock,$84.91,-0.09,-0.106%,"11,772,795,275",/market-activity/stocks/acm
ACMR,"ACM Research, Inc. Class A Common Stock",$8.93,-0.13,-1.435%,"530,980,720",/market-activity/stocks/acmr
ACN,Accenture plc Class A Ordinary Shares (Ireland),$304.19,3.26,1.083%,"191,664,023,032",/market-activity/stocks/acn
ACNB,ACNB Corporation Common Stock,$39.30,UNCH,--,"334,460,213",/market-activity/stocks/acnb
ACNT,Ascent Industries Co. Common Stock,$10.75,0.12,1.129%,"110,044,353",/market-activity/stocks/acnt
ACON,"Aclarion, Inc. Common Stock",$0.885,0.1146,14.875%,"6,922,041",/market-activity/stocks/acon
ACONW,"Aclarion, Inc. Warrant",$0.36,0.0617,20.684%,NA,/market-activity/stocks/aconw
ACOR,"Acorda Therapeutics, Inc. Common Stock",$0.64,0.0012,0.188%,"15,576,201",/market-activity/stocks/acor
ACP,abrdn Income Credit Strategies Fund Common Shares,$7.1604,0.0004,0.006%,"177,570,516",/market-activity/stocks/acp
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$21.00,0.16,0.768%,NA,/market-activity/stocks/acp^a
ACQR,Independence Holdings Corp. Class A Ordinary Share,$10.03,UNCH,--,"621,746,009",/market-activity/stocks/acqr
ACQRU,Independence Holdings Corp. Units,$10.02,-0.03,-0.299%,NA,/market-activity/stocks/acqru
ACQRW,Independence Holdings Corp. Warrant,$0.0385,0.0083,27.483%,NA,/market-activity/stocks/acqrw
ACR,ACRES Commercial Realty Corp. Common Stock,$9.82,-0.04,-0.406%,"86,009,167",/market-activity/stocks/acr
ACR^C,"ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ",$21.50,-0.07,-0.325%,NA,/market-activity/stocks/acr^c
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$19.06,0.16,0.847%,NA,/market-activity/stocks/acr^d
ACRE,Ares Commercial Real Estate Corporation Common Stock,$12.62,0.16,1.284%,"687,066,230",/market-activity/stocks/acre
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,$9.87,-0.01,-0.101%,"425,643,750",/market-activity/stocks/acro
ACRS,"Aclaris Therapeutics, Inc. Common Stock",$15.77,0.55,3.614%,"1,051,593,922",/market-activity/stocks/acrs
ACRV,"Acrivon Therapeutics, Inc. Common Stock",$12.7642,-0.0858,-0.668%,"271,364,633",/market-activity/stocks/acrv
ACRX,"AcelRx Pharmaceuticals, Inc. Common Stock",$2.37,-0.02,-0.837%,"17,654,997",/market-activity/stocks/acrx
ACST,"Acasti Pharma, Inc. Class A Common Stock",$0.44,0.0212,5.062%,"19,629,646",/market-activity/stocks/acst
ACT,"Enact Holdings, Inc. Common Stock",$24.87,0.07,0.282%,"4,049,895,810",/market-activity/stocks/act
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$4.105,-0.025,-0.605%,"178,732,833",/market-activity/stocks/actg
ACU,Acme United Corporation. Common Stock,$24.00,0.32,1.351%,"84,833,496",/market-activity/stocks/acu
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$20.6505,0.3905,1.927%,"214,000,182",/market-activity/stocks/acv
ACVA,ACV Auctions Inc. Class A Common Stock,$9.08,0.24,2.715%,"1,436,589,794",/market-activity/stocks/acva
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",$3.2899,0.0999,3.132%,"38,138,524",/market-activity/stocks/acxp
ADAG,Adagene Inc. American Depositary Shares,$1.08,UNCH,--,"46,897,039",/market-activity/stocks/adag
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,$10.22,-0.0025,-0.024%,"308,516,250",/market-activity/stocks/adal
ADALU,Anthemis Digital Acquisitions I Corp Unit,$10.26,0.04,0.391%,NA,/market-activity/stocks/adalu
ADALW,Anthemis Digital Acquisitions I Corp Warrant,$0.10,-0.01,-9.091%,NA,/market-activity/stocks/adalw
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$2.12,-0.05,-2.304%,"347,317,518",/market-activity/stocks/adap
ADBE,Adobe Inc. Common Stock,$347.155,2.225,0.645%,"161,392,359,500",/market-activity/stocks/adbe
ADC,Agree Realty Corporation Common Stock,$70.575,0.625,0.893%,"6,251,056,978",/market-activity/stocks/adc
ADC^A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",$17.60,0.15,0.86%,NA,/market-activity/stocks/adc^a
ADCT,ADC Therapeutics SA Common Shares,$3.715,0.055,1.503%,"288,452,215",/market-activity/stocks/adct
ADD,Color Star Technology Co. Ltd. Ordinary Shares,$0.85,0.0425,5.263%,"5,584,245",/market-activity/stocks/add
ADEA,Adeia Inc. Common Stock,$11.13,0.08,0.724%,"1,169,307,549",/market-activity/stocks/adea
ADER,26 Capital Acquisition Corp. Class A Common Stock,$10.02,-0.02,-0.199%,"344,437,500",/market-activity/stocks/ader
ADERW,26 Capital Acquisition Corp. Warrant,$0.35,UNCH,--,NA,/market-activity/stocks/aderw
ADES,"Advanced Emissions Solutions, Inc. Common Stock",$2.82,0.03,1.075%,"53,892,766",/market-activity/stocks/ades
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.03,0.01,0.10%,"346,035,000",/market-activity/stocks/adex
ADI,"Analog Devices, Inc. Common Stock",$171.02,-0.89,-0.518%,"87,099,791,830",/market-activity/stocks/adi
ADIL,"Adial Pharmaceuticals, Inc Common Stock",$0.2749,0.005,1.853%,"7,382,154",/market-activity/stocks/adil
ADM,Archer-Daniels-Midland Company Common Stock,$94.18,-3.32,-3.405%,"51,736,297,499",/market-activity/stocks/adm
ADMA,ADMA Biologics Inc Common Stock,$3.305,-0.035,-1.048%,"650,349,003",/market-activity/stocks/adma
ADMP,Adamis Pharmaceuticals Corporation Common Stock,$0.196,-0.0037,-1.853%,"29,396,720",/market-activity/stocks/admp
ADN,"Advent Technologies Holdings, Inc. Class A Common Stock",$2.185,-0.035,-1.577%,"44,657,484",/market-activity/stocks/adn
ADNT,"Adient plc Ordinary Shares ",$39.475,0.535,1.374%,"3,744,525,708",/market-activity/stocks/adnt
ADNWW,"Advent Technologies Holdings, Inc. Warrant",$0.25,UNCH,--,NA,/market-activity/stocks/adnww
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.40,0.01,0.096%,"50,238,500",/market-activity/stocks/adoc
ADOCR,Edoc Acquisition Corp. Right,$0.04,-0.01,-20.00%,NA,/market-activity/stocks/adocr
ADOCW,Edoc Acquisition Corp. Warrant,$0.0065,UNCH,--,NA,/market-activity/stocks/adocw
ADP,"Automatic Data Processing, Inc. Common Stock",$268.41,4.27,1.617%,"111,343,921,477",/market-activity/stocks/adp
ADPT,Adaptive Biotechnologies Corporation Common Stock,$8.92,0.14,1.595%,"1,275,668,440",/market-activity/stocks/adpt
ADRA,Adara Acquisition Corp. Class A Common Stock,$10.05,UNCH,--,"144,468,750",/market-activity/stocks/adra
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.17,UNCH,--,"146,193,750",/market-activity/stocks/adrt
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$5.30,0.15,2.913%,"258,681,859",/market-activity/stocks/adse
ADSEW,ADS-TEC ENERGY PLC Warrant,$0.59,UNCH,--,NA,/market-activity/stocks/adsew
ADSK,"Autodesk, Inc. Common Stock",$206.46,4.51,2.233%,"44,566,259,050",/market-activity/stocks/adsk
ADT,ADT Inc. Common Stock,$9.43,0.09,0.964%,"8,613,996,337",/market-activity/stocks/adt
ADTH,"AdTheorent Holding Company, Inc. Common Stock",$1.955,0.025,1.295%,"169,894,069",/market-activity/stocks/adth
ADTHW,"AdTheorent Holding Company, Inc. Warrants",$0.1484,-0.0016,-1.067%,NA,/market-activity/stocks/adthw
ADTN,"ADTRAN Holdings, Inc. Common Stock",$20.35,0.08,0.395%,"1,580,298,359",/market-activity/stocks/adtn
ADTX,"Aditxt, Inc. Common Stock",$1.765,-0.025,-1.397%,"7,344,393",/market-activity/stocks/adtx
ADUS,Addus HomeCare Corporation Common Stock,$110.355,0.075,0.068%,"1,777,859,219",/market-activity/stocks/adus
ADV,Advantage Solutions Inc. Class A Common Stock,$2.575,0.095,3.831%,"823,187,490",/market-activity/stocks/adv
ADVM,"Adverum Biotechnologies, Inc. Common Stock",$0.661,-0.0089,-1.329%,"65,920,886",/market-activity/stocks/advm
ADVWW,Advantage Solutions Inc. Warrant,$0.21,UNCH,--,NA,/market-activity/stocks/advww
ADX,Adams Diversified Equity Fund Inc.,$15.6199,0.0799,0.514%,"1,840,647,173",/market-activity/stocks/adx
ADXN,Addex Therapeutics Ltd American Depositary Shares,$0.755,-0.0149,-1.935%,"9,707,544",/market-activity/stocks/adxn
AE,"Adams Resources & Energy, Inc. Common Stock",$37.8875,-0.7125,-1.846%,"92,915,457",/market-activity/stocks/ae
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$10.05,-0.01,-0.099%,"301,500,000",/market-activity/stocks/aeac
AEACW,Authentic Equity Acquisition Corp. Warrant,$0.008,0.0018,29.032%,NA,/market-activity/stocks/aeacw
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,$10.13,0.01,0.099%,"291,237,500",/market-activity/stocks/aeae
AEAEW,AltEnergy Acquisition Corp. Warrant,$0.077,0.0166,27.483%,NA,/market-activity/stocks/aeaew
AEE,Ameren Corporation Common Stock,$90.48,1.16,1.299%,"23,391,085,851",/market-activity/stocks/aee
AEF,"abrdn Emerging Markets Equity Income Fund, Inc. Common Stock",$5.21,0.08,1.559%,"264,416,763",/market-activity/stocks/aef
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$20.44,0.18,0.888%,NA,/market-activity/stocks/aefc
AEG,AEGON N.V. Common Stock,$4.955,0.085,1.745%,"9,796,786,064",/market-activity/stocks/aeg
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,$10.31,UNCH,--,"136,349,750",/market-activity/stocks/aeha
AEHAW,Aesther Healthcare Acquisition Corp Warrants,$0.16,0.005,3.226%,NA,/market-activity/stocks/aehaw
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),$0.5139,UNCH,--,"3,145,882",/market-activity/stocks/aehl
AEHR,Aehr Test Systems Common Stock,$26.925,0.855,3.28%,"740,312,460",/market-activity/stocks/aehr
AEI,Alset Inc. Common Stock (TX),$0.2451,-0.0086,-3.39%,"36,399,112",/market-activity/stocks/aei
AEIS,"Advanced Energy Industries, Inc. Common Stock",$91.66,-0.98,-1.058%,"3,426,536,321",/market-activity/stocks/aeis
AEL,American Equity Investment Life Holding Company Common Stock,$40.6006,0.0906,0.224%,"3,479,563,177",/market-activity/stocks/ael
AEL^A,"American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A",$21.62,-0.10,-0.46%,NA,/market-activity/stocks/ael^a
AEL^B,"American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B",$23.82,-0.17,-0.709%,NA,/market-activity/stocks/ael^b
AEM,Agnico Eagle Mines Limited Common Stock,$52.03,1.66,3.296%,"23,722,475,004",/market-activity/stocks/aem
AEMD,"Aethlon Medical, Inc. Common Stock",$0.42,-0.003,-0.709%,"9,637,417",/market-activity/stocks/aemd
AENZ,Aenza S.A.A. American Depositary Shares,$2.2655,-0.0345,-1.50%,"180,783,878",/market-activity/stocks/aenz
AEO,"American Eagle Outfitters, Inc. Common Stock",$15.665,-0.155,-0.98%,"2,935,718,687",/market-activity/stocks/aeo
AEP,"American Electric Power Company, Inc. Common Stock",$97.675,0.875,0.904%,"50,191,634,749",/market-activity/stocks/aep
AEPPZ,"American Electric Power Company, Inc. Corporate Units",$53.15,0.33,0.625%,NA,/market-activity/stocks/aeppz
AER,AerCap Holdings N.V. Ordinary Shares,$61.34,-0.06,-0.098%,"15,082,250,738",/market-activity/stocks/aer
AERC,"AeroClean Technologies, Inc. Common Stock",$3.345,0.015,0.45%,"51,837,238",/market-activity/stocks/aerc
AES,The AES Corporation Common Stock,$29.085,0.165,0.571%,"19,427,319,293",/market-activity/stocks/aes
AESC,The AES Corporation Corporate Units,$103.11,0.44,0.429%,NA,/market-activity/stocks/aesc
AEVA,"Aeva Technologies, Inc. Common Stock",$1.765,0.085,5.06%,"385,177,237",/market-activity/stocks/aeva
AEY,"ADDvantage Technologies Group, Inc. Common Stock",$1.67,-0.04,-2.339%,"23,412,802",/market-activity/stocks/aey
AEYE,"AudioEye, Inc. Common Stock",$4.71,0.02,0.426%,"54,205,869",/market-activity/stocks/aeye
AEZS,Aeterna Zentaris Inc. Common Stock,$3.8323,-0.0877,-2.237%,"18,609,174",/market-activity/stocks/aezs
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,$10.25,-0.01,-0.097%,"221,015,625",/market-activity/stocks/afac
AFACU,Arena Fortify Acquisition Corp. Unit,$10.25,0.01,0.098%,NA,/market-activity/stocks/afacu
AFAQ,AF Acquisition Corp. Class A Common Stock,$10.06,UNCH,--,"281,680,000",/market-activity/stocks/afaq
AFAQU,AF Acquisition Corp. Units,$10.04,UNCH,--,NA,/market-activity/stocks/afaqu
AFAQW,AF Acquisition Corp. Warrants,$0.044,0.024,120.00%,NA,/market-activity/stocks/afaqw
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,$10.17,0.01,0.098%,"147,363,300",/market-activity/stocks/afar
AFARU,Aura FAT Projects Acquisition Corp Unit,$10.14,-0.05,-0.491%,NA,/market-activity/stocks/afaru
AFARW,Aura FAT Projects Acquisition Corp Warrant,$0.035,-0.01,-22.222%,NA,/market-activity/stocks/afarw
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.87,-0.02,-0.184%,"312,457,454",/market-activity/stocks/afb
AFBI,"Affinity Bancshares, Inc. Common Stock (MD)",$14.66,UNCH,--,"97,257,211",/market-activity/stocks/afbi
AFCG,"AFC Gamma, Inc. Common Stock",$17.4506,-0.0294,-0.168%,"355,364,018",/market-activity/stocks/afcg
AFG,"American Financial Group, Inc. Common Stock",$142.16,-0.06,-0.042%,"12,104,000,386",/market-activity/stocks/afg
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",$24.00,0.26,1.095%,NA,/market-activity/stocks/afgb
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",$20.98,0.15,0.72%,"20,939,299",/market-activity/stocks/afgc
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",$22.26,0.02,0.09%,NA,/market-activity/stocks/afgd
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",$18.98,-0.21,-1.094%,NA,/market-activity/stocks/afge
AFIB,"Acutus Medical, Inc. Common Stock",$0.823,0.013,1.605%,"23,416,199",/market-activity/stocks/afib
AFL,AFLAC Incorporated Common Stock,$71.98,0.05,0.07%,"44,756,340,549",/market-activity/stocks/afl
AFMD,Affimed N.V.,$2.13,-0.01,-0.467%,"318,092,784",/market-activity/stocks/afmd
AFRI,Forafric Global PLC Ordinary Shares,$11.30,0.01,0.089%,"303,146,479",/market-activity/stocks/afri
AFRIW,Forafric Global PLC Warrants,$0.40,0.02,5.263%,NA,/market-activity/stocks/afriw
AFRM,"Affirm Holdings, Inc. Class A Common Stock",$14.05,0.13,0.934%,"4,076,608,385",/market-activity/stocks/afrm
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,$12.85,0.02,0.156%,"200,120,439",/market-activity/stocks/aft
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,$9.96,UNCH,--,"311,250,000",/market-activity/stocks/aftr
AFYA,Afya Limited Class A Common Shares,$14.97,-0.05,-0.333%,"1,346,350,094",/market-activity/stocks/afya
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$9.525,0.235,2.53%,"2,528,513,872",/market-activity/stocks/ag
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,$9.995,UNCH,--,"517,241,250",/market-activity/stocks/agac
AGAE,Allied Gaming & Entertainment Inc. Common Stock,$1.32,1.32,--,"51,592,820",/market-activity/stocks/agae
AGBA,AGBA Group Holding Limited Ordinary Share,$2.96,0.01,0.339%,"181,781,000",/market-activity/stocks/agba
AGBAW,AGBA Group Holding Limited Warrant,$0.08,0.01,14.286%,NA,/market-activity/stocks/agbaw
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,$10.00,-0.02,-0.20%,"573,500,000",/market-activity/stocks/agcb
AGCO,AGCO Corporation Common Stock,$132.36,-0.36,-0.271%,"9,873,801,472",/market-activity/stocks/agco
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,$9.89,0.10,1.021%,"124,115,366",/market-activity/stocks/agd
AGE,"AgeX Therapeutics, Inc. Common Stock",$0.5701,0.0101,1.804%,"21,633,671",/market-activity/stocks/age
AGEN,Agenus Inc. Common Stock,$2.655,-0.045,-1.667%,"809,275,024",/market-activity/stocks/agen
