"id","teamId","shirtNumber","position",positionAcronym,"fullName","dateOfBirth","height","weight","goals","penalty","yellowCards","redCards"
"BIDU-23","BIDU","23","Tiền đạo",ST,"Hà Trung Hậu","03-10-2002","178","73","0","0","0","0"
"BIDU-24","BIDU","24","Tiền vệ",MF,"Trần Hoàng Bảo","15-05-2001","176","58","0","0","0","0"
"BIDU-25","BIDU","25","Thủ môn",GK,"Trần Đức Cường","20-05-1985","183","75","0","0","0","0"
"BIDU-26","BIDU","26","Tiền vệ",MF,"Lê Vũ Quốc Nhật","16-10-1996","171","64","0","0","0","0"
"BIDU-27","BIDU","27","Hậu vệ",DF,"Nguyễn Trung Tín","14-09-1991","178","75","0","0","0","0"
"BIDU-28","BIDU","28","Tiền vệ",MF,"Tô Văn Vũ","20-10-1993","171","62","0","0","2","0"
"BIDU-29","BIDU","29","Tiền vệ",MF,"Võ Hoàng Minh Khoa","12-03-2001","173","68","0","0","1","0"
"BIDU-30","BIDU","30","Thủ môn",GK,"Lại Tuấn Vũ","03-02-1993","183","76","0","0","0","0"
"BIDU-33","BIDU","33","Hậu vệ",DF,"Lê Văn Đại","02-08-1996","181","78","0","0","0","0"
"BIDU-39","BIDU","39","Tiền đạo",ST,"Ceesay Dawda","1993","185","86","0","0","0","0"
"BIDU-46","BIDU","46","Thủ môn",GK,"Phan Minh Thành","22-11-1998","192","78","0","0","0","0"
"THH-1","THH","1","Thủ môn",GK,"Lương Bá Sơn","10-10-1992","180","74","0","0","0","0"
"THH-2","THH","2","Tiền vệ",MF,"Hoàng Đình Tùng","24-08-1988","167","60","0","0","0","0"
"THH-3","THH","3","Hậu vệ",DF,"Vũ Xuân Cường","06-08-1992","171","70","0","0","0","0"
"THH-4","THH","4","Hậu vệ",DF,"Đàm Tiến Dũng","10-01-1996","178","75","0","0","1","0"
"THH-5","THH","5","Tiền vệ",MF,"Nguyễn Minh Tùng","09-08-1992","183","76","0","0","0","0"
"THH-7","THH","7","Tiền vệ",MF,"Nguyễn Hữu Dũng","28-08-1995","170","60","0","0","0","0"
"THH-8","THH","8","Tiền vệ",MF,"Jose Paulo De Oliveira Pinto","26-03-1994","188","91","0","0","0","0"
"THH-9","THH","9","Tiền vệ",MF,"Lê Xuân Hùng","14-11-1991","168","62","0","0","0","0"
"THH-10","THH","10","Tiền vệ",MF,"Lê Văn Thắng","08-02-1990","177","69","1","0","0","0"
"THH-11","THH","11","Tiền vệ",MF,"Lê Phạm Thành Long","05-06-1996","165","64","0","0","0","0"
"THH-12","THH","12","Tiền vệ",MF,"Nguyễn Thái Sơn","13-07-2003","171","61","0","0","0","0"
"THH-15","THH","15","Hậu vệ",DF,"Trịnh Văn Lợi","26-05-1995","180","70","0","0","0","0"
"THH-16","THH","16","Tiền vệ",MF,"Đinh Tiến Thành","24-01-1991","185","71","0","0","0","0"
"THH-17","THH","17","Hậu vệ",DF,"Trịnh Đình Hùng","03-09-1995","175","69","0","0","0","0"
"THH-18","THH","18","Tiền vệ",MF,"Nguyễn Văn Tiếp","21-11-2003","174","64","0","0","0","0"
"THH-19","THH","19","Tiền vệ",MF,"Lê Quốc Phương","19-05-1991","165","59","0","0","0","0"
"THH-20","THH","20","Tiền vệ",MF,"Nguyễn Trọng Hùng","03-10-1997","171","66","0","0","0","0"
"THH-21","THH","21","Hậu vệ",DF,"Nguyễn Đình Huyên","12-08-2001","178","70","0","0","0","0"
"THH-23","THH","23","Thủ môn",GK,"Trịnh Xuân Hoàng","06-11-2000","184","79","0","0","0","0"
"THH-25","THH","25","Thủ môn",GK,"Nguyễn Thanh Diệp","06-09-1991","180","73","0","0","0","0"
"THH-26","THH","26","Thủ môn",GK,"Trần Bữu Ngọc","26-02-1991","190","94","0","0","0","0"
"THH-30","THH","30","Tiền vệ",MF,"Đỗ Văn Đạt","09-01-2000","171","68","0","0","0","0"
"THH-31","THH","31","Tiền đạo",ST,"Lê Văn Cường","17-06-2003","178","69","0","0","0","0"
"THH-32","THH","32","Tiền vệ",MF,"Lê Ngọc Nam","26-02-1993","166","65","0","0","0","0"
"THH-34","THH","34","Hậu vệ",DF,"Doãn Ngọc Tân","15-08-1994","169","58","0","0","1","0"
"THH-42","THH","42","Hậu vệ",DF,"Victor Kamhuka","02-04-1990","192","90","0","0","1","0"
"THH-89","THH","89","Tiền vệ",MF,"Lục Xuân Hưng","15-04-1995","180","75","0","0","0","0"
"THH-93","THH","93","Tiền đạo",ST,"Paulo Henrique Ribeiro Silva","02-07-1993","183","88","0","0","0","0"
"THH-98","THH","98","Tiền vệ",MF,"Nguyễn Hữu Lâm","16-08-1998","185","81","0","0","0","0"
"HAN-1","HAN","1","Thủ môn",GK,"Bùi Tấn Trường","19-02-1986","188","88","0","0","0","0"
"HAN-5","HAN","5","Hậu vệ",DF,"Đoàn Văn Hậu","19-04-1999","186","82","0","0","0","0"
"HAN-6","HAN","6","Tiền vệ",MF,"Vũ Minh Tuấn","19-09-1990","174","66","0","0","0","0"
"HAN-8","HAN","8","Tiền vệ",MF,"Đậu Văn Toàn","07-04-1997","170","69","0","0","0","0"
"HAN-9","HAN","9","Tiền đạo",ST,"Phạm Tuấn Hải","19-05-1998","172","68","0","0","0","0"
"HAN-10","HAN","10","Tiền đạo",ST,"Nguyễn Văn Quyết","01-07-1991","172","65","0","0","0","0"
"HAN-11","HAN","11","Tiền vệ",MF,"Phạm Thành Lương","10-09-1988","166","62","0","0","0","0"
"HAN-13","HAN","13","Hậu vệ",DF,"Trần Văn Kiên","13-05-1996","168","64","0","0","0","0"
"HAN-14","HAN","14","Tiền vệ",MF,"Nguyễn Hai Long","27-08-2000","168","63","0","0","0","0"
"HAN-15","HAN","15","Tiền vệ",MF,"Phạm Đức Huy","20-01-1995","172","69","0","0","0","0"
"HAN-16","HAN","16","Hậu vệ",DF,"Nguyễn Thành Chung","29-03-1997","180","70","0","0","0","0"
"HAN-17","HAN","17","Hậu vệ",DF,"Đặng Văn Tới","12-01-1999","178","73","0","0","0","0"
"HAN-18","HAN","18","Thủ môn",GK,"Nguyễn Văn Công","01-08-1992","182","84","0","0","0","0"
"HAN-19","HAN","19","Tiền vệ",MF,"Nguyễn Quang Hải","12-04-1997","168","65","0","0","0","0"
"HAN-20","HAN","20","Hậu vệ",DF,"Bùi Hoàng Việt Anh","01-01-1999","186","77","0","0","0","0"
"HAN-22","HAN","22","Tiền đạo",ST,"Josip Ivancic","29-03-1993","192","88","0","0","0","0"
"HAN-25","HAN","25","Tiền đạo",ST,"Lê Xuân Tú","06-09-1999","180","70","0","0","0","0"
"HAN-26","HAN","26","Tiền vệ",MF,"Nguyễn Tuấn Anh","07-07-1999","168","63","0","0","0","0"
"HAN-27","HAN","27","Hậu vệ",DF,"Vũ Tiến Long","04-04-2002","174","72","0","0","0","0"
"HAN-28","HAN","28","Hậu vệ",DF,"Đỗ Duy Mạnh","29-09-1996","180","70","0","0","0","0"
"HAN-29","HAN","29","Tiền vệ",MF,"Ngô Đức Hoàng","16-09-2002","178","74","0","0","0","0"
"HAN-31","HAN","31","Thủ môn",GK,"Nguyễn Bá Minh Hiếu","23-05-1997","184","80","0","0","0","0"
"HAN-32","HAN","32","Tiền vệ",MF,"Zec Đuro","06-03-1990","178","75","0","0","0","0"
"HAN-37","HAN","37","Thủ môn",GK,"Quan Văn Chuẩn","07-01-2001","181","71","0","0","0","0"
"HAN-45","HAN","45","Hậu vệ",DF,"Lê Văn Xuân","27-02-1999","168","69","0","0","0","0"
"HAN-52","HAN","52","Hậu vệ",DF,"Nguyễn Văn Vĩ","12-02-1998","169","65","0","0","0","0"
"HAN-65","HAN","65","Tiền vệ",MF,"Trần Văn Đạt","26-12-2000","175","68","0","0","0","0"
"HAN-66","HAN","66","Hậu vệ",DF,"Nguyễn Văn Dũng","14-04-1994","180","75","0","0","0","0"
"HAN-74","HAN","74","Tiền vệ",MF,"Trương Văn Thái Quý","22-08-1997","168","64","0","0","0","0"
"HAN-88","HAN","88","Tiền vệ",MF,"Đỗ Hùng Dũng","08-09-1993","170","66","0","0","0","0"
"HAN-89","HAN","89","Tiền đạo",ST,"Nguyễn Văn Tùng","02-06-2001","180","65","0","0","0","0"
"HAN-99","HAN","99","Tiền vệ",MF,"Siladi Vladimir",,"180","79","0","0","0","0"
"HAP-1","HAP","1","Thủ môn",GK,"Nguyễn Đình Triệu","04-11-1991","178","75","0","0","0","0"
"HAP-2","HAP","2","Hậu vệ",DF,"Nguyễn Anh Hùng","14-08-1992","166","66","0","0","0","0"
"HAP-3","HAP","3","Hậu vệ",DF,"Nguyễn Trọng Hiếu","17-01-2001","178","75","0","0","0","0"
"HAP-4","HAP","4","Hậu vệ",DF,"Nguyễn Cảnh Anh","12-01-2000","180","70","0","0","0","0"
"HAP-5","HAP","5","Trung vệ",CB,"Đào Duy Khánh","30-01-1994","180","76","0","0","0","0"
"HAP-6","HAP","6","Tiền vệ",MF,"Martin Lo","03-09-1997","165","65","0","0","0","0"
"HAP-7","HAP","7","Tiền đạo",ST,"Mpande Joseph Mbolimbo","23-03-1994","185","88","1","0","0","0"
"HAP-8","HAP","8","Tiền vệ",MF,"Moses Oloya","22-10-1992","182","82","0","0","0","0"
"HAP-9","HAP","9","Tiền đạo",ST,"Rimario Allando Gordon","06-07-1994","177","86","2","0","1","0"
"HAP-10","HAP","10","Tiền vệ",MF,"Châu Ngọc Quang","01-02-1996","170","60","0","0","1","0"
"HAP-11","HAP","11","Hậu vệ",DF,"Lê Trung Hiếu","16-02-1994","169","65","0","0","0","0"
"HAP-12","HAP","12","Hậu vệ",DF,"Trịnh Hoa Hùng","07-11-1991","173","68","0","0","0","0"
"HAP-14","HAP","14","Tiền vệ",MF,"Nguyễn Hải Huy","18-06-1991","172","67","0","0","0","0"
"HAP-16","HAP","16","Hậu vệ",DF,"Bùi Tiến Dụng","23-11-1998","175","73","0","0","0","0"
"HAP-17","HAP","17","Hậu vệ",DF,"Phạm Trung Hiếu","02-09-1998","169","63","0","0","1","0"
"HAP-18","HAP","18","Tiền đạo",ST,"Vũ Minh Hiếu","10-02-2002","181","80","0","0","0","0"
"HAP-19","HAP","19","Tiền vệ",MF,"Lê Mạnh Dũng","10-02-1994","172","70","0","0","0","0"
"HAP-20","HAP","20","Hậu vệ",DF,"Vũ Ngọc Thịnh","08-07-1992","180","75","0","0","0","0"
"HAP-21","HAP","21","Hậu vệ",DF,"Nguyễn Hữu Phúc","20-12-1992","175","71","0","0","0","0"
"HAP-22","HAP","22","Tiền vệ",MF,"Nguyễn Phú Nguyên","29-10-1995","170","68","0","0","0","0"
"HAP-23","HAP","23","Tiền vệ",MF,"Nguyễn Kiên Quyết","14-11-1996","168","61","0","0","0","0"
"HAP-25","HAP","25","Thủ môn",GK,"Phạm Văn Luân","12-07-1994","177","73","0","0","0","0"
"HAP-26","HAP","26","Thủ môn",GK,"Nguyễn Văn Toản","26-11-1999","187","84","0","0","0","0"
"HAP-28","HAP","28","Hậu vệ",DF,"Hoàng Thái Bình","22-01-1998","173","64","0","0","1","0"
"HAP-29","HAP","29","Tiền vệ",MF,"Nguyễn Văn Minh","08-02-1999","165","60","0","0","0","0"
"HAP-39","HAP","39","Tiền vệ",MF,"Lê Sỹ Minh","23-03-1993","170","65","0","0","0","0"
"HAP-45","HAP","45","Tiền vệ",MF,"Nguyễn Thành Đồng","06-02-1995","170","66","0","0","0","0"
"HAP-86","HAP","86","Hậu vệ",DF,"Dụng Quang Nho","01-01-2000","171","66","0","0","0","0"
"HAP-91","HAP","91","Hậu vệ",DF,"Phạm Hoài Dương","19-06-1994","180","70","0","0","0","0"
"HAP-97","HAP","97","Tiền vệ",MF,"Triệu Việt Hưng","19-01-1997","170","65","1","0","0","0"
"GLA-1","GLA","1","Thủ môn",GK,"Dương Văn Lợi","02-12-2004","177","74","0","0","0","0"
"GLA-2","GLA","2","Hậu vệ",DF,"Lê Văn Sơn","20-12-1996","169","62","0","0","0","0"
"GLA-3","GLA","3","Hậu vệ",DF,"Kim Dongsu","21-03-1995","188","84","0","0","1","0"
"GLA-5","GLA","5","Hậu vệ",DF,"Trần Hữu Đông Triều","20-08-1995","174","72","0","0","0","0"
"GLA-6","GLA","6","Tiền vệ",MF,"Lương Xuân Trường","28-04-1995","178","72","0","0","0","0"
"GLA-7","GLA","7","Hậu vệ",DF,"Nguyễn Phong Hồng Duy","13-06-1996","169","68","0","0","1","0"
"GLA-8","GLA","8","Tiền vệ",MF,"Trần Minh Vương","28-03-1995","167","67","0","0","0","0"
"GLA-9","GLA","9","Tiền đạo",ST,"Nguyễn Văn Toàn","12-04-1996","170","62","0","0","1","0"
"GLA-10","GLA","10","Tiền đạo",ST,"Nguyễn Công Phượng","21-01-1995","168","65","0","0","0","0"
"GLA-11","GLA","11","Tiền vệ",MF,"Nguyễn Tuấn Anh","16-05-1995","175","68","0","0","0","0"
"GLA-12","GLA","12","Hậu vệ",DF,"Tiêu Ê Xal","14-08-2000","180","74","0","0","0","0"
"GLA-15","GLA","15","Hậu vệ",DF,"Nguyễn Hữu Tuấn","06-05-1992","178","68","0","0","0","0"
"GLA-17","GLA","17","Hậu vệ",DF,"Vũ Văn Thanh","14-04-1996","172","72","0","0","1","0"
"GLA-20","GLA","20","Tiền đạo",ST,"Trần Bảo Toàn","14-07-2000","169","63","0","0","0","0"
"GLA-21","GLA","21","Tiền vệ",MF,"Lê Huy Kiệt","20-10-2003","168","65","0","0","0","0"
"GLA-22","GLA","22","Tiền đạo",ST,"Nguyễn Nhĩ Khang","16-02-2001","169","63","0","0","0","0"
"GLA-23","GLA","23","Hậu vệ",DF,"Nguyễn Thanh Nhân","25-10-2000","168","65","0","0","0","0"
"GLA-24","GLA","24","Tiền vệ",MF,"Nguyễn Đức Việt","01-01-2004","174","70","0","0","1","0"
"GLA-26","GLA","26","Thủ môn",GK,"Huỳnh Tuấn Linh","12-04-1991","180","80","0","0","0","0"
"GLA-27","GLA","27","Hậu vệ",DF,"Nguyễn Văn Triệu","12-04-2004","188","73","0","0","0","0"
"GLA-28","GLA","28","Hậu vệ",DF,"Nguyễn Văn Việt","17-01-1989","177","75","0","0","0","0"
"GLA-30","GLA","30","Tiền đạo",ST,"Washington Brandão Dos Santos","18-08-1990","184","85","0","0","0","0"
"GLA-34","GLA","34","Tiền vệ",MF,"Lê Hữu Phước","07-05-2001","175","61","0","0","0","0"
"GLA-47","GLA","47","Tiền đạo",ST,"Cao Hoàng Tú","06-09-2001","169","66","0","0","0","0"
"GLA-60","GLA","60","Tiền vệ",MF,"Võ Đình Lâm","10-01-2000","179","68","0","0","0","0"
"GLA-66","GLA","66","Hậu vệ",DF,"Lê Đức Lương","18-08-1994","171","71","0","0","0","0"
"GLA-77","GLA","77","Tiền đạo",ST,"Huỳnh Tiến Đạt","26-01-2000","167","59","0","0","0","0"
"GLA-82","GLA","82","Trung vệ",CB,"A Hoàng","31-07-1995","174","67","0","0","0","0"
"GLA-94","GLA","94","Hậu vệ",DF,"Barbosa Teixeira Mauricio","08-12-1994","198","94","0","0","1","0"
"GLA-95","GLA","95","Tiền đạo",ST,"Jefferson Silva dos Santos","10-05-1995","195","98","0","0","0","0"
"GLA-99","GLA","99","Thủ môn",GK,"Lê Văn Trường","25-12-1995","180","78","0","0","0","0"
"HAT-2","HAT","2","Hậu vệ",DF,"Hoàng Ngọc Hào","25-09-1994","168","63","0","0","0","0"
"HAT-3","HAT","3","Tiền đạo",ST,"Trần Đức Nam","12-11-1998","178","65","0","0","0","0"
"HAT-4","HAT","4","Hậu vệ",DF,"Janclesio Almeida Santos","22-04-1993","196","94","0","0","1","0"
"HAT-6","HAT","6","Tiền vệ",MF,"Ngô Xuân Toàn","10-02-1993","168","68","0","0","0","0"
"HAT-7","HAT","7","Tiền vệ",MF,"Đinh Thanh Trung","24-01-1988","168","65","0","0","0","0"
"HAT-8","HAT","8","Tiền vệ",MF,"Trần Phi Hà","06-01-1996","170","72","0","0","0","0"
"HAT-9","HAT","9","Tiền đạo",ST,"Paollo Madeira Oliveira","08-07-1996","189","85","1","0","0","0"
"HAT-10","HAT","10","Tiền vệ",MF,"Trần Phi Sơn","14-03-1992","168","70","0","0","0","0"
"HAT-11","HAT","11","Tiền vệ",MF,"Nguyễn Văn Hiệp","08-04-1994","171","64","0","0","1","0"
"HAT-14","HAT","14","Tiền vệ",MF,"Đào Nhật Minh","27-04-1992","173","68","0","0","0","0"
"HAT-15","HAT","15","Hậu vệ",DF,"Trương Trọng Sáng","29-04-1993","183","78","0","0","0","0"
"HAT-16","HAT","16","Tiền vệ",MF,"Phạm Văn Long","09-01-1997","170","65","0","0","0","0"
"HAT-17","HAT","17","Hậu vệ",DF,"Đào Văn Nam","10-05-1996","181","68","0","0","0","0"
"HAT-18","HAT","18","Hậu vệ",DF,"Trịnh Đức Lợi","22-08-1994","181","75","0","0","0","0"
"HAT-19","HAT","19","Tiền vệ",MF,"Nguyễn Văn Đức","13-01-1996","168","65","0","0","1","0"
"HAT-20","HAT","20","Hậu vệ",DF,"Nguyễn Xuân Hùng","01-02-1991","173","69","0","0","0","0"
"HAT-21","HAT","21","Hậu vệ",DF,"Nguyễn Văn Huy","10-07-1998","166","66","0","0","0","0"
"HAT-23","HAT","23","Thủ môn",GK,"Phan Đình Vũ Hải","06-06-1994","183","80","0","0","0","0"
"HAT-24","HAT","24","Thủ môn",GK,"Dương Tùng Lâm","22-05-1999","180","75","0","0","0","0"
"HAT-25","HAT","25","Thủ môn",GK,"Dương Quang Tuấn","20-06-1996","175","71","0","0","0","0"
"HAT-27","HAT","27","Tiền vệ",MF,"Giang Trần Quách Tân","08-03-1992","175","60","0","0","0","0"
"HAT-37","HAT","37","Tiền vệ",MF,"Trần Văn Công","15-02-1999","176","70","0","0","0","0"
"HAT-67","HAT","67","Tiền đạo",ST,"Mohammed Abdul Basit","10-12-1996","178","70","0","0","1","0"
"HAT-77","HAT","77","Tiền đạo",ST,"Suraka Zakaria",,"178","75","0","0","1","0"
"HAT-88","HAT","88","Tiền vệ",MF,"Nguyễn Trung Học","03-03-1998","172","64","0","0","1","0"
"HAT-97","HAT","97","Hậu vệ",DF,"Nguyễn Văn Hạnh","04-04-1998","179","74","0","0","1","0"
"NAD-2","NAD","2","Hậu vệ",DF,"Đinh Viết Tú","16-08-1992","180","78","0","0","1","0"
"NAD-3","NAD","3","Hậu vệ",DF,"Phạm Mạnh Hùng","03-03-1993","173","75","0","0","0","0"
"NAD-5","NAD","5","Tiền vệ",MF,"Trần Đăng Đức Anh","15-06-2001","173","68","0","0","0","0"
"NAD-7","NAD","7","Hậu vệ",DF,"Phạm Minh Nghĩa","25-09-1998","178","71","0","0","0","0"
"NAD-8","NAD","8","Tiền vệ",MF,"Nguyễn Đình Sơn","05-05-2001","174","66","0","0","0","0"
"NAD-9","NAD","9","Hậu vệ",DF,"Hoàng Xuân Tân","22-02-2001","174","66","0","0","0","0"
"NAD-10","NAD","10","Tiền vệ",MF,"Trần Mạnh Hùng","17-03-1997","165","56","0","0","1","0"
"NAD-11","NAD","11","Tiền đạo",ST,"Rodrigo Da Silva Dias","26-01-1994","190","85","0","0","0","0"
"NAD-12","NAD","12","Hậu vệ",DF,"Đinh Văn Trường","22-10-1996","165","55","0","0","0","0"
"NAD-14","NAD","14","Tiền vệ",MF,"Marcio de Oliveira Marques","14-04-1995","175","70","0","1","0","0"
"NAD-16","NAD","16","Tiền vệ",MF,"Nguyễn Đình Mạnh","25-04-1998","174","58","0","0","1","0"
"NAD-17","NAD","17","Tiền vệ",MF,"Phan Thế Hưng","21-10-2002","173","62","0","0","0","0"
"NAD-18","NAD","18","Tiền vệ",MF,"Đoàn Thanh Trường","03-11-2000","170","61","0","0","0","0"
"NAD-19","NAD","19","Tiền vệ",MF,"Nguyễn Hữu Định","10-03-1991","170","67","0","0","0","0"
"NAD-22","NAD","22","Thủ môn",GK,"Hồ Văn Tú","22-04-1995","177","72","0","0","0","0"
"NAD-23","NAD","23","Tiền vệ",MF,"Phan Văn Hiếu","23-08-2000","174","65","0","0","0","0"
"NAD-25","NAD","25","Tiền vệ",MF,"Đoàn Văn Nam","08-03-2002","172","60","0","0","0","0"
"NAD-27","NAD","27","Tiền đạo",ST,"Trần Ngọc Sơn","27-01-2003","175","60","0","0","0","0"
"NAD-28","NAD","28","Thủ môn",GK,"Lê Vũ Phong","23-10-2001","181","58","0","0","0","0"
"NAD-30","NAD","30","Tiền vệ",MF,"Vũ Thế Vương","03-01-1994","156","50","0","0","0","0"
"NAD-34","NAD","34","Tiền vệ",MF,"Phạm Văn Soạn","18-03-2002","168","58","0","0","0","0"
"NAD-35","NAD","35","Hậu vệ",DF,"Lê Tuấn Tú","16-07-1993","176","70","0","0","0","0"
"NAD-38","NAD","38","Hậu vệ",DF,"Alisson Pereira Santana","21-08-1993","186","84","0","0","1","0"
"NAD-39","NAD","39","Tiền vệ",MF,"Trần Trung Hiếu","02-02-1993","176","78","0","0","1","0"
"NAD-56","NAD","56","Thủ môn",GK,"Đinh Xuân Việt","10-11-1983","186","80","0","0","0","0"
"NAD-66","NAD","66","Tiền vệ",MF,"Nguyễn Hạ Long","09-03-1994","170","68","0","0","0","0"
"NAD-68","NAD","68","Tiền vệ",MF,"Vũ Hoàng Trà","06-03-2002","168","58","0","0","0","0"
"NAD-77","NAD","77","Tiền đạo",ST,"Mai Xuân Quyết","01-04-1999","171","68","0","0","0","0"
"NAD-78","NAD","78","Tiền đạo",ST,"Vũ Quang Độ","22-05-2000","165","62","0","0","0","0"
"NAD-82","NAD","82","Thủ môn",GK,"Trần Liêm Điều","19-02-2001","185","74","0","0","0","0"
"NAD-94","NAD","94","Tiền đạo",ST,"Đồng Văn Trung","01-03-1994","180","72","0","0","0","0"
"NAD-99","NAD","99","Hậu vệ",DF,"Nguyễn Ngọc Thắng","31-01-2002","173","62","0","0","0","0"
"SGO-1","SGO","1","Thủ môn",GK,"Trần Minh Toàn","21-01-1996","186","85","0","0","0","0"
"SGO-2","SGO","2","Hậu vệ",DF,"Trần Gia Nam","18-08-1996","175","65","0","0","0","0"
"SGO-3","SGO","3","Hậu vệ",DF,"Nguyễn Nam Anh","01-06-1993","180","73","0","0","1","0"
"SGO-4","SGO","4","Hậu vệ",DF,"Lê Cao Hoài An","19-09-1993","180","74","0","0","0","0"
"SGO-5","SGO","5","Tiền đạo",ST,"Alex Flavio Santos Luz","21-01-1993","188","80","0","0","0","0"
"SGO-6","SGO","6","Tiền vệ",MF,"Lê Vương Minh Nhất","10-03-2000","175","65","0","0","0","0"
"SGO-7","SGO","7","Tiền vệ",MF,"Nguyễn Hoàng Quốc Chí","04-12-1991","170","60","0","0","0","0"
"SGO-8","SGO","8","Tiền vệ",MF,"Nguyễn Minh Trung","09-12-1992","170","66","0","0","0","0"
"SGO-9","SGO","9","Tiền đạo",ST,"Gustavo Santos Costa","25-06-1996","180","78","0","0","0","0"
"SGO-10","SGO","10","Tiền vệ",MF,"Andre Filipe Silva Rocha Vieira","13-09-1992","188","78","1","0","0","0"
"SGO-11","SGO","11","Tiền đạo",ST,"Nguyễn Việt Phong","23-03-1993","178","73","0","0","0","0"
"SGO-13","SGO","13","Thủ môn",GK,"Nguyễn Hoài Anh","10-03-1993","171","74","0","0","0","0"
"SGO-14","SGO","14","Hậu vệ",DF,"Nguyễn Văn Đạt","20-05-1998","180","77","0","0","0","0"
"SGO-15","SGO","15","Hậu vệ",DF,"Dương Văn Trung","01-03-1997","171","66","0","0","0","0"
"SGO-16","SGO","16","Hậu vệ",DF,"Đoàn Anh Việt","15-08-1999","185","74","0","0","0","0"
"SGO-17","SGO","17","Tiền vệ",MF,"Lâm Thuận","20-11-1998","170","67","0","0","0","0"
"SGO-18","SGO","18","Hậu vệ",DF,"Trần Mạnh Cường","27-01-1993","173","68","0","0","1","0"
"SGO-19","SGO","19","Tiền đạo",ST,"Đỗ Merlo","26-01-1985","190","85","1","0","1","0"
"SGO-20","SGO","20","Hậu vệ",DF,"Nguyễn Thanh Thụ","01-12-1993","175","67","0","0","0","0"
"SGO-22","SGO","22","Hậu vệ",DF,"Nguyễn Quốc Long","19-02-1988","170","65","0","0","0","0"
"SGO-23","SGO","23","Tiền vệ",MF,"Cao Văn Triền","18-06-1993","168","62","0","0","0","0"
"SGO-24","SGO","24","Hậu vệ",DF,"Phạm Quốc Tuấn","11-01-2001","178","68","0","0","0","0"
"SGO-25","SGO","25","Tiền đạo",ST,"Nguyễn Ngọc Hậu","07-06-2001","178","69","0","0","0","0"
"SGO-26","SGO","26","Tiền vệ",MF,"Nguyễn Anh Tuấn","28-12-2001","176","68","0","0","0","0"
"SGO-27","SGO","27","Tiền vệ",MF,"Bùi Xuân Quý","19-09-1992","170","62","0","0","0","0"
"SGO-28","SGO","28","Tiền đạo",ST,"Hoàng Minh Tuấn","26-08-1995","180","69","0","0","0","0"
"SGO-35","SGO","35","Thủ môn",GK,"Nguyễn Hoàng Minh Duy","25-05-1998","187","81","0","0","0","0"
"SGO-36","SGO","36","Thủ môn",GK,"Phạm Văn Phong","03-06-1993","180","70","0","0","0","0"
