"id","name","stateAbbreviation","partyShort","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"M001153","Lisa Murkowski","AK","R","M001153","Energy and Water Development Subcommittee","member","majority","5"
"U000039","Tom Udall","NM","D","U000039","Energy and Water Development Subcommittee","member","minority","5"
"G000359","Lindsey Graham","SC","R","G000359","Energy and Water Development Subcommittee","member","majority","6"
"S001181","Jeanne Shaheen","NH","D","S001181","Energy and Water Development Subcommittee","member","minority","6"
"H001061","John Hoeven","ND","R","H001061","Energy and Water Development Subcommittee","member","majority","7"
"M001176","Jeff Merkley","OR","D","M001176","Energy and Water Development Subcommittee","member","minority","7"
"K000393","John Kennedy","LA","R","K000393","Energy and Water Development Subcommittee","member","majority","8"
"C001088","Christopher A. Coons","DE","D","C001088","Energy and Water Development Subcommittee","member","minority","8"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Energy and Water Development Subcommittee","member","majority","9"
"L000174","Patrick J. Leahy","VT","D","L000174","Energy and Water Development Subcommittee","Ex Officio","minority","9"
"G000359","Lindsey Graham","SC","R","G000359","State, Foreign Operations, and Related Programs Subcommittee","Chairman","majority","1"
"L000174","Patrick J. Leahy","VT","D","L000174","State, Foreign Operations, and Related Programs Subcommittee","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","State, Foreign Operations, and Related Programs Subcommittee","member","majority","2"
"D000563","Richard J. Durbin","IL","D","D000563","State, Foreign Operations, and Related Programs Subcommittee","member","minority","2"
"B000575","Roy Blunt","MO","R","B000575","State, Foreign Operations, and Related Programs Subcommittee","member","majority","3"
"S001181","Jeanne Shaheen","NH","D","S001181","State, Foreign Operations, and Related Programs Subcommittee","member","minority","3"
"B001236","John Boozman","AR","R","B001236","State, Foreign Operations, and Related Programs Subcommittee","member","majority","4"
"C001088","Christopher A. Coons","DE","D","C001088","State, Foreign Operations, and Related Programs Subcommittee","member","minority","4"
"M000934","Jerry Moran","KS","R","M000934","State, Foreign Operations, and Related Programs Subcommittee","member","majority","5"
"M001176","Jeff Merkley","OR","D","M001176","State, Foreign Operations, and Related Programs Subcommittee","member","minority","5"
"R000595","Marco Rubio","FL","R","R000595","State, Foreign Operations, and Related Programs Subcommittee","member","majority","6"
"M001169","Christopher S. Murphy","CT","D","M001169","State, Foreign Operations, and Related Programs Subcommittee","member","minority","6"
"L000575","James Lankford","OK","R","L000575","State, Foreign Operations, and Related Programs Subcommittee","member","majority","7"
"V000128","Chris Van Hollen","MD","D","V000128","State, Foreign Operations, and Related Programs Subcommittee","member","minority","7"
"D000618","Steve Daines","MT","R","D000618","State, Foreign Operations, and Related Programs Subcommittee","member","majority","8"
"S000320","Richard C. Shelby","AL","R","S000320","State, Foreign Operations, and Related Programs Subcommittee","Ex Officio","majority","9"
"C001047","Shelley Moore Capito","WV","R","C001047","Homeland Security Subcommittee","Chairman","majority","1"
"T000464","Jon Tester","MT","D","T000464","Homeland Security Subcommittee","Ranking Member","minority","1"
"S000320","Richard C. Shelby","AL","R","S000320","Homeland Security Subcommittee","member","majority","2"
"S001181","Jeanne Shaheen","NH","D","S001181","Homeland Security Subcommittee","member","minority","2"
"M001153","Lisa Murkowski","AK","R","M001153","Homeland Security Subcommittee","member","majority","3"
"L000174","Patrick J. Leahy","VT","D","L000174","Homeland Security Subcommittee","member","minority","3"
"H001061","John Hoeven","ND","R","H001061","Homeland Security Subcommittee","member","majority","4"
"M001111","Patty Murray","WA","D","M001111","Homeland Security Subcommittee","member","minority","4"
"K000393","John Kennedy","LA","R","K000393","Homeland Security Subcommittee","member","majority","5"
"B001230","Tammy Baldwin","WI","D","B001230","Homeland Security Subcommittee","member","minority","5"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Homeland Security Subcommittee","member","majority","6"
"M001183","Joe Manchin III","WV","D","M001183","Homeland Security Subcommittee","member","minority","6"
"L000575","James Lankford","OK","R","L000575","Homeland Security Subcommittee","member","majority","7"
"M001153","Lisa Murkowski","AK","R","M001153","Interior, Environment, and Related Agencies Subcommittee","Chairman","majority","1"
"U000039","Tom Udall","NM","D","U000039","Interior, Environment, and Related Agencies Subcommittee","Ranking Member","minority","1"
"A000360","Lamar Alexander","TN","R","A000360","Interior, Environment, and Related Agencies Subcommittee","member","majority","2"
"F000062","Dianne Feinstein","CA","D","F000062","Interior, Environment, and Related Agencies Subcommittee","member","minority","2"
"B000575","Roy Blunt","MO","R","B000575","Interior, Environment, and Related Agencies Subcommittee","member","majority","3"
"L000174","Patrick J. Leahy","VT","D","L000174","Interior, Environment, and Related Agencies Subcommittee","member","minority","3"
"M000355","Mitch McConnell","KY","R","M000355","Interior, Environment, and Related Agencies Subcommittee","member","majority","4"
"R000122","Jack Reed","RI","D","R000122","Interior, Environment, and Related Agencies Subcommittee","member","minority","4"
"C001047","Shelley Moore Capito","WV","R","C001047","Interior, Environment, and Related Agencies Subcommittee","member","majority","5"
"T000464","Jon Tester","MT","D","T000464","Interior, Environment, and Related Agencies Subcommittee","member","minority","5"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Interior, Environment, and Related Agencies Subcommittee","member","majority","6"
"M001176","Jeff Merkley","OR","D","M001176","Interior, Environment, and Related Agencies Subcommittee","member","minority","6"
"D000618","Steve Daines","MT","R","D000618","Interior, Environment, and Related Agencies Subcommittee","member","majority","7"
"V000128","Chris Van Hollen","MD","D","V000128","Interior, Environment, and Related Agencies Subcommittee","member","minority","7"
"R000595","Marco Rubio","FL","R","R000595","Interior, Environment, and Related Agencies Subcommittee","member","majority","8"
"S000320","Richard C. Shelby","AL","R","S000320","Interior, Environment, and Related Agencies Subcommittee","Ex Officio","majority","9"
"C001035","Susan Collins","ME","R","C001035","Transportation, Housing and Urban Development, and Related Agencies","Chairman","majority","1"
"R000122","Jack Reed","RI","D","R000122","Transportation, Housing and Urban Development, and Related Agencies","Ranking Member","minority","1"
"S000320","Richard C. Shelby","AL","R","S000320","Transportation, Housing and Urban Development, and Related Agencies","member","majority","2"
"M001111","Patty Murray","WA","D","M001111","Transportation, Housing and Urban Development, and Related Agencies","member","minority","2"
"A000360","Lamar Alexander","TN","R","A000360","Transportation, Housing and Urban Development, and Related Agencies","member","majority","3"
"D000563","Richard J. Durbin","IL","D","D000563","Transportation, Housing and Urban Development, and Related Agencies","member","minority","3"
"B000575","Roy Blunt","MO","R","B000575","Transportation, Housing and Urban Development, and Related Agencies","member","majority","4"
"F000062","Dianne Feinstein","CA","D","F000062","Transportation, Housing and Urban Development, and Related Agencies","member","minority","4"
"B001236","John Boozman","AR","R","B001236","Transportation, Housing and Urban Development, and Related Agencies","member","majority","5"
"C001088","Christopher A. Coons","DE","D","C001088","Transportation, Housing and Urban Development, and Related Agencies","member","minority","5"
"C001047","Shelley Moore Capito","WV","R","C001047","Transportation, Housing and Urban Development, and Related Agencies","member","majority","6"
"S001194","Brian Schatz","HI","D","S001194","Transportation, Housing and Urban Development, and Related Agencies","member","minority","6"
"G000359","Lindsey Graham","SC","R","G000359","Transportation, Housing and Urban Development, and Related Agencies","member","majority","7"
"M001169","Christopher S. Murphy","CT","D","M001169","Transportation, Housing and Urban Development, and Related Agencies","member","minority","7"
"H001061","John Hoeven","ND","R","H001061","Transportation, Housing and Urban Development, and Related Agencies","member","majority","8"
"M001183","Joe Manchin III","WV","D","M001183","Transportation, Housing and Urban Development, and Related Agencies","member","minority","8"
"D000618","Steve Daines","MT","R","D000618","Transportation, Housing and Urban Development, and Related Agencies","member","majority","9"
"L000174","Patrick J. Leahy","VT","D","L000174","Transportation, Housing and Urban Development, and Related Agencies","Ex Officio","minority","9"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Legislative Branch Subcommittee","Chairman","majority","1"
"M001169","Christopher S. Murphy","CT","D","M001169","Legislative Branch Subcommittee","Ranking Member","minority","1"
"S000320","Richard C. Shelby","AL","R","S000320","Legislative Branch Subcommittee","member","majority","2"
"V000128","Chris Van Hollen","MD","D","V000128","Legislative Branch Subcommittee","member","minority","2"
"L000575","James Lankford","OK","R","L000575","Legislative Branch Subcommittee","member","majority","3"
"L000174","Patrick J. Leahy","VT","D","L000174","Legislative Branch Subcommittee","Ex Officio","minority","3"
"H001061","John Hoeven","ND","R","H001061","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Chairman","majority","1"
"M001176","Jeff Merkley","OR","D","M001176","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","2"
"F000062","Dianne Feinstein","CA","D","F000062","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","2"
"C001035","Susan Collins","ME","R","C001035","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","3"
"T000464","Jon Tester","MT","D","T000464","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","3"
"B000575","Roy Blunt","MO","R","B000575","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","4"
"U000039","Tom Udall","NM","D","U000039","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","4"
"M000934","Jerry Moran","KS","R","M000934","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","5"
"L000174","Patrick J. Leahy","VT","D","L000174","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","5"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","6"
"B001230","Tammy Baldwin","WI","D","B001230","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","6"
"K000393","John Kennedy","LA","R","K000393","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","7"
"S000320","Richard C. Shelby","AL","R","S000320","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Ex Officio","majority","8"
"S000320","Richard C. Shelby","AL","R","S000320","Defense Subcommittee","Chairman","majority","1"
"D000563","Richard J. Durbin","IL","D","D000563","Defense Subcommittee","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Defense Subcommittee","member","majority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Defense Subcommittee","member","minority","2"
"A000360","Lamar Alexander","TN","R","A000360","Defense Subcommittee","member","majority","3"
"F000062","Dianne Feinstein","CA","D","F000062","Defense Subcommittee","member","minority","3"
"C001035","Susan Collins","ME","R","C001035","Defense Subcommittee","member","majority","4"
"M001111","Patty Murray","WA","D","M001111","Defense Subcommittee","member","minority","4"
"M001153","Lisa Murkowski","AK","R","M001153","Defense Subcommittee","member","majority","5"
"R000122","Jack Reed","RI","D","R000122","Defense Subcommittee","member","minority","5"
"G000359","Lindsey Graham","SC","R","G000359","Defense Subcommittee","member","majority","6"
"T000464","Jon Tester","MT","D","T000464","Defense Subcommittee","member","minority","6"
"B000575","Roy Blunt","MO","R","B000575","Defense Subcommittee","member","majority","7"
"U000039","Tom Udall","NM","D","U000039","Defense Subcommittee","member","minority","7"
"M000934","Jerry Moran","KS","R","M000934","Defense Subcommittee","member","majority","8"
"S001194","Brian Schatz","HI","D","S001194","Defense Subcommittee","member","minority","8"
"H001061","John Hoeven","ND","R","H001061","Defense Subcommittee","member","majority","9"
"B001230","Tammy Baldwin","WI","D","B001230","Defense Subcommittee","member","minority","9"
"B001236","John Boozman","AR","R","B001236","Defense Subcommittee","member","majority","10"
"B001236","John Boozman","AR","R","B001236","Military Construction, Veterans Affairs, and Related Agencies","Chairman","majority","1"
"S001194","Brian Schatz","HI","D","S001194","Military Construction, Veterans Affairs, and Related Agencies","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Military Construction, Veterans Affairs, and Related Agencies","member","majority","2"
"T000464","Jon Tester","MT","D","T000464","Military Construction, Veterans Affairs, and Related Agencies","member","minority","2"
"M001153","Lisa Murkowski","AK","R","M001153","Military Construction, Veterans Affairs, and Related Agencies","member","majority","3"
"M001111","Patty Murray","WA","D","M001111","Military Construction, Veterans Affairs, and Related Agencies","member","minority","3"
"H001061","John Hoeven","ND","R","H001061","Military Construction, Veterans Affairs, and Related Agencies","member","majority","4"
"R000122","Jack Reed","RI","D","R000122","Military Construction, Veterans Affairs, and Related Agencies","member","minority","4"
"C001035","Susan Collins","ME","R","C001035","Military Construction, Veterans Affairs, and Related Agencies","member","majority","5"
"U000039","Tom Udall","NM","D","U000039","Military Construction, Veterans Affairs, and Related Agencies","member","minority","5"
"C001047","Shelley Moore Capito","WV","R","C001047","Military Construction, Veterans Affairs, and Related Agencies","member","majority","6"
"B001230","Tammy Baldwin","WI","D","B001230","Military Construction, Veterans Affairs, and Related Agencies","member","minority","6"
"R000595","Marco Rubio","FL","R","R000595","Military Construction, Veterans Affairs, and Related Agencies","member","majority","7"
"M001169","Christopher S. Murphy","CT","D","M001169","Military Construction, Veterans Affairs, and Related Agencies","member","minority","7"
"D000618","Steve Daines","MT","R","D000618","Military Construction, Veterans Affairs, and Related Agencies","member","majority","8"
"L000174","Patrick J. Leahy","VT","D","L000174","Military Construction, Veterans Affairs, and Related Agencies","Ex Officio","minority","8"
"S000320","Richard C. Shelby","AL","R","S000320","Military Construction, Veterans Affairs, and Related Agencies","Ex Officio","majority","9"
"K000393","John Kennedy","LA","R","K000393","Financial Services and General Government Subcommittee","Chairman","majority","1"
"C001088","Christopher A. Coons","DE","D","C001088","Financial Services and General Government Subcommittee","Ranking Member","minority","1"
"M000934","Jerry Moran","KS","R","M000934","Financial Services and General Government Subcommittee","member","majority","2"
"D000563","Richard J. Durbin","IL","D","D000563","Financial Services and General Government Subcommittee","member","minority","2"
"B001236","John Boozman","AR","R","B001236","Financial Services and General Government Subcommittee","member","majority","3"
"M001183","Joe Manchin III","WV","D","M001183","Financial Services and General Government Subcommittee","member","minority","3"
"D000618","Steve Daines","MT","R","D000618","Financial Services and General Government Subcommittee","member","majority","4"
"V000128","Chris Van Hollen","MD","D","V000128","Financial Services and General Government Subcommittee","member","minority","4"
"L000575","James Lankford","OK","R","L000575","Financial Services and General Government Subcommittee","member","majority","5"
"L000174","Patrick J. Leahy","VT","D","L000174","Financial Services and General Government Subcommittee","Ex Officio","minority","5"
"S000320","Richard C. Shelby","AL","R","S000320","Financial Services and General Government Subcommittee","Ex Officio","majority","6"
"H001046","Martin Heinrich","NM","D","H001046","Strategic Forces Subcommittee","Ranking Member","minority","1"
"F000463","Deb Fischer","NE","R","F000463","Strategic Forces Subcommittee","Chairman","majority","1"
"C001095","Tom Cotton","AR","R","C001095","Strategic Forces Subcommittee","member","majority","2"
"K000383","Angus King","ME","ID","K000383","Strategic Forces Subcommittee","member","minority","2"
"R000605","Mike Rounds","SD","R","R000605","Strategic Forces Subcommittee","member","majority","3"
"W000817","Elizabeth Warren","MA","D","W000817","Strategic Forces Subcommittee","member","minority","3"
"S001198","Dan Sullivan","AK","R","S001198","Strategic Forces Subcommittee","member","majority","4"
"M001183","Joe Manchin III","WV","D","M001183","Strategic Forces Subcommittee","member","minority","4"
"C001096","Kevin Cramer","ND","R","C001096","Strategic Forces Subcommittee","member","majority","5"
"J000300","Doug Jones","AL","D","J000300","Strategic Forces Subcommittee","member","minority","5"
"H001089","Joshua Hawley","MO","R","H001089","Strategic Forces Subcommittee","member","majority","6"
"R000122","Jack Reed","RI","D","R000122","Strategic Forces Subcommittee","Ex Officio","minority","6"
"I000024","James M. Inhofe","OK","R","I000024","Strategic Forces Subcommittee","Ex Officio","majority","7"
"E000295","Joni Ernst","IA","R","E000295","Emerging Threats and Capabilities Subcommittee","Chairman","majority","1"
