"id","name","partyShort","stateAbbreviation","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"O000171","Tom O'Halleran","D","AZ","O000171","Conservation and Forestry","member","majority",3
"A000374","Ralph Abraham","R","LA","A000374","Conservation and Forestry","member","minority",3
"P000597","Chellie Pingree","D","ME","P000597","Conservation and Forestry","member","majority",4
"K000388","Trent Kelly","R","MS","K000388","Conservation and Forestry","member","minority",4
"A000378","Cynthia Axne","D","IA","A000378","Conservation and Forestry","member","majority",5
"S001157","David Scott","D","GA","S001157","Commodity Exchanges, Energy, and Credit","Chair","majority",1
"S001189","Austin Scott","R","GA","S001189","Commodity Exchanges, Energy, and Credit","Ranking Member","minority",1
"C001087","Rick Crawford","R","AR","C001087","Commodity Exchanges, Energy, and Credit","member","minority",2
"V000132","Filemon Vela","D","TX","V000132","Commodity Exchanges, Energy, and Credit","member","majority",3
"B001295","Mike Bost","R","IL","B001295","Commodity Exchanges, Energy, and Credit","member","minority",3
"P000610","Stacey Plaskett","D","VI","P000610","Commodity Exchanges, Energy, and Credit","member","majority",4
"R000603","David Rouzer","R","NC","R000603","Commodity Exchanges, Energy, and Credit","member","minority",4
"S001209","Abigail Spanberger","D","VA","S001209","Commodity Exchanges, Energy, and Credit","member","majority",5
"M001198","Roger Marshall","R","KS","M001198","Commodity Exchanges, Energy, and Credit","member","minority",5
"D000630","Antonio Delgado","D","NY","D000630","Commodity Exchanges, Energy, and Credit","member","majority",6
"D000628","Neal Dunn","R","FL","D000628","Commodity Exchanges, Energy, and Credit","member","minority",6
"C001119","Angie Craig","D","MN","C001119","Commodity Exchanges, Energy, and Credit","member","majority",7
"J000301","Dusty Johnson","R","SD","J000301","Commodity Exchanges, Energy, and Credit","member","minority",7
"M001185","Sean Patrick Maloney","D","NY","M001185","Commodity Exchanges, Energy, and Credit","member","majority",8
"B001307","James Baird","R","IN","B001307","Commodity Exchanges, Energy, and Credit","member","minority",8
"K000368","Ann Kirkpatrick","D","AZ","K000368","Commodity Exchanges, Energy, and Credit","member","majority",9
"A000378","Cynthia Axne","D","IA","A000378","Commodity Exchanges, Energy, and Credit","member","majority",10
"C001059","Jim Costa","D","CA","C001059","Livestock and Foreign Agriculture","Chair","majority",1
"R000603","David Rouzer","R","NC","R000603","Livestock and Foreign Agriculture","Ranking Member","minority",1
"B001308","Anthony Brindisi","D","NY","B001308","Livestock and Foreign Agriculture","member","majority",2
"T000467","Glenn Thompson","R","PA","T000467","Livestock and Foreign Agriculture","member","minority",2
"H001081","Jahana Hayes","D","CT","H001081","Livestock and Foreign Agriculture","member","majority",3
"D000616","Scott DesJarlais","R","TN","D000616","Livestock and Foreign Agriculture","member","minority",3
"C001124","TJ Cox","D","CA","C001124","Livestock and Foreign Agriculture","member","majority",4
"H001053","Vicky Hartzler","R","MO","H001053","Livestock and Foreign Agriculture","member","minority",4
"C001119","Angie Craig","D","MN","C001119","Livestock and Foreign Agriculture","member","majority",5
"K000388","Trent Kelly","R","MS","K000388","Livestock and Foreign Agriculture","member","minority",5
"H001090","Josh Harder","D","CA","H001090","Livestock and Foreign Agriculture","member","majority",6
"C001108","James Comer","R","KY","C001108","Livestock and Foreign Agriculture","member","minority",6
"V000132","Filemon Vela","D","TX","V000132","Livestock and Foreign Agriculture","member","majority",7
"M001198","Roger Marshall","R","KS","M001198","Livestock and Foreign Agriculture","member","minority",7
"P000610","Stacey Plaskett","D","VI","P000610","Livestock and Foreign Agriculture","member","majority",8
"B001298","Don Bacon","R","NE","B001298","Livestock and Foreign Agriculture","member","minority",8
"C001112","Salud Carbajal","D","CA","C001112","Livestock and Foreign Agriculture","member","majority",9
"H001088","Jim Hagedorn","R","MN","H001088","Livestock and Foreign Agriculture","member","minority",9
"B001286","Cheri Bustos","D","IL","B001286","Livestock and Foreign Agriculture","member","majority",10
"P000613","Jimmy Panetta","D","CA","P000613","Livestock and Foreign Agriculture","member","majority",11
"P000610","Stacey Plaskett","D","VI","P000610","Biotechnology, Horticulture, and Research","Chair","majority",1
"D000628","Neal Dunn","R","FL","D000628","Biotechnology, Horticulture, and Research","Ranking Member","minority",1
"D000630","Antonio Delgado","D","NY","D000630","Biotechnology, Horticulture, and Research","member","majority",2
"T000467","Glenn Thompson","R","PA","T000467","Biotechnology, Horticulture, and Research","member","minority",2
"C001124","TJ Cox","D","CA","C001124","Biotechnology, Horticulture, and Research","member","majority",3
"H001053","Vicky Hartzler","R","MO","H001053","Biotechnology, Horticulture, and Research","member","minority",3
"H001090","Josh Harder","D","CA","H001090","Biotechnology, Horticulture, and Research","member","majority",4
"L000578","Doug LaMalfa","R","CA","L000578","Biotechnology, Horticulture, and Research","member","minority",4
"B001308","Anthony Brindisi","D","NY","B001308","Biotechnology, Horticulture, and Research","member","majority",5
"D000619","Rodney Davis","R","IL","D000619","Biotechnology, Horticulture, and Research","member","minority",5
"Y000065","Ted Yoho","R","FL","Y000065","Biotechnology, Horticulture, and Research","member","minority",6
"S001216","Kim Schrier","D","WA","S001216","Biotechnology, Horticulture, and Research","member","majority",7
"B001295","Mike Bost","R","IL","B001295","Biotechnology, Horticulture, and Research","member","minority",7
"P000597","Chellie Pingree","D","ME","P000597","Biotechnology, Horticulture, and Research","member","majority",8
"C001108","James Comer","R","KY","C001108","Biotechnology, Horticulture, and Research","member","minority",8
"C001112","Salud Carbajal","D","CA","C001112","Biotechnology, Horticulture, and Research","member","majority",9
"B001307","James Baird","R","IN","B001307","Biotechnology, Horticulture, and Research","member","minority",9
"P000613","Jimmy Panetta","D","CA","P000613","Biotechnology, Horticulture, and Research","member","majority",10
"M001185","Sean Patrick Maloney","D","NY","M001185","Biotechnology, Horticulture, and Research","member","majority",11
"L000586","Al Lawson","D","FL","L000586","Biotechnology, Horticulture, and Research","member","majority",12
"B000490","Sanford D. Bishop Jr.","D","GA","B000490","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Chair","majority",1
"F000449","Jeff Fortenberry","R","NE","F000449","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Ranking Member","minority",1
"D000216","Rosa DeLauro","D","CT","D000216","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Vice Chair","majority",2
"A000055","Robert B. Aderholt","R","AL","A000055","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority",2
"P000597","Chellie Pingree","D","ME","P000597","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority",3
"H001052","Andy Harris","R","MD","H001052","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority",3
"P000607","Mark Pocan","D","WI","P000607","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority",4
"M001194","John Moolenaar","R","MI","M001194","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority",4
"L000551","Barbara Lee","D","CA","L000551","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority",5
"M001143","Betty McCollum","D","MN","M001143","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority",6
"C001063","Henry Cuellar","D","TX","C001063","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority",7
"S000248","José E. Serrano","D","NY","S000248","Commerce, Justice, Science, and Related Agencies","Chair","majority",1
"A000055","Robert B. Aderholt","R","AL","A000055","Commerce, Justice, Science, and Related Agencies","Ranking Member","minority",1
"C001090","Matt Cartwright","D","PA","C001090","Commerce, Justice, Science, and Related Agencies","Vice Chair","majority",2
"R000591","Martha Roby","R","AL","R000591","Commerce, Justice, Science, and Related Agencies","member","minority",2
"M001188","Grace Meng","D","NY","M001188","Commerce, Justice, Science, and Related Agencies","member","majority",3
"P000601","Steven Palazzo","R","MS","P000601","Commerce, Justice, Science, and Related Agencies","member","minority",3
"L000581","Brenda Lawrence","D","MI","L000581","Commerce, Justice, Science, and Related Agencies","member","majority",4
"C001111","Charlie Crist","D","FL","C001111","Commerce, Justice, Science, and Related Agencies","member","majority",5
"C001055","Ed Case","D","HI","C001055","Commerce, Justice, Science, and Related Agencies","member","majority",6
"K000009","Marcy Kaptur","D","OH","K000009","Commerce, Justice, Science, and Related Agencies","member","majority",7
"V000108","Peter J. Visclosky","D","IN","V000108","Defense","Chair","majority",1
"C000059","Ken Calvert","R","CA","C000059","Defense","Ranking Member","minority",1
"M001143","Betty McCollum","D","MN","M001143","Defense","Vice Chair","majority",2
"R000395","Harold Rogers","R","KY","R000395","Defense","member","minority",2
"R000577","Tim Ryan","D","OH","R000577","Defense","member","majority",3
"C001053","Tom Cole","R","OK","C001053","Defense","member","minority",3
"R000576","C.A. Dutch Ruppersberger","D","MD","R000576","Defense","member","majority",4
"W000809","Steve Womack","R","AR","W000809","Defense","member","minority",4
"K000009","Marcy Kaptur","D","OH","K000009","Defense","member","majority",5
"A000055","Robert B. Aderholt","R","AL","A000055","Defense","member","minority",5
"C001063","Henry Cuellar","D","TX","C001063","Defense","member","majority",6
"C001051","John Carter","R","TX","C001051","Defense","member","minority",6
"K000381","Derek Kilmer","D","WA","K000381","Defense","member","majority",7
"D000600","Mario Diaz-Balart","R","FL","D000600","Defense","member","minority",7
"A000371","Pete Aguilar","D","CA","A000371","Defense","member","majority",8
"B001286","Cheri Bustos","D","IL","B001286","Defense","member","majority",9
"C001111","Charlie Crist","D","FL","C001111","Defense","member","majority",10
"K000368","Ann Kirkpatrick","D","AZ","K000368","Defense","member","majority",11
"K000009","Marcy Kaptur","D","OH","K000009","Energy and Water Development, and Related Agencies","Chair","majority",1
"S001148","Mike Simpson","R","ID","S001148","Energy and Water Development, and Related Agencies","Ranking Member","minority",1
"V000108","Peter J. Visclosky","D","IN","V000108","Energy and Water Development, and Related Agencies","Vice Chair","majority",2
"C000059","Ken Calvert","R","CA","C000059","Energy and Water Development, and Related Agencies","member","minority",2
"W000797","Debbie Wasserman Schultz","D","FL","W000797","Energy and Water Development, and Related Agencies","member","majority",3
"F000459","Chuck Fleischmann","R","TN","F000459","Energy and Water Development, and Related Agencies","member","minority",3
"K000368","Ann Kirkpatrick","D","AZ","K000368","Energy and Water Development, and Related Agencies","member","majority",4
"N000189","Dan Newhouse","R","WA","N000189","Energy and Water Development, and Related Agencies","member","minority",4
"K000381","Derek Kilmer","D","WA","K000381","Energy and Water Development, and Related Agencies","member","majority",5
"P000607","Mark Pocan","D","WI","P000607","Energy and Water Development, and Related Agencies","member","majority",6
"F000462","Lois Frankel","D","FL","F000462","Energy and Water Development, and Related Agencies","member","majority",7
"Q000023","Mike Quigley","D","IL","Q000023","Financial Services and General Government","Chair","majority",1
"S000248","José E. Serrano","D","NY","S000248","Financial Services and General Government","Vice Chair","majority",2
"A000369","Mark Amodei","R","NV","A000369","Financial Services and General Government","member","minority",2
"C001090","Matt Cartwright","D","PA","C001090","Financial Services and General Government","member","majority",3
"S001192","Chris Stewart","R","UT","S001192","Financial Services and General Government","member","minority",3
"B000490","Sanford D. Bishop Jr.","D","GA","B000490","Financial Services and General Government","member","majority",4
"J000295","Dave Joyce","R","OH","J000295","Financial Services and General Government","member","minority",4
"T000474","Norma Torres","D","CA","T000474","Financial Services and General Government","member","majority",5
"C001111","Charlie Crist","D","FL","C001111","Financial Services and General Government","member","majority",6
"K000368","Ann Kirkpatrick","D","AZ","K000368","Financial Services and General Government","member","majority",7
"R000486","Lucille Roybal-Allard","D","CA","R000486","Homeland Security","Chair","majority",1
"F000459","Chuck Fleischmann","R","TN","F000459","Homeland Security","Ranking Member","minority",1
"C001063","Henry Cuellar","D","TX","C001063","Homeland Security","Vice Chair","majority",2
"P000601","Steven Palazzo","R","MS","P000601","Homeland Security","member","minority",2
"R000576","C.A. Dutch Ruppersberger","D","MD","R000576","Homeland Security","member","majority",3
"N000189","Dan Newhouse","R","WA","N000189","Homeland Security","member","minority",3
"P000523","David E. Price","D","NC","P000523","Homeland Security","member","majority",4
"R000609","John Rutherford","R","FL","R000609","Homeland Security","member","minority",4
"W000797","Debbie Wasserman Schultz","D","FL","W000797","Homeland Security","member","majority",5
"M001188","Grace Meng","D","NY","M001188","Homeland Security","member","majority",6
"A000371","Pete Aguilar","D","CA","A000371","Homeland Security","member","majority",7
"M001143","Betty McCollum","D","MN","M001143","Interior, Environment, and Related Agencies","Chair","majority",1
"J000295","Dave Joyce","R","OH","J000295","Interior, Environment, and Related Agencies","Ranking Member","minority",1
"P000597","Chellie Pingree","D","ME","P000597","Interior, Environment, and Related Agencies","Vice Chair","majority",2
"S001148","Mike Simpson","R","ID","S001148","Interior, Environment, and Related Agencies","member","minority",2
"K000381","Derek Kilmer","D","WA","K000381","Interior, Environment, and Related Agencies","member","majority",3
"S001192","Chris Stewart","R","UT","S001192","Interior, Environment, and Related Agencies","member","minority",3
"S000248","José E. Serrano","D","NY","S000248","Interior, Environment, and Related Agencies","member","majority",4
"A000369","Mark Amodei","R","NV","A000369","Interior, Environment, and Related Agencies","member","minority",4
"Q000023","Mike Quigley","D","IL","Q000023","Interior, Environment, and Related Agencies","member","majority",5
"W000822","Bonnie Watson Coleman","D","NJ","W000822","Interior, Environment, and Related Agencies","member","majority",6
"L000581","Brenda Lawrence","D","MI","L000581","Interior, Environment, and Related Agencies","member","majority",7
"D000216","Rosa DeLauro","D","CT","D000216","Labor, Health and Human Services, Education, and Related Agencies","Chair","majority",1
"C001053","Tom Cole","R","OK","C001053","Labor, Health and Human Services, Education, and Related Agencies","Ranking Member","minority",1
"R000486","Lucille Roybal-Allard","D","CA","R000486","Labor, Health and Human Services, Education, and Related Agencies","Vice Chair","majority",2
"H001052","Andy Harris","R","MD","H001052","Labor, Health and Human Services, Education, and Related Agencies","member","minority",2
"L000551","Barbara Lee","D","CA","L000551","Labor, Health and Human Services, Education, and Related Agencies","member","majority",3
"H001056","Jaime Herrera Beutler","R","WA","H001056","Labor, Health and Human Services, Education, and Related Agencies","member","minority",3
"P000607","Mark Pocan","D","WI","P000607","Labor, Health and Human Services, Education, and Related Agencies","member","majority",4
"M001194","John Moolenaar","R","MI","M001194","Labor, Health and Human Services, Education, and Related Agencies","member","minority",4
"C001101","Katherine Clark","D","MA","C001101","Labor, Health and Human Services, Education, and Related Agencies","member","majority",5
"F000462","Lois Frankel","D","FL","F000462","Labor, Health and Human Services, Education, and Related Agencies","member","majority",6
"B001286","Cheri Bustos","D","IL","B001286","Labor, Health and Human Services, Education, and Related Agencies","member","majority",7
"W000822","Bonnie Watson Coleman","D","NJ","W000822","Labor, Health and Human Services, Education, and Related Agencies","member","majority",8
"R000577","Tim Ryan","D","OH","R000577","Legislative Branch","Chair","majority",1
"H001056","Jaime Herrera Beutler","R","WA","H001056","Legislative Branch","Ranking Member","minority",1
"R000576","C.A. Dutch Ruppersberger","D","MD","R000576","Legislative Branch","Vice Chair","majority",2
"N000189","Dan Newhouse","R","WA","N000189","Legislative Branch","member","minority",2
"C001101","Katherine Clark","D","MA","C001101","Legislative Branch","member","majority",3
"C001055","Ed Case","D","HI","C001055","Legislative Branch","member","majority",4
"W000797","Debbie Wasserman Schultz","D","FL","W000797","Military Construction, Veterans Affairs, and Related Agencies","Chair","majority",1
"C001051","John Carter","R","TX","C001051","Military Construction, Veterans Affairs, and Related Agencies","Ranking Member","minority",1
"B000490","Sanford D. Bishop Jr.","D","GA","B000490","Military Construction, Veterans Affairs, and Related Agencies","Vice Chair","majority",2
"R000591","Martha Roby","R","AL","R000591","Military Construction, Veterans Affairs, and Related Agencies","member","minority",2
"C001055","Ed Case","D","HI","C001055","Military Construction, Veterans Affairs, and Related Agencies","member","majority",3
"R000609","John Rutherford","R","FL","R000609","Military Construction, Veterans Affairs, and Related Agencies","member","minority",3
"R000577","Tim Ryan","D","OH","R000577","Military Construction, Veterans Affairs, and Related Agencies","member","majority",4
"H001073","Will Hurd","R","TX","H001073","Military Construction, Veterans Affairs, and Related Agencies","member","minority",4
"P000597","Chellie Pingree","D","ME","P000597","Military Construction, Veterans Affairs, and Related Agencies","member","majority",5
"C001090","Matt Cartwright","D","PA","C001090","Military Construction, Veterans Affairs, and Related Agencies","member","majority",6
"B001286","Cheri Bustos","D","IL","B001286","Military Construction, Veterans Affairs, and Related Agencies","member","majority",7
"L000480","Nita M. Lowey","D","NY","L000480","State, Foreign Operations, and Related Programs","Chair","majority",1
"R000395","Harold Rogers","R","KY","R000395","State, Foreign Operations, and Related Programs","Ranking Member","minority",1
"L000551","Barbara Lee","D","CA","L000551","State, Foreign Operations, and Related Programs","Vice Chair","majority",2
"F000449","Jeff Fortenberry","R","NE","F000449","State, Foreign Operations, and Related Programs","member","minority",2
"M001188","Grace Meng","D","NY","M001188","State, Foreign Operations, and Related Programs","member","majority",3
"R000591","Martha Roby","R","AL","R000591","State, Foreign Operations, and Related Programs","member","minority",3
"P000523","David E. Price","D","NC","P000523","State, Foreign Operations, and Related Programs","member","majority",4
"F000462","Lois Frankel","D","FL","F000462","State, Foreign Operations, and Related Programs","member","majority",5
"T000474","Norma Torres","D","CA","T000474","State, Foreign Operations, and Related Programs","member","majority",6
"D000600","Mario Diaz-Balart","R","FL","D000600","Transportation, and Housing and Urban Development, and Related Agencies","Ranking Member","minority",1
"P000523","David E. Price","D","NC","P000523","Transportation, and Housing and Urban Development, and Related Agencies","Chair","majority",1
"W000809","Steve Womack","R","AR","W000809","Transportation, and Housing and Urban Development, and Related Agencies","member","minority",2
"Q000023","Mike Quigley","D","IL","Q000023","Transportation, and Housing and Urban Development, and Related Agencies","Vice Chair","majority",2
"R000609","John Rutherford","R","FL","R000609","Transportation, and Housing and Urban Development, and Related Agencies","member","minority",3
"C001101","Katherine Clark","D","MA","C001101","Transportation, and Housing and Urban Development, and Related Agencies","member","majority",3
"H001073","Will Hurd","R","TX","H001073","Transportation, and Housing and Urban Development, and Related Agencies","member","minority",4
"W000822","Bonnie Watson Coleman","D","NJ","W000822","Transportation, and Housing and Urban Development, and Related Agencies","member","majority",4
"L000581","Brenda Lawrence","D","MI","L000581","Transportation, and Housing and Urban Development, and Related Agencies","member","majority",5
"T000474","Norma Torres","D","CA","T000474","Transportation, and Housing and Urban Development, and Related Agencies","member","majority",6
"A000371","Pete Aguilar","D","CA","A000371","Transportation, and Housing and Urban Development, and Related Agencies","member","majority",7
"H001053","Vicky Hartzler","R","MO","H001053","Tactical Air and Land Forces","Ranking Member","minority",1
"N000188","Donald W. Norcross","D","NJ","N000188","Tactical Air and Land Forces","Chair","majority",1
"L000559","Jim Langevin","D","RI","L000559","Tactical Air and Land Forces","member","majority",2
"C001069","Joe Courtney","D","CT","C001069","Tactical Air and Land Forces","member","majority",3
"G000578","Matt Gaetz","R","FL","G000578","Tactical Air and Land Forces","member","minority",3
"G000574","Ruben Gallego","D","AZ","G000574","Tactical Air and Land Forces","member","majority",4
"B001298","Don Bacon","R","NE","B001298","Tactical Air and Land Forces","member","minority",4
"C001112","Salud Carbajal","D","CA","C001112","Tactical Air and Land Forces","member","majority",5
"B001299","Jim Banks","R","IN","B001299","Tactical Air and Land Forces","member","minority",5
"B001304","Anthony Brown","D","MD","B001304","Tactical Air and Land Forces","member","majority",6
"V000132","Filemon Vela","D","TX","V000132","Tactical Air and Land Forces","member","majority",7
"T000463","Michael R. Turner","R","OH","T000463","Tactical Air and Land Forces","member","minority",7
"T000484","Xochitl Torres Small","D","NM","T000484","Tactical Air and Land Forces","Vice Chair","majority",8
"L000564","Doug Lamborn","R","CO","L000564","Tactical Air and Land Forces","member","minority",8
"S001207","Mikie Sherrill","D","NJ","S001207","Tactical Air and Land Forces","member","majority",9
"W000804","Robert J. Wittman","R","VA","W000804","Tactical Air and Land Forces","member","minority",9
"G000592","Jared Golden","D","ME","G000592","Tactical Air and Land Forces","member","majority",11
"K000388","Trent Kelly","R","MS","K000388","Military Personnel","Ranking Member","minority",1
"S001175","Jackie Speier","D","CA","S001175","Military Personnel","Chair","majority",1
"D000598","Susan A. Davis","D","CA","D000598","Military Personnel","member","majority",2
"A000374","Ralph Abraham","R","LA","A000374","Military Personnel","member","minority",2
"G000574","Ruben Gallego","D","AZ","G000574","Military Personnel","member","majority",3
"C001109","Liz Cheney","R","WY","C001109","Military Personnel","member","minority",3
"C001123","Gilbert Cisneros","D","CA","C001123","Military Personnel","Vice Chair","majority",4
"E000299","Veronica Escobar","D","TX","E000299","Military Personnel","member","majority",5
"B001301","Jack Bergman","R","MI","B001301","Military Personnel","member","minority",5
"H001080","Debra Haaland","D","NM","H001080","Military Personnel","member","majority",6
"G000578","Matt Gaetz","R","FL","G000578","Military Personnel","member","minority",6
"T000482","Lori Trahan","D","MA","T000482","Military Personnel","member","majority",7
"L000591","Elaine Luria","D","VA","L000591","Military Personnel","member","majority",8
"L000564","Doug Lamborn","R","CO","L000564","Readiness","Ranking Member","minority",1
"G000559","John Garamendi","D","CA","G000559","Readiness","Chair","majority",1
"G000571","Tulsi Gabbard","D","HI","G000571","Readiness","member","majority",2
"S001189","Austin Scott","R","GA","S001189","Readiness","member","minority",2
"K000394","Andy Kim","D","NJ","K000394","Readiness","Vice Chair","majority",3
"W000795","Joe Wilson","R","SC","W000795","Readiness","member","minority",3
"B001250","Rob Bishop","R","UT","B001250","Readiness","member","minority",4
"H001083","Kendra Horn","D","OK","H001083","Readiness","member","majority",4
"R000575","Mike D. Rogers","R","AL","R000575","Readiness","member","minority",5
"H001085","Chrissy Houlahan","D","PA","H001085","Readiness","member","majority",5
"B001274","Mo Brooks","R","AL","B001274","Readiness","member","minority",6
"C001121","Jason Crow","D","CO","C001121","Readiness","member","majority",6
"S001196","Elise Stefanik","R","NY","S001196","Readiness","member","minority",7
"T000484","Xochitl Torres Small","D","NM","T000484","Readiness","member","majority",7
"B001301","Jack Bergman","R","MI","B001301","Readiness","member","minority",8
"S001208","Elissa Slotkin","D","MI","S001208","Readiness","member","majority",8
"E000299","Veronica Escobar","D","TX","E000299","Readiness","member","majority",9
"H001080","Debra Haaland","D","NM","H001080","Readiness","member","majority",10
"W000804","Robert J. Wittman","R","VA","W000804","Seapower and Projection Forces","Ranking Member","minority",1
"C001069","Joe Courtney","D","CT","C001069","Seapower and Projection Forces","Chair","majority",1
"L000559","Jim Langevin","D","RI","L000559","Seapower and Projection Forces","member","majority",2
"C001062","K. Michael Conaway","R","TX","C001062","Seapower and Projection Forces","member","minority",2
"C000754","Jim Cooper","D","TN","C000754","Seapower and Projection Forces","member","majority",3
"G000579","Mike Gallagher","R","WI","G000579","Seapower and Projection Forces","member","minority",3
"N000188","Donald W. Norcross","D","NJ","N000188","Seapower and Projection Forces","member","majority",4
"B001301","Jack Bergman","R","MI","B001301","Seapower and Projection Forces","member","minority",4
"M001196","Seth Moulton","D","MA","M001196","Seapower and Projection Forces","member","majority",5
"W000823","Michael Waltz","R","FL","W000823","Seapower and Projection Forces","member","minority",5
"V000132","Filemon Vela","D","TX","V000132","Seapower and Projection Forces","member","majority",6
"H001053","Vicky Hartzler","R","MO","H001053","Seapower and Projection Forces","member","minority",6
"C001123","Gilbert Cisneros","D","CA","C001123","Seapower and Projection Forces","member","majority",7
"S001207","Mikie Sherrill","D","NJ","S001207","Seapower and Projection Forces","member","majority",8
"B001289","Bradley Byrne","R","AL","B001289","Seapower and Projection Forces","member","minority",8
"K000388","Trent Kelly","R","MS","K000388","Seapower and Projection Forces","member","minority",9
"G000592","Jared Golden","D","ME","G000592","Seapower and Projection Forces","member","majority",10
"L000591","Elaine Luria","D","VA","L000591","Seapower and Projection Forces","Vice Chair","majority",11
"T000463","Michael R. Turner","R","OH","T000463","Strategic Forces","Ranking Member","minority",1
"C000754","Jim Cooper","D","TN","C000754","Strategic Forces","Chair","majority",1
"D000598","Susan A. Davis","D","CA","D000598","Strategic Forces","member","majority",2
"W000795","Joe Wilson","R","SC","W000795","Strategic Forces","member","minority",2
"L000560","Rick Larsen","D","WA","L000560","Strategic Forces","member","majority",3
"B001250","Rob Bishop","R","UT","B001250","Strategic Forces","member","minority",3
"G000559","John Garamendi","D","CA","G000559","Strategic Forces","member","majority",4
"R000575","Mike D. Rogers","R","AL","R000575","Strategic Forces","member","minority",4
"S001175","Jackie Speier","D","CA","S001175","Strategic Forces","member","majority",5
"B001274","Mo Brooks","R","AL","B001274","Strategic Forces","member","minority",5
"M001196","Seth Moulton","D","MA","M001196","Strategic Forces","member","majority",6
"B001289","Bradley Byrne","R","AL","B001289","Strategic Forces","member","minority",6
"C001112","Salud Carbajal","D","CA","C001112","Strategic Forces","member","majority",7
"D000616","Scott DesJarlais","R","TN","D000616","Strategic Forces","member","minority",7
"K000389","Ro Khanna","D","CA","K000389","Strategic Forces","member","majority",8
"C001109","Liz Cheney","R","WY","C001109","Strategic Forces","member","minority",8
