"id","name","stateAbbreviation","partyShort","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"H001061","John Hoeven","ND","R","H001061","Homeland Security Subcommittee","member","minority","4"
"M001111","Patty Murray","WA","D","M001111","Homeland Security Subcommittee","member","majority","5"
"K000393","John Kennedy","LA","R","K000393","Homeland Security Subcommittee","member","minority","5"
"B001230","Tammy Baldwin","WI","D","B001230","Homeland Security Subcommittee","member","majority","6"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Homeland Security Subcommittee","member","minority","6"
"M001176","Jeff Merkley","OR","D","M001176","Interior, Environment, and Related Agencies Subcommittee","Chairman","majority","1"
"M001153","Lisa Murkowski","AK","R","M001153","Interior, Environment, and Related Agencies Subcommittee","Ranking Member","minority","1"
"F000062","Dianne Feinstein","CA","D","F000062","Interior, Environment, and Related Agencies Subcommittee","member","majority","2"
"B000575","Roy Blunt","MO","R","B000575","Interior, Environment, and Related Agencies Subcommittee","member","minority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Interior, Environment, and Related Agencies Subcommittee","member","majority","3"
"M000355","Mitch McConnell","KY","R","M000355","Interior, Environment, and Related Agencies Subcommittee","member","minority","3"
"R000122","Jack Reed","RI","D","R000122","Interior, Environment, and Related Agencies Subcommittee","member","majority","4"
"C001047","Shelley Moore Capito","WV","R","C001047","Interior, Environment, and Related Agencies Subcommittee","member","minority","4"
"T000464","Jon Tester","MT","D","T000464","Interior, Environment, and Related Agencies Subcommittee","member","majority","5"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Interior, Environment, and Related Agencies Subcommittee","member","minority","5"
"V000128","Chris Van Hollen","MD","D","V000128","Interior, Environment, and Related Agencies Subcommittee","member","majority","6"
"H000601","Bill Hagerty","TN","R","H000601","Interior, Environment, and Related Agencies Subcommittee","member","minority","6"
"H001046","Martin Heinrich","NM","D","H001046","Interior, Environment, and Related Agencies Subcommittee","member","majority","7"
"R000595","Marco Rubio","FL","R","R000595","Interior, Environment, and Related Agencies Subcommittee","member","minority","7"
"S000320","Richard C. Shelby","AL","R","S000320","Interior, Environment, and Related Agencies Subcommittee","Ex Officio","minority","8"
"S001194","Brian Schatz","HI","D","S001194","Transportation, Housing and Urban Development, and Related Agencies","Chairman","majority","1"
"C001035","Susan Collins","ME","R","C001035","Transportation, Housing and Urban Development, and Related Agencies","Ranking Member","minority","1"
"R000122","Jack Reed","RI","D","R000122","Transportation, Housing and Urban Development, and Related Agencies","member","majority","2"
"S000320","Richard C. Shelby","AL","R","S000320","Transportation, Housing and Urban Development, and Related Agencies","member","minority","2"
"M001111","Patty Murray","WA","D","M001111","Transportation, Housing and Urban Development, and Related Agencies","member","majority","3"
"B000575","Roy Blunt","MO","R","B000575","Transportation, Housing and Urban Development, and Related Agencies","member","minority","3"
"D000563","Richard J. Durbin","IL","D","D000563","Transportation, Housing and Urban Development, and Related Agencies","member","majority","4"
"B001236","John Boozman","AR","R","B001236","Transportation, Housing and Urban Development, and Related Agencies","member","minority","4"
"F000062","Dianne Feinstein","CA","D","F000062","Transportation, Housing and Urban Development, and Related Agencies","member","majority","5"
"C001047","Shelley Moore Capito","WV","R","C001047","Transportation, Housing and Urban Development, and Related Agencies","member","minority","5"
"C001088","Christopher A. Coons","DE","D","C001088","Transportation, Housing and Urban Development, and Related Agencies","member","majority","6"
"G000359","Lindsey Graham","SC","R","G000359","Transportation, Housing and Urban Development, and Related Agencies","member","minority","6"
"M001169","Christopher S. Murphy","CT","D","M001169","Transportation, Housing and Urban Development, and Related Agencies","member","majority","7"
"H001061","John Hoeven","ND","R","H001061","Transportation, Housing and Urban Development, and Related Agencies","member","minority","7"
"M001183","Joe Manchin III","WV","D","M001183","Transportation, Housing and Urban Development, and Related Agencies","member","majority","8"
"K000393","John Kennedy","LA","R","K000393","Transportation, Housing and Urban Development, and Related Agencies","member","minority","8"
"V000128","Chris Van Hollen","MD","D","V000128","Transportation, Housing and Urban Development, and Related Agencies","member","majority","9"
"B001310","Mike Braun","IN","R","B001310","Transportation, Housing and Urban Development, and Related Agencies","member","minority","9"
"L000174","Patrick J. Leahy","VT","D","L000174","Transportation, Housing and Urban Development, and Related Agencies","Ex Officio","majority","10"
"R000122","Jack Reed","RI","D","R000122","Legislative Branch Subcommittee","Chairman","majority","1"
"B001310","Mike Braun","IN","R","B001310","Legislative Branch Subcommittee","Ranking Member","minority","1"
"M001169","Christopher S. Murphy","CT","D","M001169","Legislative Branch Subcommittee","member","majority","2"
"S000320","Richard C. Shelby","AL","R","S000320","Legislative Branch Subcommittee","member","minority","2"
"H001046","Martin Heinrich","NM","D","H001046","Legislative Branch Subcommittee","member","majority","3"
"R000595","Marco Rubio","FL","R","R000595","Legislative Branch Subcommittee","member","minority","3"
"L000174","Patrick J. Leahy","VT","D","L000174","Legislative Branch Subcommittee","Ex Officio","majority","4"
"B001230","Tammy Baldwin","WI","D","B001230","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Chairman","majority","1"
"H001061","John Hoeven","ND","R","H001061","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Ranking Member","minority","1"
"M001176","Jeff Merkley","OR","D","M001176","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","2"
"M000355","Mitch McConnell","KY","R","M000355","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","2"
"F000062","Dianne Feinstein","CA","D","F000062","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","3"
"C001035","Susan Collins","ME","R","C001035","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","3"
"T000464","Jon Tester","MT","D","T000464","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","4"
"B000575","Roy Blunt","MO","R","B000575","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","4"
"L000174","Patrick J. Leahy","VT","D","L000174","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","5"
"M000934","Jerry Moran","KS","R","M000934","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","5"
"S001194","Brian Schatz","HI","D","S001194","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","6"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","6"
"H001046","Martin Heinrich","NM","D","H001046","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","7"
"S000320","Richard C. Shelby","AL","R","S000320","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Ex Officio","minority","7"
"B001310","Mike Braun","IN","R","B001310","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","8"
"T000464","Jon Tester","MT","D","T000464","Defense Subcommittee","Chairman","majority","1"
"S000320","Richard C. Shelby","AL","R","S000320","Defense Subcommittee","Ranking Member","minority","1"
"D000563","Richard J. Durbin","IL","D","D000563","Defense Subcommittee","Ranking Member","majority","2"
"M000355","Mitch McConnell","KY","R","M000355","Defense Subcommittee","member","minority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Defense Subcommittee","member","majority","3"
"C001035","Susan Collins","ME","R","C001035","Defense Subcommittee","member","minority","3"
"F000062","Dianne Feinstein","CA","D","F000062","Defense Subcommittee","member","majority","4"
"M001153","Lisa Murkowski","AK","R","M001153","Defense Subcommittee","member","minority","4"
"M001111","Patty Murray","WA","D","M001111","Defense Subcommittee","member","majority","5"
"G000359","Lindsey Graham","SC","R","G000359","Defense Subcommittee","member","minority","5"
"R000122","Jack Reed","RI","D","R000122","Defense Subcommittee","member","majority","6"
"B000575","Roy Blunt","MO","R","B000575","Defense Subcommittee","member","minority","6"
"S001194","Brian Schatz","HI","D","S001194","Defense Subcommittee","member","majority","7"
"M000934","Jerry Moran","KS","R","M000934","Defense Subcommittee","member","minority","7"
"B001230","Tammy Baldwin","WI","D","B001230","Defense Subcommittee","member","majority","8"
"H001061","John Hoeven","ND","R","H001061","Defense Subcommittee","member","minority","8"
"S001181","Jeanne Shaheen","NH","D","S001181","Defense Subcommittee","member","majority","9"
"B001236","John Boozman","AR","R","B001236","Defense Subcommittee","member","minority","9"
"H001046","Martin Heinrich","NM","D","H001046","Military Construction, Veterans Affairs, and Related Agencies","Chairman","majority","1"
"B001236","John Boozman","AR","R","B001236","Military Construction, Veterans Affairs, and Related Agencies","Ranking Member","minority","1"
"S001194","Brian Schatz","HI","D","S001194","Military Construction, Veterans Affairs, and Related Agencies","member","majority","2"
"M000355","Mitch McConnell","KY","R","M000355","Military Construction, Veterans Affairs, and Related Agencies","member","minority","2"
"T000464","Jon Tester","MT","D","T000464","Military Construction, Veterans Affairs, and Related Agencies","member","majority","3"
"M001153","Lisa Murkowski","AK","R","M001153","Military Construction, Veterans Affairs, and Related Agencies","member","minority","3"
"M001111","Patty Murray","WA","D","M001111","Military Construction, Veterans Affairs, and Related Agencies","member","majority","4"
"H001061","John Hoeven","ND","R","H001061","Military Construction, Veterans Affairs, and Related Agencies","member","minority","4"
"R000122","Jack Reed","RI","D","R000122","Military Construction, Veterans Affairs, and Related Agencies","member","majority","5"
"C001035","Susan Collins","ME","R","C001035","Military Construction, Veterans Affairs, and Related Agencies","member","minority","5"
"B001230","Tammy Baldwin","WI","D","B001230","Military Construction, Veterans Affairs, and Related Agencies","member","majority","6"
"C001047","Shelley Moore Capito","WV","R","C001047","Military Construction, Veterans Affairs, and Related Agencies","member","minority","6"
"C001088","Christopher A. Coons","DE","D","C001088","Military Construction, Veterans Affairs, and Related Agencies","member","majority","7"
"R000595","Marco Rubio","FL","R","R000595","Military Construction, Veterans Affairs, and Related Agencies","member","minority","7"
"M001183","Joe Manchin III","WV","D","M001183","Military Construction, Veterans Affairs, and Related Agencies","member","majority","8"
"H000601","Bill Hagerty","TN","R","H000601","Military Construction, Veterans Affairs, and Related Agencies","member","minority","8"
"L000174","Patrick J. Leahy","VT","D","L000174","Military Construction, Veterans Affairs, and Related Agencies","Ex Officio","majority","9"
"S000320","Richard C. Shelby","AL","R","S000320","Military Construction, Veterans Affairs, and Related Agencies","Ex Officio","minority","9"
"V000128","Chris Van Hollen","MD","D","V000128","Financial Services and General Government Subcommittee","Chairman","majority","1"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Financial Services and General Government Subcommittee","Ranking Member","minority","1"
"C001088","Christopher A. Coons","DE","D","C001088","Financial Services and General Government Subcommittee","member","majority","2"
"M000934","Jerry Moran","KS","R","M000934","Financial Services and General Government Subcommittee","member","minority","2"
"D000563","Richard J. Durbin","IL","D","D000563","Financial Services and General Government Subcommittee","member","majority","3"
"B001236","John Boozman","AR","R","B001236","Financial Services and General Government Subcommittee","member","minority","3"
"M001183","Joe Manchin III","WV","D","M001183","Financial Services and General Government Subcommittee","member","majority","4"
"K000393","John Kennedy","LA","R","K000393","Financial Services and General Government Subcommittee","member","minority","4"
"L000174","Patrick J. Leahy","VT","D","L000174","Financial Services and General Government Subcommittee","Ex Officio","majority","5"
"S000320","Richard C. Shelby","AL","R","S000320","Financial Services and General Government Subcommittee","Ex Officio","minority","5"
"O000174","Jon Ossoff","GA","D","O000174","Investigations Subcommittee","Chairman","majority","1"
"J000293","Ron Johnson","WI","R","J000293","Investigations Subcommittee","Ranking Member","minority","1"
"C000174","Thomas R. Carper","DE","D","C000174","Investigations Subcommittee","member","majority","2"
"P000603","Rand Paul","KY","R","P000603","Investigations Subcommittee","member","minority","2"
"H001076","Margaret Hassan","NH","D","H001076","Investigations Subcommittee","member","majority","3"
"L000575","James Lankford","OK","R","L000575","Investigations Subcommittee","member","minority","3"
"P000145","Alex Padilla","CA","D","P000145","Investigations Subcommittee","member","majority","4"
"S001217","Rick Scott","FL","R","S001217","Investigations Subcommittee","member","minority","4"
"P000595","Gary Peters","MI","D","P000595","Investigations Subcommittee","Ex Officio","majority","5"
"P000449","Rob Portman","OH","R","P000449","Investigations Subcommittee","Ex Officio","minority","5"
"H001076","Margaret Hassan","NH","D","H001076","Emerging Threats and Spending Oversight Subcommittee","Chairman","majority","1"
"P000603","Rand Paul","KY","R","P000603","Emerging Threats and Spending Oversight Subcommittee","Ranking Member","minority","1"
"S001191","Kyrsten Sinema","AZ","D","S001191","Emerging Threats and Spending Oversight Subcommittee","member","majority","2"
"R000615","Mitt Romney","UT","R","R000615","Emerging Threats and Spending Oversight Subcommittee","member","minority","2"
"R000608","Jacky Rosen","NV","D","R000608","Emerging Threats and Spending Oversight Subcommittee","member","majority","3"
"S001217","Rick Scott","FL","R","S001217","Emerging Threats and Spending Oversight Subcommittee","member","minority","3"
"O000174","Jon Ossoff","GA","D","O000174","Emerging Threats and Spending Oversight Subcommittee","member","majority","4"
"H001089","Joshua Hawley","MO","R","H001089","Emerging Threats and Spending Oversight Subcommittee","member","minority","4"
"P000595","Gary Peters","MI","D","P000595","Emerging Threats and Spending Oversight Subcommittee","Ex Officio","majority","5"
"P000449","Rob Portman","OH","R","P000449","Emerging Threats and Spending Oversight Subcommittee","Ex Officio","minority","5"
"S001191","Kyrsten Sinema","AZ","D","S001191","Government Operations and Border Management Subcommittee","Chairman","majority","1"
"L000575","James Lankford","OK","R","L000575","Government Operations and Border Management Subcommittee","Ranking Member","minority","1"
"C000174","Thomas R. Carper","DE","D","C000174","Government Operations and Border Management Subcommittee","member","majority","2"
"J000293","Ron Johnson","WI","R","J000293","Government Operations and Border Management Subcommittee","member","minority","2"
"P000145","Alex Padilla","CA","D","P000145","Government Operations and Border Management Subcommittee","member","majority","3"
"R000615","Mitt Romney","UT","R","R000615","Government Operations and Border Management Subcommittee","member","minority","3"
"O000174","Jon Ossoff","GA","D","O000174","Government Operations and Border Management Subcommittee","member","majority","4"
"H001089","Joshua Hawley","MO","R","H001089","Government Operations and Border Management Subcommittee","member","minority","4"
"P000595","Gary Peters","MI","D","P000595","Government Operations and Border Management Subcommittee","Ex Officio","majority","5"
"P000449","Rob Portman","OH","R","P000449","Government Operations and Border Management Subcommittee","Ex Officio","minority","5"
