ace_mode,aliases,codemirror_mime_type,codemirror_mode,color,extensions,filenames,fs_name,group,interpreters,language,language_id,searchable,tm_scope,type,wrap
"text","","","","#64C800",".als","","","","","Alloy","13","","source.alloy","programming",""
"sh","abuild,apkbuild","text/x-sh","shell","#0D597F","","APKBUILD","","Shell","","Alpine Abuild","14","","source.shell","programming",""
"ini","altium","","","#A89663",".OutJob,.PcbDoc,.PrjPCB,.SchDoc","","","","","Altium Designer","187772328","","source.ini","data",""
"text","","text/x-c++src","clike","#C7D7DC",".as,.angelscript","","","","","AngelScript","389477596","","source.angelscript","programming",""
"xml","","application/xml","xml","#A9157E","","ant.xml,build.xml","","","","Ant Build System","15","","text.xml.ant","data",""
"text","","","","#ff269e",".antlers.html,.antlers.php,.antlers.xml","","","","","Antlers","1067292663","","text.html.statamic","markup",""
"apache_conf","aconf,apache","","","#d12127",".apacheconf,.vhost",".htaccess,apache2.conf,httpd.conf","","","","ApacheConf","16","","source.apache-config","data",""
"java","","text/x-java","clike","#1797c0",".cls","","","","","Apex","17","","source.java","programming",""
"assembly_x86","","","","#0B3D91",".agc","","","Assembly","","Apollo Guidance Computer","18","","source.agc","programming",""
"applescript","osascript","","","#101F1F",".applescript,.scpt","","","","osascript","AppleScript","19","","source.applescript","programming",""
"text","","","","#aa2afe",".arc","","","","","Arc","20","","none","programming",""
"asciidoc","","","","#73a0c5",".asciidoc,.adoc,.asc","","","","","AsciiDoc","22","","text.html.asciidoc","prose","true"
"text","","","","#a957b0",".aj","","","","","AspectJ","23","","source.aspectj","programming",""
"assembly_x86","asm,nasm","","","#6E4C13",".asm,.a51,.i,.inc,.nas,.nasm","","","","","Assembly","24","","source.assembly","programming",""
"html","","text/jsx","jsx","#ff5a03",".astro","","","","","Astro","578209015","","source.astro","markup",""
"c_cpp","","text/x-kotlin","clike","#ff0000",".asy","","","","asy","Asymptote","591605007","","source.c++","programming",""
"text","","","","#9CC134",".aug","","","","","Augeas","25","","none","programming",""
"autohotkey","ahk","","","#6594b9",".ahk,.ahkl","","","","","AutoHotkey","26","","source.ahk","programming",""
"autohotkey","au3,AutoIt3,AutoItScript","","","#1C3552",".au3","","","","","AutoIt","27","","source.autoit","programming",""
"text","","","","#0040FF",".avdl","","","","","Avro IDL","785497837","","source.avro","data",""
"text","","","","#c30e9b",".awk,.auk,.gawk,.mawk,.nawk","","","","awk,gawk,mawk,nawk","Awk","28","","source.awk","programming",""
"text","","","","#ff0000",".bas","","","","","BASIC","28923963","","source.basic","programming",""
"text","","","","#FF5000",".bal","","","","","Ballerina","720859680","","source.ballerina","programming",""
"batchfile","bat,batch,dosbatch,winbatch","","","#C1F12E",".bat,.cmd","","","","","Batchfile","29","","source.batchfile","programming",""
"csharp","","text/x-csharp","clike","#a52f4e",".bf","","","","","Beef","545626333","","source.cs","programming",""
"text","","","","",".befunge,.bf","","","","","Befunge","30","","source.befunge","programming",""
"text","be","","","#15A13C",".be","","","","","Berry","121855308","","source.berry","programming",""
"tex","","text/x-stex","stex","#778899",".bib,.bibtex","","","TeX","","BibTeX","982188347","","text.bibtex","markup",""
"text","","","","#519aba",".bicep","","","","","Bicep","321200902","","source.bicep","programming",""
"html","","text/html","htmlmixed","#5562ac",".bs","","","","","Bikeshed","1055528081","","source.csswg","markup",""
"text","","","","#6A463F",".bison","","","Yacc","","Bison","31","","source.yacc","programming",""
"text","","","","#00bce4",".bb","","","","","BitBake","32","","none","programming",""
"text","","","","#f7523f",".blade,.blade.php","","","","","Blade","33","","text.html.php.blade","markup",""
"text","b3d,blitz3d,blitzplus,bplus","","","#00FFAE",".bb,.decls","","","","","BlitzBasic","34","","source.blitzmax","programming",""
"text","bmax","","","#cd6400",".bmx","","","","","BlitzMax","35","","source.blitzmax","programming",""
"verilog","","","","#12223c",".bsv","","","","","Bluespec","36","","source.bsv","programming",""
"text","","","","#d4bec1",".boo","","","","","Boo","37","","source.boo","programming",""
"text","","","","#c80fa0",".bpl","","","","boogie","Boogie","955017407","","source.boogie","programming",""
"text","","text/x-brainfuck","brainfuck","#2F2530",".b,.bf","","","","","Brainfuck","38","","source.bf","programming",""
"text","","","","#66AABB",".bs","","","","","BrighterScript","943571030","","source.brs","programming",""
"text","","","","#662D91",".brs","","","","","Brightscript","39","","source.brs","programming",""
"text","","","","#ffd539","",".browserslistrc,browserslist","","","","Browserslist","153503348","","text.browserslist","data",""
"c_cpp","","text/x-csrc","clike","#555555",".c,.cats,.h,.idc","","","","tcc","C","41","","source.c","programming",""
"csharp","csharp,cake,cakescript","text/x-csharp","clike","#178600",".cs,.cake,.csx,.linq","","","","","C#","42","","source.cs","programming",""
"c_cpp","cpp","text/x-c++src","clike","#f34b7d",".cpp,.c++,.cc,.cp,.cxx,.h,.h++,.hh,.hpp,.hxx,.inc,.inl,.ino,.ipp,.ixx,.re,.tcc,.tpp","","","","","C++","43","","source.c++","programming",""
"assembly_x86","","","","",".c-objdump","","","","","C-ObjDump","44","","objdump.x86asm","data",""
"haskell","c2hs","text/x-haskell","haskell","",".chs","","","Haskell","","C2hs Haskell","45","","source.haskell","programming",""
"text","cds","","","#0092d1",".cds","","","","","CAP CDS","390788699","","source.cds","programming",""
"text","","","","",".cil","","","","","CIL","29176339","","source.cil","data",""
"text","","","","#00A300",".clp","","","","","CLIPS","46","","source.clips","programming",""
"text","","text/x-cmake","cmake","#DA3434",".cmake,.cmake.in","CMakeLists.txt","","","","CMake","47","","source.cmake","programming",""
"cobol","","text/x-cobol","cobol","",".cob,.cbl,.ccp,.cobol,.cpy","","","","","COBOL","48","","source.cobol","programming",""
"gitignore","","","","","","CODEOWNERS","","","","CODEOWNERS","321684729","","text.codeowners","data",""
"xml","","text/xml","xml","#F1A42B",".dae","","","","","COLLADA","49","","text.xml","data",""
"coffee","","text/x-coffeescript","coffeescript","#244776",".cson","","","","","CSON","424","","source.coffee","data",""
"css","","text/css","css","#563d7c",".css","","","","","CSS","50","","source.css","markup",""
"text","","","","#237346",".csv","","","","","CSV","51","","none","data",""
"text","","","","#5886E1",".cue","","","","","CUE","356063509","","source.cue","programming",""
"text","","","","#00007a",".w","","","","","CWeb","657332628","","none","programming",""
"haskell","Cabal","text/x-haskell","haskell","#483465",".cabal","cabal.config,cabal.project","","","","Cabal Config","677095381","","source.cabal","data",""
"text","","","","#00ef8b",".cdc","","","","","Cadence","270184138","","source.cadence","programming",""
"text","","","","#ff4a48",".cairo","","","","","Cairo","620599567","","source.cairo","programming",""
"ocaml","","text/x-ocaml","mllike","#3be133",".mligo","","","LigoLANG","","CameLIGO","829207807","","source.mligo","programming",""
"text","","","","#c42727",".capnp","","","","","Cap'n Proto","52","","source.capnp","programming",""
"text","Carto","","","",".mss","","","","","CartoCSS","53","","source.css.mss","programming",""
"text","","","","#dfa535",".ceylon","","","","","Ceylon","54","","source.ceylon","programming",""
"text","chpl","","","#8dc63f",".chpl","","","","","Chapel","55","","source.chapel","programming",""
"text","","","","",".ch","","","","","Charity","56","","none","programming",""
"text","checksum,hash,hashes,sum,sums","","","",".crc32,.md2,.md4,.md5,.sha1,.sha2,.sha224,.sha256,.sha256sum,.sha3,.sha384,.sha512","MD5SUMS,SHA1SUMS,SHA256SUMS,SHA256SUMS.txt,SHA512SUMS,checksums.txt,cksums,md5sum.txt","","","","Checksums","372063053","","text.checksums","data",""
"java","","text/x-java","clike","#3f8000",".ck","","","","","ChucK","57","","source.java","programming",""
"cirru","","","","#ccccff",".cirru","","","","","Cirru","58","","source.cirru","programming",""
"text","","","","#db901e",".clw","","","","","Clarion","59","","source.clarion","programming",""
"lisp","","","","#5546ff",".clar","","","","","Clarity","91493841","","source.clar","programming",""
"text","asp","","","#6a40fd",".asp","","","","","Classic ASP","8","","text.html.asp","programming",""
"text","","","","#3F85AF",".icl,.dcl","","","","","Clean","60","","source.clean","programming",""
"text","","","","#E4E6F3",".click","","","","","Click","61","","source.click","programming",""
"clojure","","text/x-clojure","clojure","#db5855",".clj,.bb,.boot,.cl2,.cljc,.cljs,.cljs.hl,.cljscm,.cljx,.hic","riemann.config","","","bb","Clojure","62","","source.clojure","programming",""
"soy_template","soy","text/x-soy","soy","#0d948f",".soy","","","","","Closure Templates","357046146","","text.html.soy","markup",""
"less","","text/css","css","#FFA000","","firestore.rules","","","","Cloud Firestore Security Rules","407996372","","source.firestore","data",""
"text","CoNLL,CoNLL-X","","","",".conllu,.conll","","","","","CoNLL-U","421026389","","text.conllu","data",""
"text","ql","","","#140f46",".ql,.qll","","","","","CodeQL","424259634","","source.ql","programming",""
"coffee","coffee,coffee-script","text/x-coffeescript","coffeescript","#244776",".coffee,._coffee,.cake,.cjsx,.iced","Cakefile","","","coffee","CoffeeScript","63","","source.coffee","programming",""
"coldfusion","cfm,cfml,coldfusion html","","","#ed2cd6",".cfm,.cfml","","","","","ColdFusion","64","","text.html.cfm","programming",""
"coldfusion","cfc","","","#ed2cd6",".cfc","","","ColdFusion","","ColdFusion CFC","65","","source.cfscript","programming",""
"lisp","lisp","text/x-common-lisp","commonlisp","#3fb68b",".lisp,.asd,.cl,.l,.lsp,.ny,.podsl,.sexp","","","","lisp,sbcl,ccl,clisp,ecl","Common Lisp","66","","source.lisp","programming",""
"yaml","cwl","text/x-yaml","yaml","#B5314C",".cwl","","","","cwl-runner","Common Workflow Language","988547172","","source.cwl","programming",""
"pascal","","text/x-pascal","pascal","#B0CE4E",".cp,.cps","","","","","Component Pascal","67","","source.pascal","programming",""
"text","","","","",".cl","","","","","Cool","68","","source.cool","programming",""
"text","","","","#d0b68c",".coq,.v","","","","","Coq","69","","source.coq","programming",""
"assembly_x86","c++-objdump","","","",".cppobjdump,.c++-objdump,.c++objdump,.cpp-objdump,.cxx-objdump","","","","","Cpp-ObjDump","70","","objdump.x86asm","data",""
"text","","","","",".creole","","","","","Creole","71","","text.html.creole","prose","true"
"ruby","","text/x-crystal","crystal","#000100",".cr","","","","crystal","Crystal","72","","source.crystal","programming",""
"csound_orchestra","csound-orc","","","#1a1a1a",".orc,.udo","","","","","Csound","73","","source.csound","programming",""
"csound_document","csound-csd","","","#1a1a1a",".csd","","","","","Csound Document","74","","source.csound-document","programming",""
"csound_score","csound-sco","","","#1a1a1a",".sco","","","","","Csound Score","75","","source.csound-score","programming",""
"c_cpp","","text/x-c++src","clike","#3A4E3A",".cu,.cuh","","","","","Cuda","77","","source.cuda-c++","programming",""
"text","","","","",".cue","","","","","Cue Sheet","942714150","","source.cuesheet","data",""
"haskell","","","","#531242",".curry","","","","","Curry","439829048","","source.curry","programming",""
"javascript","","text/javascript","javascript","",".cy","","","","","Cycript","78","","source.js","programming",""
"text","pyrex","text/x-cython","python","#fedf5b",".pyx,.pxd,.pxi","","","","","Cython","79","","source.cython","programming",""
"d","Dlang","text/x-d","d","#ba595e",".d,.di","","","","","D","80","","source.d","programming",""
"assembly_x86","","","","",".d-objdump","","","","","D-ObjDump","81","","objdump.x86asm","data",""
"text","dcl","","","",".com","","","","","DIGITAL Command Language","82","","none","programming",""
"c_cpp","byond","","","#447265",".dm","","","","","DM","83","","source.dm","programming",""
"text","","","","",".zone,.arpa","","","","","DNS Zone","84","","text.zone_file","data",""
"c_cpp","dtrace-script","text/x-csrc","clike","",".d","","","","dtrace","DTrace","85","","source.c","programming",""
"text","","","","#FFEC25",".dfy","","","","dafny","Dafny","969323346","","text.dfy.dafny","programming",""
"text","dpatch","","","#8eff23",".darcspatch,.dpatch","","","","","Darcs Patch","86","","none","data",""
"dart","","application/dart","dart","#00B4AB",".dart","","","","dart","Dart","87","","source.dart","programming",""
"text","","","","#003a52",".dwl","","","","","DataWeave","974514097","","source.data-weave","programming",""
"text","","","","#D70751",".dsc","","","","","Debian Package Control File","527438264","","source.deb-control","data",""
"yaml","","text/x-yaml","yaml","#FBEE96",".dsc","","","","","DenizenScript","435000929","","source.denizenscript","programming",""
"haskell","","text/x-haskell","haskell","#dfafff",".dhall","","","","","Dhall","793969321","","source.haskell","programming",""
"diff","udiff","text/x-diff","diff","",".diff,.patch","","","","","Diff","88","","source.diff","data",""
"text","","","","#aace60",".x","","","","","DirectX 3D File","201049282","","none","data",""
"dockerfile","Containerfile","text/x-dockerfile","dockerfile","#384d54",".dockerfile","Containerfile,Dockerfile","","","","Dockerfile","89","","source.dockerfile","programming",""
"text","","","","#cca760",".djs","","","","","Dogescript","90","","none","programming",""
"text","","text/x-dylan","dylan","#6c616e",".dylan,.dyl,.intr,.lid","","","","","Dylan","91","","source.dylan","programming",""
"text","","","","#ccce35",".e","","","","rune","E","92","","none","programming",""
"text","email,eml,mail,mbox","application/mbox","mbox","",".eml,.mbox","","","","","E-mail","529653389","","text.eml.basic","data",""
"text","","text/x-ebnf","ebnf","",".ebnf","","","","","EBNF","430","","source.ebnf","data",""
"text","","text/x-ecl","ecl","#8a1267",".ecl,.eclxml","","","","","ECL","93","","source.ecl","programming",""
"prolog","","","","#001d9d",".ecl","","","prolog","","ECLiPSe","94","","source.prolog.eclipse","programming",""
"ejs","","","","#a91e50",".ejs,.ect,.ejs.t,.jst","","","","","EJS","95","","text.html.js","markup",""
"csharp","","text/x-csharp","clike","#a78649",".eq","","","","","EQ","96","","source.cs","programming",""
"xml","","text/xml","xml","",".sch,.brd","","","","","Eagle","97","","text.xml","data",""
"text","Earthfile","","","#2af0ff","","Earthfile","","","","Earthly","963512632","","source.earthfile","programming",""
"python","","text/x-python","python","#069406",".eb","","","Python","","Easybuild","342840477","","source.python","data",""
"json","","application/json","javascript","#913960",".epj","","","JavaScript","","Ecere Projects","98","","source.json","data",""
"ini","editor-config","text/x-properties","properties","#fff1f2","",".editorconfig","","INI","","EditorConfig","96139566","","source.editorconfig","data",""
"c_cpp","","text/x-c++src","clike","",".edc","","","","","Edje Data Collection","342840478","","source.c++","data",""
"eiffel","","text/x-eiffel","eiffel","#4d6977",".e","","","","","Eiffel","99","","source.eiffel","programming",""
"elixir","","","","#6e4a7e",".ex,.exs","mix.lock","","","elixir","Elixir","100","","source.elixir","programming",""
"elm","","text/x-elm","elm","#60B5CC",".elm","","","","","Elm","101","","source.elm","programming",""
"text","","","","#55BB55",".elv","","","","elvish","Elvish","570996448","","source.elvish","programming",""
"lisp","elisp,emacs","text/x-common-lisp","commonlisp","#c065db",".el,.emacs,.emacs.desktop",".abbrev_defs,.emacs,.emacs.desktop,.gnus,.spacemacs,.viper,Cask,Project.ede,_emacs,abbrev_defs","","","","Emacs Lisp","102","","source.emacs.lisp","programming",""
"coffee","","text/x-coffeescript","coffeescript","#FFF4F3",".em,.emberscript","","","","","EmberScript","103","","source.coffee","programming",""
"erlang","","text/x-erlang","erlang","#B83998",".erl,.app.src,.es,.escript,.hrl,.xrl,.yrl","Emakefile,rebar.config,rebar.config.lock,rebar.lock","","","escript","Erlang","104","","source.erlang","programming",""
"text","","","","#FF790B",".e,.ex","","","","eui,euiw","Euphoria","880693982","","source.euphoria","programming",""
"text","fsharp","text/x-fsharp","mllike","#b845fc",".fs,.fsi,.fsx","","","","","F#","105","","source.fsharp","programming",""
"text","fstar","","","#572e30",".fst,.fsti","","Fstar","","","F*","336943375","","source.fstar","programming",""
"text","FIGfont","","","#FFDDBB",".flf","","","","","FIGlet Font","686129783","","source.figfont","data",""
"text","","","","#88ccff",".fx,.flux","","","","","FLUX","106","","none","programming",""
"text","","text/x-factor","factor","#636746",".factor",".factor-boot-rc,.factor-rc","","","","Factor","108","","source.factor","programming",""
"text","","","","#7b9db4",".fy,.fancypack","Fakefile","","","","Fancy","109","","source.fancy","programming",""
"text","","","","#14253c",".fan","","","","","Fantom","110","","source.fan","programming",""
"text","","","","#c37240",".dsp","","","","","Faust","622529198","","source.faust","programming",""
"text","","","","#fff3d7",".fnl","","","","fennel","Fennel","239946126","","source.fnl","programming",""
"text","","","","#F6B900",".f","","","","","Filebench WML","111","","none","programming",""
"text","","","","",".fs","","","RenderScript","","Filterscript","112","","none","programming",""
"text","","","","#ffcc33",".ftl","","","","","Fluent","206353404","","source.ftl","programming",""
"text","","","","",".for,.eam.fs","","","","","Formatted","113","","none","data",""
"forth","","text/x-forth","forth","#341708",".fth,.4th,.f,.for,.forth,.fr,.frt,.fs","","","","","Forth","114","","source.forth","programming",""
"text","","text/x-fortran","fortran","#4d41b1",".f,.f77,.for,.fpp","","","Fortran","","Fortran","107","","source.fortran","programming",""
"text","","text/x-fortran","fortran","#4d41b1",".f90,.f03,.f08,.f95","","","Fortran","","Fortran Free Form","761352333","","source.fortran.modern","programming",""
"text","fb","text/x-vb","vb","#867db1",".bi,.bas","","","","","FreeBasic","472896659","","source.vbnet","programming",""
"ftl","ftl","","","#0050b2",".ftl","","","","","FreeMarker","115","","text.html.ftl","programming",""
"haskell","","","","#00cafe",".fr","","","","","Frege","116","","source.haskell","programming",""
"text","","","","#5f021f",".fut","","","","","Futhark","97358117","","source.futhark","programming",""
"gcode","","","","#D08CF2",".g,.cnc,.gco,.gcode","","","","","G-code","117","","source.gcode","programming",""
"text","","","","#FFC766",".gaml","","","","","GAML","290345951","","none","programming",""
"text","","","","#f49a22",".gms","","","","","GAMS","118","","none","programming",""
"text","","","","#0000cc",".g,.gap,.gd,.gi,.tst","","","","","GAP","119","","source.gap","programming",""
"lisp","","text/x-common-lisp","commonlisp","#FFCFAB",".md","","","","","GCC Machine Description","121","","source.lisp","programming",""
"text","","","","",".gdb,.gdbinit","","","","","GDB","122","","source.gdb","programming",""
"text","","","","#355570",".gd","","","","","GDScript","123","","source.gdscript","programming",""
"text","","","","#003058",".ged","","","","","GEDCOM","459577965","","source.gedcom","data",""
"glsl","","","","#5686a5",".glsl,.fp,.frag,.frg,.fs,.fsh,.fshader,.geo,.geom,.glslf,.glslv,.gs,.gshader,.rchit,.rmiss,.shader,.tesc,.tese,.vert,.vrx,.vsh,.vshader","","","","","GLSL","124","","source.glsl","programming",""
"python","","text/x-python","python","",".gn,.gni",".gn","","","gn","GN","302957008","","source.gn","data",""
"c_cpp","","text/x-csrc","clike","#FF6800",".gsc,.csc,.gsh","","","","","GSC","257856279","","source.gsc","programming",""
"c_cpp","","text/x-c++src","clike","#71b417",".gml","","","","","Game Maker Language","125","","source.c++","programming",""
"text","","","","#701516","","Gemfile.lock","","","","Gemfile.lock","907065713","","source.gemfile-lock","data",""
"text","gemtext","","","#ff6900",".gmi","","","","","Gemini","310828396","","source.gemini","prose","true"
"text","","","","#63408e",".4gl","","","","","Genero","986054050","","source.genero","programming",""
"text","","","","#d8df39",".per","","","","","Genero Forms","902995658","","source.genero-forms","markup",""
"text","","","","#fb855d",".gs","","","","","Genie","792408528","","none","programming",""
"xml","xml+genshi,xml+kid","text/xml","xml","#951531",".kid","","","","","Genshi","126","","text.xml.genshi","programming",""
"sh","","text/x-sh","shell","#9400ff",".ebuild","","","Shell","","Gentoo Ebuild","127","","source.shell","programming",""
"sh","","text/x-sh","shell","#9400ff",".eclass","","","Shell","","Gentoo Eclass","128","","source.shell","programming",""
"text","rs-274x","","","#d20b00",".gbr,.cmp,.gbl,.gbo,.gbp,.gbs,.gko,.gml,.gpb,.gpt,.gtl,.gto,.gtp,.gts,.ncl,.sol","","","","gerbv,gerbview","Gerber Image","404627610","","source.gerber","data",""
"text","pot","","","",".po,.pot","","","","","Gettext Catalog","129","","source.po","prose",""
"text","cucumber","","","#5B2063",".feature,.story","","","","","Gherkin","76","","text.gherkin.feature","programming",""
"gitignore","gitattributes","text/x-sh","shell","#F44D27","",".gitattributes","","INI","","Git Attributes","956324166","","source.gitattributes","data",""
"ini","gitconfig,gitmodules","text/x-properties","properties","#F44D27",".gitconfig",".gitconfig,.gitmodules","","INI","","Git Config","807968997","","source.gitconfig","data",""
"text","Git Blame Ignore Revs","","","#F44D27","",".git-blame-ignore-revs","","","","Git Revision List","461881235","","source.git-revlist","data",""
"text","","","","#ffaff3",".gleam","","","","","Gleam","1054258749","","source.gleam","programming",""
"tcl","","text/x-tcl","tcl","#c1ac7f",".glf","","","","","Glyph","130","","source.tcl","programming",""
"text","","","","",".bdf","","","","","Glyph Bitmap Distribution Format","997665271","","source.bdf","data",""
"text","","","","#f0a9f0",".gp,.gnu,.gnuplot,.p,.plot,.plt","","","","gnuplot","Gnuplot","131","","source.gnuplot","programming",""
"golang","golang","text/x-go","go","#00ADD8",".go","","","","","Go","132","","source.go","programming",""
"text","go.sum,go sum","","","#00ADD8","","go.sum","","","","Go Checksums","1054391671","","go.sum","data",""
"text","go.mod,go mod","","","#00ADD8","","go.mod","","","","Go Module","947461016","","go.mod","data",""
"text","","","","#88562A",".golo","","","","","Golo","133","","source.golo","programming",""
"text","","","","#82937f",".gs,.gst,.gsx,.vark","","","","","Gosu","134","","source.gosu.2","programming",""
"text","","","","#615f8b",".grace","","","","","Grace","135","","source.grace","programming",""
"text","","","","#02303a",".gradle","","","","","Gradle","136","","source.groovy.gradle","data",""
"haskell","gf","text/x-haskell","haskell","#ff0000",".gf","","","","","Grammatical Framework","137","","source.gf","programming",""
"text","","","","",".gml","","","","","Graph Modeling Language","138","","none","data",""
"text","","","","#e10098",".graphql,.gql,.graphqls","","","","","GraphQL","139","","source.graphql","data",""
"text","","","","#2596be",".dot,.gv","","","","","Graphviz (DOT)","140","","source.dot","data",""
"groovy","","text/x-groovy","groovy","#4298b8",".groovy,.grt,.gtpl,.gvy","Jenkinsfile","","","groovy","Groovy","142","","source.groovy","programming",""
"jsp","gsp,java server page","application/x-jsp","htmlembedded","#4298b8",".gsp","","","Groovy","","Groovy Server Pages","143","","text.html.jsp","programming",""
"text","","","","#106da9",".cfg","haproxy.cfg","","","","HAProxy","366607477","","source.haproxy-config","data",""
"ruby","HashiCorp Configuration Language,terraform","text/x-ruby","ruby","",".hcl,.nomad,.tf,.tfvars,.workflow","","","","","HCL","144","","source.terraform","programming",""
"text","","","","#aace60",".hlsl,.cginc,.fx,.fxh,.hlsli","","","","","HLSL","145","","source.hlsl","programming",""
"text","","","","#9ff8ee",".hocon","","","","","HOCON","679725279","","source.hocon","data",""
"html","xhtml","text/html","htmlmixed","#e34c26",".html,.hta,.htm,.html.hl,.inc,.xht,.xhtml","","","","","HTML","146","","text.html.basic","markup",""
"text","ecr","text/html","htmlmixed","#2e1052",".ecr","","","HTML","","HTML+ECR","148","","text.html.ecr","markup",""
"text","eex,heex,leex","text/html","htmlmixed","#6e4a7e",".eex,.html.heex,.html.leex","","","HTML","","HTML+EEX","149","","text.html.elixir","markup",""
"text","erb,rhtml,html+ruby","application/x-erb","htmlembedded","#701516",".erb,.erb.deface,.rhtml","","","HTML","","HTML+ERB","150","","text.html.erb","markup",""
"php","","application/x-httpd-php","php","#4f5d95",".phtml","","","HTML","","HTML+PHP","151","","text.html.php","markup",""
"razor","razor","text/html","htmlmixed","#512be4",".cshtml,.razor","","","HTML","","HTML+Razor","479039817","","text.html.cshtml","markup",""
"text","","message/http","http","#005C9C",".http","","","","","HTTP","152","","source.httpspec","data",""
"text","","","","#f68712",".hxml","","","","","HXML","786683730","","source.hxml","data",""
"php","","application/x-httpd-php","php","#878787",".hack,.hh,.hhi,.php","","","","","Hack","153","","source.hack","programming",""
"haml","","text/x-haml","haml","#ece2a9",".haml,.haml.deface","","","","","Haml","154","","text.haml","markup",""
"handlebars","hbs,htmlbars","","","#f7931e",".handlebars,.hbs","","","","","Handlebars","155","","text.html.handlebars","markup",""
"text","","","","#0e60e3",".hb","","","","","Harbour","156","","source.harbour","programming",""
"haskell","","text/x-haskell","haskell","#5e5086",".hs,.hs-boot,.hsc","","","","runghc,runhaskell,runhugs","Haskell","157","","source.haskell","programming",""
"haxe","","text/x-haxe","haxe","#df7900",".hx,.hxsl","","","","","Haxe","158","","source.hx","programming",""
"sql","","","","#dce200",".q,.hql","","","","","HiveQL","931814087","","source.hql","programming",""
"c_cpp","","text/x-csrc","clike","#ffefaf",".hc","","","","","HolyC","928121743","","source.hc","programming",""
"text","hylang","","","#7790B2",".hy","","","","hy","Hy","159","","source.hy","programming",""
"text","","","","",".bf","","","","","HyPhy","160","","none","programming",""
"text","","text/x-idl","idl","#a3522f",".pro,.dlm","","","","","IDL","161","","source.idl","programming",""
"text","igor,igorpro","","","#0000cc",".ipf","","","","","IGOR Pro","162","","source.igor","programming",""
"ini","dosini","text/x-properties","properties","#d1dbe0",".ini,.cfg,.dof,.lektorproject,.prefs,.pro,.properties,.url",".coveragerc,.flake8,.pylintrc,buildozer.spec,pylintrc","","","","INI","163","","source.ini","data",""
"text","irc,irc logs","text/mirc","mirc","",".irclog,.weechatlog","","","","","IRC log","164","","none","data",""
"text","","","","#b30000",".idr,.lidr","","","","","Idris","165","","source.idris","programming",""
"gitignore","ignore,gitignore,git-ignore","text/x-sh","shell","#000000",".gitignore",".atomignore,.babelignore,.bzrignore,.coffeelintignore,.cvsignore,.dockerignore,.eleventyignore,.eslintignore,.gitignore,.markdownlintignore,.nodemonignore,.npmignore,.prettierignore,.stylelintignore,.vercelignore,.vscodeignore,gitignore-global,gitignore_global","","INI","","Ignore List","74444240","","source.gitignore","data",""
"text","ijm","","","#99AAFF",".ijm","","","","","ImageJ Macro","575143428","","none","programming",""
"text","i7,inform7","","","",".ni,.i7x","","","","","Inform 7","166","","source.inform7","programming","true"
"text","","","","#264b99",".iss,.isl","","","","","Inno Setup","167","","source.inno","programming",""
"io","","","","#a9188d",".io","","","","io","Io","168","","source.io","programming",""
"text","","","","#078193",".ik","","","","ioke","Ioke","169","","source.ioke","programming",""
